Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Basque,en_to_L,0,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,"Vatikano Hiriak 800 biztanle ditu gutxi gorabehera. Munduko herrialde independente txikiena da, eta biztanle kopuru baxuena daukana.","Vatikano Hiriko biztanleria 800 ingurukoa da. Munduko herrialderik independente txikiena da, eta biztanleria txikiena duen herrialdea ere bai.",21.37772394158387,62.799178447754834,41.21890547263682
Basque,en_to_L,1,All citizens of Vatican City are Roman Catholic.,Vatikano Hiriko biztanle guztiak katoliko erromatarrak dira.,Vatikano Hiriko herritar guztiak katoliko erromatarrak dira.,59.460355750136046,81.02804067388392,86.4795918367347
Basque,en_to_L,2,"It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","Landare-komunitate anitza eta nabaria dauka, mikroklima sortari, lurzoru desberdinei eta altitude-maila ugariei esker.","Landare-komunitateen aniztasun nabarmena du, bere mikroklima sorta dela eta; lur desberdinak eta altitude-maila aldakorrak ere tartean daude.",5.039518688486958,57.505027663415696,25.99932249322493
Basque,en_to_L,3,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,Amazonas ibaia Lurreko bigarren ibai luzeena eta ibairik handiena da. Bigarren ibai handienak baino 8 bider ur gehiago darama.,Amazon ibaia Lurreko bigarren ibairik luzeena eta handiena da. Bigarren ibairik handienak baino 8 aldiz ur gehiago darama.,35.453958603541736,81.05483799233187,79.55166305193622
Basque,en_to_L,4,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.",Lehoi-taldeek otsoen edo txakurren taldeen era berean funtzionatzen dute; lehoien oso antzekoak dira portaerari dagokionez (baina ez dira beste katu handi batzuk bezalakoak) eta harrapakinentzat oso arriskutsuak dira.,"Lehoi-espezieen harrotzek, vilkien edo txakurren artaldeek bezala, antzera jokatzen dute; portaeran lehoiekin harrigarriro antzekoak diren animaliek (baina ez beste katu handi batzuekin) eta, gainera, oso hilgarriak dira beren harrapakinentzat.",9.308376558330284,56.22438270885368,46.984295980835775
Basque,en_to_L,5,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,Henry Louis Gatesen PBS programaren Afrikar lurralde zoragarriak saio berezian geldialdi nagusienetakoa izan zen.,"Henry Louis Gatesen PBSko *Wonders of the African World* saioan zehar, geldialdi nagusietako bat izan zen.",12.45699390802689,48.835544378106455,43.383805134957214
Basque,en_to_L,6,Argentina is well known for having one of the best polo teams and players in the world.,Argentina oso ezaguna da poloko talde eta jokalaririk onenak izateagatik.,Argentina munduko polo talde eta jokalari onenetako bat izateagatik da ezaguna.,9.263986277915475,62.187816906292404,43.206471777900354
Basque,en_to_L,7,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,"Loaren etenaldiaren prozesuan, loaldi arruntean berariaz esnatu eta handik gutxira loak hartzen zaitu berriro (10-60 minutu).","Lozorro etenaldia da, zure ohiko loaldian nahita esnatzeko prozesua, eta ondoren denbora gutxira (10–60 minutu) berriro lo hartzea.",4.657469807170696,44.710496818742826,26.208435960591135
Basque,en_to_L,8,"For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","Esaterako, “ikastea” eta “sozializatzea” omen dira Internet erabiltzeko motibazio nagusiak (James et al., 1995).","Adibidez, “ikaskuntza” eta “sozializazioa” Internet erabiltzeko motibazio garrantzitsu gisa proposatzen dira (James et al., 1995).",47.31668114099112,65.50199241279054,76.47907647907648
Basque,en_to_L,9,"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","Legealdiaren erdiko hauteskundeetan astebetez galtzen joan ondoren, Bush-ek ikus-entzuleei azaldu zien Asian negozioak hedatzeko helburua zuela.","Hästen bateko porrot aste baten ostean, Bush-ek entzuleei Asiako merkataritzaren hedapena azaldu zien.",6.434764150483398,31.042909198208445,25.19774011299435
