Lang,Index,Source,Reference,LLM_Translation,ChrF
Korean,0,na-kaki silh.e hata,Hates to go out.,I don’t want to go.,19.75
Korean,1,Kol ul kiph.kei pha la,Dig the channel deep!,Dig the hole deep.,35.54
Korean,2,Cipcip mata'na na-wass.umyen il i toylq ka,There'd be no problem if people had come from each house.,"If I had come out of each house, would it have worked out?",29.56
Korean,3,Yengswuk a Pokswun a i-li one la,"Yengswuk and Pokswun, come here.","Yengswuk, Pokswun—come here.",65.25
Korean,4,Ton un iss.sup.nita mán un cikum kot pillye tulici nun mós hakeys.sup.nita,"I have the money, but I can't lend it to you right now.","I have money, but I can’t lend it to you right now.",80.66
Korean,5,"Wey kuleni, nwu ka miilla 'nun ka 'm?",What's your trouble—anyone keeping you from going?!,Why is that—who’s pushing it?,9.44
Korean,6,mo nata,is angular = is difficult in personality,It’s ugly.,3.45
Korean,7,silkhum ha-,be dislikable,experiment (do)-,5.29
Korean,8,sip wen khenyeng sip cen to mos put.keyss.tr,"We won't get ten cen, much less ten wen.","I can’t even afford ten jeon, let alone ten won.",19.82
Korean,9,Salkem sallye cwii,Save me!,"Please save me, please.",31.33
Korean,10,Ku kes ul phalkeyss.nun ci mul.e polq ka,Shall we ask them if they will sell it?,Shall we ask whether he’s going to sell it?,46.79
Korean,11,Ku lul mannaci mOs hayss.ta,I was unable to see him.,I couldn’t meet him.,18.56
Korean,12,Yo say Kim sensayng tayk ey kanunq il i eps.ta,Lately we never go to Mr Kim's house.,These days I have no business going to Mr. Kim’s house.,29.93
Korean,13,Sayng tul i metri wi ey se cicetkelinun hamyen talam-cwi tul i tali mith e na kaki to hanta,Not only are there birds chirping overhead but also there are squirrels darting under foot.,"If the birds chirp up on top of the ridge, the squirrels also come out from under the bridge.",37.31
Korean,14,"Elin ay ka yang cayq-mul ul sathang ulo filko mek.ulye tul,ess.ta","The baby was about to eat the caustic soda, thinking it was candy.",Elin tried to chew and eat the sheep’s fodder as if it were candy.,24.05
Korean,15,nay ka chinkwu tul motwu lul chotay hayss.tu,I invited all the friends.,I invited all my friends.,71.53
Korean,16,Iss.ulq tey kkaci iss.e pokeyss.ta,I'll try to stick around (stay/wait) as long as I can.,I’ll stay as long as I can.,34.36
Korean,17,Ku i nun slilam ul kiy lo dnun ka pota,He acts as if he thought people were dogs.,It seems that he is remembering that person.,15.06
Korean,18,Nay kes in cwut lo al.ess.la,I took it to be (I thought it was) mine.,I thought it was my thing.,42.84
Korean,19,Namca €lun i w0nun kel' poni ch&m.qa. mds pokeyss.tun tey,But surely I couldn't stand to see a grown man crying!,"When I saw that grown man crying, it was really something to see.",39.01
Korean,20,hasikeyss.umyen hasipsio,"If you'd like to do it, please do so.","If you’re going to do it, please do so.",67.51
Korean,21,"""il 'lun no 'v kev p+vo'na7""Gv'o kwu'cun ""il 'lun no'm oy key 'cwunu a i","sends good things to me and gives bad things to others,","He gives it to someone, but he doesn’t give it to that person.",21.69
Korean,22,Anruli khi ka khutra hay to na mankhurn iya khulla kwu?,"However tall he might be, surely he can't be as tall as I am.","Surely he wouldn’t have done such a thing, would he?",18.16
Korean,23,Ku kes un n0nun tey cinaci anh.nunta,That is nothing but playing!,That doesn’t pass by the place where you are.,17.97
Korean,24,Cikum il hanun ci molukeyss.ta,I don't know whether he is working right now or not.,I don’t know what I’m doing right now.,40.06
Korean,25,Ku na ponun silam mata wa tirthwunta,He fights with everyone he sees.,"Every time he sees her, they quarrel.",30.32
Korean,26,Keuy cwuk.keyss.lun sllam i sal.e nass.kwun a,A person about to die came back to life!,"The man who was almost dying has come back to life, I see.",35.44
