Lang,Index,Source,Reference,LLM_Translation,Reasoning_Summary,BLEU,ChrF,METEOR
Chamorro,0,Ennåo na mumentu na ha tutuhun tumailayi i rilihon-mu.,It’s at that moment that your religion begins to be unkind.,That was the moment when he began to change your religion.,detailed,8.51659301881964,37.49248232849261,41.481810115350484
Chamorro,1,i Chamorro na nasion,the Chamorro nation,the Chamorro nation,detailed,100.00000000000004,100.0,98.14814814814815
Chamorro,2,Fåttu mågi agupa’ ya bai hu nå’i håo ni malago’-mu.,Come back tomorrow and I will give what you want.,Come here tomorrow and I’ll give you what you want.,detailed,29.982213893423374,63.10935897157167,76.82980599647267
Chamorro,3,Ti u’uchan.,It is no longer raining.,It won’t rain.,detailed,11.521590992286539,16.058633119873218,42.592592592592595
Chamorro,4,"Tengnga un butleha i taotåo, pues uttimon-ña asaguå-mu.","Oftentimes you mock the person, then you end up being their spouse (lit. in the end s/he is your spouse).","Don’t make fun of that person, because he might end up being your spouse.",detailed,7.164238125710332,31.60646073764691,28.903034979423875
Chamorro,5,Meggai hånum.,There’s a lot of water.,A lot of water.,detailed,54.75182535069452,55.75703583087306,64.67532467532467
Chamorro,6,Fatå’chung guennåo ya un ketu.,Sit there and keep still.,Sit there and be quiet.,detailed,32.46679154750989,50.528011828838906,80.66666666666667
Chamorro,7,put i lina’la’ yan sinientin i taotåo siha,about the lives and feelings of people,As for the lives and feelings of the people.,detailed,41.11336169005198,73.2171708198248,77.05479452054794
Chamorro,8,Chetdan tanduki i mås ya-hu na chotda.,Tanduki banana is my favorite banana.,Plantains are the bananas I like the most.,"{'type': 'summary_text', 'text': '**Interpreting Chamorro phrases**\n\nI\'m analyzing the phrase ""Chetdan tanduki i mås ya-hu na chotda."" It seems like it might translate to ""A few bananas are what I like most to eat."" I\'m exploring the meanings, especially with ""chotda"" possibly meaning ""to eat."" ""Tanduki"" could relate to ""ripe,"" but maybe it\'s ""green"" too. I wonder if ""chetdan"" means ""a few."" This looks like a fascinating mix of linguistic elements! It certainly keeps my brain engaged.'} {'type': 'summary_text', 'text': '**Deciphering plantain translations**\n\nI\'m considering that ""chotda"" could actually refer to plantain bananas, not just a verb. It seems like ""i mås ya-hu na chotda"" translates to ""the plantains I like most."" So, the full phrase ""Chetdan tanduki i mås ya-hu na chotda"" might mean ""A few plantains are the ones I like best."" I wonder if ""Chetdan"" could mean ""a bunch of"" or ""some,"" and I\'m thinking ""tanduki"" might reference ""bananas"" while ""chotda"" indicates ""plantain."" This is quite a puzzle!'} {'type': 'summary_text', 'text': '**Exploring Chamorro meanings**\n\nI\'m analyzing the phrase ""i mås ya-hu na chotda,"" which translates to ""the chotda that I like the most."" Then I wonder if ""Chetdan tanduki"" serves as a predicate. It might suggest ""A few plantains are what I like most,"" but that feels off. So, maybe ""chetdan"" means ""only"" or ""each""? I\'m also considering whether it could mean ""that is why."" I could interpret ""Chetdan tanduki i mås ya-hu na chotda"" as something like ""Planting bananas is what I enjoy most."" It\'s a fun puzzle to work through!'} {'type': 'summary_text', 'text': '**Deciphering the phrase meanings**\n\nI\'m examining the example ""Tai chotda si Jose tanduki."" I initially thought it could mean ""Jose doesn\'t know how to plant,"" but then I realized ""tanduki"" might refer to \'bananas\' instead. However, the translation suggests ""doesn\'t have any plantain bananas."" So, I reconsider: maybe ""chotda"" means ""plantain bananas,"" and ""tanduki"" is ""to have."" That makes sense with the structure, as ""tai chotda"" would mean ""doesn\'t have,"" making ""si Jose"" the subject and ""tanduki"" the object. It\'s fitting together nicely!'} {'type': 'summary_text', 'text': '**Examining translation nuances**\n\nI\'m exploring the phrase ""Chetdan tanduki i mås ya-hu na chotda."" I initially thought ""na chotda"" referred to ""to have,"" but I found it could also mean ""having."" Perhaps ""chetdan"" means ""some"" or ""a few plantains,"" making the sentence ""A few plantains are what I like most to have."" However, I think ""chotda"" should mean ""to have."" This fits the VSO structure, leading me to conclude that ""Tai chotda si Jose tanduki"" means ""Jose doesn\'t have any plantain bananas."" I still need to clarify the meaning of ""chetdan,"" but it may imply a specific type or selection.'} {'type': 'summary_text', 'text': '**Clarifying banana classifications**\n\nI\'m looking at the Chamorro word ""klåsin,"" which refers to class or type, and thinking “Chetdan” might mean ""a kind of."" So, I could translate ""Chetdan tanduki i mås ya-hu na chotda"" to mean ""This kind of banana, the plantain, is what I like the most.” I’m considering that the root “chet-” could relate to type or sort. The best natural way to express this seems to be: ""Plantains are the bananas I like best."" I think that feels right!'}",4.767707020457095,22.887238699201205,13.88888888888889
Chamorro,9,Manmahulat ham ni mañaina gi hunta.,We (excl.) were subdued by the parents at the meeting.,We were summoned by the elders at the meeting.,detailed,22.50191949727627,50.45764850712364,55.147058823529406
Chamorro,10,ginin i asaguå-ña,from his wife,from his wife,detailed,100.00000000000004,100.0,98.14814814814815
Chamorro,11,Manrinimåta siha i famalåo’an ni taotåo ginin i lanchun-ñiha.,The women had been chased away from their farm by the man.,The women were stared at by the people from their ranch.,detailed,11.217265776204941,40.246348166014016,49.20107577914886
Chamorro,12,Pues i palu siha mangginin iya Truk ...,Then there were some who were from Truk...,So the pieces of wood came from Truk …,detailed,7.635362674858093,28.86965098553928,28.39506172839506
Chamorro,13,Bula ginimen-mu letchi.,You drank a lot of milk (today).,You drank a lot of milk.,detailed,54.77927682341229,70.64185269577042,71.32337471070903
Chamorro,14,Hu na’hånåo paketi para i dos lahi-hu.,I sent a parcel to my two sons.,I sent a package for my two sons.,detailed,43.167001068522524,61.22904075401948,76.87074829931973
Chamorro,15,Na’banidosu håo ni lingguahi-mu.,Be proud (lit. make yourself proud) of your native language.,You are proud of your language.,detailed,7.225421712861796,32.442239474513116,38.429406850459486
Chamorro,16,Ma li’i’ i hagas pumoksai siha na tåotåo.,They saw the people who nurtured them in the past.,They saw the people from long ago.,detailed,25.124218547395092,40.51511203914432,34.76635514018692
Chamorro,17,Pumåra hu sienti i taotåo siha gi uriyå-hu.,I stopped feeling the people around me.,I felt the people passing by around me.,detailed,23.356898886410004,50.121341792278706,83.01839254220205
Chamorro,18,Ha poksai båtbas achai-ña si Tatå-hu ya nina’måtan åmku’.,My father grew a beard on his chin and it made him look older (lit. be old-faced).,"My father tweaked his grandfather’s beard, and the old man glared.",detailed,4.3941800929564945,26.76602971078841,23.5094037615046
Chamorro,19,"Guaha na åtgidun mampus å’paka’, guaha åhi’.","Some cottons are very white, some (are) not.",There are some that are very white; there are others.,detailed,14.991106946711685,36.89037091499516,42.592592592592595
Chamorro,20,i tiempok-ku på’gu guini,my time here today,My time is here now.,detailed,9.652434877402245,31.080673271498004,89.28571428571429
Chamorro,21,I lugat-måmi an ogga’an mampus å’asgun.,Our (excl.) place is always so foggy in the morning.,Our place is very hot in the morning.,detailed,21.165417903210944,43.00829075736872,49.81103552532124
Chamorro,22,Hu nigosiu yan i primu-hu i tano’-ña.,I agreed with my cousin on his property.,I negotiated with my cousin about his land.,detailed,21.10534063187263,44.28894264180292,56.79012345679012
Chamorro,23,Sen ma’å’ñåo si Juan ni dangkulun pakpak gi paingi.,Juan was terrified by (lit. extremely afraid of) the loud noise last night.,Juan was very frightened by the big bat last night.,detailed,11.059312504429313,30.310021178379838,38.700846192135394
Chamorro,24,Kada diha humånåo pumeska si Orasima’.,Every day Orasima’ went to fish.,"Every day, Orasima went fishing.",detailed,15.619699684601283,53.07133095654388,64.69760900140648
Chamorro,25,Ti todu mana’amti manparehu amut-ñiha.,Not all healers have the same medicine.,Not all of them were cured equally by their medicine.,"{'type': 'summary_text', 'text': '**Clarifying language terms**\n\nI\'m working through the grammar here. The plural marker \'man-\' suggests it\'s for a plural subject, like humans or a general plural. I think ""mana\'amti"" could mean ""were healed/cured."" Then, ""manparehu"" translates to ""equally,"" and ""amut-ñiha"" refers to ""their medicine."" So, the full thought could be: ""Not all were healed equally by their medicine"" or ""Not all were cured equally by their medicine."" I’ll finalize that!'}",10.600313379512592,39.225912107364785,45.18072289156627
Chamorro,26,Ha tutuhun humomhum gi sanhiyung.,It began to get dark outside.,He began humming outside.,"{'type': 'summary_text', 'text': '**Exploring Chamorro terms**\n\nI’m considering whether ""humomhom"" means ""to get dark"" in Chamorro, where ""dark"" could be ""kulo’"" or ""pupengi."" It might also be linked to the verb ""hum"" in English, suggesting ""humming."" If I use it in a sentence, it could work like: ""He started humming outside."" That makes sense! I might need a pronoun for clarity, so I’ll use ""Ha,"" which indicates he/she/it, leading to: ""He began humming outside.""'}",15.84873897212071,38.253382080637095,37.58169934640523
Chamorro,27,Hu diseseha na i finattun esti i kattåk-ku en fansinedda’ tudus manbråbu ....,I’m hoping that the arrival of my letter will find you all well...,I wish that the cause of this pain of mine would be found out by all the wicked ones....,"{'type': 'summary_text', 'text': '**Interpreting translation nuances**\n\nI\'m trying to figure out the meaning of ""kattåk."" It seems like it could mean ""sorrows,"" but I wonder if it might also relate to ""curse"" or ""wound."" The sentence I’m parsing suggests a desire for the source of suffering to be recognized by evildoers, like saying “I hope the cause of my illness is discovered.” I\'m tossing around ideas, but maybe ""kattåk"" connects to sickness too. Let\'s see if I can clarify this interpretation further!'} {'type': 'summary_text', 'text': '**Translating nuanced meanings**\n\nI’m thinking ""finattun"" might mean ""arrival,"" leading me to a translation like, ""I wish that the arrival of my catastrophe would be experienced by all wicked people."" I’m considering if ""kattåk"" could refer to a ""cyst,"" but that doesn’t seem right. Maybe it means ""pain"" or even ""headache."" Ultimately, I might settle on ""I wish the arrival of my downfall be witnessed by all the wicked."" It’s a tricky puzzle, but I\'m getting there!'} {'type': 'summary_text', 'text': '**Translating meanings clearly**\n\nI\'m trying to translate a phrase literally: ""I wish that the coming of my luck will be found by all the evil ones."" I’m pondering if ""kattåk"" could mean ""cough,"" but that doesn’t seem to fit. So, I’ll go with another interpretation: ""I wish that the cause of my pain would be found by all the wicked."" It feels like that makes more sense for the overall meaning, so I\'ll stick with this interpretation!'}",8.383924775392588,22.211938968975314,18.29268292682927
Chamorro,28,Bula tåotåo nigap.,There were lots of people yesterday.,There were many people yesterday.,detailed,32.159351091190125,70.69567318837017,70.14492753623188
Chamorro,29,Ai na minaggim esta esti na biskuchu.,"My, this biscuit is so stale already.","Oh, this cake is already hard.",detailed,12.256200970377108,30.067418354741815,41.79775280898876
Chamorro,30,Achamayamak i dos tumobit anai umasufa’.,Both vehicles got wrecked when they collided.,The two fell down at the same time when they ran.,"{'type': 'summary_text', 'text': '**Translating Chamorro terms**\n\nI’m pondering if ""sufa’"" means ""to take a bath"" or ""to fight."" Then I think about ""tobit,"" which might mean ""to shake."" A quick recall leads me to ""tumutobit,"" but that doesn’t seem right. I\'m considering other translations, like ""mayamak,"" which could suggest ""tired,"" but maybe it means ""old."" When translating, I think of a personalized interpretation: ""The two were startled when they got hit."" Finally, I narrow it down to possibly meaning ""They both slipped and fell when it rained.""'} {'type': 'summary_text', 'text': '**Deciphering translations**\n\nI’m considering if ""achamayamak"" means ""they both slipped."" Then there\'s the phrase ""Achamayamak i dos tumobit anai umasufa’,"" which could mean ""The two slipped and fell at the same time when it rained."" But wait, ""umasufa’"" might also mean ""to dive."" \n\nI’m exploring variations and decide it might translate better to ""The two fell down when they ran."" I wonder if ""Achamayamak"" could imply ""suddenly"" or ""immediately."" I\'m really working to find the best meanings for these words!'} {'type': 'summary_text', 'text': '**Finalizing translation**\n\nI\'m thinking ""Achamayamak"" could mean ""at the same time,"" making the sentence ""Both of them fell when they fought."" Then, ""i dos tumobit"" translates to ""the two fell over,"" and ""anai umasufa’"" might mean ""when they were wrestling."" But I wonder if ""umasufa’"" could mean ""to race"" or ""to run."" \n\nSo, my final translation is: ""The two fell down at the same time when they ran."" I think this works well!'}",7.495553473355842,24.75589059954385,30.423280423280424
Chamorro,31,Yan-ñiha kumassi i famalåo’an si Juan.,The women like teasing Juan.,They met Juan’s women.,detailed,10.40059768900531,28.067407357111517,24.590163934426233
Chamorro,32,Manmapegåyi krusifiu kada kuåttu.,Each room had a crucifix placed in it.,Crucifixes are hung in every room.,detailed,6.495032985064742,25.170309451053697,22.72727272727273
