Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Igbo,en_to_L,0,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,Onu ogugu ndi mmadu obodo Vatican di nari 800. O bu obodo kacha nta n’uwa n’uwa n’uwa na obodo n’ogbe ndi kacha pere mpe.,"N’ọnụ ọgụgụ Vatican City dị ihe dị ka mmadụ 800. Ọ bụ obodo nọọrọ onwe ya kacha nta n’ụwa, nakwa obodo nwere ọnụ ọgụgụ mmadụ kacha nta.",4.300662553696791,31.721054838306216,25.841750841750844
Igbo,en_to_L,1,All citizens of Vatican City are Roman Catholic.,Ndị obodo niile nke Obodo Vatican bụ Roman Katọlik.,Ndị niile bi na Obodo Vatican bụ ndị Katọlik Rom.,17.242221289766626,53.052215995221395,56.67811679127096
Igbo,en_to_L,2,"It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","Onwere otutu osisi ama ama, maka ebea nwere klimeti di icheiche, aja ya di iche iche, altitude ya dikwa iche n’iche.","O nwere ụdị dị iche iche nke obodo osisi dị ukwuu nke ukwuu, n’ihi ụdị microclimate dị iche iche, ala ndị na-adị iche iche, na ịdị elu dị iche iche.",5.332544583175986,34.96972611849705,36.638789326961366
Igbo,en_to_L,3,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,Osimiri Amazọn ahụ bụ nke abụọ kachasị ogologo na osimiri kachasị n’ibu n’ụwa. Ọ na-ebu ihe karịrị nha mmiri ugboro asatọ dị ka osimiri nke abụọ kachasị ibu.,Akwụkwọ Osimiri Amazọn bụ osimiri nke abụọ kacha ogologo ma nke kasị ukwuu n’ụwa. Ọ na-eburu mmiri karịrị ugboro asatọ karịa osimiri nke abụọ kasị ukwuu.,11.781831676841595,59.45604058263865,53.095238095238095
Igbo,en_to_L,4,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.","Ezinụlọ Ọdụm na-akpa agwa ka ezinụlọ oke nkịta ọhịa maọbụ nkịta ụlọ, anụ ndị nwere oyiyi dị ịtụ n'anya nye Ọdụm (mana odịghị otu a n'ebe nnukwu nwamba ndị ọzọ nọ) n'omume, ma bụrụ ihe oke iyi egwu nye ihe ọbụla ha na-achụ na nta.","Otu ọdụm (lion) na-ebi n’ìgwè na-eme ihe dịka ìgwè anụ ọhịa (wolves) ma ọ bụ nkịta, anụ ndị yiri ọdụm n’ụzọ ijuanya n’ihe gbasara omume (ma ọ bụghị ụdị nnukwu nwamba ndị ọzọ), ma ha na-egbu anụ ha na-achụ n’ụzọ dị nnọọ egwu.",8.852344830273902,37.723780023075015,34.289632677267505
Igbo,en_to_L,5,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,Ọ bụ otu isi nkwụsịtụ n'oge Henry Louis Gates Ihe-ebube pụrụ iche PBS nke Ụwa Afrịka.,"Otu n’ime ebe ndị kasị mkpa e kwụsịrị n’oge pụrụ iche PBS nke Henry Louis Gates, *Wonders of the African World*.",14.100024578768863,47.83235176111441,47.279880613213955
Igbo,en_to_L,6,Argentina is well known for having one of the best polo teams and players in the world.,Amaara mba Ajentịna dịka obodo nwere ndị egwuregwu na otu egwuregwu polo kachasị mma n'ụwa dum.,Argentina ama ama ama maka otu ndị otu egwuregwu polo na ndị egwuregwu kacha mma n’ụwa.,12.03921753741131,45.681792220591795,23.25581395348837
Igbo,en_to_L,7,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,Nkwụsịtụ ụra bụ usoro nke ịkpacharanya eteta ụra mgbe oge ị na-ehikarị ụra ma na-ada n’ụra mgbe obere oge gachara (nkeji 10–60).,"Ịkwụsị ihi ụra bụ usoro nke ịkpọte onwe gị n’ụzọ e bu n’obi n’oge ihi ụra gị nkịtị, wee hie ụra obere oge ka e mesịrị (10–60 nkeji).",11.078427167692373,35.22149630757356,47.68822286476868
Igbo,en_to_L,8,"For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","Maka ọmụmaatụ, “mmụta” na “mkpakọrịta” bụ ndị atụnyere dịka mkpalite dị mkpa maka ojiji Ịntanetị (James na ndị ọzọ., 1995).","N’aka ọmụmaatụ, a na-atụ aro na “ịmụ ihe” na “ịmekọrịta mmadụ” bụ ihe kpatara eji Internet eme ihe dị mkpa (James et al., 1995).",17.29155576039843,38.61999084734408,51.58748714112035
Igbo,en_to_L,9,"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","Mgbe otu izu gasịrị ebe ọ dara ada na ntuliaka ọkara oge, Bush gwara ndị na-ege ya ntị maka mmụba nke azụmahịa n'Eshia.","Mgbe izu otu ọnwụ n’oge ntuli aka etiti, Bush gwara ndị na-ege ya ntị gbasara mgbasawanye azụmahịa na Eshia.",26.683300185000554,50.34517940394326,51.18499012508231
Igbo,en_to_L,10,The village of Haldarsvík offer views of the nearby island Eysturoy and has an unusual octagonal church.,"Obodo Haldarsvik na-ekwe ka ahụta Eysturọị, agwaetiti dị ya nso, ma nwekwaa ụlọ ụka akụkụ asatọ pụrụ iche.","Obodo Haldarsvík na-enye echiche nke agwaetiti Eysturoy dị nso, ma nweekwa chọọchị octagonal pụrụ iche.",12.522517249155287,46.10811709751611,39.94366534819609
Igbo,en_to_L,11,It states that the most effective place for the main subject is at the intersection of lines dividing the image into thirds vertically and horizontally (see example).,O kwuru na ebe kachasị dị ire maka isi nke isiokwu bụ na mmekọta ụmụ ahịrị na-ekebi ụmụ onyinyo ahụ n’ụzọ atọ na nke eguzoro ọtọ nakwa nke a mara afọ n’ala (hụ ọmụmatụ).,O kwuru na ebe kacha mma maka isiokwu bụ n’ebe ahịrị ndị na-ekewa onyonyo ụzọ atọ n’elu ya n’ogologo na n’akụkụ abụọ na-ezukọ (lee ihe atụ).,9.326252693290918,40.72773392761523,37.76683087027915
Igbo,en_to_L,12,"Regular announcements in the Metro are made only in Catalan, but unplanned disruptions are announced by an automated system in a wide variety of languages including Spanish, English, French, Arabic and Japanese.","A na-ama ọkwa mgbedum na Metro naanị na asụsụ Catalan, mana mmesasị nke a na-emeghị atụmatụ ya bụ ndị a na-ekwuputa site na sistemụ akpaghị aka n'ọtụtụ asụsụ dịgasị iche iche gụnyere Spanish, English, French, Arabic na Japanese.","A na-eme ọkwa oge niile n’Ụgbọ-Ụgbọ Metro naanị n’asụsụ Catalan, ma a na-akpọsa nsogbu ndị a na-atụghị anya ya site n’usoro akpaaka n’asụsụ dị iche iche, gụnyere Spanish, English, French, Arabic, na Japanese.",24.643710237722622,54.031816592086,48.10752907569884
Igbo,en_to_L,13,One of the main Christian tenets is that wealth should be used to alleviate suffering and poverty and that the monetary funds of the church are there specifically for that reason.,Otu n'ime isi okwu okwukwe Ndị Kristian bu na ekwesiri iji akụ belata nhụjuanya na ịda ogbenye nakwa na ego ụka nọ kpọmkwem ebe ahụ n'ihi nke ahụ.,"Otu n’ime isi nkuzi Ndị Kraịst bụ na a ga-eji akụ̀ mee ka ihe mgbu na ịda ogbenye belata, nakwa na ego ndị ụka na-anakọta dị kpọmkwem maka nke ahụ.",11.36535202319117,42.68184210783241,47.61652542372881
