Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Igbo,L_to_en,0,Onu ogugu ndi mmadu obodo Vatican di nari 800. O bu obodo kacha nta n’uwa n’uwa n’uwa na obodo n’ogbe ndi kacha pere mpe.,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,"Vatican City has a population of about 800 people. It is the smallest country in the world, and also the smallest country in terms of area, with the lowest population density.",25.837130980300252,65.46672676281477,68.74003984063745
Igbo,L_to_en,1,Ndị obodo niile nke Obodo Vatican bụ Roman Katọlik.,All citizens of Vatican City are Roman Catholic.,All of the towns of Vatican City are Roman Catholic.,59.00468726392806,79.04978383592962,86.27717391304347
Igbo,L_to_en,2,"Onwere otutu osisi ama ama, maka ebea nwere klimeti di icheiche, aja ya di iche iche, altitude ya dikwa iche n’iche.","It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","The climate is different there, the sand is different, and its altitude varies from one place to another.",2.441675294593786,29.36647050422475,18.292682926829272
Igbo,L_to_en,3,Osimiri Amazọn ahụ bụ nke abụọ kachasị ogologo na osimiri kachasị n’ibu n’ụwa. Ọ na-ebu ihe karịrị nha mmiri ugboro asatọ dị ka osimiri nke abụọ kachasị ibu.,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,The Amazon River is the widest river on Earth; at times it can be six miles wide.,15.833813079165726,35.00099655036136,24.527744982290436
Igbo,L_to_en,4,"Ezinụlọ Ọdụm na-akpa agwa ka ezinụlọ oke nkịta ọhịa maọbụ nkịta ụlọ, anụ ndị nwere oyiyi dị ịtụ n'anya nye Ọdụm (mana odịghị otu a n'ebe nnukwu nwamba ndị ọzọ nọ) n'omume, ma bụrụ ihe oke iyi egwu nye ihe ọbụla ha na-achụ na nta.","Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.",The lion family behaves as if it were a family of wild dogs or domestic dogs—animals whose strange-looking prey are frightening to Odụm (but not in the same way as big other cats)—and it is a serious threat to anything they hunt.,4.895789765930367,29.55716659242571,34.80850896508336
Igbo,L_to_en,5,Ọ bụ otu isi nkwụsịtụ n'oge Henry Louis Gates Ihe-ebube pụrụ iche PBS nke Ụwa Afrịka.,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,It is a turning point during Henry Louis Gates’s special PBS program Africa’s World.,10.596134844143146,44.788687179859146,47.11055276381909
Igbo,L_to_en,6,Amaara mba Ajentịna dịka obodo nwere ndị egwuregwu na otu egwuregwu polo kachasị mma n'ụwa dum.,Argentina is well known for having one of the best polo teams and players in the world.,"Amaara mba Ajentịna, dị ka obodo nwere ndị egwuregwu na otu egwuregwu polo kacha mma n’ụwa dum.",2.4074859035470344,14.537105132804772,5.46448087431694
Igbo,L_to_en,7,Nkwụsịtụ ụra bụ usoro nke ịkpacharanya eteta ụra mgbe oge ị na-ehikarị ụra ma na-ada n’ụra mgbe obere oge gachara (nkeji 10–60).,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,Sleep interruption is a method of staying awake and then falling asleep again after a short time (10–60 minutes).,25.83777275563225,49.29701611610439,60.72874493927125
Igbo,L_to_en,8,"Maka ọmụmaatụ, “mmụta” na “mkpakọrịta” bụ ndị atụnyere dịka mkpalite dị mkpa maka ojiji Ịntanetị (James na ndị ọzọ., 1995).","For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","For example, “learning” and “association” are considered as important triggers for the use of the Internet (James et al., 1995).",49.06849357495484,66.3868711591764,86.21978480093726
Igbo,L_to_en,9,"Mgbe otu izu gasịrị ebe ọ dara ada na ntuliaka ọkara oge, Bush gwara ndị na-ege ya ntị maka mmụba nke azụmahịa n'Eshia.","After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","After a week had passed and the election was at the halfway point, Bush told his listeners about an increase in business in Asia.",13.92740912883484,43.860280172221984,59.73214285714287
Igbo,L_to_en,10,"Obodo Haldarsvik na-ekwe ka ahụta Eysturọị, agwaetiti dị ya nso, ma nwekwaa ụlọ ụka akụkụ asatọ pụrụ iche.",The village of Haldarsvík offer views of the nearby island Eysturoy and has an unusual octagonal church.,"Haldarsvik is a town in the Faroe Islands, and it has a special eight-sided church.",5.422832877388758,25.721483350289816,23.82060831781502
Igbo,L_to_en,11,O kwuru na ebe kachasị dị ire maka isi nke isiokwu bụ na mmekọta ụmụ ahịrị na-ekebi ụmụ onyinyo ahụ n’ụzọ atọ na nke eguzoro ọtọ nakwa nke a mara afọ n’ala (hụ ọmụmatụ).,It states that the most effective place for the main subject is at the intersection of lines dividing the image into thirds vertically and horizontally (see example).,He said that the best place to find the head of the subject is that the offspring of the line break the image in three ways: the one that is upright and the one that is known to have been on the ground (see examples).,3.6848479103150824,36.51415217355634,43.15182476102016
Igbo,L_to_en,12,"A na-ama ọkwa mgbedum na Metro naanị na asụsụ Catalan, mana mmesasị nke a na-emeghị atụmatụ ya bụ ndị a na-ekwuputa site na sistemụ akpaghị aka n'ọtụtụ asụsụ dịgasị iche iche gụnyere Spanish, English, French, Arabic na Japanese.","Regular announcements in the Metro are made only in Catalan, but unplanned disruptions are announced by an automated system in a wide variety of languages including Spanish, English, French, Arabic and Japanese.","Igbo is a language that exhibits certain typological features. The “only in Catalan” level of the Metro is only in the Catalan language, but the unplanned changes that are made are those that are automatically generated by a system in many different languages, including Spanish, English, French, Arabic, and Japanese.",19.66418420774407,55.48386369912508,52.87840417774794
