Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Igbo,en_to_L,0,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,Onu ogugu ndi mmadu obodo Vatican di nari 800. O bu obodo kacha nta n’uwa n’uwa n’uwa na obodo n’ogbe ndi kacha pere mpe.,"Obodo Vatican City nwere ọnụ ọgụgụ mmadụ ruru ihe dịka 800. Ọ bụ mba nọọrọ onwe ya kacha nta n’ụwa, nakwa mba nwere ọnụ ọgụgụ mmadụ kacha ala n’ụwa.",3.773564529272586,30.375945209810563,26.759932291148058
Igbo,en_to_L,1,All citizens of Vatican City are Roman Catholic.,Ndị obodo niile nke Obodo Vatican bụ Roman Katọlik.,Ndị niile bi n’Obodo Vatican City bụ ndị Katọlik Rom.,5.865587580131999,47.88152366036085,46.562314246086785
Igbo,en_to_L,2,"It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","Onwere otutu osisi ama ama, maka ebea nwere klimeti di icheiche, aja ya di iche iche, altitude ya dikwa iche n’iche.","Ọ nwere ọtụtụ ụdị dị iche iche nke obodo osisi, n’ihi ụdị obere ihu igwe dị iche iche, ala dị iche iche, na elu dị iche iche.",5.875581881262648,33.8227455442058,37.03703703703703
Igbo,en_to_L,3,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,Osimiri Amazọn ahụ bụ nke abụọ kachasị ogologo na osimiri kachasị n’ibu n’ụwa. Ọ na-ebu ihe karịrị nha mmiri ugboro asatọ dị ka osimiri nke abụọ kachasị ibu.,Amazọn Osimiri bụ osimiri nke kacha ogologo nke abụọ na nke kasị ibu n’ụwa. Ọ na-eburu mmiri karịrị ugboro asatọ na ọkara nke osimiri nke kacha ibu nke abụọ.,9.441218922485383,58.77621898579278,56.42638472991286
Igbo,en_to_L,4,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.","Ezinụlọ Ọdụm na-akpa agwa ka ezinụlọ oke nkịta ọhịa maọbụ nkịta ụlọ, anụ ndị nwere oyiyi dị ịtụ n'anya nye Ọdụm (mana odịghị otu a n'ebe nnukwu nwamba ndị ọzọ nọ) n'omume, ma bụrụ ihe oke iyi egwu nye ihe ọbụla ha na-achụ na nta.","Àdụm na-eme ihe dị ka ìgwè anụ ọhịa (packs) nke wolves ma ọ bụ nkịta, ya bụ ìgwè ha na-ebi n’otu ụzọ a na-akpọ “prides”; ha bụ anụmanụ ndị yiri ọdụm n’ụzọ ijuanya n’ihe gbasara omume (ma ọ bụghị otú ahụ ka ha dị ndị ọzọ nnukwu nwamba), ma ha na-adịkwa oke egwu ma na-egbu anụ ha na-achụ nta.",2.9731987813502916,39.34414520261131,34.52240067624683
Igbo,en_to_L,5,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,Ọ bụ otu isi nkwụsịtụ n'oge Henry Louis Gates Ihe-ebube pụrụ iche PBS nke Ụwa Afrịka.,"Otu n’ime ebe nkwụsị kacha mkpa n’oge gara aga bụ ebe a kwụsịrị n’oge pụrụ iche Henry Louis Gates na PBS, *Wonders of the African World*.",6.535593760488662,41.728758747726815,40.56437389770723
Igbo,en_to_L,6,Argentina is well known for having one of the best polo teams and players in the world.,Amaara mba Ajentịna dịka obodo nwere ndị egwuregwu na otu egwuregwu polo kachasị mma n'ụwa dum.,Argentina maara nke ọma maka inwe otu n’ime ndị otu polo kacha mma na ndị egwuregwu polo kacha mma n’ụwa.,5.908002399935303,39.83632805961284,26.943361614308643
Igbo,en_to_L,7,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,Nkwụsịtụ ụra bụ usoro nke ịkpacharanya eteta ụra mgbe oge ị na-ehikarị ụra ma na-ada n’ụra mgbe obere oge gachara (nkeji 10–60).,"Nkwụsị ụra bụ usoro nke ịkpọte onwe gị n’ụzọ e bu n’obi n’oge ụra gị nkịtị, wee hie ụra obere oge mgbe nke ahụ gasịrị (10–60 nkeji).",11.66869436067704,37.69651055499747,47.13914977755809
Igbo,en_to_L,8,"For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","Maka ọmụmaatụ, “mmụta” na “mkpakọrịta” bụ ndị atụnyere dịka mkpalite dị mkpa maka ojiji Ịntanetị (James na ndị ọzọ., 1995).","N’ime ihe atụ, a na-atụ aro na “ịmụ ihe” na “ịmekọrịta mmadụ” bụ mkpali dị mkpa maka iji Ịntanetị (James et al., 1995).",21.420126246974032,44.946712493073285,55.78572923205692
Igbo,en_to_L,9,"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","Mgbe otu izu gasịrị ebe ọ dara ada na ntuliaka ọkara oge, Bush gwara ndị na-ege ya ntị maka mmụba nke azụmahịa n'Eshia.","Mgbe izu otu gasịrị, mgbe e meriri Bush n’ntuli aka nke etiti oge, o gwara ndị na-ege ntị okwu gbasara mmụba nke azụmahịa na Eshia.",11.295714543953924,53.02483359253478,52.550551470588246
