Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Basque,en_to_L,0,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,"Vatikano Hiriak 800 biztanle ditu gutxi gorabehera. Munduko herrialde independente txikiena da, eta biztanle kopuru baxuena daukana.","Vatikano Hiriko biztanleria 800 ingurukoa da. Munduko herrialderik independente txikiena da, eta biztanleria txikiena duen herrialdea ere bada.",21.37772394158387,62.83325180414191,41.21890547263682
Basque,en_to_L,1,All citizens of Vatican City are Roman Catholic.,Vatikano Hiriko biztanle guztiak katoliko erromatarrak dira.,Vatikano Hiriko herritar guztiak katoliko erromatarrak dira.,59.460355750136046,81.02804067388392,86.4795918367347
Basque,en_to_L,2,"It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","Landare-komunitate anitza eta nabaria dauka, mikroklima sortari, lurzoru desberdinei eta altitude-maila ugariei esker.","Landare-komunitateen barietate nabarmen handia du, mikroklima sorta zabalagatik, lur desberdinengatik eta garaieraren maila aldakorren ondorioz.",5.401157445454033,51.06915187054746,22.962962962962962
Basque,en_to_L,3,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,Amazonas ibaia Lurreko bigarren ibai luzeena eta ibairik handiena da. Bigarren ibai handienak baino 8 bider ur gehiago darama.,Amazon ibaiak Lurreko bigarren ibairik luzeena eta handiena da. Bigarren ibairik handienak baino 8 aldiz ur gehiago darama.,32.5790949793626,78.49507376863244,74.53648325358851
Basque,en_to_L,4,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.",Lehoi-taldeek otsoen edo txakurren taldeen era berean funtzionatzen dute; lehoien oso antzekoak dira portaerari dagokionez (baina ez dira beste katu handi batzuk bezalakoak) eta harrapakinentzat oso arriskutsuak dira.,"Lehoien harrotiek, artaldeek bezala, otso edo txakur taldeek bezalatsu jokatzen dute; portaeran lehoien antzekoak diren animalia harrigarriro antzekoak (baina ez beste katu handi batzuk) eta, gainera, oso hilgarriak dira beren harrapakinentzat.",11.763453574445549,58.576955868951394,48.764488239513724
Basque,en_to_L,5,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,Henry Louis Gatesen PBS programaren Afrikar lurralde zoragarriak saio berezian geldialdi nagusienetakoa izan zen.,"Henry Louis Gates-en PBSko “Wonders of the African World” saioan zehar, geldialdi nagusietako bat izan zen.",10.521495173810226,46.09479089002891,36.29032258064516
Basque,en_to_L,6,Argentina is well known for having one of the best polo teams and players in the world.,Argentina oso ezaguna da poloko talde eta jokalaririk onenak izateagatik.,Argentina mundu osoko polo talde eta jokalari onenetako bat izateagatik da ezaguna.,8.450310992782924,63.40685226508078,42.82069970845481
Basque,en_to_L,7,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,"Loaren etenaldiaren prozesuan, loaldi arruntean berariaz esnatu eta handik gutxira loak hartzen zaitu berriro (10-60 minutu).","Lo egiteko ohiko aldian, nahita esnatzea eta handik gutxira (10–60 minuturen buruan) berriz lo hartzea da loaren etenaldiaren prozesua.",7.832899330004498,57.385219631445885,37.76683087027915
Basque,en_to_L,8,"For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","Esaterako, “ikastea” eta “sozializatzea” omen dira Internet erabiltzeko motibazio nagusiak (James et al., 1995).","Adibidez, “ikaskuntza” eta “sozializazioa” Internet erabiltzeko motibazio garrantzitsu gisa proposatzen dira (James et al., 1995).",47.31668114099112,65.50199241279054,76.47907647907648
Basque,en_to_L,9,"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","Legealdiaren erdiko hauteskundeetan astebetez galtzen joan ondoren, Bush-ek ikus-entzuleei azaldu zien Asian negozioak hedatzeko helburua zuela.","Astebetez galera ugari izan ondoren, Bush-ek entzuleei Asiako merkataritzaren hedapena azaldu zien.",10.454786294785585,39.93699985440011,36.0621521335807
Basque,en_to_L,10,The village of Haldarsvík offer views of the nearby island Eysturoy and has an unusual octagonal church.,"Haldarsvík herriak hurbileko Eysturoy uhartearen ikuspegiak eskaintzen ditu, eta ohiz kanpoko eliza oktogonal bat dauka.","Haldarsvík herriak inguruko Eysturoy uhartearen gaineko ikuspegiak eskaintzen ditu, eta eliza oktogonal bitxi bat du.",31.268072551626894,72.23110043609083,72.71145144448312
Basque,en_to_L,11,It states that the most effective place for the main subject is at the intersection of lines dividing the image into thirds vertically and horizontally (see example).,"Arauak esaten duenez, subjektu nagusia kokatzeko tokirik eraginkorrenak irudia bertikalean eta horizontalean herenetan zatitzen duten lerroak gurutzatzen diren puntuak dira (ikusi adibidea).","Esan egiten duenez, gai nagusia kokatzeko lekurik eraginkorrena irudia hiru zatitan banatzen duten lerroen elkargunean dago, bertikalki eta horizontalki (ikus adibidea).",8.848966716768093,54.587561761754124,34.17037507946599
Basque,en_to_L,12,"Regular announcements in the Metro are made only in Catalan, but unplanned disruptions are announced by an automated system in a wide variety of languages including Spanish, English, French, Arabic and Japanese.","Metroko ohiko iragarpenak katalanez egiten dira soilik, baina ezusteko etenaldiak sistema automatizatu batek esaten ditu hainbat hizkuntzatan, hala nola gaztelaniaz, ingelesez, frantsesez, arabieraz eta japonieraz.","Lerro erregularrak Metroan katalanez egiten dira soilik, baina aurrez aurreko etenaldiak sistema automatizatu batek iragartzen ditu hizkuntza askotan, gaztelania barne, baita ingelesez, frantsesez, arabieraz eta japonieraz ere.",40.28754317603132,71.23969990714755,66.06125356125355
Basque,en_to_L,13,One of the main Christian tenets is that wealth should be used to alleviate suffering and poverty and that the monetary funds of the church are there specifically for that reason.,Kristautasunaren printzipio nagusietako bat da aberastasuna sufrimendua eta pobrezia arintzeko erabili behar dela eta elizaren diru-funtsak zehazki helburu horretarako direla.,"Kristau doktrina nagusietako bat da aberastasuna sufrimendua eta pobrezia arintzeko erabili behar dela, eta elizaren funts diruzkoak horretarako daudela berariaz.",51.0032342952127,69.35355040339043,70.41600842548709
