Code,Script,Glottocode,Name,Notes
ace,Arab,achi1257,Acehnese (Jawi script),
ace,Latn,achi1257,Acehnese (Latin script),
ary,Arab,moro1292,Moroccan Arabic,
arz,Arab,egyp1253,Egyptian Arabic,
bam,Latn,bamb1269,Bambara,
ban,Latn,bali1278,Balinese,
ben,Beng,beng1280,Bengali,
bho,Deva,bhoj1244,Bhojpuri,
bjn,Arab,banj1239,Banjar (Jawi script),
bjn,Latn,banj1239,Banjar (Latin script),
bug,Latn,bugi1244,Buginese,
crh,Latn,crim1257,Crimean Tatar,
dik,Latn,sout2832,Southwestern Dinka,
dzo,Tibt,dzon1239,Dzongkha,
eng,Latn,stan1293,English,
fra,Latn,stan1290,French,
fur,Latn,east2271,Friulian,
fuv,Latn,nige1253,Nigerian Fulfulde,
gug,Latn,para1311,Paraguayan Guaraní,
hne,Deva,chha1249,Chhattisgarhi,
ita,Latn,ital1282,Italian,
kas,Arab,kash1277,Kashmiri (Arabic script),
kas,Deva,kash1277,Kashmiri (Devanagari script),
kir,Cyrl,kirg1245,Kyrgyz,
knc,Arab,cent2050,Central Kanuri (Arabic script),
knc,Latn,cent2050,Central Kanuri (Latin script),
lij,Latn,geno1240,Ligurian (Genoese),
lim,Latn,limb1263,Limburgish,
lmo,Latn,lomb1257,Lombard,[1]
ltg,Latn,east2282,Latgalian,
mag,Deva,maga1260,Magahi,
mni,Beng,mani1292,"Meitei (Manipuri, Bengali script)",
mri,Latn,maor1246,Maori,
nqo,Nkoo,nkoa1234,Nko,
nus,Latn,nuer1246,Nuer,
pbt,Arab,sout2649,Southern Pashto,
prs,Arab,dari1249,Dari,
scn,Latn,sici1248,Sicilian,
shn,Mymr,shan1277,Shan,
spa,Latn,amer1254,Spanish (Latin American),
srd,Latn,sard1257,Sardinian,[1]
szl,Latn,sile1253,Silesian,
taq,Latn,tama1365,Tamasheq (Latin script),
taq,Tfng,tama1365,Tamasheq (Tifinagh script),
vec,Latn,vene1259,Venetian,
zgh,Tfng,stan1324,Standard Moroccan Tamazight,
