Lang,Index,Source,Reference,LLM_Translation,ChrF
Igbo,0,O gà-àzụ̀rụ̀ ya,He is going to buy it for himself.,He will buy it.,15.27
Igbo,1,m/mū nà unù,I and you(pl.),I and you (plural),74.83
Igbo,2,mÙkpu` àla,landscraper,The cry of the land.,20.97
Igbo,3,Achòrò m ìtùpòsì akwa à,I want to put spots on this cloth.,I want to throw away this cloth.,50.52
Igbo,4,lìdebe nnī,stop eating,Keep it.,7.09
Igbo,5,Ō gàala ngwa ǹgwa,He has been there (and back) quickly.,He has gone quickly.,31.57
Igbo,6,a sìrì,An unidentified person has said…,It was cooked.,5.43
Igbo,7,M̄mū kwa nū,What of me!,I also drank.,3.55
Igbo,8,Ejèrè hà,They went,They went.,96.17
Igbo,9,îfùk ífûk,He counted.,"Quietly, quietly.",7.44
Igbo,10,NÙgi` nà nwunyè i wà/wè kà wa chò`,"They want you and your wives, in particular/especially",You and the woman you are with are the ones we are looking for.,18.12
Igbo,11,O mààrà ihe,He is well informed.,He knows something.,12.93
Igbo,12,O bù ihe nà e mè ème,This is something worth doing.,It is something that is usually done.,41.24
Igbo,13,O bìela ebè a.,He had (once) lived here.,He has come here.,25.3
Igbo,14,Àdâ mà mma,Ada is beautiful.,Ada is beautiful.,100.0
Igbo,15,isī n’EBE,to come from a PLACE,Head in place,3.33
Igbo,16,I kwèsì`rì` i`laÛ ùgbu à,You ought to go by now.,You have agreed to go now.,26.38
Igbo,17,Ò nwèrè onye sī ebe ahù bi a?,Did anybody come from there?,Is there anyone who lives there?,22.9
Igbo,18,Wèta nÙke dī` mmaÛ,Bring that which is good.,Bring the good strength/power.,33.89
Igbo,19,O` gà-àla echī,He will go tomorrow.,He will go tomorrow.,100.0
Igbo,20,Nwatà zàrà ulo à,A child swept this house.,The child swept the house.,68.41
Igbo,21,O kpòsàrà yà èkpòsa,He really threw it over.,He exposed him.,8.12
Igbo,22,Igwè bù ike,Unity is strength,Unity is strength.,98.4
Igbo,23,m/mū nà gī,I and you,I am with you.,20.92
Igbo,24,Kèdu ya /ha ?,How about him/them?,How is he/she/it? / How are they?,20.02
Igbo,25,Chike jèrè ahīa.,Chike went to the market!,Chike went to the market.,94.55
Igbo,26,Èbee kà o gàrà?,Where did he go to?,Where did he/she go?,67.94
Igbo,27,Wèrue anya gị àlà,Watch out carefully.,Look down.,2.06
Igbo,28,"Ngo`zi, ò ri`bèlà igwè, o zu`Ûru`","As for Ngo`zi, she has not bought any bicycle.","Ngozi, if it pleases you, it is enough.",18.39
Igbo,29,Ì màkwààrà ihe i nà-ème o nwe gī ?,Do you realize what you are doing to yourself?,Do you even know what you’re doing?,35.28
Igbo,30,"E zugbuole mmàdù, n’ohī, n’ebe à","People have tormented others, by stealing their things, here.","He has killed someone here, in secret, in this place.",19.39
Igbo,31,"O kwèsì`rì` nà o` làrà, ùgbu à","It is expected that he leaves, now.",He agreed that he had gone now.,30.16
Igbo,32,wèdàrù anya àlà,Watch out very carefully.,He fell face down to the ground.,12.53
Igbo,33,O` gà nrī nri ahù,He must eat that food.,He will eat that food.,63.64
Igbo,34,Kèdu ole je re ù nyàahù ?,How many were there who went Yesterday?,How much did you buy it for?,9.93
Igbo,35,… àba mÛ na àcho` aÛ …,… and then I was looking for it …,… I am not the one you are looking for …,40.63
Igbo,36,Kemgbe ūtūtù kà ō bīàrà,He came since morning.,It’s been a long time since he came.,40.41
Igbo,37,O rìrì nrī,He ate food.,He ate food.,100.0
Igbo,38,ike kwe,perhaps,Strength is possible.,8.87
Igbo,39,Ō zūga ahīa ùgbu à,He is right now buying and selling.,He has bought goods now.,14.94
Igbo,40,Àda nà Uzo jèrè ahīa.,Ada and Uzo went to market.,Ada and Uzo went there.,62.86
Igbo,41,Ì nà-àbì a kà ò bu ì naghī àbi a?,Are you coming or are you not coming?,"Are you coming here, or are you not coming here?",82.04
Igbo,42,O gà-ème ya.,He will do it.,He will do it.,100.0
Igbo,43,Ò jèrè ahīa?,Did he go market?,Did he go?,43.48
Igbo,44,īkwu n’ EBE,to stand at a PLACE,Standing in place,13.08
Igbo,45,Ò jighì motò bu ya,He did not use a car to carry it.,He didn’t use a car to carry him.,71.07
Igbo,46,ulo agu,the leopard’s den,Leopard’s house,45.87
Igbo,47,O jì uchè kpata ego ya,He amassed his wealth with sense (cleverly).,He used his intelligence to earn his money.,20.43
Igbo,48,ajo`Û ihe,bad thing,Bad thing.,76.74
Igbo,49,"O mèrè ya, òtùmàsìghì, nà ò jighī ahū",He did it in spite of the fact that he was not well.,"He did it carelessly, and he didn’t use that one.",24.45
Igbo,50,"O tòsìrì nà o` làrà, ùgbu à","It is expected that he leaves, now.","He insisted that he had gone, now.",37.59
Igbo,51,O gbùrù ewu,He killed a goat.,He killed a goat.,100.0
Igbo,52,Òtu Sùbakwanù Ìgbò,Society for Promoting Igbo Language and Culture (SPILC),An Igbo Subgroup,7.4
Igbo,53,Nwatā à àmaala mma.,This child has become beautiful.,The child has become beautiful.,86.73
Igbo,54,u`nò` ewuÛ,house of goat,Goat house.,36.85
Igbo,55,Azù niīle bù azù,All fish are fish.,Every fish is a fish.,32.8
Igbo,56,Àdâ nwè ego,Ada has money.,Ada has money.,100.0
Igbo,57,gī nà ya,you and they,Go with him/her.,9.57
