Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Igbo,L_to_en,0,Onu ogugu ndi mmadu obodo Vatican di nari 800. O bu obodo kacha nta n’uwa n’uwa n’uwa na obodo n’ogbe ndi kacha pere mpe.,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,The population of the Vatican City is about 800 people. It is the smallest country in the world and the smallest country in the world in terms of area.,29.436489775753667,56.71766786539315,59.148048183135906
Igbo,L_to_en,1,Ndị obodo niile nke Obodo Vatican bụ Roman Katọlik.,All citizens of Vatican City are Roman Catholic.,All the people of the Vatican City are Roman Catholic.,49.616830003403635,69.25449660786576,84.66372282608694
Igbo,L_to_en,2,"Onwere otutu osisi ama ama, maka ebea nwere klimeti di icheiche, aja ya di iche iche, altitude ya dikwa iche n’iche.","It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","There are many different types of trees, so this place has a variety of climates, different soils, and its altitude varies from place to place.",4.886496082151865,39.219196779352195,39.83377077865267
Igbo,L_to_en,3,Osimiri Amazọn ahụ bụ nke abụọ kachasị ogologo na osimiri kachasị n’ibu n’ụwa. Ọ na-ebu ihe karịrị nha mmiri ugboro asatọ dị ka osimiri nke abụọ kachasị ibu.,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,The Amazon River is the second-longest river and the largest river in the world. It carries more than eight times the volume of water as the second-largest river.,31.387950392819207,66.86472723280589,66.97913988046537
Igbo,L_to_en,4,"Ezinụlọ Ọdụm na-akpa agwa ka ezinụlọ oke nkịta ọhịa maọbụ nkịta ụlọ, anụ ndị nwere oyiyi dị ịtụ n'anya nye Ọdụm (mana odịghị otu a n'ebe nnukwu nwamba ndị ọzọ nọ) n'omume, ma bụrụ ihe oke iyi egwu nye ihe ọbụla ha na-achụ na nta.","Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.","The pride of lions behaves like a family of wild dogs or domestic dogs, animals whose strange appearance is frightening to lions (but not in the same way as other big cats), in their behavior, and it becomes an extreme threat to anything they hunt.",17.0613852958583,44.087027138478355,59.02048319327733
Igbo,L_to_en,5,Ọ bụ otu isi nkwụsịtụ n'oge Henry Louis Gates Ihe-ebube pụrụ iche PBS nke Ụwa Afrịka.,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,"It is a turning point during Henry Louis Gates’ special PBS program, Africa’s World.",10.67319486833034,44.575558128194515,47.11055276381909
Igbo,L_to_en,6,Amaara mba Ajentịna dịka obodo nwere ndị egwuregwu na otu egwuregwu polo kachasị mma n'ụwa dum.,Argentina is well known for having one of the best polo teams and players in the world.,Argentina is known as a country that has players and the best polo team in the whole world.,13.400825781778892,55.753998450633524,66.21661381542386
Igbo,L_to_en,7,Nkwụsịtụ ụra bụ usoro nke ịkpacharanya eteta ụra mgbe oge ị na-ehikarị ụra ma na-ada n’ụra mgbe obere oge gachara (nkeji 10–60).,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,Sleep latency is the process of staying awake after the time you usually fall asleep and then falling asleep again after a short period (10–60 minutes).,25.18966472837831,49.6239793870376,62.77947895401964
Igbo,L_to_en,8,"Maka ọmụmaatụ, “mmụta” na “mkpakọrịta” bụ ndị atụnyere dịka mkpalite dị mkpa maka ojiji Ịntanetị (James na ndị ọzọ., 1995).","For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","For example, “education” and “socialization” are considered as important motivators for the use of the Internet (James et al., 1995).",44.47630178181815,70.74029124334076,90.54182509505704
Igbo,L_to_en,9,"Mgbe otu izu gasịrị ebe ọ dara ada na ntuliaka ọkara oge, Bush gwara ndị na-ege ya ntị maka mmụba nke azụmahịa n'Eshia.","After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","After a week, where it fell short in the midterm election, Bush told his listeners about an increase in trade in Asia.",39.02273664485568,57.95377175678394,68.74474495515693
Igbo,L_to_en,10,"Obodo Haldarsvik na-ekwe ka ahụta Eysturọị, agwaetiti dị ya nso, ma nwekwaa ụlọ ụka akụkụ asatọ pụrụ iche.",The village of Haldarsvík offer views of the nearby island Eysturoy and has an unusual octagonal church.,"The town of Haldarsvik is said to have the ability to heal Eysturø, the island nearby, and it also has a special church with eight sections.",2.2286524569685553,36.983555959676615,23.560209424083773
Igbo,L_to_en,11,O kwuru na ebe kachasị dị ire maka isi nke isiokwu bụ na mmekọta ụmụ ahịrị na-ekebi ụmụ onyinyo ahụ n’ụzọ atọ na nke eguzoro ọtọ nakwa nke a mara afọ n’ala (hụ ọmụmatụ).,It states that the most effective place for the main subject is at the intersection of lines dividing the image into thirds vertically and horizontally (see example).,He said that the best place for the head of the topic is that the arrangement of the lines breaks the images into three ways—those that stand upright and those that are known to be on the ground (see examples).,6.062120981645538,36.16548053285423,55.12380191693291
Igbo,L_to_en,12,"A na-ama ọkwa mgbedum na Metro naanị na asụsụ Catalan, mana mmesasị nke a na-emeghị atụmatụ ya bụ ndị a na-ekwuputa site na sistemụ akpaghị aka n'ọtụtụ asụsụ dịgasị iche iche gụnyere Spanish, English, French, Arabic na Japanese.","Regular announcements in the Metro are made only in Catalan, but unplanned disruptions are announced by an automated system in a wide variety of languages including Spanish, English, French, Arabic and Japanese.","The only time the “Metro” timetable appears is in Catalan, but its unplanned announcements are generated automatically in many different languages including Spanish, English, French, Arabic, and Japanese.",33.5289369907078,59.2945495497431,47.39217524500386
Igbo,L_to_en,13,Otu n'ime isi okwu okwukwe Ndị Kristian bu na ekwesiri iji akụ belata nhụjuanya na ịda ogbenye nakwa na ego ụka nọ kpọmkwem ebe ahụ n'ihi nke ahụ.,One of the main Christian tenets is that wealth should be used to alleviate suffering and poverty and that the monetary funds of the church are there specifically for that reason.,"One of the key Christian beliefs is that people should use wealth to reduce suffering and poverty, and that church money is specifically meant for that purpose.",11.144551860722407,50.06450759398433,51.59624312395832
Igbo,L_to_en,14,NHK kwukwara na ulo oru nuklia power plant nke Kashiwazaki Kariwa di na mpaghara Niigata n’aru oru ofuma.,NHK also reported that the Kashiwazaki Kariwa nuclear power plant in Niigata prefecture was operating normally.,"NHK reports that the Kashiwazaki-Kariwa nuclear power plant is located in the Niigata region, where it operates.",10.975762213309226,57.471409567816146,51.652892561983464
Igbo,L_to_en,15,"Ọ dabara nke ọma na ndị na-anya ụgbọ ala nwere usoro omume na-adịgide; ya mere, ụzọ njem moto anaghị agbanwecha agbanwe ma bụrụkwa ihe enwere ike iji eserese aritmetik gosipụta.","Fortunately, drivers tend to behave within a reasonably consistent range; thus, traffic streams tend to have some reasonable consistency and can be roughly represented mathematically.","It is fortunate that drivers have consistent behavior patterns; therefore, the route of motor travel is not changeable and is something that can be used to illustrate with arithmetic diagrams.",3.358851369497101,35.31210016592613,23.35975712599089
