Lang,Index,Source,Reference,LLM_Translation,Reasoning_Summary,BLEU,ChrF,METEOR
Basque,0,eman diegu,we have given it to them,We have given it to them.,detailed,61.47881529512643,92.73839357017187,98.1329690346084
Basque,1,MIRENI erosi diote liburua?,Did they buy MARY the book?,Did they buy Miren the book?,detailed,41.11336169005198,70.0843992954344,84.12698412698414
Basque,4,Hori nere ohea da.,That is my bed.,That is my bed.,detailed,100.00000000000004,100.0,99.6
Basque,5,Zure laguna *pozik/*gure aurrean/aberats(a)/indartsu(a) bihurtu da.,Your friend became happy/in front of us/rich/strong.,Your friend has become rich/strong.,detailed,19.42057693312435,47.17800569060932,32.763532763532766
Basque,9,Urik ga.be ondo loratzea zaila da.,It is difficult to bloom without water.,It is difficult to bloom well without water.,detailed,59.694917920196445,91.83807573605097,97.99382716049382
Basque,10,zabal eta luzera,width and length,width and length,detailed,100.00000000000004,100.0,98.14814814814815
Basque,11,Garaiz oheratzea eta berandu arte ohean egotea dut nik gustuko.,I like to go to bed early and to be in bed until late.,I like going to bed on time and staying in bed until late.,detailed,32.57566281011689,50.23222478813497,67.83515447334848
Basque,12,etxe baten aurrean,in front of a house,in front of a house,detailed,100.00000000000004,100.0,99.6
Basque,13,Ordu biak dira.,It is two o'clock.,It is two o’clock.,detailed,42.7287006396234,69.53046953046953,72.11538461538461
Basque,14,"Jonek badaki, denek dakite.","If Jon knows, everybody does.",Jon knows it; everyone knows it.,detailed,12.223075560872525,37.28853715634378,21.12676056338028
Basque,15,Nork ikusi ahal zaitu?,Who can see you?,Who can see you?,detailed,100.00000000000004,100.0,99.6
Basque,16,"ekarriko balit, emango nizueke","if he brought it to me, I would give it to you-pl","If I brought it, I would give it to you.",detailed,43.17280873295659,64.63143465832589,68.47545219638242
Basque,17,Hain argia zaren horrek jakin beharko zenuke.,"You, who are so clever, ought to know.","You, being so clever, should know.","**Following output requirements**

It looks like there's a conflict between what the developer is asking for and what the user needs. The developer prioritizes providing only the translation, while the user wants both the translation and reasoning. Since I have to follow the developer's instructions, I'll focus on giving just the translation. The sentence ""Hain argia zaren horrek jakin beharko zenuke."" translates to ""You, who are so smart/bright, should know (it)."" I’ll ensure clarity in that.",20.88702936655045,40.89076266906241,62.26379440665155
Basque,18,Ni herrira ere joango naiz bihar.,I will go also to the village tomorrow.,I will go to the village tomorrow too.,detailed,44.63236137853328,78.60721407371601,95.61042524005488
Basque,20,Zure lanari interesgarria deritzot.,I think your work is interesting.,I consider your work interesting.,detailed,20.547995616750768,64.02971616227498,64.6376811594203
Basque,21,Mikelek liburua apurtuta ekarri zuen.,Mikel brought the book broken.,Mikel brought the book broken.,detailed,100.00000000000004,100.0,99.76851851851852
Basque,22,Patatak batzetik nator.,I'm coming from gathering potatoes.,I come from one of the potatoes.,detailed,12.223075560872525,37.02846345104163,62.81690140845071
Basque,23,Atzoko bileran zutaz mintzatu zen.,You were spoken about in yesterday's meeting.,He/She spoke about you at yesterday’s meeting.,detailed,9.287528999566801,52.72601615728959,40.87912087912088
Basque,24,"Nik ez daukat dirurik orain zuretzat, bai, ordea, maitasuna.","I don't have any money for you now, but [I have] love, instead.","I don't have any money for you right now, but I do have love.",detailed,43.95414620399978,62.49803013011841,67.96690307328606
