Lang,Index,Source,Reference,LLM_Translation,ChrF
Georgian,0,"na+m+q'+o u+srul-i, k'avšir+eb+it-i p'irvel-i sul ar (Ø-)e-c'armo-eb-a-t",The Imperfect Indicative (and) Prešent Subjunctive are simply not formed for them,"The perfect is not formed at all from the first, connective imperfect.",31.4
Georgian,1,deda-s ra da-u-rč-a,what did mother have left?,What did mother have left?,94.83
Georgian,2,k'ac-ma še-(Ø-Ø-)a-q'var-eb-in-a tav-i kal-s da še-(Ø-)i-rt-o,the man got the woman to love him and married her.,The man made the woman fall in love with him and then hanged himself.,39.56
Georgian,3,švid+i-ode gogo-s/švid+i-ode-s v-(0-)xed-av,I see about 7 girls/about 7,I see about seven girls.,45.88
Georgian,4,dinamo+el-eb-ma st'umr-eb-s mo-(?Ø-Ø-)u-g-es or-it=nul-i,Dynamo beat the guests 2-Ø.,Dynamo beat the visitors 2–0.,54.21
Georgian,5,sa+xalx+o me+urn+e+ob-is sc'rap zrd+a-s tan (?0-}s-d-ev-s m+šr+om+el-ta mat'erial+ur-i m+dg+om+are+ob-is ga+u+m+job+es+eb+a,the rapid growth in people's farming is accompanied by an improvement in the material circumstance of the workers,The rapid growth of the national economy is accompanied by an improvement in the workers’ material conditions.,63.53
Georgian,6,xipat-s (gada-)(Ø-Ø-)rč-eb-i,you (will) survive the danger,I survived the danger unharmed.,47.84
Georgian,7,šen me pul-i mo-(0-0-)m-e-c-i,‘you gave (the) money to me’,You gave me the money.,36.46
Georgian,8,erek'le cxen-ze šven-od-a,Erek'le looked resplendent on the horse,Erek'le was sitting on a horse.,26.45
Georgian,9,šv+il-ma mama-s da+u+zar+eb+1-ad mo-u-rb-en-in-a muguzal-i,the child rushed the firebrand hither to (his) father without hesitation,The child made the traveller run up to his father as a messenger.,24.01
Georgian,10,v-(?Ø-)i-sa+rg+eb+l-eb a+m še+mtxv+ev-it,I shall take advantage of this occasion,I will take advantage of this opportunity.,64.57
Georgian,11,pot-sa da odesa-s šoris gem-eb-i da-di-an,boats (regularly) journey between Poti and Odessa,Ships sail between Poti and Odessa.,47.3
Georgian,12,si-garib-e-s mi-g-a-<5v-ev,I shall make you accustomed to poverty,He gave it to the poor.,9.76
Georgian,13,m+sur+v+el-eb-ši moxuc-n-i-c k'i mravl+ad ga-mo-čn-d-a,among those shewing willing there appeared even old folk,"In the wishes, old men too turned out to be numerous.",16.51
Georgian,14,gana ra ča-v-(Ø-)i-d-in-e i+s+e+t-i?,What on earth did I do of such a kind?!,Did I really let something like that happen?,16.14
Georgian,15,cot'a gvino (Ø-)gv-a-m+q'+op-in-a junc'-ma,the selfish one judged a little wine to be enough for us,The boy made us drink a little wine.,27.08
Georgian,16,kal-s lamaz-i surat-i (Ø-)u-k'id-i-a k'edel-ze,‘the woman has a pretty picture hanging on the wall’,The woman has hung a beautiful picture on the wall.,48.96
Georgian,17,kal-s gul-i c'a-u-vid-a,the woman fainted,The woman fainted.,90.38
Georgian,18,s-t'ir-i-an k'onpederaci-is da+šl+a-s,they mourn/weep over the break-up of the confederation,They are crying over the breakup of the Confederation.,56.64
Georgian,19,k'rit'ik'-is u+k+on+1+oba čven-i lit'erat'ur-is u+šina+a+r+s+oba-s ar u+nd+a da-(Ø-)bral-d-e-s,the lack of criticism must not be blamed on the lack of content in our literature,The critic’s ignorance should not blame our literature’s timidity.,35.05
Georgian,20,ert+xel ber-eb-ma rust(a)vel-is c'ign-is c'a+rtm+ev+a mo-(0-)m-i'-nd+om-es,the monks once conceived a desire to snatch away from me Rust(a)veli's book,Once the monks wanted to read Rustaveli’s book.,27.13
Georgian,21,delegat'-eb-i si+am+ovn+eb-it (Ø-)p'asux-ob-en q'ovel+gvar t'q'u+il-sa da mo+čven+eb+it še+k'itx+v-eb-s,the delegates provide answers with pleasure to every kind of lie and specious question,The delegates answer with pleasure every kind of lie and with a demonstration ask questions.,61.18
Georgian,22,sa-c'er-i mankana,typewriter (lit. machine for writing),a writing machine,32.8
Georgian,23,"mo-xar-ul-i v-a+r, rom še-mo-(Ø-?Ø-)i-a+r-e čem-tan",I am delighted that you have popped in at my place.,I am glad that you came in to me.,25.17
Georgian,24,čem-ma megobar-ma ert+man+et-s rom ga-gv-(Ø-)a-cn-o,when my friend introduced us to each other..,My friend introduced us to each other.,85.04
Georgian,25,kmar-ma pul-i mo-(Ø-)m-c-a,‘(my) husband gave me (the) money’,The husband gave me the money.,53.55
Georgian,26,dia+saxl+is-ma katam-i da-k'l-a da gv-a-č'am-a,the housewife killed the chicken (sc. by slitting its throat) and fed it to us,The housekeeper killed the chicken and fed it to us (had us eat it).,50.16
Georgian,27,kmar-i pul-s (Ø-)m-a-jl-ev-s,‘(my) husband gives me (the) money’,The husband gives (someone) the money.,48.77
Georgian,28,"še k'arg-o k'ac-o, šena","you good man, you","You good man, you.",89.52
Georgian,29,šen-i p'ur-i adam+ian-s ar (Ø-)e-č'm-eb-a,a human being cannot eat your bread,Your bread is not edible for a person.,28.83
Georgian,30,"(Ø-Ø-)i-c-i m+cn+eba-n-i: ar (Ø-)i-mušr-o, k'ac-i ar mo-(Ø-Ø-)k'l-a, ar mo-(Ø-Ø-)i-p'ar-o, ar (Ø-)i-q'-o cru-mo+c'm+e, nu mo-(Ø-Ø-)a-t'q'u-eb, p'at'iv-i (Ø-Ø-Ø-)e-c-i šen-s mama-s da deda-s.","You know the commandments: do not commit adultery, do not kIII, do not steal, do not bear false witness, do not lie, honour your father and mother.»","You know the commandments: Do not commit adultery, do not kill, do not steal, do not bear false witness, do not defraud, honor your father and mother.",84.42
Georgian,31,m+š+ob+el-s (Ø-)u-q'var-s šv+il-i / šv+il-eb-i,The parent loves the child/children,The parent loves the child / the children.,88.36
