Lang,Index,Source,Reference,LLM_Translation,Status,BLEU,ChrF,METEOR
Georgian,0,"„ჩვენ ახლა გვყავს 4 თვის ასაკის თაგვები, რომლებსაც დიაბეტი ჰქონდათ და ახლა აღარ აქვთ,“ — დასძინა მან.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","“We now have four-month-old mice that had diabetes and now no longer have it,” he added.",completed,10.307801212379365,48.71226444488898,38.952879581151834
Georgian,1,"ჰალიფაქსის, ახალი შოტლანდიის დალჰუსის უნივერსიტეტის სამედიცინო განყოფილების პროფესორისა და კანადის დიაბეტის ასოციაციის კლინიკური და სამეცნიერო განყოფილების თავმჯდომარის, დოქტორი ეჰუდ ურის განცხადებით კვლევა ჯერ ისევ საწყის ეტაპზე იმყოფებოდა.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","According to Dr. Ehud Ur, a professor in the medical department at Dalhousie University in Halifax, Nova Scotia, and chairman of the Clinical and Scientific Section of the Canadian Diabetes Association, the study was still at an early stage.",completed,34.10591523188625,65.35692528023755,70.18846694796062
Georgian,2,"რამდენიმე სხვა ექსპერტის მსგავსად, დიაბეტის განკურნებას იგი სკეპტიკურად უყურებს, იმ ადამიანებთან არაფერი აქვს საერთო ამ დასკვნებს, ვისაც 1-ელი ტიპის დიაბეტი უკვე აქვთ.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Like several other experts, he views a cure for diabetes skeptically; these conclusions have nothing to do with people who already have type 1 diabetes.",completed,20.2960793780013,54.8725134757864,55.88439640159888
Georgian,3,"სარა დენიუსმა, ლიტერატურის მიმართულებით შვედეთის აკადემიის ნობელის კომიტეტის მუდმივმა მდივანმა, ორშაბათს შვედეთის Sveriges Radio-ს რადიო გადაცემის ფარგლებში საჯაროდ განაცხადა, რომ 2016 წელს ლიტერატურაში ნობელის პრემიის მოგებასთან დაკავშირებით კომიტეტი ბობ დილანს პირდაპირ ვერ უკავშირდებოდა, რის შემდეგაც მათ შეწყვიტეს მცდელობები.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Sara Danius, the permanent secretary of the Swedish Academy’s Nobel Committee for Literature, said publicly on Monday during a Sveriges Radio broadcast in Sweden that in connection with Bob Dylan’s winning the 2016 Nobel Prize in Literature, the committee was unable to contact him directly, after which they stopped trying.",completed,29.277724773373837,65.55625285741574,70.09013108641722
Georgian,4,"„ჩვენ არაფერს ვაკეთებთ ამ ეტაპზე. მე გავუგზავნე ელექტრონული წერილები და დავურეკე მის უახლოეს თანამშრომლებს და მივიღე ძალიან მეგობრული პასუხები. ამ ეტაპისთვის, ეს ნამდვილად საკმარისია,“ — განაცხადა დენიუსმა.","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","“We’re not doing anything at this stage. I sent emails and called his closest associates, and I received very friendly replies. For now, that’s really enough,” Denius said.",completed,26.162235473744737,55.54882504008327,56.16605616605616
Georgian,5,"Ring-ის აღმასრულებელმა დირექტორმა, ჯეიმი სიმონოვმა მანამდე აღნიშნა, რომ მან კომპანია ჩამოაყალიბა მაშინ, როდესაც ვერ გაიგე ავტოფარეხში გაკეთებული მაღაზიიდან მომავალი ზარის ხმა.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Ring’s CEO, Jamie Siminoff, previously noted that he founded the company when he couldn’t hear the sound of a call coming from the shop he had set up in his garage.",completed,19.710660977672475,49.5484287049795,56.139324241807444
Georgian,6,მისი თქმით მან WiFi-სთან დაკავშირებული კარის ზარი შექმნა.,"He built a WiFi door bell, he said.",He said that he created a Wi‑Fi-connected doorbell.,completed,6.379653897348568,35.937086770318885,25.252525252525253
Georgian,7,"სიმინოფმა განაცხადა, რომ გაყიდვები გაიზარდა 2013 წელს, გადაცემა Shark Tank-ის ეპიზოდის შემდეგ, როდესაც გადაცემის ჟიურიმ სტარტაპის დაფინანსებაზე უარი განაცხადა.",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Siminoff stated that sales increased in 2013, after an episode of the show *Shark Tank*, when the show’s panel refused to fund the startup.",completed,8.37174945407848,45.99172739239774,55.79815623483746
Georgian,8,სიმინოფი სატელევიზიო მაღაზია QVC-ის არხზე 2017 წლის ბოლოს გამოჩნდა.,"In late 2017, Siminoff appeared on shopping television channel QVC.",The Siminofi TV store appeared on the QVC channel at the end of 2017.,completed,6.917184228205474,39.3276179085312,38.991206238593
Georgian,9,კომპანია Ring-მა ასევე მოაგვარა სარჩელი უსაფრთხოების კონკურენტ კომპანიასთან ADT.,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",The company Ring also settled a lawsuit with the rival security company ADT.,completed,42.61082723917019,62.55922310600284,74.88193624557262
