Lang,Index,Source,Reference,LLM_Translation,ChrF
Chamorro,0,Ennåo na mumentu na ha tutuhun tumailayi i rilihon-mu.,It’s at that moment that your religion begins to be unkind.,That was the moment your religion began to change.,44.52
Chamorro,1,i Chamorro na nasion,the Chamorro nation,the Chamorro nation,100.0
Chamorro,2,Fåttu mågi agupa’ ya bai hu nå’i håo ni malago’-mu.,Come back tomorrow and I will give what you want.,Come tomorrow and I will give you what you want.,76.42
Chamorro,3,Ti u’uchan.,It is no longer raining.,I didn’t see it.,7.17
Chamorro,4,"Tengnga un butleha i taotåo, pues uttimon-ña asaguå-mu.","Oftentimes you mock the person, then you end up being their spouse (lit. in the end s/he is your spouse).","You should have asked the person, because your spouse already found out.",27.28
Chamorro,5,Meggai hånum.,There’s a lot of water.,A lot of water.,55.76
Chamorro,6,Fatå’chung guennåo ya un ketu.,Sit there and keep still.,Sit down there and be quiet.,37.24
Chamorro,7,put i lina’la’ yan sinientin i taotåo siha,about the lives and feelings of people,about the lives and feelings of the people,89.34
Chamorro,8,Chetdan tanduki i mås ya-hu na chotda.,Tanduki banana is my favorite banana.,I like the deer antlers the most.,7.01
Chamorro,9,Manmahulat ham ni mañaina gi hunta.,We (excl.) were subdued by the parents at the meeting.,We were invited by the elders to the meeting.,40.04
Chamorro,10,ginin i asaguå-ña,from his wife,from his/her spouse,46.07
Chamorro,11,Manrinimåta siha i famalåo’an ni taotåo ginin i lanchun-ñiha.,The women had been chased away from their farm by the man.,The women were watching the people from their ranches.,35.81
Chamorro,12,Pues i palu siha mangginin iya Truk ...,Then there were some who were from Truk...,So the sticks/wood came from Truk (Chuuk) ...,28.92
Chamorro,13,Bula ginimen-mu letchi.,You drank a lot of milk (today).,You drank a lot of milk.,70.64
Chamorro,14,Hu na’hånåo paketi para i dos lahi-hu.,I sent a parcel to my two sons.,I sent a package for my two sons.,61.23
Chamorro,15,Na’banidosu håo ni lingguahi-mu.,Be proud (lit. make yourself proud) of your native language.,I am blessed by your language.,21.89
Chamorro,16,Ma li’i’ i hagas pumoksai siha na tåotåo.,They saw the people who nurtured them in the past.,They saw the old people who had come out.,41.41
Chamorro,17,Pumåra hu sienti i taotåo siha gi uriyå-hu.,I stopped feeling the people around me.,I felt the people pass by in my surroundings.,37.21
Chamorro,18,Ha poksai båtbas achai-ña si Tatå-hu ya nina’måtan åmku’.,My father grew a beard on his chin and it made him look older (lit. be old-faced).,"He broke the old boat oar of my father, and the old man was watching.",23.86
Chamorro,19,"Guaha na åtgidun mampus å’paka’, guaha åhi’.","Some cottons are very white, some (are) not.","There is a very strong smell, there is smoke.",16.41
Chamorro,20,i tiempok-ku på’gu guini,my time here today,My time right now here.,30.85
Chamorro,21,I lugat-måmi an ogga’an mampus å’asgun.,Our (excl.) place is always so foggy in the morning.,Our place in the morning is very hot.,38.97
Chamorro,22,Hu nigosiu yan i primu-hu i tano’-ña.,I agreed with my cousin on his property.,I did business with my cousin on his land.,49.58
Chamorro,23,Sen ma’å’ñåo si Juan ni dangkulun pakpak gi paingi.,Juan was terrified by (lit. extremely afraid of) the loud noise last night.,Juan was very scared of the big bat last night.,28.98
Chamorro,24,Kada diha humånåo pumeska si Orasima’.,Every day Orasima’ went to fish.,Every day Orasima went fishing.,64.24
Chamorro,25,Ti todu mana’amti manparehu amut-ñiha.,Not all healers have the same medicine.,Not everyone was treated equally by their doctors.,19.78
Chamorro,26,Ha tutuhun humomhum gi sanhiyung.,It began to get dark outside.,He started to get sick outside.,44.25
Chamorro,27,Hu diseseha na i finattun esti i kattåk-ku en fansinedda’ tudus manbråbu ....,I’m hoping that the arrival of my letter will find you all well...,I wish that the end of this is my being surrounded by all the wicked....,22.9
Chamorro,28,Bula tåotåo nigap.,There were lots of people yesterday.,There were many people yesterday.,70.7
Chamorro,29,Ai na minaggim esta esti na biskuchu.,"My, this biscuit is so stale already.","Oh, this cookie is already sweet.",31.08
Chamorro,30,Achamayamak i dos tumobit anai umasufa’.,Both vehicles got wrecked when they collided.,I’ll take care of the two who fell when they slipped.,28.5
Chamorro,31,Yan-ñiha kumassi i famalåo’an si Juan.,The women like teasing Juan.,"And they thanked the women, Juan.",35.12
Chamorro,32,Manmapegåyi krusifiu kada kuåttu.,Each room had a crucifix placed in it.,Crucifixes are hung in every room.,25.17
Chamorro,33,Båba i para un fåla’ i guihan.,For you to eat the fish raw is not good.,Lower it so you can spear the fish.,26.87
Chamorro,34,i atadok-ña i taotåo,a person’s eyes,The person's spine,34.75
Chamorro,35,Na’tutungu’ ham håfa hinassosom-mu put esti na che’chu’-måmi.,Keep on letting us (excl.) know what you think about this work of ours (excl.).,Let us know what you think about this work of ours.,58.24
Chamorro,36,Ha nå’i si Lucy nu i amut åntis di måtai.,She gave Lucy the medicinal knowledge before she died.,Lucy gave him/her the medicine before he/she died.,49.37
Chamorro,37,Si Juan ha sakkengguan i famagu’un ni i bisikletan-ñiha.,Juan stole the children’s bicycle.,Juan helped the children with their bicycles.,51.88
Chamorro,38,Hu adibibina kåo para bai hu fåhan pat mungnga.,I am deciding whether I should buy it or not.,I was thinking about whether I should buy it or not.,68.84
Chamorro,39,Tåya’ umagradesi ma’umiya gi me’nan tåotåo.,There’s no one who appreciates being humiliated in front of people.,No one was thanked in front of the people.,33.94
Chamorro,40,Måttu i hagan Herodihas mismu gi giput.,‘The daughter of Herodias herself came in to the party.’,Herodias’s own daughter came to the feast.,38.63
Chamorro,41,Ha istotba ham na binisita i hagan-måmi as Manuel.,That Manuel visited our (excl.) daughter disturbs us (excl.).,He told us that Manuel visited our daughter.,49.68
Chamorro,42,"Dångkulu i tuninus na gå’ga’, låo dangkulonña i bayena.","Dolphins are big sea animals, but whales are bigger.","The dolphin is a big animal, but the whale is bigger.",41.78
Chamorro,43,Gi lamasa esti na låpis.,This pencil is on the table.,On the table is this pencil.,65.39
Chamorro,44,Ha håyu yu’ si Juan.,Juan hit me with a stick.,Juan found me.,13.29
Chamorro,45,Hu poksai sais na famagu’un ya hu na’fandångkulu.,I nurtured six children and made them grow up.,I raised six children and brought them up to be grown.,50.49
Chamorro,46,Hu tånum i floris kunanaf gi gima’.,I planted the crawling vine plants at the house.,I planted the flowers yesterday at home.,31.45
Chamorro,47,Hu gågåo si Peling salåppi’ para i gima’.,I asked Peling for money for the house.,I asked Peling for money for the house.,100.0
Chamorro,48,Håyi chinatgem-mu / chinatgi-mu?,Who did you laugh at?,Who did you kiss / who kissed you?,41.38
Chamorro,49,Todu tåotåo malagu’ mumå’gas.,Everybody wants to be boss.,Everyone wants to be strong.,45.27
Chamorro,50,Yanggin masahalum håo nai mås lalålu’ i gupu’ na chetnut.,When you sweat is when the skin fungus gets more aggressive.,"If you go deeper, the big pain will get worse.",14.18
Chamorro,51,Sumuha gi fi’on-ña.,[The lights] moved away from him.,He wrote in his notebook.,8.82
Chamorro,52,Manma’å’ñåo i ma’estra manmasohyu’ i istudiåntis.,(The teachers are afraid to influence the students.),The teacher was scared and the students were quiet.,45.64
Chamorro,53,Manhinalang i Chapanis ya manpåra manggera.,The Japanese surrendered and they stopped fighting.,The Japanese were hungry and they stopped to eat.,53.41
Chamorro,54,Manmanåga’ bula na månha.,They chopped many young coconuts.,They have many wishes and hopes.,19.8
Chamorro,55,"Yanggin måttu håo manbisita, siempri guaha [inefresi håo].","If you come to visit, he will surely offer you something (lit. there is surely something that you’ll be offered by him).","When you come to visit, there is always something offered to you.",35.58
Chamorro,56,Gef fåhna i manyommuk na pineksai-ña na babui.,The fat pigs that he raised were very much in demand.,The pig’s snout is very red from being punched a lot.,19.6
Chamorro,57,Manmaguåssan todu i masiksik låhi gi hiyung gimå’-ña si Antonetta.,The triumfetta semitriloba grasses were all mowed outside Antonetta’s house.,All the strong young men were washing outside Antonetta’s house.,43.15
Chamorro,58,Ti manlipåra si Miguel ni karetan ni unu.,Miguel didn’t notice anyone’s car.,Miguel didn’t stop for the car that belonged to someone.,40.14
Chamorro,59,Måolekña na un chotchu gollai yanggin malångu håo.,It is better that you eat vegetables if you’re sick.,It’s good for you to eat vegetables when you’re sick.,52.25
Chamorro,60,Yanggin håfa på’gu masångan gi halum i familiåk-ku …,If anything now was said within my family…,If what is being said right now within my family …,52.77
Chamorro,61,Un kebrånta håo muna’lagu låo ni håfa tiningo’-mu.,"You came forward about cooking, but you know nothing (about it).",You broke me and made me run away because of what you know.,21.38
Chamorro,62,"Ai, linalalo’-ña i patgun anai machule’guan ni na’-ña kandi.","My, how angry the child was when somebody took his candy!","Oh, the child was already spoiled when he was always given candy.",33.45
Chamorro,63,Yanggin ilelek-mu na disgråsia i ti para un li’i’ bunitå-ña i palåo’an ni un guaiya ...,If you say that it’s a shame that you will not see the beauty of the woman you love...,If you think it’s a disgrace that you won’t get to see the beauty of the woman you love ...,64.04
Chamorro,64,Tåya’ sa’ på’gu ha’ yu’ ni måttu.,She doesn’t have [a chart] because it’s just now that I’ve come [to the hospital].,There’s nothing now except me who came.,10.72
Chamorro,65,Baba dididi’ i bintåna ya u guaha gueha.,Open the window a little bit to ventilate.,Open the window a little so there will be air.,58.26
Chamorro,66,Mansinangåni as Juan todu i bidåda-ña kada diha.,Juan told them all the things he had been doing every day.,Juan was reminded of all his responsibilities every day.,28.69
Chamorro,67,Guaguan åntis i liluk na materiåt.,Iron was an expensive material a long time ago (lit. before).,"It was heavy before, the soft material.",25.8
Chamorro,68,Pues ekkunguk sa’ håfa na para Ifit na’ån-hu.,So listen to why my name is going to be Ifit [i.e. scrub mahogany].,So I heard what it was for: “Ifit” is my name.,17.54
Chamorro,69,Dikiki’ na tinanum i anilis yan siña masodda’ gi kantun chålan.,The anil is a small plant and it can be found on roadsides.,The anise is a small plant and can be found along the roadside.,68.2
Chamorro,70,"I antis yan pa’gu, difirensiao antis yan ti parehu antis yan pa’gu.","[Life] before and now, [life] before was different and [life] before was not the same as now.",Before and now are different; before and now are not the same.,42.44
Chamorro,71,Ha sangåni i gubetnu na esta gui’ mañodda’ nubiå-ña.,He told the governor that he had already found a girlfriend.,He told the government that he had already found his girlfriend.,81.51
Chamorro,72,Ginin håyi nai un risibi i katta?,From whom did you receive the letter?,From whom did you receive the letter?,100.0
Chamorro,73,Mañotchu ham kelaguin ti’åo yan titiyas.,We (excl.) ate goatfish kelaguin and tortillas.,We ate bad kelaguen and titiyas.,25.67
Chamorro,74,"Tåya’ [hu li’i’ gi uriyan guma’], pues sigi yu’ di humoi’.","I didn’t see anyone (lit. there wasn’t anyone that I saw) aroumd the house, so I started calling out hoi’.","There’s nothing [I saw around the house], so I kept on not coming back.",22.91
Chamorro,75,Para låhi i patgon-ña.,His child is going to be a boy.,"For the boy, his child.",28.79
Chamorro,76,"Kalakas, cha’-mu chuchuda’ i kuchinu na hånum.",Yuck! Don’t spill the dirty water.,"Hurry up, don’t drink the pig’s water.",27.51
Chamorro,77,Guaha siha tinanum gi gualu’.,There are plants at the farm.,There are some plants in the forest.,52.05
Chamorro,78,Håfa ma’a’ñåo-ña i kada istudiånti?,What is each student afraid of?,What is each student afraid of?,100.0
Chamorro,79,"Nang, sedi yu’ ya bai patcha i amot-mu.","Mom, allow me to touch your medicine.","Please, excuse me and I’ll pay for your medicine.",39.81
Chamorro,80,Ha patcha si nanå-hu i sanhilu’ i hetnu’.,My mother touched the top of the incubator.,My mother slapped the neighbor’s grandson.,29.3
Chamorro,81,i taotåo antigu na Chamorro siha,the ancient Chamorro people,the ancient Chamorro people,100.0
Chamorro,82,Manggaigi guihi siha palu mañe’lu-hu ni manmafañågu åntis di i gera.,Some of my siblings who were born before the war were there.,There were some of my siblings there who were born before the war.,78.18
Chamorro,83,I tiempun påkyu ha tutuhun gui’ gi Agostu na mes.,Typhoon season begins (lit. begins itself) in August.,The typhoon season begins in the month of August.,52.51
Chamorro,84,"Ma sienti ya kana’ magacha’ i dos. Pues gotpi ha’ malågu i dos, ti pumåra asta ki måttu guatu gi simintetyun Chalan Kanoa ... Ma galoppi i patdit ...","They felt that the two of them were about to be caught out. So suddenly they ran off, and didn’t stop until they got to the Chalan Kanoa cemetery…they jumped the concrete wall…","They felt it and the two of them got really scared. So the two just ran quickly, not stopping until they reached the cemetery in Chalan Kanoa ... They chased the child ...",41.49
Chamorro,85,I natibu tåya’ atmas-måmi macheti ha’ yan kama’ yan åchu’.,"As for the local people, we (excl.) had no weapons, only machetes and sickles and rocks.",The natives had no weapons—only machetes and hands and stones.,40.06
Chamorro,86,Manma’omiti palu na infotmasion siha gi aplikasion.,Some information on the application is omitted.,Some information is missing in the application.,71.51
Chamorro,87,Achibåo ennåo na tåotåo.,That guy is a troublemaker.,That person is ugly.,17.28
Chamorro,88,Bai suma i dos yan kuåttru.,I will add two and four together.,I will add two and four.,68.85
Chamorro,89,Ni ngai’an nai ta fanmaleffa.,We will never forget (it).,Whose name shall we forgive?,17.55
Chamorro,90,Guaha na’ån-ña na tåotåo Magellan.,There was a person whose name was Magellan.,He has the name of the man Magellan.,32.88
Chamorro,91,Esta ti ya-hu umettigu.,I don’t like being short anymore.,I still don’t love you.,20.05
Chamorro,92,Pues en sedi ha’ gui’ ti umayuda si tatå-ña o sino si nanå-ña.,You (pl.) even allow him not to help his father or his mother.,"Well, in the end, it was only him who didn’t help—either his father or his mother.",46.36
Chamorro,93,Ilek-ñiha na månngi’ makåddu i poya ki i punidera.,They said that making soup with young chicken is tastier than with hen.,"They said the mangoes were ripe, the papaya or the banana.",23.76
Chamorro,94,Ti ma påtti si Kiko’ ni un grånu na guihan.,They didn’t give Kiko’ even one bit of fish.,They didn’t share Kiko even a single grain of fish.,48.47
Chamorro,95,I katgån-ña era i para u ayuda ottru tåotåo siha umuma i katgan-ñiha.,"His burden, as it turned out, was to help others carry their burdens.",His purpose was to help other people who were carrying their burdens.,49.23
Chamorro,96,Ti malagu’ si Juan ha ångkas i che’lu-ña.,Juan did not want to ride together with his sibling.,Juan didn’t want to carry his sibling.,48.62
Chamorro,97,Para bai in tutuhun muna’gåsgas i kusina.,We (excl.) are going to begin to clean the kitchen.,So we can start cleaning the kitchen.,36.79
Chamorro,98,Påyun i patgun mana’ma’udai gi apåga.,The child is used to being carried (lit. made to ride) on the shoulder.,The children were left behind in the darkness.,22.63
Chamorro,99,I akangkang måolik yan fresku na åmut.,The akangkang is a good and fresh herbal medicine.,The medicine is good and fresh.,45.33
