Lang,Index,Source,Reference,LLM_Translation,Reasoning_Summary,ChrF
Georgian,0,"na+m+q'+o u+srul-i, k'avšir+eb+it-i p'irvel-i sul ar (Ø-)e-c'armo-eb-a-t",The Imperfect Indicative (and) Prešent Subjunctive are simply not formed for them,The pluperfect is not formed at all in the first subjunctive.,detailed,36.2
Georgian,1,deda-s ra da-u-rč-a,what did mother have left?,What was left for mother?,detailed,32.55
Georgian,2,k'ac-ma še-(Ø-Ø-)a-q'var-eb-in-a tav-i kal-s da še-(Ø-)i-rt-o,the man got the woman to love him and married her.,The man made the woman fall in love with him and married her.,"{'type': 'summary_text', 'text': '**Translating Georgian morphology**\n\nI need to translate a Georgian glossed string that involves some morphology. It looks like ""k\'ac-ma man-ERG"" with a verb ""še-a-q\'var-eb-in-a."" The root seems to be ""q\'var,"" meaning love. This could mean ""made someone fall in love."" The preverb ""she-"" might imply ""with"" or ""into."" When I piece it together, it could translate as ""the man made the woman love him."" I\'m unsure, but there\'s some complexity with what ""šeirt\'o"" could mean in context—possibly involving marriage, but I need to double-check that.'} {'type': 'summary_text', 'text': '**Translating Georgian verbs**\n\nI\'m looking at the verb ""rt\'va,"" which might mean ""to take as wife."" I wonder if ""she-ert\'o"" could mean ""and he ran away,"" but that feels off. After some parsing, ""shei-rt\'o"" could possibly translate as ""and he joined her"" or ""got engaged."" Without a specified object, it seems like he’s connecting with her. So I could conclude, ""The man made the woman fall in love with him and married her."" It feels like a folk tale of love!'}",61.69
Georgian,3,švid+i-ode gogo-s/švid+i-ode-s v-(0-)xed-av,I see about 7 girls/about 7,I see about seven girls.,detailed,45.88
Georgian,4,dinamo+el-eb-ma st'umr-eb-s mo-(?Ø-Ø-)u-g-es or-it=nul-i,Dynamo beat the guests 2-Ø.,Dinamo beat the guests 2–0.,detailed,76.89
Georgian,5,sa+xalx+o me+urn+e+ob-is sc'rap zrd+a-s tan (?0-}s-d-ev-s m+šr+om+el-ta mat'erial+ur-i m+dg+om+are+ob-is ga+u+m+job+es+eb+a,the rapid growth in people's farming is accompanied by an improvement in the material circumstance of the workers,The rapid growth of the national economy leads to an improvement in the workers’ material conditions.,detailed,50.01
Georgian,6,xipat-s (gada-)(Ø-Ø-)rč-eb-i,you (will) survive the danger,You will survive the danger.,detailed,69.36
Georgian,7,šen me pul-i mo-(0-0-)m-e-c-i,‘you gave (the) money to me’,Give me the money.,"{'type': 'summary_text', 'text': '**Translating Georgian context**\n\nI\'m looking at the translation of ""You gave me the money,"" which might also be ""You gave me money."" In Georgian, I\'ve got to consider how the verb forms work, especially with the agent and subject. It seems like there may be a mix of present and future tenses here. Maybe “you will give me” is the future version. The verb might also be showing an imperative form in some contexts. It\'s all a bit complex, but I\'m analyzing it step by step!'} {'type': 'summary_text', 'text': '**Analyzing imperative forms**\n\nI\'m looking at a translation that says ""allow me to introduce myself to you."" The verb ""mo-m-e-c-i-t"" is imperative and means ""allow."" It seems that ""mo-m-e-c-i"" could be an imperative form for ""give me."" The specific subject ""šen"" (you) is probably there for emphasis, which means I might translate the phrase as ""You, give me money"" or just ""Give me the money."" While including all grammatical aspects, I want to follow the instructions to keep my output focused!'}",22.09
Georgian,8,erek'le cxen-ze šven-od-a,Erek'le looked resplendent on the horse,Erekle looked good on the horse.,detailed,48.47
Georgian,9,šv+il-ma mama-s da+u+zar+eb+1-ad mo-u-rb-en-in-a muguzal-i,the child rushed the firebrand hither to (his) father without hesitation,The child sent a messenger running to his father to summon him.,"{'type': 'summary_text', 'text': '**Translating Georgian morphology**\n\nI’m working on translating Georgian morphological segmentation, like ""šv+il-ma"" meaning ""child-ERG"" and ""mama-s"" for ""father-DAT."" It seems like ""-s"" indicates dative. Then I see ""da+u+zar+eb+1-ad"" possibly relating to ""call"" or ""invite."" The word ""muguzal-i"" looks like it means ""traveler"" or maybe even ""messenger."" I’m parsing the sentence: ""The child sent a messenger to call his father."" It\'s a complex structure, but I think I\'m getting close!'} {'type': 'summary_text', 'text': '**Interpreting Georgian structure**\n\nI’m analyzing a phrase that means ""for calling (him)."" The preverb ""mo-"" indicates motion toward the speaker, and the root ""rb"" means ""run."" The entire structure could suggest ""made (someone) run up (to someone)"" or ""sent running."" It looks like the subject is the child in the ergative case and ""muguzali"" in the nominative. Given Georgian grammar rules, it seems ""The child made the messenger run to his father to call him"" is a possible translation. But wait, does ""call him"" refer to the father?'}",25.86
