Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Chamorro,en_to_L,0,"Oh spare me, that I may recover strength, before I go away, and exist no more.""","Poloyo ya jufañule minetgot, antes de jujanao ya ti jutalo.","Håfa hao’ i taotao, para i ma’åya’ i kånna, antes i man’å’go’ ya’ i man’å’go’ ya’ i ma’åya’ siña’.""",3.644667088679882,16.554699152023446,24.63576158940398
Chamorro,en_to_L,1,"But he answered and said, Verily I say unto you, I know you not.","Lao güiya manope, ilegna; Magajet jusangane jamyo na ti jutungo jamyo.","Ma’aseha iha’ña, “Siguru, sinåo iha’ña, ti manengko’ hao.”",3.7644257151903666,11.515192236597226,10.204081632653061
Chamorro,en_to_L,2,"But he spoke all the more, ""If I must die with you, I will not deny you."" They all said the same thing.","Lao guiya janaguefchadeg y cuentosña, ilegña: Yanguin jumitamatae, ti jupunejao ni jaftaemano. Taegüineja locue sinanganñija todos.","Siña i manmanglo, “Si yo’ maole’ i mate’ para hao, ti’otao’ hao.” I manmanglo’ iha’ i gima’ iha’.",2.328734903585348,12.450860703467589,14.217342342342343
Chamorro,en_to_L,3,"But when some were hardened and disobedient, speaking evil of the Way before the multitude, he departed from them, and separated the disciples, reasoning daily in the school of Tyrannus.","Lao anae palo manmajetog, ya ti manmalago manmanjonggue, ya manguecuentos taelaye pot ayo na Chalan gui menan y linajyan taotao, sumuja si Pablo guiya sija, ya janafañuja y disipulo sija, ya manadingan cada jaane gui escuelan Tiranno.","Maole’ na siha na’maole’ iha’ na’ma’gas, yan na’ma’disobediente, na’ma’palao’ iha’ na’ma’gas iha’ i taotao, siha’ na’ma’gof na’ma’gof i gima’ iha’ siha, yan na’ma’separa’ i disipulus, na’ma’palao’ kada dia iha’ i skuela’ i Tyrannus.",2.407791456336813,22.101169013554916,11.24801797040169
Chamorro,en_to_L,4,"Saying, Father, if thou be willing, remove this cup from me: nevertheless not my will, but thine, be done.","Ylegña: Tata, yanguin malago jao, nasuja guiya guajo este y copa: lao munga mafatinas y malagojo, lao y malagomo.","Tata, si yu’ maole’ na’ i cup: pero’ na’ yu’ maole’ na’ i’yo, na’ i’yo maole’ na’ i’yo.",3.7900211758054216,14.530734164881503,9.469696969696969
Chamorro,en_to_L,5,He will drink of the brook in the way; therefore he will lift up his head.,Unaguimen y sadog gui chalan: enaomina güiya jumatsa julo y ilo.,"Håo na’ån i batisan; asina, ha’åmån i ulu-hu.",3.124719790499494,11.549115174885847,3.787878787878788
Chamorro,en_to_L,6,"""For I tell you, among those who are born of women there is not a greater prophet than John the Baptizer, yet he who is least in the Kingdom of God is greater than he.""","Jusangane jamyo, na entre ayo sija y manmafañago gui famalaoan, taya dangculoña qui si Juan; lao y diquiqueja gui raenon Yuus dangculoña qui güiya.","Håfa i manmåolik, i gima’tao na’ i manåmko’ na’ i propeta, si Juan i Manbaptista, pero i gima’tao na’ i manåmko’ na’ i Kahari’an i Dios, mas ma’å’ulo’ i gima’tao na’ i propeta.",2.4371431437250504,15.69232139760229,13.75448028673835
Chamorro,en_to_L,7,"And when he was come in, he saith unto them, Why make ye this ado, and weep? the damsel is not dead, but sleepeth.","Ya anae jumalom, ilegña nu sija: Jafa na manatborotao jamyo, yan manatanges jamyo? Y patgon na palaoan ti matae, na mamaego.","Unu, i manmangge’ siha, i manma’ase’ i taotao: “Mano’ i patgon ni yu’ i manmangge’ un? Ayu’ i babanai, ma’ase’ i manmangge’.”",2.0929373635196202,21.32433157796882,12.280701754385966
Chamorro,en_to_L,8,Very good!,Gof maolek!,Maolek!,30.326532985631665,47.48058651135876,64.6551724137931
Chamorro,en_to_L,9,"yet because this widow bothers me, I will defend her, or else she will wear me out by her continual coming.'""","Lao pot y jarorobayo este na palaoan, bae juaregla sija, sa noseaja pot y sisigueja mague, uestotbayo.","Sige’ na’ i widda’ siha na’ i manmangga’ hao, siña’ na’ i defendé iya, o siña’ na’ i widda’ na’ i manmangga’ hao i manmangga’ hao gi’ su’ su’ na’ u’ma’na’.”",1.389736936231864,10.664994176391792,8.130081300813009
Chamorro,en_to_L,10,"For whoever desires to save his life will lose it, but whoever will lose his life for my sake, the same will save it.","Sa masqueseaja jaye y malago na usatba y linâlâña, ufinalingaeguan; ya masquesea jaye y malingo y linâlâña pot y naanjo, güiya usatba.","Siaha iha’ desiha para i-salba i laifuña, manlos i laifuña; ma’ desiha iha’ para i-losa i laifuña para i gima’gu, iha’ i laifuña hao.",1.8884748972625875,12.927025302373018,7.46268656716418
Chamorro,en_to_L,11,"I have seen, and have testified that this is the Son of God.""",Ya guajo julie ya manae yo testimonio nu y güiya y Lajin Yuus.,"I gimaole, ya testiguåo, na siña i Anak i Dios.",3.4015426186864377,15.964344198005845,7.194244604316546
Chamorro,en_to_L,12,"And when they were come, and had gathered the church together, they rehearsed all that God had done with them, and how he had opened the door of faith unto the Gentiles.","Ya anae manmato ya mandaña iglesia gui guimayuus, masangan todo sija y finatinas Yuus pot sija; yan jaftaemano jababaye y Gentiles ni y pettan y jinenggue.","Unu na’ i manmalok, unun na’ i siman i iglesia, i manmalok i tanan i finang i Dios para i manmalok-hu, yan para i manmalok-hu i pinala’ i p’ina’ i pananampalataya para i Gentiles.",1.4491339833989647,23.70661826338032,8.196721311475413
Chamorro,en_to_L,13,And sent forth his servants to call them that were bidden to the wedding: and they would not come.,"Ya jatago y tentagoña sija, na ujaagange y manmaconbida gui guipot; lao ti manmalago manmato.",Iya ha’ sentu i man’amensa’ña para tinatawag i man’amensa’ña i wedding: un siña’ ha’ole’ para kumme.,2.1476912089159055,16.28873414880178,2.5906735751295336
Chamorro,en_to_L,14,For John was not yet cast into prison.,Sa si Juan trabia ti mapopolo gui catset.,Para si Juan chưaña’ na’manu’ na’guåhan i prisun.,10.552670315936318,21.363835824953124,26.620370370370374
Chamorro,en_to_L,15,"My frame wasn't hidden from you, when I was made in secret, woven together in the depths of the earth.","Y tataotaojo ti umatog guiya jago, anae mafatinasyo gui secreto; ya matufog yo ni namanman, gui mas tagpapa na lugat gui tano.","Håo na’ i frame-mu, i manmangga’ i gima’ na’ i liheng, i hinengga’ i’ gima’ i’ lalom-taotao’ i tano’.",1.8952490781358415,18.56397125387073,9.398496240601505
Chamorro,en_to_L,16,"And Jesus went into the temple of God, and cast out all them that sold and bought in the temple, and overthrew the tables of the moneychangers, and the seats of them that sold doves,","N 21 12 31550 ¶ Ya jumalom si Jesus gui guimayuus, ya jayute juyong todo y manmanbebende, yan y manmamamajan gui guimayuus, ya janaalinquin y lamasan y manmanulalaeca salape, yan y tachong y manmanbebende paluma;","Iesus guaha i templo i Tåta, unnaoña iha iha i templo i manmanglo’ yan manmabåi, unti’ i mesa i manmangchånggo’ kuattru, yan i setbåoña i manmangbåi i kalåne’,",2.3778473132204945,19.26898051235306,7.575757575757576
Chamorro,en_to_L,17,"Of whom I have no certain thing to write to my lord. Therefore I have brought him forth before you, and especially before you, King Agrippa, that, after examination, I may have something to write.","Ya taya jafa magajet na güinajaña para jutugue para y Señotjo. Enaomina jucone güe mona gui menanmiyo, yan y menamo, O Ray Agripa, para yaguin munjayan maegsamina, uguaja jafa para jutugue.","Håo’ iha’ ti siguru na’ i manå’ot para i guå’guå’hu. I så’ i manå’ot i gima’ i gima’ i håo, mås i håo, King Agrippa, para iha’ na’ i manå’ot, ma’ iha’ i manå’ot iha’ na’ i manå’ot, para iha’ na’ i manå’ot iha’ håo, ma’ iha’ na’ i manå’ot, ma’ iha’ na’ i manå’ot.",1.6480774556324307,16.751718175538446,11.415525114155251
Chamorro,en_to_L,18,Thou didst divide the sea by thy strength: thou brakest the heads of the dragons in the waters.,Jago dumibide y tase ni y ninasiñamo: jago yumamag y ilon y alo sija gui tase.,Iya-mu na’na’ i dagat i taotao-mu: iya-mu na’na’ i ulu i man’kakok i taotao i tubig.,2.55404966647159,14.851040776144137,5.319148936170213
Chamorro,en_to_L,19,"If it bears fruit, fine; but if not, after that, you can cut it down.'""","Ya yanguin ufanogcha, mauleg; yanguin aje, siempre, unutut.","Si frutu na’ga, maole; pero si no, i taotao na’ga, potde’ hao para i-katba’ na’ga.",2.8629993657668873,16.12070028575589,17.24137931034483
