Lang,Index,Source,Reference,LLM_Translation,Status,BLEU,ChrF,METEOR
Igbo,0,"Ugbu a, anyị nwere ụmụ oke ọnwa anọ na-arịabu ọrịa shuga mana ha anaghị arịazi ya.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","Now, we have four-month-old mice that used to develop diabetes, but they no longer do.",completed,9.25617898868023,43.02611168759506,43.83597883597884
Igbo,1,"Dr. Ehud Ur, ọkammụta nke ọgwụ na Mahadum Dalhousie nọ na Halifax, Nova Scotia na onye isi oche nke ngalaba ụlọ ọgwụ na sayensi ahụ nke Òtù Ọrịa Shuga ndị Kanada dọrọ aka na ntị na nnyocha ahụ ka nọ n’oge ndị mbụ ya.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dr. Ehud Ur, a medical researcher at Dalhousie University in Halifax, Nova Scotia, and chair of the clinical and scientific section of the Canadian Diabetes Association, warned that the research was still in its early stages.",completed,54.68546299565091,77.26207653524835,80.38703762755102
Igbo,2,"Ka ndị ọkachamara ndị ọzọ, o kwenyeghị na a ga agwọtanwu ọrịa shuga, o depụtara na ihe nchọpụta ndị a enweghị mmetụta nye ndị nwere ọrịa shuga Taịp 1.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Like other experts, he did not believe that diabetes would be cured, and he noted that these findings have no effect for people with Type 1 diabetes.",completed,31.389504600098707,52.93526883065631,60.679611650485434
Igbo,3,"N'ụbọchị Mọnde, Sara Danius, onye odeakwụkwọ Nobel kọmitii maka akwụkwọ agụmagụ n'ụlọ akwụkwọ Swidin, kwuputara n'ihu ọha na ihe omume redio na Sveriges Redio dị na Swidin, mgbe o siere kọmitii ahụ ike inweta Bob Dilan gbasara mmeri na ihe nrite Nobel na mpaghara Akwụkwọ agụmagụ nke afọ 2016 o nwetara, na ha ahapụlarị mbọ ha na-agba inweta ya.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","On Monday, Sara Danius, the secretary of the Nobel Committee for Literature at the Swedish Academy, announced publicly on a radio program on Sveriges Radio in Sweden that, after it had been difficult for the committee to reach Bob Dylan about the win and the Nobel Prize in Literature for 2016 that he received, they had given up their efforts to contact him.",completed,42.864210513921556,71.10840235750173,80.82305570484704
Igbo,4,"Danius si, ""Ugbu a anyị anaghị eme ihe ọbụla. Akpọọlam oku ma zijere onye ya na ya kacha arụkọ ozi ịntaneetị ma nwetekwa ụsa nnabata. Ugbua nke ahụ zuru oke.""","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius said, “Right now we aren’t doing anything. I’ve made a call and sent it to the person he works most with on the internet, and I also got a confirmation response. Now that is enough.”",completed,6.695900686562913,38.011678885693726,51.65846160700364
Igbo,5,"Na mbu,onye isi Ring, Jamie Siminoff, kwuru na ulo oru ya bidoro mgbe onughi mgbirigba ya n’ulo ahia ya di na ime ebe o na adoba ugboala ya.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","At first, Ring’s CEO, Jamie Siminoff, said his company started when he didn’t hear his doorbell at his front door, which was inside the area where he parks his car.",completed,16.079298647562638,48.578914889788535,48.3478459257006
Igbo,6,O kwuru na ọ rụrụ mgbịrịgba ụzọ ji WiFi arụ ọrụ.,"He built a WiFi door bell, he said.",He said that he made a Wi‑Fi doorbell.,completed,6.379653897348568,45.32109024820977,25.252525252525253
Igbo,7,Siminoff sị na orire ahịa gbaliri elu ka ogosichara n'ihe nkiri Shak Tank n'afọ 2013 ebe ndị ndozi ihe ngosi jụrụ itinye ego na mbido.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Siminoff said that sales rose after it was shown on the TV show Shark Tank in 2013, where the show’s hosts initially refused to invest.",completed,5.832725852634305,38.486440845574485,39.92127831504314
Igbo,8,"Na ngwụcha 2017, e gosiri Siminoff na chanel igbe onyonyo QVC.","In late 2017, Siminoff appeared on shopping television channel QVC.","At the end of 2017, Siminoff was featured on the QVC television channel.",completed,13.834368456410946,54.12751725381489,57.10111788617886
Igbo,9,"Ring dozikwara otu ikpe ha na ụlọ ọrụ ọzọ na-ahụ maka nchekwa, ADT Corporation nwere.","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring also filed a similar lawsuit against another security company, ADT Corporation.",completed,21.35901256790989,58.59815860263959,66.96428571428572
