Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Georgian,en_to_L,0,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,"ვატიკანში დაახლოებით 800 ადამიანი ცხოვრობს. იგი მსოფლიოს ყველაზე პატარა დამოუკიდებელი ქვეყანაა, მოსახლეობის ყველაზე მცირე რაოდენობით.",ვატიკანის ქალაქის მოსახლეობა დაახლოებით 800 ადამიანია. ეს არის მსოფლიოს ყველაზე პატარა დამოუკიდებელი ქვეყანა და ქვეყანა ყველაზე დაბალი მოსახლეობით.,15.77454598068419,66.39007106205186,45.21096187762855
Georgian,en_to_L,1,All citizens of Vatican City are Roman Catholic.,ყველა მოქალაქე ვატიკანში არის კათოლიკე.,ვატიკანის ქალაქის ყველა მოქალაქე რომის კათოლიკეა.,14.535768424205482,66.82718746847914,41.89435336976321
Georgian,en_to_L,2,"It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","მიკროკლიმატის მრავალფეროვნების, სხვადასხვა ნიადაგისა და ზღვის დონიდან განსხვავებული სიმაღლის გამო, იგი გამოირჩევა მრავალფეროვანი ნიადაგით და სიმაღლის სახვდასხვა დონით.","მას აქვს მცენარეთა თემების შესამჩნევად ფართო მრავალფეროვნება, რაც განპირობებულია მიკროკლიმატების მრავალგვარობით, ნიადაგების განსხვავებულობითა და ზღვის დონიდან სიმაღლის ცვალებადობით.",8.3551771205213,47.90926314098454,22.8377065111759
Georgian,en_to_L,3,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,მდინარე ამაზონი სიგრძით მეორე და დედამიწის ყველაზე დიდ მდინარეს წარმოადგენს. სიდიდით მეორე მდინარესთან შედარებით იგი 8-ჯერ უფრო წყალუხვია.,"ამაზონის მდინარე დედამიწაზე სიდიდით მეორეა როგორც სიგრძით, ისე სიდიდით და ყველაზე დიდი მდინარეა. ის მეორე ყველაზე დიდი მდინარისაზე 8-ჯერ მეტ წყალს ატარებს.",7.148683682281811,49.49646589693385,21.951219512195124
Georgian,en_to_L,4,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.","ლომების პრაიდი ქცევებით ძალიან ჰგავს მგლების ან ძაღლების ხროვას, ცხოველებს, რომლებიც ასევე საოცრად ჰგვანან ლომებს ქცევის მანერით (მაგრამ არა სხვა დიდ კატებს) და ასევე ძალზე მომაკვდინებელია მათი მსხვერპლისთივს.","ლომების ჯგუფები მოქმედებენ ძალიან ჰგავს მგლების ან ძაღლების გუნდებს — ცხოველები, რომლებიც ქცევით საოცრად ჰგვანან ლომებს (მაგრამ არა სხვა დიდ კატებს) — და ასევე ძალზე მომაკვდინებელია მათი მსხვერპლისთვის.",44.735615321772165,71.58526728818654,72.04333417764268
Georgian,en_to_L,5,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,საზოგადოებრივი მაუწყებლობის ფარგლებში ჰენრი ლუი გეიტსის საავტორო „აფრიკული სამყაროს საოცრებების“ ჩაწერის დროს ის ერთ-ერთი მთავარი გაჩერების წერტილი იყო.,ეს იყო ერთ-ერთი მთავარი გაჩერება ჰენრი ლუის გეითსის PBS-ის სპეციალურ გადაცემაში „აფრიკული სამყაროს საოცრებები“.,6.548045327407671,46.60014423741985,37.216828478964395
Georgian,en_to_L,6,Argentina is well known for having one of the best polo teams and players in the world.,მსოფლიოში არგენტინა ცნობილია ერთ-ერთი საუკეთესო გუნდით და მოთამაშეებით.,"არგენტინა ცნობილია იმით, რომ ჰყავს მსოფლიოში ერთ-ერთი საუკეთესო პოლოს გუნდი და მოთამაშეები.",9.238430210261097,75.41308974219618,60.25778732545649
Georgian,en_to_L,7,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,ძილის შეწყვეტა მიზანმიმართულად გაღვიძების პროცესია ნორმალური ძილის პერიოდში და ცოტა ხანშივე (10-60 წუთი) ხდება ჩაძინება.,"ძილის შეფერხება არის პროცესი, რომლის დროსაც შეგნებულად იღვიძებთ თქვენი ჩვეულებრივი ძილის პერიოდში და შემდეგ მოკლე ხანში (10–60 წუთში) კვლავ გეძინებათ.",7.238177794755686,42.52013007623852,30.776826859776175
Georgian,en_to_L,8,"For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","მაგალითისთვის, „სწავლება“ და „სოციალიზაცია“ წარმოადგენს ინტერნეტის გამოყენების მნიშვნელოვან მოტივაციას (ჯეიმსი და სხვები, 1995).","მაგალითად, „სწავლა“ და „სოციალიზაცია“ შემოთავაზებულია, როგორც ინტერნეტის გამოყენების მნიშვნელოვანი მოტივაციები (James et al., 1995).",16.24355752882385,60.85930545711644,57.17962860820004
Georgian,en_to_L,9,"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","ბუშმა პუბლიკას აზიაში ვაჭრობის გაფართოების შესახებ მას შემდეგ უამბო, რაც წააგო ერთკვირიანი შუალედური არჩევნები.","შუალედური არჩევნების დროს ერთი კვირის განმავლობაში განცდილი მარცხების შემდეგ, ბუშმა აუდიტორიას აზიაში ვაჭრობის გაფართოების შესახებ უამბო.",16.90653646485627,63.71181214395855,51.141975308641975
Georgian,en_to_L,10,The village of Haldarsvík offer views of the nearby island Eysturoy and has an unusual octagonal church.,სოფელი ჰალდარსვიკი ახლომდებარე კუნძულ ესტუროისა და უჩვეულო რვაკუთხა ეკლესიას გადაჰყურებს.,ჰალდარსვიკის სოფელი იძლევა ახლომდებარე კუნძულ ეისტუროის ხედებს და აქვს უჩვეულო რვაკუთხა ეკლესია.,10.04916995660316,68.2929261597363,51.111516034985414
Georgian,en_to_L,11,It states that the most effective place for the main subject is at the intersection of lines dividing the image into thirds vertically and horizontally (see example).,"როგორც ჩანს, ძირითადი ობიექტის ყველაზე ეფექტური ხაზების გადაკვეთის ადგილია, ყოფს რა სურათს მესამედებად, ვერტიკალურად და ჰორიზონტალურად (იხ. მაგალითი).","იგი აღნიშნავს, რომ მთავარი სუბიექტისთვის ყველაზე ეფექტური ადგილი არის იმ ხაზების გადაკვეთა, რომლებიც გამოსახულებას ვერტიკალურად და ჰორიზონტალურად სამ თანაბარ ნაწილად ყოფს (იხილეთ მაგალითი).",10.724314736012696,58.30431900680575,45.39607549640994
Georgian,en_to_L,12,"Regular announcements in the Metro are made only in Catalan, but unplanned disruptions are announced by an automated system in a wide variety of languages including Spanish, English, French, Arabic and Japanese.","ყოველდღიური განცხადებები მეტროში მხოლოდ კატალონიურ ენაზე ცხადდება, თუმცა ავტომატური სისტემა გაუთვალისწინებელი შემთხვევების შესახებ რამდენიმე ენაზე ავრცელებს განცხადებებს, მაგალითად, ისეთ ენებზე, როგორიცაა ესპანური, ინგლისური, ფრანგული, არაბული და იაპონური.","მეტროში რეგულარული განცხადებები მხოლოდ კატალანურ ენაზე კეთდება, მაგრამ გაუთვალისწინებელი შეფერხებები ავტომატური სისტემის მიერ სხვადასხვა ენებზე, მათ შორის ესპანურად, ინგლისურად, ფრანგულად, არაბულად და იაპონურად, ცხადდება.",3.54576343236796,51.94731504268139,23.121387283236995
Georgian,en_to_L,13,One of the main Christian tenets is that wealth should be used to alleviate suffering and poverty and that the monetary funds of the church are there specifically for that reason.,"ის, რომ სიმდიდრის გამოყენება უნდა მოხდეს ტანჯვისა და სიღატაკის შესამცირებლად და, რომ ეკლესიაში ფულადი სახსრები სწორედ ამ მიზნით გროვდება, ერთ-ერთ მთავარ ქრისტიანულ პრინციპს წარმოადგენს.","ქრისტიანობის ერთ-ერთი მთავარი დოგმა ისაა, რომ სიმდიდრე უნდა გამოიყენებოდეს ტანჯვისა და სიღარიბის შესამსუბუქებლად და რომ ეკლესიის ფულადი სახსრები სწორედ ამისთვისაა განკუთვნილი.",8.11603431350649,53.77631712343347,32.30653643876784
Georgian,en_to_L,14,NHK also reported that the Kashiwazaki Kariwa nuclear power plant in Niigata prefecture was operating normally.,"იაპონიის სამაუწყებლო კორპორაცია (NHK) ასევე იუწყება, რომ კაშივაზაკი კარივას ბირთვული ელექტროსადგური გამართულად მუშაობდა ნიიგიტას პრეფექტურაში.","NHK-მა ასევე გაავრცელა ინფორმაცია, რომ ნიგატას პრეფექტურაში მდებარე კაშივაზაკი-კარიავას ატომური ელექტროსადგური ჩვეულებრივ რეჟიმში მუშაობდა.",5.546271694289607,45.289641847888795,25.646622285277747
Georgian,en_to_L,15,"Fortunately, drivers tend to behave within a reasonably consistent range; thus, traffic streams tend to have some reasonable consistency and can be roughly represented mathematically.","მძღოლები გონივრული თანმიმდევრობის დიაპაზონში მოქმედებენ საბედნიეროდ; ამგვარად, ტრანსპორტის ნაკადებს ტენდენციურად აქვს გარკვეული გონივრული თანმიმდევრულობა და მათემატიკურად უხეშად შეიძლება იყოს წარმოდგენილი.","საბედნიეროდ, მძღოლები, როგორც წესი, ქცევენ შედარებით თანმიმდევრულ ფარგლებში; ამიტომაც, მოძრაობის ნაკადებსაც აქვთ გარკვეული გონივრული თანმიმდევრულობა და მათი უხეშად მათემატიკურად წარმოდგენა შეიძლება.",11.43433820088083,56.56507135273969,40.464743589743584
Georgian,en_to_L,16,"Sadly, as newer methods of writing have emerged, the pencil has been relegated to lesser status and uses.","სამწუხაროდ, მას შემდეგ, რაც წერის ახალი მეთოდები გაჩნდა, ფანქარმა თავისი სტატუსი და საჭიროება დაკარგა.","სამწუხაროდ, როგორც წერის ახალი მეთოდები გაჩნდა, ფანქარი უფრო დაბალ სტატუსამდე იქნა დაქვეითებული და გამოიყენება ნაკლებად.",24.62395302527262,55.502013883732445,45.713305898491086
Georgian,en_to_L,17,"At the same time, the German navy, using mainly U-boats, was trying to stop this traffic.","რა დროსაც გერმანიის სამხედრო-საზღვაო ფლოტი, ძირითადად წყალქვეშა ნავების საშუალებით, ამ გადაზიდვების შეჩერაბას ცდილობდა.","ამავე დროს, გერმანიის საზღვაო ძალები, ძირითადად U-ნავების გამოყენებით, ცდილობდა ამ მოძრაობის შეჩერებას.",6.690080689159478,46.80954361002054,29.97448979591837
Georgian,en_to_L,18,Using ships to transport goods is by far the most efficient way to move large amounts of people and goods across oceans.,"საქონლის ტრანსპორტირებისთვის გემების გამოყენება ყველაზე ეფექტური გზაა, განსაკუთრებით დიდი რაოდენობის მგზავრების და ოკეანის გავლით საქონლის გადაზიდვის შემთხვევაში.","გემების გამოყენება საქონლის გადასატანად, უდავოდ, ყველაზე ეფექტური გზაა დიდი რაოდენობის ადამიანებისა და საქონლის ოკეანეების გადაღმა გადასაადგილებლად.",12.673718536830808,49.73699670947709,53.80116959064327
Georgian,en_to_L,19,"However, the percentage of XDR-TB in the entire group of people with tuberculosis still seems to be low; 6,000 of the total 330,000 people infected at any particular moment in South Africa.","ამის მიუხედავად, XDR-TB-ის პროცენტული მაჩვენებელი ტუბერკულოზით დაავადებული ადამიანების მთელ ჯგუფში მაინც დაბალია. სამხრეთ აფრიკაში ჯამში 330,000-იდან 6000 ადამიანი, ნებისმიერ კონკრეტულ მომენტში ინფიცირდება.","თუმცა, XDR-TB-ის პროცენტული მაჩვენებელი ტუბერკულოზით დაავადებულთა მთელ ჯგუფში კვლავ დაბალად ჩანს; სამხრეთ აფრიკაში ნებისმიერ მოცემულ მომენტში ინფიცირებულ საერთო 330,000 ადამიანიდან 6,000.",17.519987270899126,63.982719098259096,41.895456503014636
Georgian,en_to_L,20,"The bill requires violent video games sold in the state of California to be labeled with a decal reading ""18"" and makes their sale to a minor punishable by a fine of $1000 per offense.",კალიფორნიაში გაყიდვადი ძალადობრივი ვიდეო თამაშების ეტიკეტირება „18“-ით და მცირეწლოვანებისთვის მათი მიყიდვის შემთხვევაში 1000 აშშ დოლარის ოდენობით ჯარიმის დაკისრება მოითხოვება კანონპროექტით.,"კანონპროექტი მოითხოვს, რომ კალიფორნიის შტატში გაყიდული ძალადობრივი ვიდეო თამაშები იყოს ეტიკეტირებული სტიკერით, რომელზეც წერია „18“, და მათი მიყიდვა არასრულწლოვანზე დასჯადი იყოს 1000 აშშ დოლარის ჯარიმით თითოეული დარღვევისთვის.",6.313723621572041,57.13373019912677,40.592120548308934
Georgian,en_to_L,21,"This is the place the British colonisers took as their own and so if you are looking for evidence of the territory's colonial past, this is a good place to start.","ეს ის ადგილია, რომელიც ბრიტანელმა კოლონისტებმა დაიკავეს და საკუთარ ტერიტორიად აქციეს, შესაბამისად, თუ თქვენ ტერიტორიის კოლონიალური წარსულის მტკიცებულებებს ეძებთ, დასაწყებად ეს კარგი ადგილია.","ეს არის ადგილი, რომელიც ბრიტანელმა კოლონიზატორებმა საკუთარ საკუთრებად მიიჩნიეს, და ამიტომ, თუ ტერიტორიის კოლონიური წარსულის მტკიცებულებებს ეძებთ, ეს კარგი ადგილია დასაწყებად.",18.786917073983634,64.89719585274985,61.7140636521254
Georgian,en_to_L,22,"During the 1980s he worked on shows such as Taxi, Cheers, and The Tracy Ullman Show.","1980-იან წლებში ის მუშაობდა ისეთ შოუებზე, როგორებიცაა „ტაქსი“, „გაგიმარჯოთ“ და „ტრეისი ულმანის შოუ“.","1980-იან წლებში ის მუშაობდა ისეთ სატელევიზიო შოუებზე, როგორიცაა „Taxi“, „Cheers“ და „The Tracy Ullman Show“.",34.6697783111003,49.57052971852035,70.17173423423422
Georgian,en_to_L,23,"Nature-based tourism attracts people interested in visiting natural areas for the purpose of enjoying the scenery, including plant and animal wildlife.","იმ ადამიანების ყურადღებას, რომლებსაც ბუნებრივი ადგილების მონახულება აინტერესებთ პეიზაჟებით, მათ შორის მცენარეებითა და ველური ცხოველების დათვალიერების მიზნით, იზიდავს ბუნებაზე დაფუძნებული ტურიზმი.","ბუნებაზე დაფუძნებული ტურიზმი იზიდავს ადამიანებს, რომლებსაც სურთ ბუნებრივ ტერიტორიებზე სტუმრობა თვალწარმტაცი ხედებით ტკბობის მიზნით, მათ შორის მცენარეული და ცხოველური ველური ბუნების სანახავად.",12.660422785462305,54.24677651322537,43.37278106508876
Georgian,en_to_L,24,"Periodic rhythms, which are not simply responses to external periodic cues, have been documented for most living beings, including bacteria, fungi, plants, and animals.","პერიოდული რიტმები, რომლებიც უბრალოდ გარეგნულ პერიოდულ მითითებებს არ წარმოადგენს, ფიქსირდება ცოცხალი არსებების, მათ შორის ბაქტერიების, სოკოების, მცენარეების და ცხოველების უმეტესობის შემთხვევაში.","პერიოდული რითმები, რომლებიც მხოლოდ გარე პერიოდული მინიშნებების უბრალო პასუხები არ არის, დოკუმენტურად დაფიქსირებულია ცოცხალი არსებების უმეტესობაში, მათ შორის ბაქტერიებში, სოკოებში, მცენარეებსა და ცხოველებში.",8.37174945407848,61.10204115026635,42.09183673469387
Georgian,en_to_L,25,Three more bombs exploded near government buildings in a period of two hours.,"ორი საათის განმავლობაში, მთავრობის შენობების სიახლოვეს კიდევ ორი ჭურვი აფეთქდა.",კიდევ სამი ბომბი აფეთქდა მთავრობის შენობებთან ორი საათის განმავლობაში.,15.80549055242343,61.935591931284826,40.64337599446558
