Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Korean,en_to_L,0,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,바티칸 시국의 인구는 약 800명입니다. 세계에서 가장 작은 독립 국가이자 인구가 가장 적은 나라입니다.,"바티칸 시티의 인구는 약 800명이다. 바티칸 시티는 세계에서 가장 작은 독립국이며, 인구가 가장 적은 나라이다.",16.54274233399128,55.548853091350715,62.39159269462301
Korean,en_to_L,1,All citizens of Vatican City are Roman Catholic.,바티칸 시국의 모든 시민은 로마 가톨릭 교도입니다.,바티칸 시티의 모든 시민은 로마 가톨릭 신자이다.,38.260294162784476,53.95974104405096,70.3125
Korean,en_to_L,2,"It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","다양한 범위의 미기후, 각기 다른 토양과 다양한 높이의 고도로 인해 넓은 범위의 다양한 식물 군이 존재합니다.","그것은 미기후의 범위가 다양하고, 토양이 서로 다르며, 고도의 수준이 달라서, 식물 군집의 종류가 특히 폭넓다.",2.664321121388895,13.393796628080956,8.287292817679557
Korean,en_to_L,3,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,아마존 강은 지구에서 길이로는 두 번째이고 크기로는 첫째 가는 강입니다. 두 번째로 큰 강보다 8배 이상 많은 물이 흐르죠.,아마존 강은 지구에서 두 번째로 길고 가장 큰 강이다. 이 강은 두 번째로 큰 강보다 물을 8배 이상 더 많이 운반한다.,17.855149299161596,35.32773598382605,48.21802935010482
Korean,en_to_L,4,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.","사자 무리는 놀라울 정도로 행동하는 것이 사자와 유사한 (하지만 다른 커다란 고양잇과 동물과는 다른) 늑대 또는 개 무리와 비슷하게 행동하는데, 이는 사냥감에 굉장히 치명적이기도 합니다.","사자 무리는 늑대나 개의 무리처럼 행동하는데, 행동 양식에서 사자와 놀라울 정도로 비슷한(다른 큰 고양잇과는 제외되는) 동물들이며, 또한 먹잇감에게는 매우 치명적이다.",5.188382404993175,25.513255169003664,27.831370403432487
Korean,en_to_L,5,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,이는 Henry Louis Gates의 PBS 특집 '아프리카의 경이'에서 가장 비중 있는 탐험지 중 하나였습니다.,Henry Louis Gates의 PBS 특집 다큐멘터리 〈아프리카 세계의 경이로움(Wonders of the African World)〉에서 그것은 주요한 정거장들 가운데 하나였다.,16.133948681475335,42.14549954421838,37.27144866385373
Korean,en_to_L,6,Argentina is well known for having one of the best polo teams and players in the world.,아르헨티나는 세계 최고의 폴로 팀과 선수를 보유한 것으로 유명합니다.,아르헨티나는 세계 최고의 폴로 팀과 선수들 가운데 하나를 보유한 것으로 잘 알려져 있다.,31.614875844889426,66.88397463246986,74.89483173076924
Korean,en_to_L,7,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,수면 방해는 정상적인 수면 기간 동안 의도적으로 잠을 깨운 다음 짧은 시간(10–60분)이 지난 후에 잠드는 과정입니다.,"수면 방해는 정상적인 수면 시간 동안 의도적으로 깨어난 다음, 잠시 후(10–60분) 다시 잠드는 과정이다.",20.157654780282307,49.188219519697206,57.62118798361402
Korean,en_to_L,8,"For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","""예를 들어, """"학습""""과 """"사회화""""가 인터넷 사용에 대한 중요한 동기로 제시되었습니다(제임스 외, 1995년)""","예를 들어, “학습”과 “사회화”는 인터넷 사용의 중요한 동기인 것으로 제안된다(James et al., 1995).",5.80715909278334,24.01325368234088,27.928682887360566
Korean,en_to_L,9,"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","부시는 중간 선거에서 일주일 내내 이어진 패배 이후, 아시아에서의 무역 확장 정책을 발표했습니다.","중간선거에서 일주일 동안 패배한 뒤, 부시는 아시아에서의 무역 확대에 대해 청중에게 말했다.",6.959578721753987,38.59760780866827,28.61670395227443
