Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Korean,L_to_en,0,바티칸 시국의 인구는 약 800명입니다. 세계에서 가장 작은 독립 국가이자 인구가 가장 적은 나라입니다.,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,The population of Vatican City is about 800. It is the smallest independent country in the world and also the country with the lowest population.,64.50664618828733,84.92235156217146,94.79135746535644
Korean,L_to_en,1,바티칸 시국의 모든 시민은 로마 가톨릭 교도입니다.,All citizens of Vatican City are Roman Catholic.,All citizens of Vatican City are Roman Catholics.,75.06238537503395,97.29771670300694,99.93141289437585
Korean,L_to_en,2,"다양한 범위의 미기후, 각기 다른 토양과 다양한 높이의 고도로 인해 넓은 범위의 다양한 식물 군이 존재합니다.","It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","Due to a wide range of microclimates, different soils, and varying elevations, there exists a broad variety of plant communities.",23.352648136133084,60.425682055526444,61.57965194109772
Korean,L_to_en,3,아마존 강은 지구에서 길이로는 두 번째이고 크기로는 첫째 가는 강입니다. 두 번째로 큰 강보다 8배 이상 많은 물이 흐르죠.,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,The Amazon River is the second-longest river on Earth and the largest river by size. It carries more than eight times as much water as the second-largest river.,46.25477882149347,78.83844718253272,80.94692630775104
Korean,L_to_en,4,"사자 무리는 놀라울 정도로 행동하는 것이 사자와 유사한 (하지만 다른 커다란 고양잇과 동물과는 다른) 늑대 또는 개 무리와 비슷하게 행동하는데, 이는 사냥감에 굉장히 치명적이기도 합니다.","Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.","Lion prides behave in a remarkably similar way to wolf or dog packs that are lion-like (but different from other large cats and animals), which is also extremely deadly to their prey.",15.206861774588473,45.362778512834225,54.13283553235707
Korean,L_to_en,5,이는 Henry Louis Gates의 PBS 특집 '아프리카의 경이'에서 가장 비중 있는 탐험지 중 하나였습니다.,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,"This was one of the most prominent expedition sites featured in Henry Louis Gates’s PBS special, “The Wonders of Africa.”",15.786779061594974,52.979464122562256,60.004595852243355
Korean,L_to_en,6,아르헨티나는 세계 최고의 폴로 팀과 선수를 보유한 것으로 유명합니다.,Argentina is well known for having one of the best polo teams and players in the world.,Argentina is famous for having the world’s best polo teams and players.,26.531275932033644,62.34242779639647,65.34447583176396
Korean,L_to_en,7,수면 방해는 정상적인 수면 기간 동안 의도적으로 잠을 깨운 다음 짧은 시간(10–60분)이 지난 후에 잠드는 과정입니다.,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,Sleep disruption is the process of intentionally waking someone during a normal sleep period and then falling asleep again after a short time (10–60 minutes).,36.07215127026265,64.69043140815151,88.9963164147433
Korean,L_to_en,8,"""예를 들어, """"학습""""과 """"사회화""""가 인터넷 사용에 대한 중요한 동기로 제시되었습니다(제임스 외, 1995년)""","For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","For example, “learning” and “socialization” were identified as important motivations for using the Internet (James et al., 1995).",63.55183125619188,80.40465411505684,91.53828756917837
Korean,L_to_en,9,"부시는 중간 선거에서 일주일 내내 이어진 패배 이후, 아시아에서의 무역 확장 정책을 발표했습니다.","After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","After a weeklong string of defeats in the midterm elections, Bush announced a policy to expand trade in Asia.",19.514193023219963,54.98104496320415,54.72697306206263
Korean,L_to_en,10,"Haldarsvik 마을에서는 근처에 있는 Eysturoy 섬을 볼 수 있으며, 특이한 팔각형 모양의 교회가 있습니다.",The village of Haldarsvík offer views of the nearby island Eysturoy and has an unusual octagonal church.,"In the village of Haldarsvik, you can see the nearby island of Eysturoy, and there is a distinctive octagonal-shaped church.",9.84934946888872,56.68849391410708,58.42717717717718
Korean,L_to_en,11,이 법칙은 주요 피사체를 위치시키기에 가장 효과적인 위치는 이미지를 수직과 수평으로 삼등분한 선들이 교차하는 점(예시 참조)이라고 명시한다.,It states that the most effective place for the main subject is at the intersection of lines dividing the image into thirds vertically and horizontally (see example).,This rule states that the most effective position for placing the main subject is the point where the lines that divide the image into thirds vertically and horizontally intersect (see example).,45.50775108417252,76.45352018640611,83.85901739946574
Korean,L_to_en,12,"지하철의 정규 안내 방송은 카탈로니아어로만 제공되나, 계획에 없던 운행 중단 시에는 자동 시스템을 통해 스페인어, 영어, 프랑스어, 아라비아어, 일본어를 포함한 다양한 언어로 방송됩니다.","Regular announcements in the Metro are made only in Catalan, but unplanned disruptions are announced by an automated system in a wide variety of languages including Spanish, English, French, Arabic and Japanese.","The regular announcements on the subway are provided only in Catalan, but in the event of an unplanned service interruption, the automated system broadcasts in a variety of languages, including Spanish, English, French, Arabic, and Japanese.",33.32742327240475,69.74579815108811,66.97612732095492
Korean,L_to_en,13,기독교의 주요 교리 중 하나에 따르면 부는 고통과 빈곤을 완화하기 위해 사용되어야 하며 교회의 통화 기금은 특히 그러한 이유로 존재한다고 합니다.,One of the main Christian tenets is that wealth should be used to alleviate suffering and poverty and that the monetary funds of the church are there specifically for that reason.,"According to one of Christianity’s main doctrines, wealth should be used to alleviate suffering and poverty, and it is said that the church’s monetary fund exists especially for that purpose.",30.023685775352963,62.77720825212977,65.74378362658136
Korean,L_to_en,14,또한 NHK는 니카타현의 카시와자키 카리와 원자력 발전소가 정상적으로 운영되고 있다고 보고했습니다.,NHK also reported that the Kashiwazaki Kariwa nuclear power plant in Niigata prefecture was operating normally.,"Also, NHK reported that the Kashiwazaki-Kariwa nuclear power plant in Niigata Prefecture is operating normally.",36.00565854285029,83.09756577946048,80.47719087635053
Korean,L_to_en,15,"다행히도, 운전자들은 상당히 일관된 범위 내에서 행동하는 경향이 있습니다. 따라서, 교통 흐름은 어느 정도 합당한 일관성을 가지며 수학적으로 대략 표현할 수 있습니다.","Fortunately, drivers tend to behave within a reasonably consistent range; thus, traffic streams tend to have some reasonable consistency and can be roughly represented mathematically.","Fortunately, drivers tend to behave within a fairly consistent range. Therefore, traffic flow has a certain reasonable degree of consistency and can be roughly expressed mathematically.",40.46824617073316,68.80035446944417,69.32463707132338
Korean,L_to_en,16,"아쉽게도, 좀 더 새로운 필기 방식이 등장하면서 연필을 덜 사용하게 되고, 연필은 덜 중요한 위치로 밀려났다.","Sadly, as newer methods of writing have emerged, the pencil has been relegated to lesser status and uses.","Unfortunately, as a newer way of taking notes emerged, people ended up using pencils less, and pencils were pushed into a less important position.",4.491575568657404,32.11341792138814,25.34562211981567
Korean,L_to_en,17,동시에 U보트를 주로 사용하는 독일 해군은 이 운행을 막으려고 노력했습니다.,"At the same time, the German navy, using mainly U-boats, was trying to stop this traffic.","At the same time, the German Navy, which primarily used U-boats, tried to prevent this operation.",35.37053193768173,47.695647453540154,77.89062500000001
Korean,L_to_en,18,선박을 이용하여 상품을 운송하는 것은 많은 사람과 대량의 상품을 바다를 가로질러 이동시키는 가장 효율적인 방법이다.,Using ships to transport goods is by far the most efficient way to move large amounts of people and goods across oceans.,Transporting goods using ships is the most efficient way to move many people and large quantities of goods across the sea.,28.26524575751356,60.80159758235348,76.92121593342122
Korean,L_to_en,19,"그러나 전체 결핵 환자 중 XDR-TB가 있는 비율은 그리 높지 않은 듯합니다. 어느 특정 순간에 남아프리카에서 결핵에 걸린 환자가 330,000명이라고 할 때, 6,000명 정도가 XDR-TB가 있는 수준입니다.","However, the percentage of XDR-TB in the entire group of people with tuberculosis still seems to be low; 6,000 of the total 330,000 people infected at any particular moment in South Africa.","However, it seems that the proportion of XDR-TB among all tuberculosis patients is not very high. If, at a certain point in time, there are 330,000 people in South Africa who have tuberculosis, then about 6,000 of them are at the level of having XDR-TB.",5.552318099567847,47.038937552629555,37.86543715846994
Korean,L_to_en,20,"""이 법안은 캘리포니아 주에서 판매되는 폭력적인 비디오 게임에는 """"18""""이라는 라벨을 붙여야 하며, 이 게임을 미성년자에게 판매하는 경우 1000달러의 벌금에 처하도록 규정하고 있습니다.""","The bill requires violent video games sold in the state of California to be labeled with a decal reading ""18"" and makes their sale to a minor punishable by a fine of $1000 per offense.","This bill requires that violent video games sold in the state of California be labeled with “18,” and provides for a $1,000 fine for selling these games to minors.",26.848289975988834,53.7919047256902,48.08683052484706
Korean,L_to_en,21,여기는 영국 식민지 개발자들이 자신들의 소유로 삼았던 곳이기 때문에 과거 식민지 영토에 대한 증거를 찾고 있다면 여기서부터 시작하면 좋다.,"This is the place the British colonisers took as their own and so if you are looking for evidence of the territory's colonial past, this is a good place to start.","Here is where British colonial developers once took ownership, so if you’re looking for evidence of former colonial territory, it’s best to start from here.",10.867274441084666,48.17080015442137,43.48293441985217
Korean,L_to_en,22,"1980년대에 그는 택시, 치어스, 더 트레이시 울먼 쇼와 같은 프로그램에서 일했습니다.","During the 1980s he worked on shows such as Taxi, Cheers, and The Tracy Ullman Show.","In the 1980s, he worked on programs such as Taxi, Cheers, and The Tracey Ullman Show.",50.69487414732324,74.21234230672627,83.1151832460733
Korean,L_to_en,23,자연을 소재로 한 관광은 식물과 동물 야생동물을 포함한 풍경을 감상하기 위한 목적으로 자연 탐방에 관심이 있는 사람들을 끌어모으고 있습니다.,"Nature-based tourism attracts people interested in visiting natural areas for the purpose of enjoying the scenery, including plant and animal wildlife.","Tourism based on nature is attracting people interested in nature exploration for the purpose of appreciating landscapes that include plants and animals, including wildlife.",16.279348731624776,56.421254569805726,67.54830182514813
