Lang,Index,Source,Reference,LLM_Translation,ChrF
Chamorro,0,Ennåo na mumentu na ha tutuhun tumailayi i rilihon-mu.,It’s at that moment that your religion begins to be unkind.,That was the moment when you began to doubt your religion.,39.99
Chamorro,1,i Chamorro na nasion,the Chamorro nation,the Chamorro nation,100.0
Chamorro,2,Fåttu mågi agupa’ ya bai hu nå’i håo ni malago’-mu.,Come back tomorrow and I will give what you want.,Come tomorrow and I will give you what you want.,76.42
Chamorro,3,Ti u’uchan.,It is no longer raining.,I didn’t eat.,6.41
Chamorro,4,"Tengnga un butleha i taotåo, pues uttimon-ña asaguå-mu.","Oftentimes you mock the person, then you end up being their spouse (lit. in the end s/he is your spouse).","Hold your tongue about the man, because you’ve already insulted your spouse.",21.7
Chamorro,5,Meggai hånum.,There’s a lot of water.,A lot of water.,55.76
Chamorro,6,Fatå’chung guennåo ya un ketu.,Sit there and keep still.,Sit down there and eat some rice.,36.53
Chamorro,7,put i lina’la’ yan sinientin i taotåo siha,about the lives and feelings of people,about the life and feelings of the people,71.67
Chamorro,8,Chetdan tanduki i mås ya-hu na chotda.,Tanduki banana is my favorite banana.,The deer antlers are the ones I like best.,8.78
Chamorro,9,Manmahulat ham ni mañaina gi hunta.,We (excl.) were subdued by the parents at the meeting.,We were written by the elders at the meeting.,42.5
Chamorro,10,ginin i asaguå-ña,from his wife,from his/her spouse,46.07
Chamorro,11,Manrinimåta siha i famalåo’an ni taotåo ginin i lanchun-ñiha.,The women had been chased away from their farm by the man.,The women from their village were getting ready.,32.55
Chamorro,12,Pues i palu siha mangginin iya Truk ...,Then there were some who were from Truk...,So the sticks came from Truk ...,36.35
Chamorro,13,Bula ginimen-mu letchi.,You drank a lot of milk (today).,You drank a lot of milk.,70.64
Chamorro,14,Hu na’hånåo paketi para i dos lahi-hu.,I sent a parcel to my two sons.,I delivered a package for my two sons.,41.7
Chamorro,15,Na’banidosu håo ni lingguahi-mu.,Be proud (lit. make yourself proud) of your native language.,You are embarrassed by your language.,23.69
Chamorro,16,Ma li’i’ i hagas pumoksai siha na tåotåo.,They saw the people who nurtured them in the past.,They saw the ancient people who were the first to come out.,44.69
Chamorro,17,Pumåra hu sienti i taotåo siha gi uriyå-hu.,I stopped feeling the people around me.,I felt the people around me.,58.03
Chamorro,18,Ha poksai båtbas achai-ña si Tatå-hu ya nina’måtan åmku’.,My father grew a beard on his chin and it made him look older (lit. be old-faced).,He slapped my father’s face and the old man was stunned.,20.78
Chamorro,19,"Guaha na åtgidun mampus å’paka’, guaha åhi’.","Some cottons are very white, some (are) not.",There is a very strong smell of smoke; there is fire.,15.89
Chamorro,20,i tiempok-ku på’gu guini,my time here today,“My time right now here.”,30.02
Chamorro,21,I lugat-måmi an ogga’an mampus å’asgun.,Our (excl.) place is always so foggy in the morning.,Our place in the morning is very hot.,38.97
Chamorro,22,Hu nigosiu yan i primu-hu i tano’-ña.,I agreed with my cousin on his property.,My cousin and I did business with his land.,25.5
Chamorro,23,Sen ma’å’ñåo si Juan ni dangkulun pakpak gi paingi.,Juan was terrified by (lit. extremely afraid of) the loud noise last night.,Juan was very scared of the big bat last night.,28.98
Chamorro,24,Kada diha humånåo pumeska si Orasima’.,Every day Orasima’ went to fish.,Every day Orasima’ went fishing.,77.69
