Lang,Index,Source,Reference,LLM_Translation,Status,BLEU,ChrF,METEOR
Chamorro,0,['hafa tatatmanu hao'],how are you,How are you?,completed,31.947155212313625,80.7971795938625,94.98207885304659
Chamorro,1,['hafa tatatmanu hao'],how are you doing,What are you doing?,completed,39.76353643835254,71.98217025494581,71.81571815718158
Chamorro,2,['hafa bidada mu'],what are you doing,What did you do? (or: What have you done?),completed,2.8398387225677895,29.696829424608566,30.000000000000004
Chamorro,3,['Hu guaiya hao'],I love you,I love you.,completed,59.460355750136046,96.17320480751631,94.98207885304659
Chamorro,4,['ginen manu hao'],where are you from,Where are you from?,completed,39.76353643835254,90.37642787234118,96.79878048780488
Chamorro,5,['kuantos anos hao'],how old are you,How old are you?,completed,39.76353643835254,87.22832118323053,96.79878048780488
Chamorro,6,"[""hafa un cho'cho'gui pagu""]",what are you doing now,What are you doing now?,completed,50.81327481546147,92.26506423113229,97.64705882352942
Chamorro,7,"[""gatbo lumi'e hao""]",nice to meet you,I can see you.,completed,10.682175159905853,15.142196626566239,45.731707317073166
Chamorro,8,['Ti hu komprendi'],I don't understand,I don’t understand.,completed,18.99589214128981,72.45324739600863,23.80952380952381
Chamorro,9,['hafa tatatmanu hao pagu'],how are you doing today,What are you doing now?,completed,30.213753973567677,56.297770570216386,77.8186274509804
Chamorro,10,"[""Si Yu'os ma'ase pot i pinasensia-mu mentras in inbestitiga i binatko""]",Thank you for your patience while we investigate shipment,Thank you for your patience while we investigate the accident.,completed,67.86502681586727,84.07625664558151,86.87160326086956
Chamorro,11,"[""Ti hu tungo'""]",I don't know,I don’t know.,completed,18.99589214128981,47.18447798311147,23.80952380952381
Chamorro,12,['manu ni gaigui hao'],where are you,Where are you?,completed,31.947155212313625,85.64453649560136,94.98207885304659
Chamorro,13,"[""hayi na'an-mu""]",what is your name,Who is your name?,completed,39.76353643835254,65.61013061013061,71.81571815718158
Chamorro,14,['Mahalang yu nu hagu'],I miss you,I miss you.,completed,59.460355750136046,96.17320480751631,94.98207885304659
Chamorro,15,['buen prubecho'],you are welcome,Enjoy your meal.,completed,0.0,16.95013918109087,0.0
Chamorro,16,['hafa kumeke ilek-mu'],what do you mean,What are you trying to say?,completed,6.567274736060395,18.698940648855537,23.255813953488374
Chamorro,17,['esta guinaiya-ku'],okay my love,My love,completed,30.326532985631665,32.818103141278876,64.6551724137931
Chamorro,18,"[""dangkulo na si Yu'os ma'ase""]",thank you so much,"Thank you very much, God.",completed,7.809849842300641,46.445803789191565,59.43152454780362
Chamorro,19,['hunggan guinaiya-hu'],yes my love,"Yes, my love.",completed,21.3643503198117,52.90627164833901,79.86111111111111
Chamorro,20,['Hu sen guiya hao'],I love you so much,I really like you.,completed,12.70331870386537,15.050556263204456,20.000000000000004
Chamorro,21,['put i otro'],by the way,because of the other,completed,15.97357760615681,14.439430881743034,16.12903225806452
Chamorro,22,['ya hafa hagu'],what about you,And what about you?,completed,39.76353643835254,92.064567923982,92.0138888888889
Chamorro,23,['kao umasagua hao'],are you married,Did you get married?,completed,12.70331870386537,47.254990929257005,31.25
Chamorro,24,['hayi hao'],who are you,Who are you?,completed,31.947155212313625,80.7971795938625,94.98207885304659
Chamorro,25,"[""dangkulo na si Yu'os ma'ase""]",thank you very much,"Thank you very much, God.",completed,24.446151121745054,86.03087155889287,92.29651162790698
Chamorro,26,['biba anu nuebu'],happy new year,Long live the New Year.,completed,0.0,14.20231397982284,56.81818181818182
Chamorro,27,['manu gaigi hao pagu'],where are you now,Where are you now?,completed,39.76353643835254,89.51894699574923,96.79878048780488
Chamorro,28,['buenas hafa tatatmanu hao'],hello how are you,"Hello, how are you?",completed,30.213753973567677,66.16897786610095,89.28571428571429
Chamorro,29,['kao gaigi hao guenao'],are you there,Are you there? (over there)?,completed,9.535414040914189,67.0155282772822,70.98765432098766
Chamorro,30,['esta guinaiya-ku'],ok my love,My love,completed,30.326532985631665,41.95175911936111,64.6551724137931
Chamorro,31,"[""i na'an-hu si""]",my name is,my name is Si,completed,59.460355750136046,92.72100013663068,94.98207885304659
Chamorro,32,['hafa ofisiu-mu'],what do you do,What is your job/profession?,completed,0.0,17.702712402231285,12.195121951219512
Chamorro,33,['kao umasagua hao pat sino mamaisa'],are you married or single,"Did you get married, or did someone marry you?",completed,4.932351569489709,32.54302054810106,26.785714285714285
