LP,Target Language Name,ISO639-3,ISO 15924 Script,Glottocode,Continent,Endonym,Alternate names,N Smoldoc,N SmolSent,N Gatitos
am_ar,Arabic,ara,Arab,stan1269,Asia,اللُّغَة العَرَبِيّة,Arabic (MSA); Arabic (Standard); Arabic (Fusha); fuṣḥā; MSA,329,0,0
am_zh,Mandarin Chinese,zho,Hans,mand1415,Asia,汉语,,329,0,0
en_aa,Afar,aar,Latn,afar1241,Africa,Qafar,,66,863,3990
en_ab,Abkhaz,abk,Cyrl,abkh1244,Asia,Аҧсуа,Abkhazian,0,0,3976
en_ace,Acehnese,ace,Latn,aceh1245,Asia,Aceh,Achinese; Dayan; Aceh,0,0,4001
en_ach,Acholi,ach,Latn,acol1240,Africa,Acholi,Luo; Acoli,66,863,4001
en_ady,West Circassian,ady,Cyrl,adyg1241,Europe,Черкес,Adyghe,0,0,4001
en_aeb,Tunisian Arabic,aeb,Arab,tuni1253,Africa,اللغة العربيّة التونسيّة,Arabic (Tunisia); Tounsi,66,862,3998
en_af,Afrikaans,afr,Latn,afri1274,Africa,Afrikaans,,130,863,0
en_ahr,Ahirani,ahr,Deva,ahir1247,Asia,"खान्देशी, अहिराणी",,457,0,0
en_aii,Assyrian Neo-Aramaic,aii,Syrc,assy1244,Asia,ܣܘܪܝܬ,Assyrian; Assyrian Neo–Aramaic; Sureth; Suret,0,0,3717
en_ak,Twi,aka,Latn,akan1250,Africa,Twi,Akan (includes Akuapem + Fante); Asante,260,863,4000
en_alz,Alur,alz,Latn,alur1245,Africa,Lur,,66,863,3992
en_am,Amharic,amh,Ethi,amha1245,Africa,አማርኛ,,584,863,0
en_apc,North Levantine Arabic,apc,Arab,nort3190,Asia,شامي‎,,0,0,3998
en_apd,Sudanese Arabic,apd,Arab,suda1253,Africa,عربي سوداني,Arabic (Sudan),66,855,3995
en_ar-MA,Morrocan Arabic,ara,Arab,stan1269,Africa,الدارجة,Arabic (Morocco); Darija,260,863,3989
en_arn,Mapudungun,arn,Latn,mapu1245,Americas,Mapudungun,Mapuche,0,0,4001
en_arz,Egyptian Arabic,arz,Arab,egyp1253,Africa,اللهجة المصرية,Arabic (Egypt); Masri; Masry,260,863,4001
en_as,Assamese,asm,Beng,assa1263,Asia,অসমীয়া,,0,0,3975
en_av,Avar,ava,Cyrl,avar1255,Europe,магӏарул мацӏ,Avaric,0,0,4001
en_awa,Awadhi,awa,Deva,awad1243,Asia,अवधी,Audhi,0,0,3999
en_ay,Aymara,aym,Latn,cent2131,Americas,Aymar aru,,0,863,3990
en_ayl,Libyan Arabic,ayl,Arab,liby1242,Africa,العربية الليبية,Arabic (Libya); Sulaimitian Arabic,66,863,3999
en_ba,Bashkir,bak,Cyrl,bash1264,Europe,Башҡорт,Bashkort,0,0,3986
