Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Basque,L_to_en,0,"Vatikano Hiriak 800 biztanle ditu gutxi gorabehera. Munduko herrialde independente txikiena da, eta biztanle kopuru baxuena daukana.",Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,"Vatikano Hiriak 800 biztanle ditu gutxi gorabehera. Munduko herrialde independente txikiena da, eta biztanle kopuru baxuena daukana.",2.063004465487746,20.29310809291065,2.11864406779661
Basque,L_to_en,1,Vatikano Hiriko biztanle guztiak katoliko erromatarrak dira.,All citizens of Vatican City are Roman Catholic.,All the inhabitants of Vatican City are Roman Catholics.,42.7287006396234,74.02382270201208,87.22527472527472
Basque,L_to_en,2,"Landare-komunitate anitza eta nabaria dauka, mikroklima sortari, lurzoru desberdinei eta altitude-maila ugariei esker.","It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","The plant community is diverse and distinctive, thanks to the creation of a microclimate, different types of soil, and numerous elevation levels.",2.5688686451917864,38.69960321751361,33.44784128790958
Basque,L_to_en,3,Amazonas ibaia Lurreko bigarren ibai luzeena eta ibairik handiena da. Bigarren ibai handienak baino 8 bider ur gehiago darama.,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,The Amazon River is the longest and largest river on Earth. It carries 8 times more water than the next largest rivers.,33.8453804982874,60.908341206994876,60.257787325456505
Basque,L_to_en,4,Lehoi-taldeek otsoen edo txakurren taldeen era berean funtzionatzen dute; lehoien oso antzekoak dira portaerari dagokionez (baina ez dira beste katu handi batzuk bezalakoak) eta harrapakinentzat oso arriskutsuak dira.,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.",Lehoi-taldeek otsoen edo txakurren taldeen era berean funtzionatzen dute; lehoien oso antzekoak dira portaerari dagokionez (baina ez dira beste katu handi batzuk bezalakoak) eta harrapakinentzat oso arriskutsuak dira.,1.4341156788554827,17.721404673493115,4.437869822485207
Basque,L_to_en,5,Henry Louis Gatesen PBS programaren Afrikar lurralde zoragarriak saio berezian geldialdi nagusienetakoa izan zen.,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,Henry Louis Gatesen PBS programaren Afrikar lurralde zoragarriak saio berezian geldialdi nagusienetakoa izan zen.,4.787344337843918,28.66608910952902,16.185897435897438
Basque,L_to_en,6,Argentina oso ezaguna da poloko talde eta jokalaririk onenak izateagatik.,Argentina is well known for having one of the best polo teams and players in the world.,Argentina is very well known for having the best polo team and players.,24.04942336449056,67.07209367494563,71.76237224314148
Basque,L_to_en,7,"Loaren etenaldiaren prozesuan, loaldi arruntean berariaz esnatu eta handik gutxira loak hartzen zaitu berriro (10-60 minutu).",Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,"In the process of the interruption of sleep, you wake up deliberately in ordinary sleep and then, shortly after, you fall asleep again (10–60 minutes).",16.618655166630525,46.47550108219949,52.34527587890625
Basque,L_to_en,8,"Esaterako, “ikastea” eta “sozializatzea” omen dira Internet erabiltzeko motibazio nagusiak (James et al., 1995).","For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","For example, “learning” and “socializing” are said to be the main motivations for using the Internet (James et al., 1995).",47.792896573451614,67.37994320418647,87.00324164252802
Basque,L_to_en,9,"Legealdiaren erdiko hauteskundeetan astebetez galtzen joan ondoren, Bush-ek ikus-entzuleei azaldu zien Asian negozioak hedatzeko helburua zuela.","After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","After losing a week in the middle elections, Bush told the audience that his goal was to expand business in Asia.",13.841198558938936,47.695247060823625,59.389140271493225
Basque,L_to_en,10,"Haldarsvík herriak hurbileko Eysturoy uhartearen ikuspegiak eskaintzen ditu, eta ohiz kanpoko eliza oktogonal bat dauka.",The village of Haldarsvík offer views of the nearby island Eysturoy and has an unusual octagonal church.,"Haldarsvík village offers views of the nearby island of Eysturoy, and it has an unusual octagonal church.",48.2457299495954,79.11483300541573,86.95444378596416
Basque,L_to_en,11,"Arauak esaten duenez, subjektu nagusia kokatzeko tokirik eraginkorrenak irudia bertikalean eta horizontalean herenetan zatitzen duten lerroak gurutzatzen diren puntuak dira (ikusi adibidea).",It states that the most effective place for the main subject is at the intersection of lines dividing the image into thirds vertically and horizontally (see example).,"According to the rules, the points where the lines that divide the image of the most effective places for positioning the main subject into thirds vertically and horizontally are crossed are (see the example).",20.79378817737451,67.30511635854637,78.54114335595817
Basque,L_to_en,12,"Metroko ohiko iragarpenak katalanez egiten dira soilik, baina ezusteko etenaldiak sistema automatizatu batek esaten ditu hainbat hizkuntzatan, hala nola gaztelaniaz, ingelesez, frantsesez, arabieraz eta japonieraz.","Regular announcements in the Metro are made only in Catalan, but unplanned disruptions are announced by an automated system in a wide variety of languages including Spanish, English, French, Arabic and Japanese.","Metroko ohiko iragarpenak katalanez egiten dira soilik, baina ezusteko etenaldiak sistema automatizatu batek esaten ditu hainbat hizkuntzatan, hala nola gaztelaniaz, ingelesez, frantsesez, arabieraz eta japonieraz.",1.4778513976107148,23.45356243276454,6.868131868131868
Basque,L_to_en,13,Kristautasunaren printzipio nagusietako bat da aberastasuna sufrimendua eta pobrezia arintzeko erabili behar dela eta elizaren diru-funtsak zehazki helburu horretarako direla.,One of the main Christian tenets is that wealth should be used to alleviate suffering and poverty and that the monetary funds of the church are there specifically for that reason.,"One of the main principles of Christianity is that wealth must be used to alleviate suffering and poverty, and that the Church’s funds are specifically intended for that purpose.",36.42241210467654,63.67765790217547,74.67418754262752
Basque,L_to_en,14,NHK-k ere jakinarazi zuen Kashiwazaki Kariwa indar nuklearreko instalazioa (Niigata prefekturakoa) ohi bezala funtzionatzen ari zela.,NHK also reported that the Kashiwazaki Kariwa nuclear power plant in Niigata prefecture was operating normally.,NHK also reported that the Kashiwazaki-Kariwa nuclear power plant (in Niigata Prefecture) was operating as usual.,30.752616970214337,78.82855395646574,79.54140958709066
Basque,L_to_en,15,"Zorionez, gidariek nahiko portaera erregularra dute; beraz, trafiko-korronteak aski koherenteak dira eta matematikoki adieraz daitezke gutxi gorabehera.","Fortunately, drivers tend to behave within a reasonably consistent range; thus, traffic streams tend to have some reasonable consistency and can be roughly represented mathematically.","Fortunately, the drivers have fairly irregular behavior; therefore, the traffic streams are sufficiently coherent and can be expressed approximately in mathematical terms.",8.058028518356881,40.38622561594802,37.781168175164424
Basque,L_to_en,16,"Zoritxarrez, idazteko metodo berriagoak sortu ahala, arkatza alboratu egin da maila baxuagoko estatus eta erabilerara.","Sadly, as newer methods of writing have emerged, the pencil has been relegated to lesser status and uses.","Unfortunately, as newer methods of writing have been developed, the pencil has been set aside for a lower-status role and use.",40.28998029112093,62.95979080858732,70.14084507042254
Basque,L_to_en,17,"Era berean, Alemaniako itsas-armadak U-ontziak erabili zituen trafiko hori geldiarazteko.","At the same time, the German navy, using mainly U-boats, was trying to stop this traffic.","At the same time, the German navy used U-boats to stop that traffic.",40.99453631759975,60.121925469506174,67.3076923076923
Basque,L_to_en,18,Merkantziak garraiatzeko itsasontziak erabiltzea da ozeanoetan zehar jende eta merkantzia kantitate handiak mugitzeko modurik eraginkorrena.,Using ships to transport goods is by far the most efficient way to move large amounts of people and goods across oceans.,Using ships to transport goods is the most efficient way to move large quantities of people and goods across the oceans.,63.64970309311582,81.40394620859095,86.65393013100439
Basque,L_to_en,19,"Hala ere, tuberkulosia duten pertsona guztien artean SXDR-TB dutenen ehunekoa txikia da; Hegoafrikan, infektatuta egon daitezkeen 330.000 pertsonetatik 6.000 pertsonek izango lukete.","However, the percentage of XDR-TB in the entire group of people with tuberculosis still seems to be low; 6,000 of the total 330,000 people infected at any particular moment in South Africa.","However, among all people who have tuberculosis, the proportion of those with XDR-TB is small; in South Africa, out of 330,000 people who could be infected, 6,000 people would be affected.",7.39878838055261,45.86314725133897,39.37144886363636
Basque,L_to_en,20,"Lege-proiektuaren arabera, Kalifornia-ko estatuan saldutako bideo-joko bortitzek “18” jartzen duen itsasgarri bat izan behar dute, eta $1.000eko isuna jarriko da horiek adingabeei saltzen zaizkien bakoitzean.","The bill requires violent video games sold in the state of California to be labeled with a decal reading ""18"" and makes their sale to a minor punishable by a fine of $1000 per offense.","Under the bill, violent video games sold in the state of California must carry a label of “18,” and a $1,000 fine will be imposed each time they are sold to minors.",23.86629726403881,45.47126520820552,49.17363604997546
Basque,L_to_en,21,"Hori da kolono britainiarrek beraientzat hartu zuten tokia; beraz, lurraldearen iragan kolonialaren zantzuen bila ari bazara, abiapuntu egokia da hau.","This is the place the British colonisers took as their own and so if you are looking for evidence of the territory's colonial past, this is a good place to start.","This is the place that the British colonists took for themselves; therefore, if you are looking for traces of the colonial past of the territory, this is a suitable starting point.",27.927203502911638,61.77640074510825,64.7885101010101
Basque,L_to_en,22,"1980ko hamarkadan, Taxi, Cheers eta The Tracy Ullman Show saioetan lan egin zuen, besteak beste.","During the 1980s he worked on shows such as Taxi, Cheers, and The Tracy Ullman Show.","In the 1980s, he worked on, among other things, Taxi, Cheers, and The Tracy Ullman Show.",50.41350242010639,68.85040563059263,77.40932642487046
