Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Chamorro,en_to_L,0,Goodbye.,Adios.,Adiós.,49.99999999999999,28.055555555555557,25.0
Chamorro,en_to_L,1,Call the police!,Ågang i polisia!,Tawga’ i pulisia!,18.99589214128981,35.58444409240438,24.390243902439025
Chamorro,en_to_L,2,He is American.,Amerikanu gue'.,Håo American siya.,15.97357760615681,24.037861040022985,12.5
Chamorro,en_to_L,3,She is American.,Amerikanu gue'.,Håo American siya.,15.97357760615681,24.037861040022985,12.5
Chamorro,en_to_L,4,You are American.,Amerikanu hamyo.,Haole hao.,27.516060407455225,9.851055806938161,16.666666666666664
Chamorro,en_to_L,5,You are American.,Amerikanu hao.,Haole hao.,55.03212081491043,17.745320014047124,62.5
Chamorro,en_to_L,6,I am American.,Amerikanu yu'.,Håo Amerikano.,27.516060407455225,52.34233359233359,12.820512820512823
Chamorro,en_to_L,7,John is older than Robert.,Åmko'ña si John kinu si Robert.,Si John mas bibu i Robert.,14.535768424205482,38.62805377114335,45.08928571428571
Chamorro,en_to_L,8,Ken is older than Seiko.,Åmko'ña si Ken kinu si Seiko.,Si Ken mas matuod na Seiko.,14.535768424205482,28.399393740714824,45.08928571428571
Chamorro,en_to_L,9,Mom is older than Dad.,Åmko'ña si nåna kinu si tåta.,Inay mas matinas na kayi Papa.,6.567274736060395,13.984580509702878,7.142857142857142
Chamorro,en_to_L,10,Sami is older than Layla.,Åmko'ña si Sami kinu si Layla.,Sami na mas matuod na mas labay Layla.,10.552670315936318,26.722217278429312,35.49382716049382
Chamorro,en_to_L,11,Tom is older than Mary.,Åmko'ña si Tom kinu si Maria.,Si Tom mas bibuha (mas matu) ki Mary.,4.456882760699064,21.128381589752504,20.27027027027027
Chamorro,en_to_L,12,"When I was 17 or 18 years old, I started buying candy with my own money and I always bought marshmallows.","Anai mafiti pat magualu sakkan-hu, hu tutuhon mamåhan kandi ni salape'hu mismo ya todo i tiempu hu fåfahan måsmelu.","Kada iha 17 ni 18 años, kuminsíbi na kumprá i candy gi nu’ i manmanu, yan siempre kumprá i marshmallows.",2.328734903585348,16.814722263192053,9.389671361502348
Chamorro,en_to_L,13,"Long time, no see.",Åpmam tiempo ti hu li'e hao.,"Matångga na, ta’ siha ha’åna.",6.567274736060395,7.186103549232113,5.494505494505494
Chamorro,en_to_L,14,Until tomorrow.,Asta agupa'.,Ate biba i dumingu.,10.682175159905853,9.848722780569515,12.195121951219512
Chamorro,en_to_L,15,Until next time.,Asta i biråda.,Håsta na’ i sunod na bes.,7.809849842300641,15.113596669037912,22.727272727272727
Chamorro,en_to_L,16,Until next time.,Asta otro bi'åhi ta'lo.,Håsta na’ ma’åse na’ i tiempo.,6.567274736060395,12.147133812954708,8.92857142857143
Chamorro,en_to_L,17,I'll take you there.,Bai hu konne' hao guatu guihi.,Hao na’fan hao iha.,8.515289178380433,11.691774693442108,12.658227848101264
Chamorro,en_to_L,18,I leave in the morning.,Bai karera gi ega'an.,Håo i biyahe na mañåna.,8.116697886877475,8.241758241758241,9.803921568627452
Chamorro,en_to_L,19,It's a cup without a saucer.,Båsȗn taifondȗ.,Iya na tasa yan maninangga na walang saucer.,4.767707020457095,7.219801742745224,13.888888888888893
Chamorro,en_to_L,20,Good day.,Buenas dihas.,Maolek na dì.,15.97357760615681,10.017799774246768,16.12903225806452
