Lang,Index,Source,Reference,LLM_Translation,ChrF
Igbo,0,O gà-àzụ̀rụ̀ ya,He is going to buy it for himself.,He will buy it for himself.,59.81
Igbo,1,m/mū nà unù,I and you(pl.),I and you (pl.),100.0
Igbo,2,mÙkpu` àla,landscraper,the whole land,18.0
Igbo,3,Achòrò m ìtùpòsì akwa à,I want to put spots on this cloth.,I want to put spots on this cloth.,100.0
Igbo,4,lìdebe nnī,stop eating,Eat food.,7.15
Igbo,5,Ō gàala ngwa ǹgwa,He has been there (and back) quickly.,He has gone quickly.,31.57
Igbo,6,a sìrì,An unidentified person has said…,we said,8.11
Igbo,7,M̄mū kwa nū,What of me!,I myself,5.81
Igbo,8,Ejèrè hà,They went,They went.,96.17
Igbo,9,îfùk ífûk,He counted.,He counted.,100.0
Igbo,10,NÙgi` nà nwunyè i wà/wè kà wa chò`,"They want you and your wives, in particular/especially",You and the woman you are with are the ones we want.,19.27
Igbo,11,O mààrà ihe,He is well informed.,He knew something.,14.08
Igbo,12,O bù ihe nà e mè ème,This is something worth doing.,It is something that is done.,43.69
Igbo,13,O bìela ebè a.,He had (once) lived here.,He has come here.,25.3
Igbo,14,Àdâ mà mma,Ada is beautiful.,Ada was beautiful.,73.21
Igbo,15,isī n’EBE,to come from a PLACE,to be at a place,6.66
Igbo,16,I kwèsì`rì` i`laÛ ùgbu à,You ought to go by now.,You ought to have gone by now.,67.1
Igbo,17,Ò nwèrè onye sī ebe ahù bi a?,Did anybody come from there?,Is there anyone who lives there?,22.9
Igbo,18,Wèta nÙke dī` mmaÛ,Bring that which is good.,Bring that which is good.,100.0
Igbo,19,O` gà-àla echī,He will go tomorrow.,He will go tomorrow.,100.0
Igbo,20,Nwatà zàrà ulo à,A child swept this house.,The child swept this house.,92.53
Igbo,21,O kpòsàrà yà èkpòsa,He really threw it over.,He really threw it upon him.,70.4
Igbo,22,Igwè bù ike,Unity is strength,Strength is power.,37.59
Igbo,23,m/mū nà gī,I and you,I and you.,95.15
Igbo,24,Kèdu ya /ha ?,How about him/them?,How is he/she/it / they?,19.78
Igbo,25,Chike jèrè ahīa.,Chike went to the market!,Chike went to the market.,94.55
Igbo,26,Èbee kà o gàrà?,Where did he go to?,Where did he go?,80.44
Igbo,27,Wèrue anya gị àlà,Watch out carefully.,Look down.,2.06
