Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Georgian,L_to_en,0,"ვატიკანში დაახლოებით 800 ადამიანი ცხოვრობს. იგი მსოფლიოს ყველაზე პატარა დამოუკიდებელი ქვეყანაა, მოსახლეობის ყველაზე მცირე რაოდენობით.",Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,"About 800 people live in Vatican City. It is the world’s smallest independent country, with the smallest population.",19.064433353290465,58.67900700936455,50.38586703858671
Georgian,L_to_en,1,ყველა მოქალაქე ვატიკანში არის კათოლიკე.,All citizens of Vatican City are Roman Catholic.,All citizens in Vatican City are Catholic.,26.663544297126496,70.60640692729869,75.55606512267829
Georgian,L_to_en,2,"მიკროკლიმატის მრავალფეროვნების, სხვადასხვა ნიადაგისა და ზღვის დონიდან განსხვავებული სიმაღლის გამო, იგი გამოირჩევა მრავალფეროვანი ნიადაგით და სიმაღლის სახვდასხვა დონით.","It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","Due to the diversity of the microclimate, different soils, and varying elevations relative to sea level, it is characterized by diverse soils and by elevations at different levels.",4.018258743085361,39.33281946688341,30.690949278198598
Georgian,L_to_en,3,მდინარე ამაზონი სიგრძით მეორე და დედამიწის ყველაზე დიდ მდინარეს წარმოადგენს. სიდიდით მეორე მდინარესთან შედარებით იგი 8-ჯერ უფრო წყალუხვია.,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,"The Amazon River, by length, is the second-longest and the largest river on Earth. Compared with the second-largest river, it is eight times as water-rich.",15.54434920148101,59.84283572955991,54.797208434092745
Georgian,L_to_en,4,"ლომების პრაიდი ქცევებით ძალიან ჰგავს მგლების ან ძაღლების ხროვას, ცხოველებს, რომლებიც ასევე საოცრად ჰგვანან ლომებს ქცევის მანერით (მაგრამ არა სხვა დიდ კატებს) და ასევე ძალზე მომაკვდინებელია მათი მსხვერპლისთივს.","Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.","A pride of lions resembles a pack of wolves or dogs in their behavior: animals that also strikingly resemble lions in the way they behave (but not other big cats), and they are also extremely deadly to their prey.",28.84030893054081,54.04961156877639,71.47295012679628
Georgian,L_to_en,5,საზოგადოებრივი მაუწყებლობის ფარგლებში ჰენრი ლუი გეიტსის საავტორო „აფრიკული სამყაროს საოცრებების“ ჩაწერის დროს ის ერთ-ერთი მთავარი გაჩერების წერტილი იყო.,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,"Within public broadcasting, during the recording of Henry Louis Gates Jr.’s authorial “African Wonders,” it was one of the main stop points.",11.56809589245347,52.21253913485039,64.11670155502392
Georgian,L_to_en,6,მსოფლიოში არგენტინა ცნობილია ერთ-ერთი საუკეთესო გუნდით და მოთამაშეებით.,Argentina is well known for having one of the best polo teams and players in the world.,"The sentence: “მსოფლიოში არგენტინა ცნობილია ერთ-ერთი საუკეთესო გუნდით და მოთამაშეებით.” translates to: “Around the world, Argentina is known for one of the best teams and players.”",13.600287923663476,50.373334567047,61.94033735943356
Georgian,L_to_en,7,ძილის შეწყვეტა მიზანმიმართულად გაღვიძების პროცესია ნორმალური ძილის პერიოდში და ცოტა ხანშივე (10-60 წუთი) ხდება ჩაძინება.,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,"Interrupting sleep is an intentional process of waking during normal sleep, and shortly thereafter (10–60 minutes) you fall asleep.",14.416875522600465,52.43195157222846,61.5721620716598
Georgian,L_to_en,8,"მაგალითისთვის, „სწავლება“ და „სოციალიზაცია“ წარმოადგენს ინტერნეტის გამოყენების მნიშვნელოვან მოტივაციას (ჯეიმსი და სხვები, 1995).","For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","For example, “teaching” and “socialization” are important motivations for using the internet (James et al., 1995).",51.765557605142625,73.38080514984615,92.24514693264693
Georgian,L_to_en,9,"ბუშმა პუბლიკას აზიაში ვაჭრობის გაფართოების შესახებ მას შემდეგ უამბო, რაც წააგო ერთკვირიანი შუალედური არჩევნები.","After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","After Bush told the public in Asia about expanding trade, he lost the one-week interim elections.",6.2638322941271705,41.585040008174715,39.480452674897116
Georgian,L_to_en,10,სოფელი ჰალდარსვიკი ახლომდებარე კუნძულ ესტუროისა და უჩვეულო რვაკუთხა ეკლესიას გადაჰყურებს.,The village of Haldarsvík offer views of the nearby island Eysturoy and has an unusual octagonal church.,"The village of Haldarsvik overlooks a nearby island, Esturōi, and an unusual octagonal church.",30.38445102758823,64.96294463870052,56.466134170552664
Georgian,L_to_en,11,"როგორც ჩანს, ძირითადი ობიექტის ყველაზე ეფექტური ხაზების გადაკვეთის ადგილია, ყოფს რა სურათს მესამედებად, ვერტიკალურად და ჰორიზონტალურად (იხ. მაგალითი).",It states that the most effective place for the main subject is at the intersection of lines dividing the image into thirds vertically and horizontally (see example).,"As it appears, the point where the most effective lines of the main object intersect divides the picture into thirds, vertically and horizontally (see example).",32.4745633712975,61.49896981047942,69.74480151228735
