Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Georgian,en_to_L,0,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,"ვატიკანში დაახლოებით 800 ადამიანი ცხოვრობს. იგი მსოფლიოს ყველაზე პატარა დამოუკიდებელი ქვეყანაა, მოსახლეობის ყველაზე მცირე რაოდენობით.",ვატიკანის ქალაქის მოსახლეობა დაახლოებით 800 ადამიანს შეადგენს. ის მსოფლიოში ყველაზე პატარა დამოუკიდებელი ქვეყანაა და ყველაზე დაბალი მოსახლეობის მქონე ქვეყანაც.,15.362208233245513,63.35868888579515,48.74316939890711
Georgian,en_to_L,1,All citizens of Vatican City are Roman Catholic.,ყველა მოქალაქე ვატიკანში არის კათოლიკე.,ვატიკანის ქალაქის ყველა მოქალაქე რომაელი კათოლიკეა.,14.535768424205482,61.642305741801785,41.89435336976321
Georgian,en_to_L,2,"It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","მიკროკლიმატის მრავალფეროვნების, სხვადასხვა ნიადაგისა და ზღვის დონიდან განსხვავებული სიმაღლის გამო, იგი გამოირჩევა მრავალფეროვანი ნიადაგით და სიმაღლის სახვდასხვა დონით.","მას აქვს მცენარეთა თემების შესამჩნევად ფართო მრავალფეროვნება, რაც განპირობებულია მიკროკლიმატების მრავალგვარობით, ნიადაგების განსხვავებულობითა და ზღვის დონიდან სიმაღლის ცვალებადობით.",8.3551771205213,47.90926314098454,22.8377065111759
Georgian,en_to_L,3,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,მდინარე ამაზონი სიგრძით მეორე და დედამიწის ყველაზე დიდ მდინარეს წარმოადგენს. სიდიდით მეორე მდინარესთან შედარებით იგი 8-ჯერ უფრო წყალუხვია.,ამაზონის მდინარე დედამიწაზე სიგრძით მეორეა და სიდიდითაც ყველაზე დიდია. ის მეორე ყველაზე დიდ მდინარესთან შედარებით 8-ჯერ მეტ წყალს ატარებს.,10.517036597271202,58.06732820434172,39.73931992927922
Georgian,en_to_L,4,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.","ლომების პრაიდი ქცევებით ძალიან ჰგავს მგლების ან ძაღლების ხროვას, ცხოველებს, რომლებიც ასევე საოცრად ჰგვანან ლომებს ქცევის მანერით (მაგრამ არა სხვა დიდ კატებს) და ასევე ძალზე მომაკვდინებელია მათი მსხვერპლისთივს.","ლომები, რომლებიც პრაიდებად ცხოვრობენ, თავიანთი ქცევით ძალიან ჰგვანან მგლების ან ძაღლების გუნდებს: ცხოველები, რომლებიც ლომებს საოცრად ჰგვანან (მაგრამ სხვა დიდ კატებს არა), და ამასთანავე, უკიდურესად მომაკვდინებლები არიან თავიანთი მსხვერპლისთვის.",9.308376558330284,56.418752639879735,47.63302600570555
Georgian,en_to_L,5,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,საზოგადოებრივი მაუწყებლობის ფარგლებში ჰენრი ლუი გეიტსის საავტორო „აფრიკული სამყაროს საოცრებების“ ჩაწერის დროს ის ერთ-ერთი მთავარი გაჩერების წერტილი იყო.,ეს იყო ჰენრი ლუის გეითსის PBS-ის სპეციალური გადაცემის „აფრიკული სამყაროს საოცრებები“ ერთ-ერთი მთავარი გაჩერება.,6.548045327407671,46.46849583269535,37.216828478964395
Georgian,en_to_L,6,Argentina is well known for having one of the best polo teams and players in the world.,მსოფლიოში არგენტინა ცნობილია ერთ-ერთი საუკეთესო გუნდით და მოთამაშეებით.,"არგენტინა ცნობილია იმით, რომ მსოფლიოში ერთ-ერთი საუკეთესო პოლოს გუნდი და მოთამაშეები ჰყავს.",9.238430210261097,75.41308974219618,60.25778732545649
Georgian,en_to_L,7,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,ძილის შეწყვეტა მიზანმიმართულად გაღვიძების პროცესია ნორმალური ძილის პერიოდში და ცოტა ხანშივე (10-60 წუთი) ხდება ჩაძინება.,"ძილის დარღვევა არის პროცესი, რომლის დროსაც შეგნებულად იღვიძებთ ძილის ჩვეულებრივ პერიოდში და შემდეგ მალევე (10–60 წუთში) კვლავ იძინებთ.",4.724932626401583,37.615864031837134,26.06477373558119
Georgian,en_to_L,8,"For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","მაგალითისთვის, „სწავლება“ და „სოციალიზაცია“ წარმოადგენს ინტერნეტის გამოყენების მნიშვნელოვან მოტივაციას (ჯეიმსი და სხვები, 1995).","მაგალითად, ინტერნეტის გამოყენების მნიშვნელოვან მოტივაციებად სახელდება „სწავლა“ და „სოციალიზაცია“ (James et al., 1995).",21.47917245987805,62.469685814738774,63.010101010101
Georgian,en_to_L,9,"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","ბუშმა პუბლიკას აზიაში ვაჭრობის გაფართოების შესახებ მას შემდეგ უამბო, რაც წააგო ერთკვირიანი შუალედური არჩევნები.",შუალედური არჩევნების დროს წაგებების ერთი კვირის შემდეგ ბუშმა აუდიტორიას აზიაში ვაჭრობის გაფართოების შესახებ უამბო.,18.84991955924285,65.13107286130936,48.218029350104814
