Lang,Index,Source,Reference,LLM_Translation,Reasoning_Summary,ChrF
Korean,0,na-kaki silh.e hata,Hates to go out.,I don’t want to go out.,"**Evaluating expressions of reluctance**

I’m considering the meaning of ""silhe,"" which translates to ""don't want to"" in colloquial terms, similar to ""가기 싫어,"" meaning ""I don't want to go."" When I think of ""silhe hata,"" including the verb 'to dislike,' it suggests ""I hate to go out."" I can refine this to say ""I don't want to go out,"" which is simpler. That makes sense! I'll be outputting that.",49.04
Korean,1,Kol ul kiph.kei pha la,Dig the channel deep!,Dig the hole deep.,detailed,35.54
Korean,2,Cipcip mata'na na-wass.umyen il i toylq ka,There'd be no problem if people had come from each house.,Would it work if you came out to each house?,detailed,21.68
Korean,3,Yengswuk a Pokswun a i-li one la,"Yengswuk and Pokswun, come here.","Youngsuk, Boksun, come here!",detailed,43.77
Korean,5,"Wey kuleni, nwu ka miilla 'nun ka 'm?",What's your trouble—anyone keeping you from going?!,Why are you acting like that—who told you to push?,detailed,16.75
Korean,6,mo nata,is angular = is difficult in personality,It’s angular.,detailed,20.56
Korean,7,silkhum ha-,be dislikable,Be slightly sour.,detailed,11.06
Korean,8,sip wen khenyeng sip cen to mos put.keyss.tr,"We won't get ten cen, much less ten wen.","I can’t even put in ten jeon, much less ten won.","**Translating romanized Korean**

I need to translate the romanized Korean phrase ""sip wen khenyeng sip cen to mos put.keyss.tr."" It probably means something like ""십 원커녕 십 전도 못 붙겠어."" I'm puzzling over ""put.keyss.tr,"" which might relate to ""붙겠다,"" meaning to stick or affix, or perhaps ""붙겠더라.""

The phrase suggests a pattern where ""can't even Y, let alone X."" So, the overall meaning seems to be ""I'm far from having ten won; I can't even afford ten jeon."" I'm also considering interpretations for ""put-keyss-ta,"" like ""to bet"" or ""to pay.""",47.97
Korean,9,Salkem sallye cwii,Save me!,"Give me a break, will you?","**Translating a phrase**

I’m looking at the phrase where “salkem” might translate to “살 캄” or more accurately “살 좀 살려 주지” which means ""Give me a break."" It’s interesting how “살 좀” correlates with “a little” and could be romanized differently. The final translation ends up being “Give me a break, will you?” That should work well! I just need to ensure the phrasing conveys the casual tone appropriately.",21.0
Korean,10,Ku kes ul phalkeyss.nun ci mul.e polq ka,Shall we ask them if they will sell it?,Shall we ask whether he’s going to sell it?,detailed,46.79
Korean,11,Ku lul mannaci mOs hayss.ta,I was unable to see him.,I couldn't meet him.,detailed,18.56
Korean,12,Yo say Kim sensayng tayk ey kanunq il i eps.ta,Lately we never go to Mr Kim's house.,I haven't been going to Mr. Kim's house lately.,detailed,44.8
Korean,13,Sayng tul i metri wi ey se cicetkelinun hamyen talam-cwi tul i tali mith e na kaki to hanta,Not only are there birds chirping overhead but also there are squirrels darting under foot.,"When the birds chirp overhead, the squirrels sometimes come out from under the bridge too.",detailed,41.26
Korean,14,"Elin ay ka yang cayq-mul ul sathang ulo filko mek.ulye tul,ess.ta","The baby was about to eat the caustic soda, thinking it was candy.",The little child tried to eat the Western medicine as if it were candy.,detailed,27.75
Korean,15,nay ka chinkwu tul motwu lul chotay hayss.tu,I invited all the friends.,I invited all my friends.,detailed,71.53
Korean,16,Iss.ulq tey kkaci iss.e pokeyss.ta,I'll try to stick around (stay/wait) as long as I can.,I’ll stay as long as I can.,detailed,34.36
Korean,17,Ku i nun slilam ul kiy lo dnun ka pota,He acts as if he thought people were dogs.,It seems he listens to people with his ears.,detailed,25.08
Korean,18,Nay kes in cwut lo al.ess.la,I took it to be (I thought it was) mine.,I thought it was mine.,detailed,49.55
Korean,19,Namca €lun i w0nun kel' poni ch&m.qa. mds pokeyss.tun tey,But surely I couldn't stand to see a grown man crying!,"Seeing a grown man cry, I really couldn’t bear to watch it.",detailed,39.46
Korean,20,hasikeyss.umyen hasipsio,"If you'd like to do it, please do so.","If you’re going to do it, then please do it.",detailed,46.36
Korean,21,"""il 'lun no 'v kev p+vo'na7""Gv'o kwu'cun ""il 'lun no'm oy key 'cwunu a i","sends good things to me and gives bad things to others,",A guy like that won’t fix a damn thing—why are you giving it to him?,detailed,18.06
Korean,22,Anruli khi ka khutra hay to na mankhurn iya khulla kwu?,"However tall he might be, surely he can't be as tall as I am.","Surely that kid wouldn’t have done something like that, would he?",detailed,15.0
Korean,23,Ku kes un n0nun tey cinaci anh.nunta,That is nothing but playing!,That doesn’t pass by the place where (we) play.,detailed,19.09
Korean,24,Cikum il hanun ci molukeyss.ta,I don't know whether he is working right now or not.,I don’t know if he’s working now.,detailed,30.68
Korean,25,Ku na ponun silam mata wa tirthwunta,He fights with everyone he sees.,He picks a fight with everyone he sees.,detailed,76.35
Korean,26,Keuy cwuk.keyss.lun sllam i sal.e nass.kwun a,A person about to die came back to life!,The man who was almost dying has come back to life!,detailed,39.27
Korean,27,Cy[y (= ce ry) ka acwu cal hanta 'psiko ppop-ndynts,He puffs himself up thinking/saying that he is doing very well.,"That guy is really showing off, saying he’s doing great.",detailed,25.32
Korean,28,Ku ka n€y si ccum ey 'na ol'nun ci,Perhaps hc'll be here around tbur o'clock or so.,Whether he will come out around four o’clock.,detailed,27.28
Korean,29,ti tpo'l ay,in this village,At the back.,"**Translating phrases**

I want to translate it as ""at the back"" or ""behind."" Keeping it concise is important. I'll make sure the output is clear and captures the essence of the phrase without extra fluff. It’s all about getting to the point! So, let's aim for a straightforward translation that communicates exactly what’s needed, while still being as simple and clean as possible. It’s nice to have such clear and concise language!",6.84
Korean,31,"Nul yok hoki lul hayss,ta",He always made insults.,(He) always cursed.,detailed,26.81
Korean,32,Ku sllam i kakeyss.ta,I'm afraid he's going.,That person will go.,detailed,9.91
Korean,33,silccwuki saylccwuk ha-,be sullen,(to) pout and sulk,"**Translating Korean phrases**

I need to translate the Korean romanization ""silccwuki saylccwuk ha-."" It seems to relate to ideophones, possibly mimicking the action of shuffling or conveying emotion like sadness. I think it could mean ""to be depressed or glum."" Given that ""실쭉"" translates to ""sullen"" and the phrase suggests a pouty expression, the translation could be ""to pout / be sulky."" However, the instructions say to provide only the result, so I find myself in a bit of a conflict here.
**Focusing on translation**

The developer's instructions are clear: I need to prioritize the translation without additional reasoning. So, for the phrase, I’ll go with ""to pout sulkily"" or possibly ""to pout and sulk."" This keeps it concise and follows the directive while providing a clear translation. It’s interesting how these expressions convey emotional nuances, but for now, I’ll stick to delivering just the translation as requested. I'll ensure the response meets the expected format too!",13.32
Korean,34,Sensayng nim kkey se n0 hakeyss.nun ci 'lu swukcey lul ta hoy kass.ta,"Wary of the wrath of the teacher, I went through all my homework.","The teacher went off after doing all the homework, asking whether you would do it or not.",detailed,36.9
Korean,35,sengnyang-kaypi scy kay,three matches,Three matchsticks.,detailed,63.46
Korean,36,TOn i minh.ess.ut.nun d lo rnrilla,There may / might have been lots of money.,I didn’t know there was so much money.,detailed,22.22
Korean,37,Illusun c0h.unq yenghwa tla to iss.nun ka yo?,Are there any good movies (on/playing)?,Does Il-su have any good movies (or anything like that)?,detailed,49.12
Korean,38,path ey,in the field,In the field.,"**Translating Korean phrase**

I need to follow the developer's instructions and only output the translation without extra reasoning. The Korean phrase ""밭에"" translates to ""in the field,"" but it could also mean ""to the field"" depending on context. However, it seems more likely to be locative, meaning ""in/at the field."" So, I'll just provide the translation: ""in the field."" Keeping it simple and direct is key here!",83.59
Korean,39,no ha-,get angry,Let go.,detailed,9.1
Korean,40,I ke(s) pr-l,Look at this!,Look at this.,detailed,87.72
Korean,41,Mdtunq il I crl toye kanta,Everything is going off smoothly.,Everything is going well.,detailed,58.78
Korean,42,ku ttig un ny mok ip.nita,That land is my share,That rice cake is my share.,detailed,51.99
