Lang,Index,Source,Reference,LLM_Translation,ChrF
Korean,0,na-kaki silh.e hata,Hates to go out.,I hate going out.,25.66
Korean,1,Kol ul kiph.kei pha la,Dig the channel deep!,Dig the hole deep.,35.54
Korean,2,Cipcip mata'na na-wass.umyen il i toylq ka,There'd be no problem if people had come from each house.,"If I had come out each time, would it have worked out?",20.37
Korean,3,Yengswuk a Pokswun a i-li one la,"Yengswuk and Pokswun, come here.","Yeongsuk and Boksoon, come here.",51.56
Korean,4,Ton un iss.sup.nita mán un cikum kot pillye tulici nun mós hakeys.sup.nita,"I have the money, but I can't lend it to you right now.","I have money, but I can’t lend it to you right now.",80.66
Korean,5,"Wey kuleni, nwu ka miilla 'nun ka 'm?",What's your trouble—anyone keeping you from going?!,Why are you doing that—who’s pushing you?,22.22
Korean,6,mo nata,is angular = is difficult in personality,I don’t know.,3.42
Korean,7,silkhum ha-,be dislikable,experiment do-,5.46
Korean,8,sip wen khenyeng sip cen to mos put.keyss.tr,"We won't get ten cen, much less ten wen.","I can’t even afford ten won, let alone ten thousand won.",20.45
Korean,9,Salkem sallye cwii,Save me!,Please save me.,38.06
Korean,10,Ku kes ul phalkeyss.nun ci mul.e polq ka,Shall we ask them if they will sell it?,Shall I ask whether you’re going to sell that?,25.9
Korean,11,Ku lul mannaci mOs hayss.ta,I was unable to see him.,I couldn’t meet him.,18.56
Korean,12,Yo say Kim sensayng tayk ey kanunq il i eps.ta,Lately we never go to Mr Kim's house.,"These days, there’s no work to do that involves going to Mr. Kim’s house.",29.67
Korean,13,Sayng tul i metri wi ey se cicetkelinun hamyen talam-cwi tul i tali mith e na kaki to hanta,Not only are there birds chirping overhead but also there are squirrels darting under foot.,"If the birds chirp up on the meter-high top, the squirrels also go out from under the bridge.",37.2
Korean,14,"Elin ay ka yang cayq-mul ul sathang ulo filko mek.ulye tul,ess.ta","The baby was about to eat the caustic soda, thinking it was candy.",The child Elin tried to lick the sheep’s plant with candy and eat it.,20.47
Korean,15,nay ka chinkwu tul motwu lul chotay hayss.tu,I invited all the friends.,I invited all my friends.,71.53
Korean,16,Iss.ulq tey kkaci iss.e pokeyss.ta,I'll try to stick around (stay/wait) as long as I can.,"I’ll see you later, up to the point where you’re there.",9.83
Korean,17,Ku i nun slilam ul kiy lo dnun ka pota,He acts as if he thought people were dogs.,He seems to be remembering the story rather than forgetting it.,15.09
Korean,18,Nay kes in cwut lo al.ess.la,I took it to be (I thought it was) mine.,I thought it was mine.,49.55
Korean,19,Namca €lun i w0nun kel' poni ch&m.qa. mds pokeyss.tun tey,But surely I couldn't stand to see a grown man crying!,"When I saw the man coming, I thought, “Oh no, I’m in trouble.”",15.26
Korean,20,hasikeyss.umyen hasipsio,"If you'd like to do it, please do so.","If you intend to do it, please do so.",69.1
Korean,21,"""il 'lun no 'v kev p+vo'na7""Gv'o kwu'cun ""il 'lun no'm oy key 'cwunu a i","sends good things to me and gives bad things to others,","I gave him a book, and he gave it to me.",14.46
Korean,22,Anruli khi ka khutra hay to na mankhurn iya khulla kwu?,"However tall he might be, surely he can't be as tall as I am.",Why are you doing that—are you trying to make me look bad?,10.48
Korean,23,Ku kes un n0nun tey cinaci anh.nunta,That is nothing but playing!,That thing doesn’t pass through the place where you play.,25.8
Korean,24,Cikum il hanun ci molukeyss.ta,I don't know whether he is working right now or not.,I don’t know what I’m doing right now.,40.06
Korean,25,Ku na ponun silam mata wa tirthwunta,He fights with everyone he sees.,That person looks at every person and runs away.,16.2
Korean,26,Keuy cwuk.keyss.lun sllam i sal.e nass.kwun a,A person about to die came back to life!,The person who was almost dead has come back to life.,44.45
Korean,27,Cy[y (= ce ry) ka acwu cal hanta 'psiko ppop-ndynts,He puffs himself up thinking/saying that he is doing very well.,Cheolsu is very good at pulling out (plucking) a tooth.,17.64
