Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Georgian,en_to_L,0,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,"ვატიკანში დაახლოებით 800 ადამიანი ცხოვრობს. იგი მსოფლიოს ყველაზე პატარა დამოუკიდებელი ქვეყანაა, მოსახლეობის ყველაზე მცირე რაოდენობით.","ვატიკანის ქალაქის მოსახლეობა დაახლოებით 800-ს შეადგენს. ეს არის მსოფლიოში ყველაზე პატარა დამოუკიდებელი ქვეყანა და ქვეყანა, რომელსაც ყველაზე დაბალი მოსახლეობა ჰყავს.",8.165974140980245,56.87735670851739,34.121621621621614
Georgian,en_to_L,1,All citizens of Vatican City are Roman Catholic.,ყველა მოქალაქე ვატიკანში არის კათოლიკე.,ვატიკანის ქალაქის ყველა მოქალაქე რომის კათოლიკეა.,14.535768424205482,66.82718746847914,41.89435336976321
Georgian,en_to_L,2,"It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","მიკროკლიმატის მრავალფეროვნების, სხვადასხვა ნიადაგისა და ზღვის დონიდან განსხვავებული სიმაღლის გამო, იგი გამოირჩევა მრავალფეროვანი ნიადაგით და სიმაღლის სახვდასხვა დონით.","მცენარეთა თემების (საზოგადოებების) განსაკუთრებით ფართო მრავალფეროვნება აქვს, მიკროკლიმატების მრავალფეროვნების, სხვადასხვა ტიპის ნიადაგისა და ზღვის დონიდან სიმაღლის ცვალებადობის გამო.",16.692486522015717,55.0961091002193,32.39513488227039
Georgian,en_to_L,3,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,მდინარე ამაზონი სიგრძით მეორე და დედამიწის ყველაზე დიდ მდინარეს წარმოადგენს. სიდიდით მეორე მდინარესთან შედარებით იგი 8-ჯერ უფრო წყალუხვია.,"ამაზონის მდინარე დედამიწაზე სიგრძით მეორეა და სიდიდითაც ყველაზე დიდია. ის ატარებს რვაჯერ მეტ წყალს, ვიდრე დედამიწაზე მეორე ყველაზე დიდი მდინარე.",2.678425460878287,46.479163613700365,17.241379310344826
Georgian,en_to_L,4,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.","ლომების პრაიდი ქცევებით ძალიან ჰგავს მგლების ან ძაღლების ხროვას, ცხოველებს, რომლებიც ასევე საოცრად ჰგვანან ლომებს ქცევის მანერით (მაგრამ არა სხვა დიდ კატებს) და ასევე ძალზე მომაკვდინებელია მათი მსხვერპლისთივს.","ლომების ჯგუფები იქცევიან თითქმის ისე, როგორც მგლების ან ძაღლების გუნდები: ქცევით მოულოდნელად ლომების მსგავსი ცხოველები (მაგრამ სხვა მსხვილ მტაცებელ კატებთან არა) და ასევე ძალიან სასიკვდილო არიან თავიანთი მსხვერპლისთვის.",9.188355573937164,46.149478496443834,36.78880643166358
Georgian,en_to_L,5,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,საზოგადოებრივი მაუწყებლობის ფარგლებში ჰენრი ლუი გეიტსის საავტორო „აფრიკული სამყაროს საოცრებების“ ჩაწერის დროს ის ერთ-ერთი მთავარი გაჩერების წერტილი იყო.,ეს იყო ჰენრი ლუის გეითსის PBS-ის სპეციალური გადაცემის „საოცრებანი აფრიკული სამყაროდან“ ერთ-ერთი მთავარი გაჩერება.,5.062000331031055,40.976147956278204,25.82675970873786
Georgian,en_to_L,6,Argentina is well known for having one of the best polo teams and players in the world.,მსოფლიოში არგენტინა ცნობილია ერთ-ერთი საუკეთესო გუნდით და მოთამაშეებით.,"არგენტინა ცნობილია იმით, რომ მსოფლიოში ერთ-ერთი საუკეთესო პოლოს გუნდი და მოთამაშეები ჰყავს.",9.238430210261097,75.41308974219618,60.25778732545649
Georgian,en_to_L,7,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,ძილის შეწყვეტა მიზანმიმართულად გაღვიძების პროცესია ნორმალური ძილის პერიოდში და ცოტა ხანშივე (10-60 წუთი) ხდება ჩაძინება.,"ძილის შეფერხება არის პროცესი, რომლის დროსაც შეგნებულად იღვიძებთ ძილის ჩვეულ პერიოდში და შემდეგ მალევე (10–60 წუთში) კვლავ გეძინებათ.",4.724932626401583,39.67654047682809,26.06477373558119
Georgian,en_to_L,8,"For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","მაგალითისთვის, „სწავლება“ და „სოციალიზაცია“ წარმოადგენს ინტერნეტის გამოყენების მნიშვნელოვან მოტივაციას (ჯეიმსი და სხვები, 1995).","მაგალითად, „სწავლა“ და „სოციალიზაცია“ ინტერნეტის გამოყენების მნიშვნელოვან მოტივებად არის მიჩნეული (James et al., 1995).",20.313747122261766,61.41302863751149,64.42433383609854
Georgian,en_to_L,9,"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","ბუშმა პუბლიკას აზიაში ვაჭრობის გაფართოების შესახებ მას შემდეგ უამბო, რაც წააგო ერთკვირიანი შუალედური არჩევნები.",შუალედური არჩევნების დროს განცდილი ზარალის ერთი კვირის შემდეგ ბუშმა აუდიტორიას აზიაში ვაჭრობის გაფართოების შესახებ უამბო.,18.751144583834648,65.00034602425931,47.91666666666667
