Lang,Index,Source,Reference,LLM_Translation,ChrF
Basque,0,eman diegu,we have given it to them,we have given them,63.32
Basque,1,MIRENI erosi diote liburua?,Did they buy MARY the book?,Did they buy the book for Miren?,59.57
Basque,2,"Baina oraingoan ez zaigu Bardem kontatzen hasi, noiz eta nola konta badakiela erakusteko.","But on this occasion, Bardem has not started telling stories just to show us that he knows to tell when and how.","But this time Bardem hasn’t started telling us, just to show that he knows when and how to tell it.",59.16
Basque,3,Ezer ez dio inork inori eman.,No one gave anything to Mikel.,Nobody gave anything to anyone.,56.64
Basque,4,Hori nere ohea da.,That is my bed.,That is my bed.,100.0
Basque,5,Zure laguna *pozik/*gure aurrean/aberats(a)/indartsu(a) bihurtu da.,Your friend became happy/in front of us/rich/strong.,Your friend has become happy/rich/strong in front of us.,72.66
Basque,6,Mikelek besoa hautsi du.,Mikel broke his arm.,Mikel has broken his arm.,59.07
Basque,7,"eta baldin halatan eta orduan, bat ere gozo-rik edo zaphore-rik edirei-ten ba-diozu, zeren hura guzti-a Iaingoiko-aganik heldu bai-tateke, eta ez ene-ganik falta baizen, hari eskerr-ak errenda iatzotzu, eta ni-tzaz ere othoi-z egi-te-az, arren othoi, orhoit zaitezi.","And if thus and then, you find in it some sweetness of flavor, because all of that may come from God, and from me only its flaws, give thanks to Him, and please, I pray, remember me when you pray.","And if so and then you find in it any sweetness or savor at all, since all of that would come from God and not from me, save for what is lacking, render thanks to Him, and remember me too, I pray, in your prayers.",52.04
Basque,8,Babestu gara.,We protected ourselves.,We have protected ourselves.,92.17
Basque,9,Urik ga.be ondo loratzea zaila da.,It is difficult to bloom without water.,"Without water, it’s hard to bloom well.",48.45
Basque,10,zabal eta luzera,width and length,wide and long,26.49
Basque,11,Garaiz oheratzea eta berandu arte ohean egotea dut nik gustuko.,I like to go to bed early and to be in bed until late.,I like going to bed early and staying in bed until late.,66.04
Basque,12,etxe baten aurrean,in front of a house,In front of a house,91.85
Basque,13,Ordu biak dira.,It is two o'clock.,It is two o’clock.,69.53
Basque,14,"Jonek badaki, denek dakite.","If Jon knows, everybody does.",Jon knows; everyone knows.,39.3
Basque,15,Nork ikusi ahal zaitu?,Who can see you?,Who can see you?,100.0
Basque,16,"ekarriko balit, emango nizueke","if he brought it to me, I would give it to you-pl","If I brought it, I would give it to you.",64.63
Basque,17,Hain argia zaren horrek jakin beharko zenuke.,"You, who are so clever, ought to know.","You, being so smart, should know.",23.14
Basque,18,Ni herrira ere joango naiz bihar.,I will go also to the village tomorrow.,I will also go to town tomorrow.,45.22
Basque,19,Leihoak zikindu dira.,The windows soiled.,The windows have gotten dirty.,49.86
Basque,20,Zure lanari interesgarria deritzot.,I think your work is interesting.,I find your work interesting.,65.46
Basque,21,Mikelek liburua apurtuta ekarri zuen.,Mikel brought the book broken.,Mikel brought the book broken.,100.0
Basque,22,Patatak batzetik nator.,I'm coming from gathering potatoes.,I come from a potato field.,25.6
Basque,23,Atzoko bileran zutaz mintzatu zen.,You were spoken about in yesterday's meeting.,He talked about you at yesterday’s meeting.,45.4
Basque,24,"Nik ez daukat dirurik orain zuretzat, bai, ordea, maitasuna.","I don't have any money for you now, but [I have] love, instead.","I don't have any money for you right now, but I do have love.",62.5
Basque,25,Batzuetan lotsatu egiten nau neure buruak.,"Sometimes, myself embarrasses me.",Sometimes I feel embarrassed by myself.,62.61
Basque,26,Jon dantzarazi dute.,They made Jon dance,They made Jon dance.,98.52
Basque,27,Telefonoz deitu didate?,Did they (=anyone) phone me?,Did they call me on the phone?,38.52
Basque,28,"Baina emagun auzotik auzora doala, batek bertzea kotsatuz-","But let's assume that it goes from neighborhood to neighborhood, one contaminating the other.","But suppose he is going from neighborhood to neighborhood, one pushing the other—",57.99
Basque,29,Liburua NORK idatzi duen galdetu dit Jonek.,It is WHO wrote the book that Jon asked me.,Jon asked me who wrote the book.,57.42
Basque,30,etorri ez den gizona,the man who didn't come,the man who has not come,53.83
Basque,31,Bi urthe eta erdi zituen ni gerlarat joaitean.,He was two and half years old upon my going to war.,He was two and a half years old when I went to war.,57.97
Basque,32,mando eta mendibide,mule- and mountain trails,mule and mountain path,54.27
Basque,33,Epik eta Blasek bakoitzak badakite bestearen berri.,Ernie and Bert each have informatin about the other.,Epic and Blas each know about the other.,39.3
Basque,34,Xabier zerbitzari dago kafetegi horretan.,Xabier is working as a waiter in that cafe.,Xabier is a waiter in that café.,64.73
Basque,35,"Ene arimak ez du sekulan hartuko pausurik honda dadin artean jainkotasunaren itsasoan, [zeina baita haren iturburua].","My soul will take no rest until it is lost in the sea of divinity, which is its source.","My soul will never take rest until it is submerged in the sea of divinity, [which is its source].",72.95
Basque,36,Amak es totzü esan ori etxeko.,Mother has not told you to do that.,Mother told you that this is from home.,43.01
Basque,37,Debekatu egin diot Alberdiri karta berak idaztea.,I forbade Alberdi to write the letter himself.,I forbade Alberdi to write the same letters.,75.81
Basque,38,Joxeren liburu eta Mirenen aldizkari berriak.,Joxe's (new) book(s) and Miren's new magazines.,Jose's book and Miren's new magazines.,64.09
Basque,39,Mikel Inakirekin eta Jonekin joango da antzerkira.,Mikel will go to the theatre with Inaki and with Jon.,Mikel will go to the theater with Iñaki and Jone.,64.54
Basque,40,Nori/nork zer iruditu zaio esan duela?,To whom does it seem that who said what?,Who did he/she say seemed like what to whom?,27.15
Basque,41,Eta zure prestutasunaz... nork zer erranen du?,And who will say what on your virtue?,And about your willingness... who will say what?,50.66
Basque,42,"Liburu hau irakurtzean, zutaz gogoratu nintzen.",I remembered you upon reading this book.,"While reading this book, I remembered you.",75.36
Basque,43,Ordaindu egin gäbe utzi zituen bere zorrak.,He left his debts unpaid (without paying).,He left his debts unpaid.,57.76
Basque,44,Emakume batek ez luke nahi alabari gerta lekion berari gertatua.,A woman would not wish that the same thing that happened to her might happen to her daughter.,A woman would not want what happened to her to happen to her daughter.,63.19
Basque,45,"Loteria irabazten denean, bere lagunak inguratzen dira.","When one wins in the lottery, his friends get close to him.","When the lottery is won, his friends gather around him.",50.0
Basque,46,Joxe-eta etorri garalzarete.,??Joxe-and etorri garalzarete.,"Joxe, you have come too.",12.36
Basque,47,Miren beldur/gose/ροζ da/dago.,Miren is frightened/hungry/happy.,Miren is afraid/hungry/pink (is/is).,41.76
Basque,48,Txakurra den baino handiagoa iruditu zait.,The dog has seemed to me bigger than it is.,The dog seemed bigger to me than it is.,61.85
Basque,49,Ane etxera iritsi zen eta Mirenek ireki zion atea.,Ane arrived home and Miren opened the door.,Ane arrived home and Miren opened the door for her.,94.55
Basque,50,Ez du jende gutxik ezer egin.,Few people didn't do anything (intended).,Not few people did nothing.,39.84
Basque,51,Zinemara joan nahi duzu ala?,You want to go to the movies or what?,Do you want to go to the cinema or what?,65.5
Basque,52,Gizonaren semeak ez du bere burua non pausa.,‘The Son of man has nowhere to lay his head.’,The Son of Man has nowhere to lay his head.,84.28
Basque,53,Gorpua desagertarazi dute.,They have made the corpse disappear.,They have made the body disappear.,71.24
Basque,54,hetarik joaki den kea,the smoke which is going from them.,the smoke that has gone from there,42.63
Basque,55,Hango dirua galdu dut.,I lost the money from there.,I lost the money there.,70.09
Basque,56,Zerekin ikusi dituzu zure lagunak lasai?,What did you see your friends relaxed with?,With what have you seen your friends calmly?,45.04
Basque,57,"Dantza, Jonek EGITEN du.","As for dancing, Jon does dance.",Jon does dance.,49.94
Basque,58,Nire zereginak zureak baino astunagoak dira.,‘My tasks are harder than yours.’,My tasks are heavier than yours.,71.15
Basque,59,Iazko kontabilitatea ikertu dute?,Last year's accounts from where did they examine?,Have they investigated last year's accounting?,43.12
