Lang,Index,Source,Reference,LLM_Translation,Reasoning_Summary,ChrF
Chamorro,0,Ennåo na mumentu na ha tutuhun tumailayi i rilihon-mu.,It’s at that moment that your religion begins to be unkind.,That was the moment when he began to change your religion.,detailed,37.49
Chamorro,1,i Chamorro na nasion,the Chamorro nation,the Chamorro nation,detailed,100.0
Chamorro,2,Fåttu mågi agupa’ ya bai hu nå’i håo ni malago’-mu.,Come back tomorrow and I will give what you want.,Come here tomorrow and I’ll give you what you want.,detailed,63.11
Chamorro,3,Ti u’uchan.,It is no longer raining.,It won’t rain.,detailed,16.06
Chamorro,4,"Tengnga un butleha i taotåo, pues uttimon-ña asaguå-mu.","Oftentimes you mock the person, then you end up being their spouse (lit. in the end s/he is your spouse).","Don’t make fun of that person, because he might end up being your spouse.",detailed,31.61
Chamorro,5,Meggai hånum.,There’s a lot of water.,A lot of water.,detailed,55.76
Chamorro,6,Fatå’chung guennåo ya un ketu.,Sit there and keep still.,Sit there and be quiet.,detailed,50.53
Chamorro,7,put i lina’la’ yan sinientin i taotåo siha,about the lives and feelings of people,As for the lives and feelings of the people.,detailed,73.22
Chamorro,8,Chetdan tanduki i mås ya-hu na chotda.,Tanduki banana is my favorite banana.,Plantains are the bananas I like the most.,"{'type': 'summary_text', 'text': '**Interpreting Chamorro phrases**\n\nI\'m analyzing the phrase ""Chetdan tanduki i mås ya-hu na chotda."" It seems like it might translate to ""A few bananas are what I like most to eat."" I\'m exploring the meanings, especially with ""chotda"" possibly meaning ""to eat."" ""Tanduki"" could relate to ""ripe,"" but maybe it\'s ""green"" too. I wonder if ""chetdan"" means ""a few."" This looks like a fascinating mix of linguistic elements! It certainly keeps my brain engaged.'} {'type': 'summary_text', 'text': '**Deciphering plantain translations**\n\nI\'m considering that ""chotda"" could actually refer to plantain bananas, not just a verb. It seems like ""i mås ya-hu na chotda"" translates to ""the plantains I like most."" So, the full phrase ""Chetdan tanduki i mås ya-hu na chotda"" might mean ""A few plantains are the ones I like best."" I wonder if ""Chetdan"" could mean ""a bunch of"" or ""some,"" and I\'m thinking ""tanduki"" might reference ""bananas"" while ""chotda"" indicates ""plantain."" This is quite a puzzle!'} {'type': 'summary_text', 'text': '**Exploring Chamorro meanings**\n\nI\'m analyzing the phrase ""i mås ya-hu na chotda,"" which translates to ""the chotda that I like the most."" Then I wonder if ""Chetdan tanduki"" serves as a predicate. It might suggest ""A few plantains are what I like most,"" but that feels off. So, maybe ""chetdan"" means ""only"" or ""each""? I\'m also considering whether it could mean ""that is why."" I could interpret ""Chetdan tanduki i mås ya-hu na chotda"" as something like ""Planting bananas is what I enjoy most."" It\'s a fun puzzle to work through!'} {'type': 'summary_text', 'text': '**Deciphering the phrase meanings**\n\nI\'m examining the example ""Tai chotda si Jose tanduki."" I initially thought it could mean ""Jose doesn\'t know how to plant,"" but then I realized ""tanduki"" might refer to \'bananas\' instead. However, the translation suggests ""doesn\'t have any plantain bananas."" So, I reconsider: maybe ""chotda"" means ""plantain bananas,"" and ""tanduki"" is ""to have."" That makes sense with the structure, as ""tai chotda"" would mean ""doesn\'t have,"" making ""si Jose"" the subject and ""tanduki"" the object. It\'s fitting together nicely!'} {'type': 'summary_text', 'text': '**Examining translation nuances**\n\nI\'m exploring the phrase ""Chetdan tanduki i mås ya-hu na chotda."" I initially thought ""na chotda"" referred to ""to have,"" but I found it could also mean ""having."" Perhaps ""chetdan"" means ""some"" or ""a few plantains,"" making the sentence ""A few plantains are what I like most to have."" However, I think ""chotda"" should mean ""to have."" This fits the VSO structure, leading me to conclude that ""Tai chotda si Jose tanduki"" means ""Jose doesn\'t have any plantain bananas."" I still need to clarify the meaning of ""chetdan,"" but it may imply a specific type or selection.'} {'type': 'summary_text', 'text': '**Clarifying banana classifications**\n\nI\'m looking at the Chamorro word ""klåsin,"" which refers to class or type, and thinking “Chetdan” might mean ""a kind of."" So, I could translate ""Chetdan tanduki i mås ya-hu na chotda"" to mean ""This kind of banana, the plantain, is what I like the most.” I’m considering that the root “chet-” could relate to type or sort. The best natural way to express this seems to be: ""Plantains are the bananas I like best."" I think that feels right!'}",22.89
Chamorro,9,Manmahulat ham ni mañaina gi hunta.,We (excl.) were subdued by the parents at the meeting.,We were summoned by the elders at the meeting.,detailed,50.46
