Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Chamorro,L_to_en,0,"Poloyo ya jufañule minetgot, antes de jujanao ya ti jutalo.","Oh spare me, that I may recover strength, before I go away, and exist no more.""","I have no idea what you mean, but I will do my best: “Poloyo ya jufañule minetgot, antes de jujanao ya ti jutalo.” = “I will not let my mind be taken away; before you go, you will not be able to go to the place.”",1.1754281596509946,19.0733676236992,22.448979591836736
Chamorro,L_to_en,1,"Lao güiya manope, ilegna; Magajet jusangane jamyo na ti jutungo jamyo.","But he answered and said, Verily I say unto you, I know you not.","Jesus answered him, “Take up your mat, and walk.” Then he was healed; and immediately he got up and walked.",2.2608914449138346,22.958430187575377,16.759776536312852
Chamorro,L_to_en,2,"Lao guiya janaguefchadeg y cuentosña, ilegña: Yanguin jumitamatae, ti jupunejao ni jaftaemano. Taegüineja locue sinanganñija todos.","But he spoke all the more, ""If I must die with you, I will not deny you."" They all said the same thing.","But he spoke more vehemently, “If I should die with you, I will not deny you in any way. Likewise also said they all.”",35.56521383601747,56.64645580035113,69.32463707132338
Chamorro,L_to_en,3,"Lao anae palo manmajetog, ya ti manmalago manmanjonggue, ya manguecuentos taelaye pot ayo na Chalan gui menan y linajyan taotao, sumuja si Pablo guiya sija, ya janafañuja y disipulo sija, ya manadingan cada jaane gui escuelan Tiranno.","But when some were hardened and disobedient, speaking evil of the Way before the multitude, he departed from them, and separated the disciples, reasoning daily in the school of Tyrannus.","Then Jesus called them to him and said, “Suffer the little children to come unto me, and forbid them not: for of such is the kingdom of God.”",3.1613305547506663,20.07992449892868,14.326647564469914
Chamorro,L_to_en,4,"Ylegña: Tata, yanguin malago jao, nasuja guiya guajo este y copa: lao munga mafatinas y malagojo, lao y malagomo.","Saying, Father, if thou be willing, remove this cup from me: nevertheless not my will, but thine, be done.","Father, if you are willing, remove this cup from me; nevertheless not my will, but yours be done.",49.75501232439635,71.1519231978909,72.95719844357976
Chamorro,L_to_en,5,Unaguimen y sadog gui chalan: enaomina güiya jumatsa julo y ilo.,He will drink of the brook in the way; therefore he will lift up his head.,He will drink from the brook on the way; therefore he will lift up his head.,68.99302125555486,85.89005295158697,88.59592013888889
Chamorro,L_to_en,6,"Jusangane jamyo, na entre ayo sija y manmafañago gui famalaoan, taya dangculoña qui si Juan; lao y diquiqueja gui raenon Yuus dangculoña qui güiya.","""For I tell you, among those who are born of women there is not a greater prophet than John the Baptizer, yet he who is least in the Kingdom of God is greater than he.""","After that, the chief priests and the scribes brought Jesus into the high priest’s palace, and they all gathered there; and they began to accuse him, saying, “We found this man perverting the nation, forbidding paying taxes to Caesar, and saying that he himself is Christ, a king.”",1.0840573102942703,21.407974841577797,11.87648456057007
Chamorro,L_to_en,7,"Ya anae jumalom, ilegña nu sija: Jafa na manatborotao jamyo, yan manatanges jamyo? Y patgon na palaoan ti matae, na mamaego.","And when he was come in, he saith unto them, Why make ye this ado, and weep? the damsel is not dead, but sleepeth.","When he had received the sop, he went out immediately; and it was night.",2.9120405524775785,18.454807400725063,20.346711403621974
Chamorro,L_to_en,8,Gof maolek!,Very good!,“Gof maolek!” — “Go well!” / “Go safely!”,2.8398387225677895,5.952380952380952,42.61363636363637
Chamorro,L_to_en,9,"Lao pot y jarorobayo este na palaoan, bae juaregla sija, sa noseaja pot y sisigueja mague, uestotbayo.","yet because this widow bothers me, I will defend her, or else she will wear me out by her continual coming.'""","Jesus called them to him and said, “Simon, do you see this woman? I entered your house, and you gave me no water for my feet; but she has washed my feet with tears and wiped them with the hair of her head.”",1.2263126502610222,22.247430596309,15.789473684210527
Chamorro,L_to_en,10,"Sa masqueseaja jaye y malago na usatba y linâlâña, ufinalingaeguan; ya masquesea jaye y malingo y linâlâña pot y naanjo, güiya usatba.","For whoever desires to save his life will lose it, but whoever will lose his life for my sake, the same will save it.",For whoever wants to save his life will lose it; but whoever will lose his life for my sake and for the sake of the Good News will save it.,52.13417846694325,76.56560782815258,81.13077848427565
Chamorro,L_to_en,11,Ya guajo julie ya manae yo testimonio nu y güiya y Lajin Yuus.,"I have seen, and have testified that this is the Son of God.""","I, Julie, and my mother give my testimony to the Son of God, Jesus.",17.18152967132724,32.69217720262382,47.325102880658434
Chamorro,L_to_en,12,"Ya anae manmato ya mandaña iglesia gui guimayuus, masangan todo sija y finatinas Yuus pot sija; yan jaftaemano jababaye y Gentiles ni y pettan y jinenggue.","And when they were come, and had gathered the church together, they rehearsed all that God had done with them, and how he had opened the door of faith unto the Gentiles.","He who does not die and does not go to the grave, but is commanded to go to the church, to gather everything and the finery of Yuus for it; and the one who is left behind is the one who will be judged—both the Jews and the Gentiles, who are the ones who speak and have power.",2.1403114882467444,35.45391181200807,19.379844961240313
Chamorro,L_to_en,13,"Ya jatago y tentagoña sija, na ujaagange y manmaconbida gui guipot; lao ti manmalago manmato.",And sent forth his servants to call them that were bidden to the wedding: and they would not come.,"When they had led him away, they laid hold of one Simon, a Cyrenian, coming out of the country, and laid the cross on him to carry it after Jesus; but he did not want to go on, and he did not go.",1.186050611017432,24.472192831963653,20.920502092050206
Chamorro,L_to_en,14,Sa si Juan trabia ti mapopolo gui catset.,For John was not yet cast into prison.,John was working on the mapopolo when the catset happened.,8.29519350710986,26.40056529247992,27.777777777777775
Chamorro,L_to_en,15,"Y tataotaojo ti umatog guiya jago, anae mafatinasyo gui secreto; ya matufog yo ni namanman, gui mas tagpapa na lugat gui tano.","My frame wasn't hidden from you, when I was made in secret, woven together in the depths of the earth.","My substance was not hidden from you when I was made in secret, and curiously formed in the lowest parts of the earth.",40.4899367063915,57.85102548753347,76.86693256399352
Chamorro,L_to_en,16,"N 21 12 31550 ¶ Ya jumalom si Jesus gui guimayuus, ya jayute juyong todo y manmanbebende, yan y manmamamajan gui guimayuus, ya janaalinquin y lamasan y manmanulalaeca salape, yan y tachong y manmanbebende paluma;","And Jesus went into the temple of God, and cast out all them that sold and bought in the temple, and overthrew the tables of the moneychangers, and the seats of them that sold doves,","Jesus, when he came to the temple, began to drive out those who bought and sold in it, and overthrew the tables of the money-changers, and the seats of those who sold the doves; and he would not allow anyone to carry anything through the temple.",23.24022444837406,58.28122736981296,40.40512343977098
Chamorro,L_to_en,17,"Ya taya jafa magajet na güinajaña para jutugue para y Señotjo. Enaomina jucone güe mona gui menanmiyo, yan y menamo, O Ray Agripa, para yaguin munjayan maegsamina, uguaja jafa para jutugue.","Of whom I have no certain thing to write to my lord. Therefore I have brought him forth before you, and especially before you, King Agrippa, that, after examination, I may have something to write.","Of whom I have no certain thing to write unto my lord. Wherefore I have brought him forth before you, and specially before thee, O king Agrippa, that, after examination had, I might have somewhat to write.",53.80245488072525,81.01284416722501,83.2995070504944
Chamorro,L_to_en,18,Jago dumibide y tase ni y ninasiñamo: jago yumamag y ilon y alo sija gui tase.,Thou didst divide the sea by thy strength: thou brakest the heads of the dragons in the waters.,You divided the sea by your strength; you broke the heads of the sea monsters in the waters.,30.14335251508215,55.437754616838674,61.80473372781066
Chamorro,L_to_en,19,"Ya yanguin ufanogcha, mauleg; yanguin aje, siempre, unutut.","If it bears fruit, fine; but if not, after that, you can cut it down.'""","If you want to be perfect, go; sell what you have, and give to the poor; and you will have treasure in heaven; and come, follow me.",1.7705303846970069,16.593114415211915,17.24137931034483
Chamorro,L_to_en,20,"AYONAE jumalom si Festo gui provinsia, ya anae malofan tres na jaane cumajulo desde Sesarea asta Jerusalem.","Now when Festus was come into the province, after three days he ascended from Caesarea to Jerusalem.","The high priest said, “Are these things so?”",1.8110197178625276,8.982315900678799,5.46448087431694
