Lang,Index,Source,Reference,LLM_Translation,Reasoning_Summary,BLEU,ChrF,METEOR
Chamorro,0,Ennåo na mumentu na ha tutuhun tumailayi i rilihon-mu.,It’s at that moment that your religion begins to be unkind.,That was the moment your religion began to waver.,detailed,8.639795714750207,44.00960174487132,46.6686674669868
Chamorro,2,Fåttu mågi agupa’ ya bai hu nå’i håo ni malago’-mu.,Come back tomorrow and I will give what you want.,Come here tomorrow and I’ll give you what you want.,detailed,29.982213893423374,63.10935897157167,76.82980599647267
Chamorro,3,Ti u’uchan.,It is no longer raining.,It won’t rain.,"**Translating Chamorro phrases**

I'm trying to translate ""Ti u’uchan."" I think ""umuchan"" means ""it rained,"" while ""u’"" might signify first-person singular in a realis context. So, I'm leaning towards ""It didn't rain"" or ""I didn't rain."" Since ""rain"" is impersonal, ""It did not rain"" seems fitting. The phrase ""Ti umuchan dididi'"" gives examples of when it rained a little. But for ""Ti u’uchan,"" I’ll say, ""It won't rain,"" combining negation with future tense. I’ll share this final translation, although I'm torn since the developer prefers just the result without further explanation.",11.521590992286539,16.058633119873218,42.592592592592595
Chamorro,5,Meggai hånum.,There’s a lot of water.,A lot of water.,detailed,54.75182535069452,55.75703583087306,64.67532467532467
Chamorro,6,Fatå’chung guennåo ya un ketu.,Sit there and keep still.,Sit there like that and stay still.,detailed,16.515821590069034,50.45890186165683,71.93548387096776
Chamorro,7,put i lina’la’ yan sinientin i taotåo siha,about the lives and feelings of people,About the lives and feelings of the people.,detailed,46.713797772820016,85.44450101230348,88.15192743764172
Chamorro,8,Chetdan tanduki i mås ya-hu na chotda.,Tanduki banana is my favorite banana.,Plantain bananas are the bananas I like the most.,detailed,4.196114906296549,31.971367231845054,20.54794520547945
Chamorro,9,Manmahulat ham ni mañaina gi hunta.,We (excl.) were subdued by the parents at the meeting.,We were written down by the parents at the meeting.,"**Clarifying meanings of ""mahulat""**

I'm exploring the meaning of ""mahulat."" I initially thought it could be related to ""to vote,"" but I'm not sure. In Chamorro, I found ""hulat"" means ""write,"" which leads me to think ""mahulat"" could be ""written."" So ""manmahulat ham"" might mean ""we wrote"" or ""we were written"" by the parents during a meeting. This could suggest something like ""registered"" or ""enrolled,"" perhaps in a context like ""We were written down by the parents at the meeting.""",46.26266998613165,59.35006792658246,64.47688564476887
Chamorro,10,ginin i asaguå-ña,from his wife,from his wife,detailed,100.00000000000004,100.0,98.14814814814815
Chamorro,11,Manrinimåta siha i famalåo’an ni taotåo ginin i lanchun-ñiha.,The women had been chased away from their farm by the man.,The women who were people from their ranch were watching.,detailed,9.345091860762494,34.05369286368856,29.062500000000004
Chamorro,13,Bula ginimen-mu letchi.,You drank a lot of milk (today).,You drank a lot of milk.,detailed,54.77927682341229,70.64185269577042,71.32337471070903
Chamorro,14,Hu na’hånåo paketi para i dos lahi-hu.,I sent a parcel to my two sons.,I sent a package for my two sons.,detailed,43.167001068522524,61.22904075401948,76.87074829931973
Chamorro,15,Na’banidosu håo ni lingguahi-mu.,Be proud (lit. make yourself proud) of your native language.,Be proud of your language.,detailed,7.411578198219063,33.53783577788621,38.72053872053872
