Lang,Index,Source,Reference,LLM_Translation,ChrF
Basque,0,eman diegu,we have given it to them,We have given (it) to them.,65.55
Basque,1,MIRENI erosi diote liburua?,Did they buy MARY the book?,Did they buy the book for Miren?,59.57
Basque,2,"Baina oraingoan ez zaigu Bardem kontatzen hasi, noiz eta nola konta badakiela erakusteko.","But on this occasion, Bardem has not started telling stories just to show us that he knows to tell when and how.","But this time Bardem hasn’t started telling it to us, to show that he knows when and how to tell it.",55.47
Basque,3,Ezer ez dio inork inori eman.,No one gave anything to Mikel.,Nobody gave anything to anyone.,56.64
Basque,4,Hori nere ohea da.,That is my bed.,That is my bed.,100.0
Basque,5,Zure laguna *pozik/*gure aurrean/aberats(a)/indartsu(a) bihurtu da.,Your friend became happy/in front of us/rich/strong.,Your friend has become happy / (in front of us) / rich / strong.,73.94
Basque,6,Mikelek besoa hautsi du.,Mikel broke his arm.,Mikel has broken his arm.,59.07
Basque,7,"eta baldin halatan eta orduan, bat ere gozo-rik edo zaphore-rik edirei-ten ba-diozu, zeren hura guzti-a Iaingoiko-aganik heldu bai-tateke, eta ez ene-ganik falta baizen, hari eskerr-ak errenda iatzotzu, eta ni-tzaz ere othoi-z egi-te-az, arren othoi, orhoit zaitezi.","And if thus and then, you find in it some sweetness of flavor, because all of that may come from God, and from me only its flaws, give thanks to Him, and please, I pray, remember me when you pray.","And if so and then you find in it any sweetness or savour at all, since all of that would come from God and not from me except for what is lacking, render thanks to Him; and, I beg you, remember me too in your prayers.",48.18
Basque,8,Babestu gara.,We protected ourselves.,We have protected ourselves.,92.17
Basque,9,Urik ga.be ondo loratzea zaila da.,It is difficult to bloom without water.,It is difficult to bloom well without water.,91.84
Basque,10,zabal eta luzera,width and length,wide and long,26.49
Basque,11,Garaiz oheratzea eta berandu arte ohean egotea dut nik gustuko.,I like to go to bed early and to be in bed until late.,I like going to bed early and staying in bed until late.,66.04
Basque,12,etxe baten aurrean,in front of a house,in front of a house,100.0
Basque,13,Ordu biak dira.,It is two o'clock.,It is two o’clock.,69.53
Basque,14,"Jonek badaki, denek dakite.","If Jon knows, everybody does.",Jon knows it; everyone knows it.,37.29
Basque,15,Nork ikusi ahal zaitu?,Who can see you?,Who could have seen you?,34.65
Basque,16,"ekarriko balit, emango nizueke","if he brought it to me, I would give it to you-pl","If you brought it, I would give it to you (pl.).",63.86
Basque,17,Hain argia zaren horrek jakin beharko zenuke.,"You, who are so clever, ought to know.","You, being so clever, should know.",40.89
Basque,18,Ni herrira ere joango naiz bihar.,I will go also to the village tomorrow.,I will also go to the town tomorrow.,51.74
Basque,19,Leihoak zikindu dira.,The windows soiled.,The windows have gotten dirty.,49.86
