Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Chamorro,L_to_en,0,"Poloyo ya jufañule minetgot, antes de jujanao ya ti jutalo.","Oh spare me, that I may recover strength, before I go away, and exist no more.""","I don’t know the exact meaning of the sentence in Chamorro, but a best-guess translation is: “I will not forget you, before you go, you will be the one who leaves.”",2.725770058666702,21.358404841475355,25.500026955631032
Chamorro,L_to_en,1,"Lao güiya manope, ilegna; Magajet jusangane jamyo na ti jutungo jamyo.","But he answered and said, Verily I say unto you, I know you not.",Don’t touch it with your hands; it’s dangerous. Don’t let it fall into your hands.,2.1476912089159055,21.158527068846674,2.824858757062147
Chamorro,L_to_en,2,"Lao guiya janaguefchadeg y cuentosña, ilegña: Yanguin jumitamatae, ti jupunejao ni jaftaemano. Taegüineja locue sinanganñija todos.","But he spoke all the more, ""If I must die with you, I will not deny you."" They all said the same thing.","In Chamorro, the sentence is: “The other day, I was telling stories, and then I said: ‘I will not die; I will be alive.’ Everyone should listen to me.”",3.8020505008924594,28.10446812622439,22.81650696027017
Chamorro,L_to_en,3,"Lao anae palo manmajetog, ya ti manmalago manmanjonggue, ya manguecuentos taelaye pot ayo na Chalan gui menan y linajyan taotao, sumuja si Pablo guiya sija, ya janafañuja y disipulo sija, ya manadingan cada jaane gui escuelan Tiranno.","But when some were hardened and disobedient, speaking evil of the Way before the multitude, he departed from them, and separated the disciples, reasoning daily in the school of Tyrannus.","When Jesus had finished these words, he went on to teach in the towns and villages, and he did not let anyone follow him. And when he was teaching, many people came to him, and he healed them all.",3.349325796363972,25.451237968376965,21.909927679158443
Chamorro,L_to_en,4,"Ylegña: Tata, yanguin malago jao, nasuja guiya guajo este y copa: lao munga mafatinas y malagojo, lao y malagomo.","Saying, Father, if thou be willing, remove this cup from me: nevertheless not my will, but thine, be done.","“Father, I have done many things for you; I have given you this and that cup: you should not be afraid of me, and I will not be afraid of you.”",1.85454562190316,25.695442395085838,23.897058823529413
Chamorro,L_to_en,5,Unaguimen y sadog gui chalan: enaomina güiya jumatsa julo y ilo.,He will drink of the brook in the way; therefore he will lift up his head.,"If you go on the road, you will find a lot of food.",3.042812100617061,15.036795093532266,11.299435028248588
Chamorro,L_to_en,6,"Jusangane jamyo, na entre ayo sija y manmafañago gui famalaoan, taya dangculoña qui si Juan; lao y diquiqueja gui raenon Yuus dangculoña qui güiya.","""For I tell you, among those who are born of women there is not a greater prophet than John the Baptizer, yet he who is least in the Kingdom of God is greater than he.""","When you go, between you and your companions, you should not be afraid of Juan; and if you go to the place where God is, you will not be afraid of him.",2.747904533593609,17.210248122566334,16.007556675062975
Chamorro,L_to_en,7,"Ya anae jumalom, ilegña nu sija: Jafa na manatborotao jamyo, yan manatanges jamyo? Y patgon na palaoan ti matae, na mamaego.","And when he was come in, he saith unto them, Why make ye this ado, and weep? the damsel is not dead, but sleepeth.","If you eat, you will be told: “What are you doing to me, and what are you going to do to me?” And the child will be the one who will be the one to grow up.",2.331372206682652,19.9505345878069,14.331210191082802
Chamorro,L_to_en,8,Gof maolek!,Very good!,Go away!,27.516060407455225,5.813953488372092,16.666666666666664
Chamorro,L_to_en,9,"Lao pot y jarorobayo este na palaoan, bae juaregla sija, sa noseaja pot y sisigueja mague, uestotbayo.","yet because this widow bothers me, I will defend her, or else she will wear me out by her continual coming.'""","The man is going to the market, but he is not going to buy anything; he is just going to eat.",1.7213771561095463,14.439043845558153,3.875968992248062
