Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Basque,en_to_L,0,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,"Vatikano Hiriak 800 biztanle ditu gutxi gorabehera. Munduko herrialde independente txikiena da, eta biztanle kopuru baxuena daukana.","Vatikano Hiriko biztanleria 800 ingurukoa da. Munduko herrialderik txikiena da, herrialde independente gisa, eta biztanleria txikiena duen herrialdea.",11.187338538742793,61.07342276135594,43.98167089436216
Basque,en_to_L,1,All citizens of Vatican City are Roman Catholic.,Vatikano Hiriko biztanle guztiak katoliko erromatarrak dira.,Vatikano Hiriko herritar guztiak katoliko erromatarrak dira.,59.460355750136046,81.02804067388392,86.4795918367347
Basque,en_to_L,2,"It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","Landare-komunitate anitza eta nabaria dauka, mikroklima sortari, lurzoru desberdinei eta altitude-maila ugariei esker.","Landare-komunitateen barietate nabarmen handia du, mikroklima ugari dituelako, lurzoru desberdinak eta altitude-maila aldakorrak direla eta.",7.994607499472017,62.67823217144605,38.96604938271605
Basque,en_to_L,3,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,Amazonas ibaia Lurreko bigarren ibai luzeena eta ibairik handiena da. Bigarren ibai handienak baino 8 bider ur gehiago darama.,Amazon ibaiak Lurreko bigarren ibairik luzeena eta ibairik handiena da. Bigarren ibairik handienak baino 8 aldiz ur gehiago eramaten du.,37.84157746763233,76.2396819101037,67.47761979989468
Basque,en_to_L,4,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.",Lehoi-taldeek otsoen edo txakurren taldeen era berean funtzionatzen dute; lehoien oso antzekoak dira portaerari dagokionez (baina ez dira beste katu handi batzuk bezalakoak) eta harrapakinentzat oso arriskutsuak dira.,"Lehoi harrotzek otso edo txakur artaldeek bezala jokatzen dute, portaeran lehoiekin (baina ez beste katu handi batzuekin) harrigarriro antzekoak diren animaliek, eta harrapakinentzat ere oso hilgarriak dira.",10.105385745342533,55.116756155249725,41.8125
Basque,en_to_L,5,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,Henry Louis Gatesen PBS programaren Afrikar lurralde zoragarriak saio berezian geldialdi nagusienetakoa izan zen.,Henry Louis Gatesen PBSko Wonders of the African World saioan zehar egindako geldialdi nagusietako bat izan zen.,13.973536728747975,49.85385145903075,43.95091369881286
Basque,en_to_L,6,Argentina is well known for having one of the best polo teams and players in the world.,Argentina oso ezaguna da poloko talde eta jokalaririk onenak izateagatik.,Argentina munduko polo talde eta jokalari onenetako bat izateagatik da oso ezaguna.,10.390302174233558,67.43629226731119,56.36160714285714
Basque,en_to_L,7,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,"Loaren etenaldiaren prozesuan, loaldi arruntean berariaz esnatu eta handik gutxira loak hartzen zaitu berriro (10-60 minutu).","Loaren etenaldia zure ohiko loaldian nahita esnatzeko prozesua da, eta une gutxiren buruan (10–60 minutu) berriro lo hartzea.",4.885326644211927,49.2715888264791,26.33818069306931
Basque,en_to_L,8,"For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","Esaterako, “ikastea” eta “sozializatzea” omen dira Internet erabiltzeko motibazio nagusiak (James et al., 1995).","Adibidez, “ikaskuntza” eta “sozializazioa” Internet erabiltzeko motibazio garrantzitsu gisa iradokitzen dira (James et al., 1995).",47.31668114099112,65.0007094284892,76.47907647907648
Basque,en_to_L,9,"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","Legealdiaren erdiko hauteskundeetan astebetez galtzen joan ondoren, Bush-ek ikus-entzuleei azaldu zien Asian negozioak hedatzeko helburua zuela.","Erdiesteko hauteskundeen astebeteko galerak igaro ondoren, Bushek entzuleei Asiako merkataritzaren hedapena azaldu zien.",6.434764150483398,45.118652143504356,25.19774011299435
