Lang,Index,Source,Reference,LLM_Translation,ChrF
Igbo,0,O gà-àzụ̀rụ̀ ya,He is going to buy it for himself.,He will buy it.,15.27
Igbo,1,m/mū nà unù,I and you(pl.),We are with you.,11.44
Igbo,2,mÙkpu` àla,landscraper,The cry of the land.,20.97
Igbo,3,Achòrò m ìtùpòsì akwa à,I want to put spots on this cloth.,I thought about the dress.,11.64
Igbo,4,lìdebe nnī,stop eating,Write it down.,9.62
Igbo,5,Ō gàala ngwa ǹgwa,He has been there (and back) quickly.,He has gone quickly.,31.57
Igbo,6,a sìrì,An unidentified person has said…,we wrote (it),4.07
Igbo,7,M̄mū kwa nū,What of me!,I drank too.,7.47
Igbo,8,Ejèrè hà,They went,They went.,96.17
Igbo,9,îfùk ífûk,He counted.,Quickly; in a hurry.,5.85
Igbo,10,NÙgi` nà nwunyè i wà/wè kà wa chò`,"They want you and your wives, in particular/especially",You and your wife should come and look for it.,25.82
Igbo,11,O mààrà ihe,He is well informed.,He knew something.,14.08
Igbo,12,O bù ihe nà e mè ème,This is something worth doing.,It is something that is done.,43.69
Igbo,13,O bìela ebè a.,He had (once) lived here.,He has come here.,25.3
Igbo,14,Àdâ mà mma,Ada is beautiful.,Ada is beautiful.,100.0
Igbo,15,isī n’EBE,to come from a PLACE,Head in the bush,3.25
Igbo,16,I kwèsì`rì` i`laÛ ùgbu à,You ought to go by now.,"You have agreed already, haven’t you?",11.43
Igbo,17,Ò nwèrè onye sī ebe ahù bi a?,Did anybody come from there?,Is there anyone who lives here from that place?,33.39
Igbo,18,Wèta nÙke dī` mmaÛ,Bring that which is good.,Bring the good strength.,35.2
Igbo,19,O` gà-àla echī,He will go tomorrow.,He will go tomorrow.,100.0
Igbo,20,Nwatà zàrà ulo à,A child swept this house.,The child slept in the house.,43.23
Igbo,21,O kpòsàrà yà èkpòsa,He really threw it over.,He flogged him a flogging.,9.03
Igbo,22,Igwè bù ike,Unity is strength,Unity is strength.,98.4
Igbo,23,m/mū nà gī,I and you,I am seeing you.,21.84
Igbo,24,Kèdu ya /ha ?,How about him/them?,How are you/they?,25.54
Igbo,25,Chike jèrè ahīa.,Chike went to the market!,Chike went to the market.,94.55
Igbo,26,Èbee kà o gàrà?,Where did he go to?,Where did he go?,80.44
Igbo,27,Wèrue anya gị àlà,Watch out carefully.,Look down.,2.06
Igbo,28,"Ngo`zi, ò ri`bèlà igwè, o zu`Ûru`","As for Ngo`zi, she has not bought any bicycle.","Ngozi, when she ate the eagle, she became tired.",16.72
Igbo,29,Ì màkwààrà ihe i nà-ème o nwe gī ?,Do you realize what you are doing to yourself?,"Do you realize what you are doing, my dear?",71.91
Igbo,30,"E zugbuole mmàdù, n’ohī, n’ebe à","People have tormented others, by stealing their things, here.","He has killed someone, secretly, in this place.",16.32
Igbo,31,"O kwèsì`rì` nà o` làrà, ùgbu à","It is expected that he leaves, now.",He agreed that he had gone now.,30.16
Igbo,32,wèdàrù anya àlà,Watch out very carefully.,He fell to the ground.,11.91
Igbo,33,O` gà nrī nri ahù,He must eat that food.,He will eat that food.,63.64
Igbo,34,Kèdu ole je re ù nyàahù ?,How many were there who went Yesterday?,How many years have you been married?,23.38
Igbo,35,… àba mÛ na àcho` aÛ …,… and then I was looking for it …,… my body and my hand …,8.68
Igbo,36,Kemgbe ūtūtù kà ō bīàrà,He came since morning.,It’s been a long time since he came.,40.41
Igbo,37,O rìrì nrī,He ate food.,He ate food.,100.0
Igbo,38,ike kwe,perhaps,Strength is enough.,7.41
Igbo,39,Ō zūga ahīa ùgbu à,He is right now buying and selling.,He has gone to the market now.,12.75
Igbo,40,Àda nà Uzo jèrè ahīa.,Ada and Uzo went to market.,Ada and Uzo went to the market.,83.74
Igbo,41,Ì nà-àbì a kà ò bu ì naghī àbi a?,Are you coming or are you not coming?,"Are you asking this, or are you not asking this?",47.37
Igbo,42,O gà-ème ya.,He will do it.,He will do it.,100.0
Igbo,43,Ò jèrè ahīa?,Did he go market?,Did he/she go to the market?,58.25
Igbo,44,īkwu n’ EBE,to stand at a PLACE,Thigh in the body.,4.44
Igbo,45,Ò jighì motò bu ya,He did not use a car to carry it.,He did not use a car to carry it.,100.0
Igbo,46,ulo agu,the leopard’s den,Tiger house,7.14
Igbo,47,O jì uchè kpata ego ya,He amassed his wealth with sense (cleverly).,He used his intelligence to make his money.,19.99
Igbo,48,ajo`Û ihe,bad thing,Bad thing.,76.74
Igbo,49,"O mèrè ya, òtùmàsìghì, nà ò jighī ahū",He did it in spite of the fact that he was not well.,"He did it, without delay, and he did not use that.",27.43
Igbo,50,"O tòsìrì nà o` làrà, ùgbu à","It is expected that he leaves, now.",He has started to go now.,17.67
Igbo,51,O gbùrù ewu,He killed a goat.,He killed a goat.,100.0
Igbo,52,Òtu Sùbakwanù Ìgbò,Society for Promoting Igbo Language and Culture (SPILC),One Igbo Subakwanù,7.32
Igbo,53,Nwatā à àmaala mma.,This child has become beautiful.,The child has become beautiful.,86.73
Igbo,54,u`nò` ewuÛ,house of goat,The goat’s house.,39.85
Igbo,55,Azù niīle bù azù,All fish are fish.,All fish are fish.,100.0
Igbo,56,Àdâ nwè ego,Ada has money.,Ada has money.,100.0
Igbo,57,gī nà ya,you and they,You and I,31.89
Igbo,58,A nà-èji ūchu àga n’ihu,People use hard work to progress.,We keep moving forward.,11.49
Igbo,59,Chumo onye me re ihe a?,I wonder who did this?,Who did you see do this?,32.56
Igbo,60,"Kà o sìrì kwù, kà o sìrì me.","The way he said, it is the way it happened","As he said it, so he did it.",19.83
Igbo,61,ihīri isi,to lay the head against,To nod one’s head,13.54
Igbo,62,akwaÛ èdò,yellow cloth,cloth of the mortuary (burial cloth),25.26
