Lang,Index,Source,Reference,LLM_Translation,ChrF
Georgian,0,"na+m+q'+o u+srul-i, k'avšir+eb+it-i p'irvel-i sul ar (Ø-)e-c'armo-eb-a-t",The Imperfect Indicative (and) Prešent Subjunctive are simply not formed for them,The aorist is not formed at all in the first person with conjunctions.,25.65
Georgian,1,deda-s ra da-u-rč-a,what did mother have left?,What did mother have left?,94.83
Georgian,2,k'ac-ma še-(Ø-Ø-)a-q'var-eb-in-a tav-i kal-s da še-(Ø-)i-rt-o,the man got the woman to love him and married her.,The man made himself fall in love with the woman and got married.,45.45
Georgian,3,švid+i-ode gogo-s/švid+i-ode-s v-(0-)xed-av,I see about 7 girls/about 7,I see the girl seven times / I see it seven times.,19.91
Georgian,4,dinamo+el-eb-ma st'umr-eb-s mo-(?Ø-Ø-)u-g-es or-it=nul-i,Dynamo beat the guests 2-Ø.,The Dinamo players beat the guests 2–0.,59.79
Georgian,5,sa+xalx+o me+urn+e+ob-is sc'rap zrd+a-s tan (?0-}s-d-ev-s m+šr+om+el-ta mat'erial+ur-i m+dg+om+are+ob-is ga+u+m+job+es+eb+a,the rapid growth in people's farming is accompanied by an improvement in the material circumstance of the workers,Rapid growth of the national economy is accompanied by an improvement in the material conditions of the working people.,64.34
Georgian,6,xipat-s (gada-)(Ø-Ø-)rč-eb-i,you (will) survive the danger,The whip was taken away.,7.67
Georgian,7,šen me pul-i mo-(0-0-)m-e-c-i,‘you gave (the) money to me’,You gave me the money.,36.46
Georgian,8,erek'le cxen-ze šven-od-a,Erek'le looked resplendent on the horse,Erekle was sitting on a horse.,18.67
Georgian,9,šv+il-ma mama-s da+u+zar+eb+1-ad mo-u-rb-en-in-a muguzal-i,the child rushed the firebrand hither to (his) father without hesitation,The child made the father run up to the traveler as a messenger.,24.95
Georgian,10,v-(?Ø-)i-sa+rg+eb+l-eb a+m še+mtxv+ev-it,I shall take advantage of this occasion,I use it in this case.,13.72
Georgian,11,pot-sa da odesa-s šoris gem-eb-i da-di-an,boats (regularly) journey between Poti and Odessa,Ships sail between Poti and Odessa.,47.3
Georgian,12,si-garib-e-s mi-g-a-<5v-ev,I shall make you accustomed to poverty,Poverty will come to him.,20.99
Georgian,13,m+sur+v+el-eb-ši moxuc-n-i-c k'i mravl+ad ga-mo-čn-d-a,among those shewing willing there appeared even old folk,"In the desires, even old people turned out to be many.",22.38
Georgian,14,gana ra ča-v-(Ø-)i-d-in-e i+s+e+t-i?,What on earth did I do of such a kind?!,"“Really, what have I gotten myself into like this?”",14.46
Georgian,15,cot'a gvino (Ø-)gv-a-m+q'+op-in-a junc'-ma,the selfish one judged a little wine to be enough for us,"A little wine got us drunk, said Junc’.",25.35
Georgian,16,kal-s lamaz-i surat-i (Ø-)u-k'id-i-a k'edel-ze,‘the woman has a pretty picture hanging on the wall’,The woman has hung a beautiful picture on the wall.,48.96
Georgian,17,kal-s gul-i c'a-u-vid-a,the woman fainted,The woman’s heart sank.,36.41
Georgian,18,s-t'ir-i-an k'onpederaci-is da+šl+a-s,they mourn/weep over the break-up of the confederation,They are crying about the breakup of the confederation.,56.47
Georgian,19,k'rit'ik'-is u+k+on+1+oba čven-i lit'erat'ur-is u+šina+a+r+s+oba-s ar u+nd+a da-(Ø-)bral-d-e-s,the lack of criticism must not be blamed on the lack of content in our literature,The critic’s groundlessness should not be blamed on our literature’s lack of inner content.,53.46
Georgian,20,ert+xel ber-eb-ma rust(a)vel-is c'ign-is c'a+rtm+ev+a mo-(0-)m-i'-nd+om-es,the monks once conceived a desire to snatch away from me Rust(a)veli's book,Once the monks wanted to translate Rustaveli’s book.,28.11
Georgian,21,delegat'-eb-i si+am+ovn+eb-it (Ø-)p'asux-ob-en q'ovel+gvar t'q'u+il-sa da mo+čven+eb+it še+k'itx+v-eb-s,the delegates provide answers with pleasure to every kind of lie and specious question,The delegates answer every kind of lie and question with pleasure and with proof.,62.48
Georgian,22,sa-c'er-i mankana,typewriter (lit. machine for writing),a writing machine,32.8
Georgian,23,"mo-xar-ul-i v-a+r, rom še-mo-(Ø-?Ø-)i-a+r-e čem-tan",I am delighted that you have popped in at my place.,I am happy that you came to me.,22.45
Georgian,24,čem-ma megobar-ma ert+man+et-s rom ga-gv-(Ø-)a-cn-o,when my friend introduced us to each other..,“My friend wanted us to introduce each other.”,63.12
Georgian,25,kmar-ma pul-i mo-(Ø-)m-c-a,‘(my) husband gave me (the) money’,The husband gave me the money.,53.55
Georgian,26,dia+saxl+is-ma katam-i da-k'l-a da gv-a-č'am-a,the housewife killed the chicken (sc. by slitting its throat) and fed it to us,The stepmother killed the cat and fed it to us.,35.17
Georgian,27,kmar-i pul-s (Ø-)m-a-jl-ev-s,‘(my) husband gives me (the) money’,The husband is spending money.,29.52
Georgian,28,"še k'arg-o k'ac-o, šena","you good man, you","Hey, good man, you.",71.98
Georgian,29,šen-i p'ur-i adam+ian-s ar (Ø-)e-č'm-eb-a,a human being cannot eat your bread,Your bread doesn’t feed a person.,24.63
Georgian,30,"(Ø-Ø-)i-c-i m+cn+eba-n-i: ar (Ø-)i-mušr-o, k'ac-i ar mo-(Ø-Ø-)k'l-a, ar mo-(Ø-Ø-)i-p'ar-o, ar (Ø-)i-q'-o cru-mo+c'm+e, nu mo-(Ø-Ø-)a-t'q'u-eb, p'at'iv-i (Ø-Ø-Ø-)e-c-i šen-s mama-s da deda-s.","You know the commandments: do not commit adultery, do not kIII, do not steal, do not bear false witness, do not lie, honour your father and mother.»","You know the commandments: do not commit adultery, do not kill, do not steal, do not bear false witness, do not defraud; honor your father and mother.",86.53
Georgian,31,m+š+ob+el-s (Ø-)u-q'var-s šv+il-i / šv+il-eb-i,The parent loves the child/children,A parent loves a child / children.,71.2
Georgian,32,"i+ma-s ver v-(Ø-)i-t'q'v-i, rom šuxart-i srul+i+ad ga-rk'v-e-ul-i-q'-o-s xan-is p'repiks-eb-ad xmar+eb-is sa+k'itx-Si",I shan't be able to say that Schuchardt gained a complete understanding of the question of the use as prefixes of xan (or hae),I couldn’t tell him that Shuxarti had been completely clarified in the issue of using it as the prefix *xan-*.,25.44
Georgian,33,"an+da, o+d+it+gan k'omp'as-s ra-d (Ø-)a-kv-s isar-i or-i?",Or why does a compass have two arrows to begin with?,"Or, which of them does the compass have—one arrow or two?",39.42
Georgian,34,axal+ga+zrč+oba-ši garda-i-cval-a. a+s+e rom imed-i ver gan-(Ø-)gv-i-xorc+iel-a,He died in youth. And so (The result was that) he could not realise our hopes,He died in his youth. So that we could not fulfill our hope.,40.92
Georgian,35,"tu e+s varaud-i mart+eb+ul-i ag-mo-čn-d-eb-od-a, u+nd+a ga-rk'v-e-ul-i-q'+o","If this supposition had proved correct, it would have had to have been explained...","If this assumption turned out to be correct, it had to be clarified.",31.68
Georgian,36,m+gza+v+r-eb-ma pex-s/nabij-s a-(?Ø-Ø-)u-čkar-es,the travellers quickened their pace/step.,The travelers quickened their pace/steps.,86.68
Georgian,37,"tav-s (Ø-)i-kn-ev-s jagl-ik'a, uar-s (Ø-)a-cxad-eb-s","‘the little dog shakes its head, it indicates its refusal’","A dog is killing itself, it is refusing the oath.",24.15
Georgian,38,sa + na + m(de),"while, until, before",until,21.65
Georgian,39,kal-i mi-m-i-xvd-a mizan-s,the woman realised my aim = what I was aiming for,The woman met the target.,18.67
Georgian,40,sa + it-k'ena-c,whither,and he/she/it also took it,12.04
Georgian,41,mze u+pr+o da u+pr+o (?Ø-)a-cx+un-eb-d-a,the sun was getting hotter and hotter.,The sun was shining more and more.,29.7
Georgian,42,"ert-i, abesa+je, ert-i, or-pr-ad áe-geb-il-i or-i bolo-ti, ga-sa-g-eb-i-a?","«One, Abesadze, one, with two ends coloured differently, understand?»","One, Abesa, one—are the two ends that have been taken twice understandable?",39.27
Georgian,43,kart+v+el-eb-s p'at'iv-it mo-(Ø-Ø-Oe-p'q'ar-i-t da brj+ol-is dro-s gverd-it (Ø-Ø-)i-q'+ol+i-e-t,treat the GEORGI ANs with respect and in time of battle make sure to have them by your side,"You honored the Georgians and, in battle, stood by their side.",20.4
Georgian,44,a+k q'vela-s mo-e-svl-eb-a,everyone can come here,Everyone will come here.,57.71
Georgian,45,sardin-eb-i kila-ši (?Ø-)t'en-i-a,‘the sardines are crammed/stuffed in the tin’,The sardines are in the kilo.,38.85
Georgian,46,u+pr+o+s-ma vikt'or-s or-i me+brj+ol-i ga-to-Ø-)a-q'+ol-a mt'r-is banak'-i u+nd+a da-(Ø-)e-zver-a-t,the chief sent two warriors along with Victor ... they had to spy on the enemy-camp,The old man made Victor and two warriors attack the enemy camp.,36.49
Georgian,47,"še+čven+eb+ul-i v-i-q'v-e, tu v-t'q'u-od-e, tu ro+di+s+me bavšv-i h-q'+ol-od-e-s, da tu ro+di+s+me (Ø-)e-q'+ol-o-s ert-i","May I be cursed if it transpires that I am lying, if it transpires that she has ever had a child, and if it transpires that she ever does have one!","I was surprised, whether I was saying it, whether at some time the child would be born, and whether at some time one would be born.",19.7
Georgian,48,i+gi dambač-it xel-ši,he is standing in front of me with a pistol in his hand!,He held it in his hand with a pistol.,41.92
Georgian,49,ra+t'om ar ča-(Ø-?Ø-)e-c'er-eb-i p'olicia-i?,why won't you register at the police-station?,Why didn’t the police write it down?,29.08
Georgian,50,sxva-s ra+t'om (Ø-Ø-)a-xv-ev-s tav-ze tav+is neba-s?,why does X impose on others his own will?,Why does he impose his own will on someone else?,50.94
Georgian,51,axal+ga+zrd-eb-i ert+man+et-s/ert+i+me+or+e-s (Ø-)u-q'ur-eb-en,the young people look at each other,The young people are looking at each other.,75.67
Georgian,52,st'umar-ze zrun+v+a cicino-s da-(Ø-Ø-)a-val-a,X charged Tsitsino with caring for the guest,Cicino took care of the guest and brought her along.,28.42
Georgian,53,"i+s mukta+xora m+gza+vr-ob-s xolme i+s+e, rom bilet-s ar (Ø-)q'id+ul-ob-s",That parasite usually travels without buying a ticket,"He often travels for free, so he doesn’t buy a ticket.",27.64
Georgian,54,ert urem-s (?Ø-)g-e-vač'r-eb-i,I am bargaining with you over the price of one wagon,One donkey sold them.,7.24
Georgian,55,"sul ert-i-a Sen ra g-i-nd-a, i+gi tav-isa-s mainc (Ø-)i-zam-s","It's all the same what you want, X will still do his/her/its own thing","It’s all the same to me: whatever you want, he’ll still do it his own way.",48.86
Georgian,56,sabč'o-ta k'avšir-i,The Soviet Union,Soviet Union,77.45
Georgian,57,čfern-it bevr-i u+si+amo+vn+eba gada-g-xd-a,because of me many unpleasant things have befallen you,A lot of unpleasantness happened to you because of us.,39.79
Georgian,58,še+xvedr+a pre-d da-m+tav+r-d-a,The meeting ended in a draw,He met her and finished it.,20.17
Georgian,59,"ai e + s k'ac-i-a, rom (Ø-)g-e-ubn-eb-od-i","look/lo, this is the man I was telling you about!",Here is the man who was telling you (it).,45.7
Georgian,60,e+s beč'ed-i v-(Ø-)i-q'id-e at-as girvank-ad,"I bought this ring for 1,000 pounds",I bought this seal for a thousand girvanks.,39.64
Georgian,61,ra bral-i mi-g-i-)gv-i-t kal-is si+k'vd+il-ši?,what fault lies with you(Pl) in the death of the woman?,What guilt did you bring upon us in the woman’s death?,30.0
Georgian,62,gverd-it m+q'+op-s ga-mo-(Ø-)e-lap'arak'-eb-a,you will start a conversation with someone at his side,“He talked to me on the side.”,14.64
Georgian,63,kart-v-el-ur-i en-eb-i,Kartvelian languages,Kartvelian languages,100.0
Georgian,64,prin+v+el-ta me+p+e (arc'iv-i),the king of birds (the eagle),the king of the birds (eagle),65.57
Georgian,65,elč-tan c'ar-m-a-dg-in-a. me čem-i mxr-iv iulius-i c'ar-v-(Ø-Ø-)u-dg-in-e k'lark'-k'er-s,"X prešented me to the ambassador. I, for my part, introduced Julius to Clark-Kerr","He introduced (him) to the envoy. I, on my part, introduced Julius to Clark Kerr.",53.52
Georgian,66,c'ign-i da-v-(Ø-)c'er-e,‘I wrote the/a book’,I wrote the book.,56.81
Georgian,67,kvevr-s sa+rk+v+el-s da-v-(0-0-)a-par-eb-t,‘we shall put a cover over the wine storage-jar’,We will cover the qvevri with a lid.,23.81
Georgian,68,gogo p'ir-ze xel-s da-i-par-eb-s,the girl will place her hand as covering over her face/mouth,The girl covers her face with her hand.,36.15
Georgian,69,še+cd+om+a da-v-(Ø-?Ø-)u-šv-i,I make a mistake,A mistake happened and I made it.,41.52
Georgian,70,sa+kon+el-i še-dg-eb-od-a ert-i tx-isa-gan da or-i jrox-isa-gan,the livestock consisted of one goat and two cows,The sausage consisted of one sheep and two pigs.,43.85
