Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Georgian,L_to_en,0,"ვატიკანში დაახლოებით 800 ადამიანი ცხოვრობს. იგი მსოფლიოს ყველაზე პატარა დამოუკიდებელი ქვეყანაა, მოსახლეობის ყველაზე მცირე რაოდენობით.",Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,"About 800 people live in Vatican City. It is the world’s smallest independent country, with the smallest population.",19.064433353290465,58.67900700936455,50.38586703858671
Georgian,L_to_en,1,ყველა მოქალაქე ვატიკანში არის კათოლიკე.,All citizens of Vatican City are Roman Catholic.,All citizens in Vatican City are Catholic.,26.663544297126496,70.60640692729869,75.55606512267829
Georgian,L_to_en,2,"მიკროკლიმატის მრავალფეროვნების, სხვადასხვა ნიადაგისა და ზღვის დონიდან განსხვავებული სიმაღლის გამო, იგი გამოირჩევა მრავალფეროვანი ნიადაგით და სიმაღლის სახვდასხვა დონით.","It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","Due to the diversity of its microclimates, different soils, and varying elevations above sea level, it is distinguished by a variety of soils and different levels of elevation.",5.740967494741397,47.008351154700016,49.773022049286645
Georgian,L_to_en,3,მდინარე ამაზონი სიგრძით მეორე და დედამიწის ყველაზე დიდ მდინარეს წარმოადგენს. სიდიდით მეორე მდინარესთან შედარებით იგი 8-ჯერ უფრო წყალუხვია.,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,"The Amazon River is the second-longest and the largest river on Earth. Compared with the second-largest river, it is eight times more voluminous.",24.099126247941598,61.14410021211815,55.56093259345292
Georgian,L_to_en,4,"ლომების პრაიდი ქცევებით ძალიან ჰგავს მგლების ან ძაღლების ხროვას, ცხოველებს, რომლებიც ასევე საოცრად ჰგვანან ლომებს ქცევის მანერით (მაგრამ არა სხვა დიდ კატებს) და ასევე ძალზე მომაკვდინებელია მათი მსხვერპლისთივს.","Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.","A pride of lions, in its behavior, closely resembles a pack of wolves or dogs—animals that also remarkably resemble lions in their manner of behavior (but not other big cats) and are also extremely deadly to their prey.",26.87197270680434,53.04730356886007,65.34326647564471
Georgian,L_to_en,5,საზოგადოებრივი მაუწყებლობის ფარგლებში ჰენრი ლუი გეიტსის საავტორო „აფრიკული სამყაროს საოცრებების“ ჩაწერის დროს ის ერთ-ერთი მთავარი გაჩერების წერტილი იყო.,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,"During the recording of Henry Louis Gates Jr.’s original “African Wonders” within public broadcasting, it was one of the main stop points.",11.902001907030836,51.08344721014576,64.42495492788461
Georgian,L_to_en,6,მსოფლიოში არგენტინა ცნობილია ერთ-ერთი საუკეთესო გუნდით და მოთამაშეებით.,Argentina is well known for having one of the best polo teams and players in the world.,"In the world, Argentina is known for one of the best teams and players.",26.1352916998332,64.4427841121287,71.7852684144819
Georgian,L_to_en,7,ძილის შეწყვეტა მიზანმიმართულად გაღვიძების პროცესია ნორმალური ძილის პერიოდში და ცოტა ხანშივე (10-60 წუთი) ხდება ჩაძინება.,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,"Sleep interruption is the process of intentionally waking up during normal sleep, and falling asleep again occurs shortly afterward (10–60 minutes).",40.4899367063915,63.286468882736294,74.80332409972299
Georgian,L_to_en,8,"მაგალითისთვის, „სწავლება“ და „სოციალიზაცია“ წარმოადგენს ინტერნეტის გამოყენების მნიშვნელოვან მოტივაციას (ჯეიმსი და სხვები, 1995).","For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","For example, “instruction” and “socialization” are important motivations for using the internet (James et al., 1995).",51.765557605142625,70.80753620876236,92.24514693264693
Georgian,L_to_en,9,"ბუშმა პუბლიკას აზიაში ვაჭრობის გაფართოების შესახებ მას შემდეგ უამბო, რაც წააგო ერთკვირიანი შუალედური არჩევნები.","After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","After losing the one-week midterm elections, Bush told the public about expanding trade in Asia.",17.65580019601814,51.373694216316714,57.4927755607541
Georgian,L_to_en,10,სოფელი ჰალდარსვიკი ახლომდებარე კუნძულ ესტუროისა და უჩვეულო რვაკუთხა ეკლესიას გადაჰყურებს.,The village of Haldarsvík offer views of the nearby island Eysturoy and has an unusual octagonal church.,The village of Haldarsvik overlooks the nearby island of Esturoi and an unusual octagonal church.,34.6657712709552,68.80116215996004,70.9560534538927
Georgian,L_to_en,11,"როგორც ჩანს, ძირითადი ობიექტის ყველაზე ეფექტური ხაზების გადაკვეთის ადგილია, ყოფს რა სურათს მესამედებად, ვერტიკალურად და ჰორიზონტალურად (იხ. მაგალითი).",It states that the most effective place for the main subject is at the intersection of lines dividing the image into thirds vertically and horizontally (see example).,"It appears that the point where the most effective lines of the main object intersect divides the image into thirds, both vertically and horizontally (see example).",39.877310237427885,68.16741019267775,78.72533333333335
