Lang,Index,Source,Reference,LLM_Translation,ChrF
Korean,0,na-kaki silh.e hata,Hates to go out.,I hate going out.,25.66
Korean,1,Kol ul kiph.kei pha la,Dig the channel deep!,Dig the hole deep.,35.54
Korean,2,Cipcip mata'na na-wass.umyen il i toylq ka,There'd be no problem if people had come from each house.,"If you came out every time, would this become a thing?",15.26
Korean,3,Yengswuk a Pokswun a i-li one la,"Yengswuk and Pokswun, come here.","Youngsuk, Boksoon—come here.",37.86
Korean,4,Ton un iss.sup.nita mán un cikum kot pillye tulici nun mós hakeys.sup.nita,"I have the money, but I can't lend it to you right now.","I have money, but I can’t lend it to you right now.",80.66
Korean,5,"Wey kuleni, nwu ka miilla 'nun ka 'm?",What's your trouble—anyone keeping you from going?!,Why are you doing that—who are you trying to push?,19.86
Korean,6,mo nata,is angular = is difficult in personality,I can't do it.,5.71
Korean,7,silkhum ha-,be dislikable,I want to.,1.49
Korean,8,sip wen khenyeng sip cen to mos put.keyss.tr,"We won't get ten cen, much less ten wen.","I can’t even make ten won, let alone ten won.",21.21
Korean,9,Salkem sallye cwii,Save me!,Please save me.,38.06
Korean,10,Ku kes ul phalkeyss.nun ci mul.e polq ka,Shall we ask them if they will sell it?,Shall I ask whether you’re going to sell that?,25.9
Korean,11,Ku lul mannaci mOs hayss.ta,I was unable to see him.,I couldn't meet him.,18.56
Korean,12,Yo say Kim sensayng tayk ey kanunq il i eps.ta,Lately we never go to Mr Kim's house.,"These days, there’s no work that involves going to Mr. Kim’s house.",29.88
Korean,13,Sayng tul i metri wi ey se cicetkelinun hamyen talam-cwi tul i tali mith e na kaki to hanta,Not only are there birds chirping overhead but also there are squirrels darting under foot.,"If birds chirp up on the meter, the squirrels also have to come out from under the bridge.",36.58
Korean,14,"Elin ay ka yang cayq-mul ul sathang ulo filko mek.ulye tul,ess.ta","The baby was about to eat the caustic soda, thinking it was candy.",The little child tried to feed the medicine by mixing it with candy.,24.72
Korean,15,nay ka chinkwu tul motwu lul chotay hayss.tu,I invited all the friends.,I invited all my friends.,71.53
Korean,16,Iss.ulq tey kkaci iss.e pokeyss.ta,I'll try to stick around (stay/wait) as long as I can.,"I’ll stay here until it’s time, and then I’ll see.",15.15
Korean,17,Ku i nun slilam ul kiy lo dnun ka pota,He acts as if he thought people were dogs.,He seems to be remembering that person rather than forgetting them.,16.55
Korean,18,Nay kes in cwut lo al.ess.la,I took it to be (I thought it was) mine.,I knew it was my thing.,16.95
Korean,19,Namca €lun i w0nun kel' poni ch&m.qa. mds pokeyss.tun tey,But surely I couldn't stand to see a grown man crying!,"When I saw that grown man crying, it was really something—I never thought I’d see that.",34.45
Korean,20,hasikeyss.umyen hasipsio,"If you'd like to do it, please do so.","If you’re going to do it, please do it.",57.44
Korean,21,"""il 'lun no 'v kev p+vo'na7""Gv'o kwu'cun ""il 'lun no'm oy key 'cwunu a i","sends good things to me and gives bad things to others,","I sent it, and I keep giving it to that person.",18.66
Korean,22,Anruli khi ka khutra hay to na mankhurn iya khulla kwu?,"However tall he might be, surely he can't be as tall as I am.","Anruli, if you’re having such a hard time, then why are you the only one acting like you’re the victim?",13.63
Korean,23,Ku kes un n0nun tey cinaci anh.nunta,That is nothing but playing!,That doesn't pass by the place where you are.,17.97
Korean,24,Cikum il hanun ci molukeyss.ta,I don't know whether he is working right now or not.,I don’t know what I’m doing right now.,40.06
Korean,25,Ku na ponun silam mata wa tirthwunta,He fights with everyone he sees.,"That day, everyone who saw it was trembling.",29.13
Korean,26,Keuy cwuk.keyss.lun sllam i sal.e nass.kwun a,A person about to die came back to life!,The person who was almost dead has come back to life.,44.45
Korean,27,Cy[y (= ce ry) ka acwu cal hanta 'psiko ppop-ndynts,He puffs himself up thinking/saying that he is doing very well.,He does it very well—he’s really good at picking out psychos.,23.64
