Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Basque,L_to_en,0,"Vatikano Hiriak 800 biztanle ditu gutxi gorabehera. Munduko herrialde independente txikiena da, eta biztanle kopuru baxuena daukana.",Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,"Vatican City has about 800 inhabitants. It is the smallest independent country in the world, and the one with the lowest population.",54.26924329239604,70.5792617857222,76.86693256399352
Basque,L_to_en,1,Vatikano Hiriko biztanle guztiak katoliko erromatarrak dira.,All citizens of Vatican City are Roman Catholic.,All the inhabitants of Vatican City are Roman Catholics.,42.7287006396234,74.02382270201208,87.22527472527472
Basque,L_to_en,2,"Landare-komunitate anitza eta nabaria dauka, mikroklima sortari, lurzoru desberdinei eta altitude-maila ugariei esker.","It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","The plant community is diverse and distinctive, thanks to the formation of a microclimate, different types of soil, and numerous altitude levels.",2.630813545000721,42.106116782283074,35.46702080566623
Basque,L_to_en,3,Amazonas ibaia Lurreko bigarren ibai luzeena eta ibairik handiena da. Bigarren ibai handienak baino 8 bider ur gehiago darama.,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,The Amazon River is the second longest river on Earth and the largest river. It carries 8 times as much water as the second largest river.,55.95650263264642,78.10525159590614,84.4871972318339
Basque,L_to_en,4,Lehoi-taldeek otsoen edo txakurren taldeen era berean funtzionatzen dute; lehoien oso antzekoak dira portaerari dagokionez (baina ez dira beste katu handi batzuk bezalakoak) eta harrapakinentzat oso arriskutsuak dira.,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.",Lion groups function in the same way as wolf or dog groups; they are very similar to lions in terms of behavior (but are not like other big cats) and are very dangerous for prey.,12.077421280584133,41.53361466931496,49.77817213842059
Basque,L_to_en,5,Henry Louis Gatesen PBS programaren Afrikar lurralde zoragarriak saio berezian geldialdi nagusienetakoa izan zen.,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,Henry Louis Gatesen PBS programaren “Afrikar lurralde zoragarriak” saio berezian geldialdi nagusienetakoa izan zen.,4.787344337843918,28.52783583676744,16.02157360406091
Basque,L_to_en,6,Argentina oso ezaguna da poloko talde eta jokalaririk onenak izateagatik.,Argentina is well known for having one of the best polo teams and players in the world.,Argentina is very well-known for its polo team and for having the best players.,8.46862587792952,57.3072127565613,54.13923518700099
Basque,L_to_en,7,"Loaren etenaldiaren prozesuan, loaldi arruntean berariaz esnatu eta handik gutxira loak hartzen zaitu berriro (10-60 minutu).",Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,"In the process of the interruption of sleep, you wake up deliberately in ordinary sleep and then, shortly afterwards, you fall asleep again (10–60 minutes).",16.618655166630525,46.36651964691039,52.34527587890625
Basque,L_to_en,8,"Esaterako, “ikastea” eta “sozializatzea” omen dira Internet erabiltzeko motibazio nagusiak (James et al., 1995).","For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","For example, “learning” and “socializing” are said to be the main motivations for using the Internet.",19.149603693397633,54.34683550104449,59.883117675781264
Basque,L_to_en,9,"Legealdiaren erdiko hauteskundeetan astebetez galtzen joan ondoren, Bush-ek ikus-entzuleei azaldu zien Asian negozioak hedatzeko helburua zuela.","After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","After losing ground by a week in the midterm elections, Bush told the audience that his goal was to expand business in Asia.",14.833850299624713,53.94797858550587,65.11210762331838
Basque,L_to_en,10,"Haldarsvík herriak hurbileko Eysturoy uhartearen ikuspegiak eskaintzen ditu, eta ohiz kanpoko eliza oktogonal bat dauka.",The village of Haldarsvík offer views of the nearby island Eysturoy and has an unusual octagonal church.,"Haldarsvík village offers views of the nearby island of Eysturoy, and it has an unusual octagonal church.",48.2457299495954,79.11483300541573,86.95444378596416
Basque,L_to_en,11,"Arauak esaten duenez, subjektu nagusia kokatzeko tokirik eraginkorrenak irudia bertikalean eta horizontalean herenetan zatitzen duten lerroak gurutzatzen diren puntuak dira (ikusi adibidea).",It states that the most effective place for the main subject is at the intersection of lines dividing the image into thirds vertically and horizontally (see example).,"According to the rules, the most efficient places to position the main subject are the points where the lines that divide the image into thirds vertically and horizontally intersect (see the example).",26.257384738901404,65.51682609280927,68.85723039215688
Basque,L_to_en,12,"Metroko ohiko iragarpenak katalanez egiten dira soilik, baina ezusteko etenaldiak sistema automatizatu batek esaten ditu hainbat hizkuntzatan, hala nola gaztelaniaz, ingelesez, frantsesez, arabieraz eta japonieraz.","Regular announcements in the Metro are made only in Catalan, but unplanned disruptions are announced by an automated system in a wide variety of languages including Spanish, English, French, Arabic and Japanese.","In the metro, the usual announcements are made only in Catalan, but unexpected interruptions are spoken by an automated system in several languages, such as Spanish, English, French, Arabic, and Japanese.",42.68304212315815,63.97873084175968,70.40173237753883
