Lang,Index,Source,Reference,LLM_Translation,Reasoning_Summary,ChrF
Igbo,0,O gà-àzụ̀rụ̀ ya,He is going to buy it for himself.,He will buy it.,detailed,15.27
Igbo,1,m/mū nà unù,I and you(pl.),I and you (plural).,detailed,74.68
Igbo,2,mÙkpu` àla,landscraper,Earthquake.,"{'type': 'summary_text', 'text': '**Translating ""earthquake""**\n\nI\'m realizing that ""earthquake"" translates to ""mmịkpu ala,"" which seems correct. I was considering ""m̀kpọ̀ ụ̀wà,"" but it feels off. ""Mkpu ala,"" meaning ""ground shouting,"" definitely captures the essence. So, I\'ll go with ""Earthquake,"" adding just one line for clarity. It\'s important to keep it simple and straightforward!'}",6.06
Igbo,3,Achòrò m ìtùpòsì akwa à,I want to put spots on this cloth.,I want to put spots on this cloth.,detailed,100.0
Igbo,4,lìdebe nnī,stop eating,Put the food away.,detailed,7.58
Igbo,5,Ō gàala ngwa ǹgwa,He has been there (and back) quickly.,He has gone quickly.,detailed,31.57
Igbo,6,a sìrì,An unidentified person has said…,It was cooked.,"{'type': 'summary_text', 'text': '**Interpreting passive voice**\n\nI\'m thinking about the phrase ""a sìrì,"" which could mean ""it was cooked"" in an impersonal passive form. It might also imply ""they cooked,"" but my best guess is that it translates to ""It was cooked."" I\'ll provide just that as my conclusion!'}",5.43
Igbo,7,M̄mū kwa nū,What of me!,I myself.,"{'type': 'summary_text', 'text': '**Translating Igbo sentence**\n\nI need to translate the Igbo sentence ""M̄mū kwa nū"". It looks like ""m̄mū"" could mean ""I,"" ""kwa"" might imply ""also,"" and ""nū"" serves as an emphatic particle. So, ""M̄mū kwa nū"" likely translates to ""I myself"" or ""Me too!"" However, I\'m considering that ""kwa"" emphasizes the phrase, suggesting ""too"" or ""yourself."" There’s a bit of a conflict here since the developer prefers only the result, but the user wants reasoning.'}",5.68
Igbo,8,Ejèrè hà,They went,They went.,detailed,96.17
Igbo,9,îfùk ífûk,He counted.,Quickly.,detailed,5.21
