Lang,Index,Source,Reference,LLM_Translation,ChrF
Chamorro,0,Ennåo na mumentu na ha tutuhun tumailayi i rilihon-mu.,It’s at that moment that your religion begins to be unkind.,That is the moment when your religion began to go astray.,42.42
Chamorro,1,i Chamorro na nasion,the Chamorro nation,the Chamorro nation,100.0
Chamorro,2,Fåttu mågi agupa’ ya bai hu nå’i håo ni malago’-mu.,Come back tomorrow and I will give what you want.,Come here tomorrow and I will give you what you want.,74.82
Chamorro,3,Ti u’uchan.,It is no longer raining.,It isn’t raining.,46.84
Chamorro,4,"Tengnga un butleha i taotåo, pues uttimon-ña asaguå-mu.","Oftentimes you mock the person, then you end up being their spouse (lit. in the end s/he is your spouse).","Hold on to the man’s neck, because in the end he will be your husband.",19.0
Chamorro,5,Meggai hånum.,There’s a lot of water.,A lot of water.,55.76
Chamorro,6,Fatå’chung guennåo ya un ketu.,Sit there and keep still.,Sit like that and be still.,33.36
Chamorro,7,put i lina’la’ yan sinientin i taotåo siha,about the lives and feelings of people,Because of the life and feelings of the people.,55.64
Chamorro,8,Chetdan tanduki i mås ya-hu na chotda.,Tanduki banana is my favorite banana.,Plantain bananas are what I like to eat the most.,20.44
Chamorro,9,Manmahulat ham ni mañaina gi hunta.,We (excl.) were subdued by the parents at the meeting.,We were written to by the parents at the meeting.,59.54
Chamorro,10,ginin i asaguå-ña,from his wife,from his/her wife,62.16
Chamorro,11,Manrinimåta siha i famalåo’an ni taotåo ginin i lanchun-ñiha.,The women had been chased away from their farm by the man.,The women were kicked out of their ranch.,26.35
Chamorro,12,Pues i palu siha mangginin iya Truk ...,Then there were some who were from Truk...,So the latte stones came from Truk...,37.16
Chamorro,13,Bula ginimen-mu letchi.,You drank a lot of milk (today).,You drank a lot of milk.,70.64
Chamorro,14,Hu na’hånåo paketi para i dos lahi-hu.,I sent a parcel to my two sons.,I sent a package for my two sons.,61.23
Chamorro,15,Na’banidosu håo ni lingguahi-mu.,Be proud (lit. make yourself proud) of your native language.,You are fluent in your language.,23.5
Chamorro,16,Ma li’i’ i hagas pumoksai siha na tåotåo.,They saw the people who nurtured them in the past.,They saw the people who used to raise them in the past.,74.61
Chamorro,17,Pumåra hu sienti i taotåo siha gi uriyå-hu.,I stopped feeling the people around me.,I stopped feeling the people around me.,100.0
Chamorro,18,Ha poksai båtbas achai-ña si Tatå-hu ya nina’måtan åmku’.,My father grew a beard on his chin and it made him look older (lit. be old-faced).,He raised my father’s younger sibling and (now) he has become an old man.,21.63
Chamorro,19,"Guaha na åtgidun mampus å’paka’, guaha åhi’.","Some cottons are very white, some (are) not.","There are very white clouds, there aren’t any.",35.13
Chamorro,20,i tiempok-ku på’gu guini,my time here today,My time now here.,32.01
Chamorro,21,I lugat-måmi an ogga’an mampus å’asgun.,Our (excl.) place is always so foggy in the morning.,Our place this morning was very cold.,27.11
Chamorro,22,Hu nigosiu yan i primu-hu i tano’-ña.,I agreed with my cousin on his property.,I did business with my cousin on his land.,49.58
Chamorro,23,Sen ma’å’ñåo si Juan ni dangkulun pakpak gi paingi.,Juan was terrified by (lit. extremely afraid of) the loud noise last night.,Juan was very afraid of the big bat last night.,36.56
Chamorro,24,Kada diha humånåo pumeska si Orasima’.,Every day Orasima’ went to fish.,Every day Orasima’ went fishing.,77.69
Chamorro,25,Ti todu mana’amti manparehu amut-ñiha.,Not all healers have the same medicine.,Not all native healers treat medicine the same.,61.03
Chamorro,26,Ha tutuhun humomhum gi sanhiyung.,It began to get dark outside.,It began to get dark outside.,100.0
Chamorro,27,Hu diseseha na i finattun esti i kattåk-ku en fansinedda’ tudus manbråbu ....,I’m hoping that the arrival of my letter will find you all well...,"I hope that the meaning of this, my card, will be found by all the brave men....",27.55
Chamorro,28,Bula tåotåo nigap.,There were lots of people yesterday.,There were a lot of people yesterday.,80.05
Chamorro,29,Ai na minaggim esta esti na biskuchu.,"My, this biscuit is so stale already.","Oh, this biscuit is already so soft.",60.41
Chamorro,30,Achamayamak i dos tumobit anai umasufa’.,Both vehicles got wrecked when they collided.,The two were equally ruined when they fought.,29.11
Chamorro,31,Yan-ñiha kumassi i famalåo’an si Juan.,The women like teasing Juan.,The women like teasing Juan.,100.0
Chamorro,32,Manmapegåyi krusifiu kada kuåttu.,Each room had a crucifix placed in it.,Crucifixes are put up in every room.,25.54
Chamorro,33,Båba i para un fåla’ i guihan.,For you to eat the fish raw is not good.,It is bad for you to eat the fish raw.,65.42
Chamorro,34,i atadok-ña i taotåo,a person’s eyes,the person’s eye,78.89
Chamorro,35,Na’tutungu’ ham håfa hinassosom-mu put esti na che’chu’-måmi.,Keep on letting us (excl.) know what you think about this work of ours (excl.).,Let us know what you think about this work of ours.,58.24
Chamorro,36,Ha nå’i si Lucy nu i amut åntis di måtai.,She gave Lucy the medicinal knowledge before she died.,She gave Lucy the medicine before she died.,74.49
Chamorro,37,Si Juan ha sakkengguan i famagu’un ni i bisikletan-ñiha.,Juan stole the children’s bicycle.,Juan stole the children’s bicycles.,96.2
Chamorro,38,Hu adibibina kåo para bai hu fåhan pat mungnga.,I am deciding whether I should buy it or not.,I’m wondering whether I should buy it or not.,77.92
Chamorro,39,Tåya’ umagradesi ma’umiya gi me’nan tåotåo.,There’s no one who appreciates being humiliated in front of people.,No one was thanked in front of the people.,33.94
Chamorro,40,Måttu i hagan Herodihas mismu gi giput.,‘The daughter of Herodias herself came in to the party.’,Herodias’s daughter herself came to the party.,64.8
Chamorro,41,Ha istotba ham na binisita i hagan-måmi as Manuel.,That Manuel visited our (excl.) daughter disturbs us (excl.).,Manuel disturbed us by visiting our daughter.,37.77
Chamorro,42,"Dångkulu i tuninus na gå’ga’, låo dangkulonña i bayena.","Dolphins are big sea animals, but whales are bigger.","The dolphin is a big animal, but the whale is bigger.",41.78
Chamorro,43,Gi lamasa esti na låpis.,This pencil is on the table.,This pencil is on the table.,100.0
Chamorro,44,Ha håyu yu’ si Juan.,Juan hit me with a stick.,Juan found me.,13.29
Chamorro,45,Hu poksai sais na famagu’un ya hu na’fandångkulu.,I nurtured six children and made them grow up.,I raised six children and made them grow up.,82.04
Chamorro,46,Hu tånum i floris kunanaf gi gima’.,I planted the crawling vine plants at the house.,I planted the crawling flowers at home.,52.14
Chamorro,47,Hu gågåo si Peling salåppi’ para i gima’.,I asked Peling for money for the house.,I asked Peling for money for the house.,100.0
Chamorro,48,Håyi chinatgem-mu / chinatgi-mu?,Who did you laugh at?,Who did you laugh at?,100.0
Chamorro,49,Todu tåotåo malagu’ mumå’gas.,Everybody wants to be boss.,All people want to be bosses.,37.21
Chamorro,50,Yanggin masahalum håo nai mås lalålu’ i gupu’ na chetnut.,When you sweat is when the skin fungus gets more aggressive.,"If you scratch it, the big wound will get even more infected.",20.25
Chamorro,51,Sumuha gi fi’on-ña.,[The lights] moved away from him.,He/she/it moved away from his/her side.,51.19
Chamorro,52,Manma’å’ñåo i ma’estra manmasohyu’ i istudiåntis.,(The teachers are afraid to influence the students.),The teachers were afraid and they urged the students.,57.5
Chamorro,53,Manhinalang i Chapanis ya manpåra manggera.,The Japanese surrendered and they stopped fighting.,The Japanese retreated and stopped fighting.,62.38
Chamorro,54,Manmanåga’ bula na månha.,They chopped many young coconuts.,They stayed a long time.,15.02
Chamorro,55,"Yanggin måttu håo manbisita, siempri guaha [inefresi håo].","If you come to visit, he will surely offer you something (lit. there is surely something that you’ll be offered by him).","When you come to visit, there is always something offered to you.",35.58
Chamorro,56,Gef fåhna i manyommuk na pineksai-ña na babui.,The fat pigs that he raised were very much in demand.,The fat pig that he is raising is very smart.,37.08
Chamorro,57,Manmaguåssan todu i masiksik låhi gi hiyung gimå’-ña si Antonetta.,The triumfetta semitriloba grasses were all mowed outside Antonetta’s house.,All the strong boys were washed outside Antonetta’s house.,47.69
Chamorro,58,Ti manlipåra si Miguel ni karetan ni unu.,Miguel didn’t notice anyone’s car.,Miguel did not repair anyone’s car.,65.25
Chamorro,59,Måolekña na un chotchu gollai yanggin malångu håo.,It is better that you eat vegetables if you’re sick.,It’s better for you to eat vegetables when you’re sick.,61.39
Chamorro,60,Yanggin håfa på’gu masångan gi halum i familiåk-ku …,If anything now was said within my family…,If what is being said right now is said within my family …,59.39
Chamorro,61,Un kebrånta håo muna’lagu låo ni håfa tiningo’-mu.,"You came forward about cooking, but you know nothing (about it).","You broke yourself cooking, but that’s what you know.",35.35
Chamorro,62,"Ai, linalalo’-ña i patgun anai machule’guan ni na’-ña kandi.","My, how angry the child was when somebody took his candy!","Oh, the child got angry when his candy was stolen.",39.62
Chamorro,63,Yanggin ilelek-mu na disgråsia i ti para un li’i’ bunitå-ña i palåo’an ni un guaiya ...,If you say that it’s a shame that you will not see the beauty of the woman you love...,"If you say it’s a disgrace, you won’t see the beauty of the woman you love ...",63.74
Chamorro,64,Tåya’ sa’ på’gu ha’ yu’ ni måttu.,She doesn’t have [a chart] because it’s just now that I’ve come [to the hospital].,There’s no one else now but me who came.,10.47
Chamorro,65,Baba dididi’ i bintåna ya u guaha gueha.,Open the window a little bit to ventilate.,Open the window a little and let there be air.,58.74
Chamorro,66,Mansinangåni as Juan todu i bidåda-ña kada diha.,Juan told them all the things he had been doing every day.,Juan was told about all his deeds every day.,29.96
Chamorro,67,Guaguan åntis i liluk na materiåt.,Iron was an expensive material a long time ago (lit. before).,The metal nail used to be expensive.,22.06
Chamorro,68,Pues ekkunguk sa’ håfa na para Ifit na’ån-hu.,So listen to why my name is going to be Ifit [i.e. scrub mahogany].,So I listened because it was about how to write my name.,24.78
Chamorro,69,Dikiki’ na tinanum i anilis yan siña masodda’ gi kantun chålan.,The anil is a small plant and it can be found on roadsides.,The anise plant is small and can be found by the side of the road.,46.65
Chamorro,70,"I antis yan pa’gu, difirensiao antis yan ti parehu antis yan pa’gu.","[Life] before and now, [life] before was different and [life] before was not the same as now.","Before and now, it was different before and not the same before and now.",51.35
Chamorro,71,Ha sangåni i gubetnu na esta gui’ mañodda’ nubiå-ña.,He told the governor that he had already found a girlfriend.,He told the government that he has already found his girlfriend.,74.13
Chamorro,72,Ginin håyi nai un risibi i katta?,From whom did you receive the letter?,From whom did you receive the letter?,100.0
Chamorro,73,Mañotchu ham kelaguin ti’åo yan titiyas.,We (excl.) ate goatfish kelaguin and tortillas.,We ate goat kelaguen and tortillas.,54.9
Chamorro,74,"Tåya’ [hu li’i’ gi uriyan guma’], pues sigi yu’ di humoi’.","I didn’t see anyone (lit. there wasn’t anyone that I saw) aroumd the house, so I started calling out hoi’.","There was nothing that I saw around the house, so I just kept on going without stopping.",36.85
Chamorro,75,Para låhi i patgon-ña.,His child is going to be a boy.,"For the boy, her child.",18.96
Chamorro,76,"Kalakas, cha’-mu chuchuda’ i kuchinu na hånum.",Yuck! Don’t spill the dirty water.,"Hurry up, don’t spill the pig’s water.",50.18
Chamorro,77,Guaha siha tinanum gi gualu’.,There are plants at the farm.,There are some plants on the farm.,67.47
Chamorro,78,Håfa ma’a’ñåo-ña i kada istudiånti?,What is each student afraid of?,What is each student afraid of?,100.0
Chamorro,79,"Nang, sedi yu’ ya bai patcha i amot-mu.","Mom, allow me to touch your medicine.","Yes, allow me, and I will touch your medicine.",69.81
Chamorro,80,Ha patcha si nanå-hu i sanhilu’ i hetnu’.,My mother touched the top of the incubator.,My mother touched the top of the oven.,73.66
Chamorro,81,i taotåo antigu na Chamorro siha,the ancient Chamorro people,the ancient Chamorro people,100.0
Chamorro,82,Manggaigi guihi siha palu mañe’lu-hu ni manmafañågu åntis di i gera.,Some of my siblings who were born before the war were there.,Some of my siblings who were born before the war are there.,90.56
Chamorro,83,I tiempun påkyu ha tutuhun gui’ gi Agostu na mes.,Typhoon season begins (lit. begins itself) in August.,The typhoon season begins in the month of August.,52.51
Chamorro,84,"Ma sienti ya kana’ magacha’ i dos. Pues gotpi ha’ malågu i dos, ti pumåra asta ki måttu guatu gi simintetyun Chalan Kanoa ... Ma galoppi i patdit ...","They felt that the two of them were about to be caught out. So suddenly they ran off, and didn’t stop until they got to the Chalan Kanoa cemetery…they jumped the concrete wall…","They were noticed and the two were almost caught. Then the two suddenly ran, not stopping until they reached the Chalan Kanoa cemetery ... The police were chasing them ...",42.88
