Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Korean,L_to_en,0,바티칸 시국의 인구는 약 800명입니다. 세계에서 가장 작은 독립 국가이자 인구가 가장 적은 나라입니다.,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,The population of Vatican City is about 800 people. It is the smallest independent country in the world and the country with the fewest people.,56.74773954614978,74.00094830038664,81.66152263374484
Korean,L_to_en,1,바티칸 시국의 모든 시민은 로마 가톨릭 교도입니다.,All citizens of Vatican City are Roman Catholic.,All citizens of Vatican City are Roman Catholics.,75.06238537503395,97.29771670300694,99.93141289437585
Korean,L_to_en,2,"다양한 범위의 미기후, 각기 다른 토양과 다양한 높이의 고도로 인해 넓은 범위의 다양한 식물 군이 존재합니다.","It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","A wide variety of plant communities exists due to microclimates across diverse ranges, differing soils, and elevations of varying heights.",23.359433863044572,60.34401236611965,55.5057745917961
Korean,L_to_en,3,아마존 강은 지구에서 길이로는 두 번째이고 크기로는 첫째 가는 강입니다. 두 번째로 큰 강보다 8배 이상 많은 물이 흐르죠.,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,The Amazon River is the second-longest river on Earth and the largest river by volume. It flows with more than eight times as much water as the second-largest river.,36.36082582661304,71.75372221107195,76.40741124375275
Korean,L_to_en,4,"사자 무리는 놀라울 정도로 행동하는 것이 사자와 유사한 (하지만 다른 커다란 고양잇과 동물과는 다른) 늑대 또는 개 무리와 비슷하게 행동하는데, 이는 사냥감에 굉장히 치명적이기도 합니다.","Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.","A pride of lions behaves in a way that is remarkably similar to a pack of wolves or dogs (though different from lions and also different from other large cat-like animals), and this is also extremely deadly to their prey.",17.41974301903178,48.53211366640095,59.781258439103446
Korean,L_to_en,5,이는 Henry Louis Gates의 PBS 특집 '아프리카의 경이'에서 가장 비중 있는 탐험지 중 하나였습니다.,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,"This was one of the most prominent exploration sites featured in Henry Louis Gates’s PBS special, “Awe of Africa.”",15.448759309616733,47.55687806843756,49.30457569038501
Korean,L_to_en,6,아르헨티나는 세계 최고의 폴로 팀과 선수를 보유한 것으로 유명합니다.,Argentina is well known for having one of the best polo teams and players in the world.,Argentina is famous for having the best polo teams and players in the world.,58.64517914961001,74.324006223979,78.70690649141012
Korean,L_to_en,7,수면 방해는 정상적인 수면 기간 동안 의도적으로 잠을 깨운 다음 짧은 시간(10–60분)이 지난 후에 잠드는 과정입니다.,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,Sleep disruption is the process of intentionally waking someone during a normal sleep period and then falling back asleep after a short time (10–60 minutes).,35.3574973073037,63.16184239850742,88.18562878725614
Korean,L_to_en,8,"""예를 들어, """"학습""""과 """"사회화""""가 인터넷 사용에 대한 중요한 동기로 제시되었습니다(제임스 외, 1995년)""","For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","For example, “learning” and “socialization” were proposed as important motivations for using the internet (James et al., 1995).",62.742088451809494,80.06451984669326,91.53828756917837
Korean,L_to_en,9,"부시는 중간 선거에서 일주일 내내 이어진 패배 이후, 아시아에서의 무역 확장 정책을 발표했습니다.","After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","After a week-long string of defeats in the midterm elections, Bush announced a policy to expand trade in Asia.",19.514193023219963,54.85445612696168,54.72697306206263
