Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Igbo,en_to_L,0,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,Onu ogugu ndi mmadu obodo Vatican di nari 800. O bu obodo kacha nta n’uwa n’uwa n’uwa na obodo n’ogbe ndi kacha pere mpe.,"Ọnụọgụ ndị bi na Vatican City dị ihe dị ka 800. Ọ bụ obodo nnwere onwe kacha nta n’ụwa, nakwa obodo nwere ọnụ ọgụgụ ndị bi kacha nta.",4.265552167438487,32.77087481708057,20.87467658067271
Igbo,en_to_L,1,All citizens of Vatican City are Roman Catholic.,Ndị obodo niile nke Obodo Vatican bụ Roman Katọlik.,Ndị niile bi na Obodo Vatican bụ ndị Katọlik Rom.,17.242221289766626,53.052215995221395,56.67811679127096
Igbo,en_to_L,2,"It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","Onwere otutu osisi ama ama, maka ebea nwere klimeti di icheiche, aja ya di iche iche, altitude ya dikwa iche n’iche.","Ọ nwere ụdị dị iche iche nke obodo osisi n’ụzọ pụtara ìhè, n’ihi ụdị microclimates dị iche iche, ala ndị na-adị iche iche, na ịdị elu nke dị iche iche.",5.332544583175986,32.91744884196536,36.378015025701856
Igbo,en_to_L,3,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,Osimiri Amazọn ahụ bụ nke abụọ kachasị ogologo na osimiri kachasị n’ibu n’ụwa. Ọ na-ebu ihe karịrị nha mmiri ugboro asatọ dị ka osimiri nke abụọ kachasị ibu.,Akwụkwọ osimiri Amazon bụ osimiri nke abụọ kachasị ogologo ma bụrụkwa osimiri kachasị ukwuu n’ụwa. Ọ na-eburu mmiri karịrị ugboro asatọ karịa nke osimiri nke abụọ kachasị ukwuu.,23.1834539013154,65.73364174915639,61.0207100591716
Igbo,en_to_L,4,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.","Ezinụlọ Ọdụm na-akpa agwa ka ezinụlọ oke nkịta ọhịa maọbụ nkịta ụlọ, anụ ndị nwere oyiyi dị ịtụ n'anya nye Ọdụm (mana odịghị otu a n'ebe nnukwu nwamba ndị ọzọ nọ) n'omume, ma bụrụ ihe oke iyi egwu nye ihe ọbụla ha na-achụ na nta.","Àgwà ìgbòkè ìkìkọ ọdẹ (lion prides) na-adị ka ìkó ìkìkọ (packs) nke anụ ọhịa wolf ma ọ bụ nkịta, anụmanụ ndị yiri ọdụm n’ụzọ ijuanya n’ihe gbasara omume (ma ọ bụghị ụdị nnukwu nwamba ndị ọzọ), ma ha kwa na-egbu anụ ha na-achụ n’ụzọ dị nnọọ egwu.",6.813704795080919,36.31086613539093,31.945330215419503
Igbo,en_to_L,5,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,Ọ bụ otu isi nkwụsịtụ n'oge Henry Louis Gates Ihe-ebube pụrụ iche PBS nke Ụwa Afrịka.,"Ọ bụ otu n’ime ebe ndị kasị mkpa a kwụsịrị n’oge ihe ngosi PBS nke Henry Louis Gates, *Wonders of the African World*.",10.166724095023941,41.132766686303974,46.76596886741815
Igbo,en_to_L,6,Argentina is well known for having one of the best polo teams and players in the world.,Amaara mba Ajentịna dịka obodo nwere ndị egwuregwu na otu egwuregwu polo kachasị mma n'ụwa dum.,A maara Argentina nke ọma maka inwe otu n’ime ndị otu polo kacha mma na ndị egwuregwu kacha mma n’ụwa.,4.968018039415939,39.040084442014376,19.662921348314605
Igbo,en_to_L,7,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,Nkwụsịtụ ụra bụ usoro nke ịkpacharanya eteta ụra mgbe oge ị na-ehikarị ụra ma na-ada n’ụra mgbe obere oge gachara (nkeji 10–60).,"Nkwụsị ụra bụ usoro nke ịkpọte onwe gị n’ụzọ e bu n’obi n’oge ụra gị na-adịkarị, wee hie ụra ọzọ obere oge ka e mesịrị (10–60 nkeji).",11.454498867533461,39.37271284847338,47.85853794642857
Igbo,en_to_L,8,"For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","Maka ọmụmaatụ, “mmụta” na “mkpakọrịta” bụ ndị atụnyere dịka mkpalite dị mkpa maka ojiji Ịntanetị (James na ndị ọzọ., 1995).","N’ihi ya, a na-atụ aro “ịmụ ihe” na “ịmekọrịta mmadụ” dị ka ihe mkpali dị mkpa maka iji ịntanetị (James et al., 1995).",18.52972751417938,41.02926194371036,49.41075211864407
Igbo,en_to_L,9,"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","Mgbe otu izu gasịrị ebe ọ dara ada na ntuliaka ọkara oge, Bush gwara ndị na-ege ya ntị maka mmụba nke azụmahịa n'Eshia.","Mgbe otu izu nke mfu gasịrị n’oge ntuli aka etiti oge, Bush gwara ndị na-ege ntị okwu banyere mgbasawanye nke azụmahịa na Eshia.",27.748702735605818,56.32409360593743,56.499118165784836
