Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Georgian,L_to_en,0,"ვატიკანში დაახლოებით 800 ადამიანი ცხოვრობს. იგი მსოფლიოს ყველაზე პატარა დამოუკიდებელი ქვეყანაა, მოსახლეობის ყველაზე მცირე რაოდენობით.",Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,"About 800 people live in the Vatican. It is the world’s smallest independent country, with the smallest population.",19.975738213141238,56.78781798205467,50.38586703858671
Georgian,L_to_en,1,ყველა მოქალაქე ვატიკანში არის კათოლიკე.,All citizens of Vatican City are Roman Catholic.,All citizens in Vatican City are Catholic.,26.663544297126496,70.60640692729869,75.55606512267829
Georgian,L_to_en,2,"მიკროკლიმატის მრავალფეროვნების, სხვადასხვა ნიადაგისა და ზღვის დონიდან განსხვავებული სიმაღლის გამო, იგი გამოირჩევა მრავალფეროვანი ნიადაგით და სიმაღლის სახვდასხვა დონით.","It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","Due to the diversity of the microclimate, different soils, and varying elevations from sea level, it is characterized by a variety of soils and by different levels of elevation.",5.072144556470104,43.73099988577336,47.490678898098245
Georgian,L_to_en,3,მდინარე ამაზონი სიგრძით მეორე და დედამიწის ყველაზე დიდ მდინარეს წარმოადგენს. სიდიდით მეორე მდინარესთან შედარებით იგი 8-ჯერ უფრო წყალუხვია.,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,"The Amazon River, by length, is the second-longest and the largest river on Earth. Compared with the second-largest river, it is eight times as water-rich.",15.54434920148101,59.84283572955991,54.797208434092745
Georgian,L_to_en,4,"ლომების პრაიდი ქცევებით ძალიან ჰგავს მგლების ან ძაღლების ხროვას, ცხოველებს, რომლებიც ასევე საოცრად ჰგვანან ლომებს ქცევის მანერით (მაგრამ არა სხვა დიდ კატებს) და ასევე ძალზე მომაკვდინებელია მათი მსხვერპლისთივს.","Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.","A pride of lions, in its behavior, is very much like a pack of wolves or dogs—animals that also resemble lions in the manner of their behavior (but not other big cats) and are also extremely deadly to their prey.",26.963093454347582,57.31622716913773,72.3297866155009
Georgian,L_to_en,5,საზოგადოებრივი მაუწყებლობის ფარგლებში ჰენრი ლუი გეიტსის საავტორო „აფრიკული სამყაროს საოცრებების“ ჩაწერის დროს ის ერთ-ერთი მთავარი გაჩერების წერტილი იყო.,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,"Within public broadcasting, during the recording of Henry Louis Gates Jr.’s authorial “African Wonders,” it was one of the main stopping points.",11.56809589245347,51.73048460015765,64.11670155502392
Georgian,L_to_en,6,მსოფლიოში არგენტინა ცნობილია ერთ-ერთი საუკეთესო გუნდით და მოთამაშეებით.,Argentina is well known for having one of the best polo teams and players in the world.,Argentina is known worldwide for one of the best teams and players.,22.80067885896746,56.36112580937432,58.41269841269842
Georgian,L_to_en,7,ძილის შეწყვეტა მიზანმიმართულად გაღვიძების პროცესია ნორმალური ძილის პერიოდში და ცოტა ხანშივე (10-60 წუთი) ხდება ჩაძინება.,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,"Interruptions of sleep are a process of deliberately waking during normal sleep, and shortly thereafter (10–60 minutes) falling asleep occurs.",15.36690667279411,55.70847768207031,61.32488431233585
Georgian,L_to_en,8,"მაგალითისთვის, „სწავლება“ და „სოციალიზაცია“ წარმოადგენს ინტერნეტის გამოყენების მნიშვნელოვან მოტივაციას (ჯეიმსი და სხვები, 1995).","For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","For example, “teaching” and “socialization” represent an important motivation for using the internet (James et al., 1995).",44.65175411019042,68.43150377313088,88.00712519994183
Georgian,L_to_en,9,"ბუშმა პუბლიკას აზიაში ვაჭრობის გაფართოების შესახებ მას შემდეგ უამბო, რაც წააგო ერთკვირიანი შუალედური არჩევნები.","After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.",Bush told the public in Asia about expanding trade only after he lost the one-week midterm election.,6.932069947945529,45.185745432828085,43.83680555555555
