Lang,Index,Source,Reference,LLM_Translation,Reasoning_Summary,BLEU,ChrF,METEOR
Korean,0,na-kaki silh.e hata,Hates to go out.,I don’t want to go out.,"**Evaluating expressions of reluctance**

I’m considering the meaning of ""silhe,"" which translates to ""don't want to"" in colloquial terms, similar to ""가기 싫어,"" meaning ""I don't want to go."" When I think of ""silhe hata,"" including the verb 'to dislike,' it suggests ""I hate to go out."" I can refine this to say ""I don't want to go out,"" which is simpler. That makes sense! I'll be outputting that.",41.11336169005198,49.03716460798657,73.49537037037037
Korean,1,Kol ul kiph.kei pha la,Dig the channel deep!,Dig the hole deep.,detailed,23.643540225079395,35.539270300432456,51.11111111111111
Korean,2,Cipcip mata'na na-wass.umyen il i toylq ka,There'd be no problem if people had come from each house.,Would it work if you came out to each house?,detailed,7.574347133041985,21.678884834380863,24.658203125000007
Korean,3,Yengswuk a Pokswun a i-li one la,"Yengswuk and Pokswun, come here.","Youngsuk, Boksun, come here!",detailed,24.446151121745054,43.76800964580913,42.06349206349207
Korean,5,"Wey kuleni, nwu ka miilla 'nun ka 'm?",What's your trouble—anyone keeping you from going?!,Why are you acting like that—who told you to push?,detailed,4.456882760699064,16.750026286203855,9.900990099009903
Korean,6,mo nata,is angular = is difficult in personality,It’s angular.,detailed,7.253154775624655,20.55984935518697,7.352941176470587
Korean,7,silkhum ha-,be dislikable,Be slightly sour.,detailed,0.0,11.060045923714267,22.727272727272727
Korean,8,sip wen khenyeng sip cen to mos put.keyss.tr,"We won't get ten cen, much less ten wen.","I can’t even put in ten jeon, much less ten won.","**Translating romanized Korean**

I need to translate the romanized Korean phrase ""sip wen khenyeng sip cen to mos put.keyss.tr."" It probably means something like ""십 원커녕 십 전도 못 붙겠어."" I'm puzzling over ""put.keyss.tr,"" which might relate to ""붙겠다,"" meaning to stick or affix, or perhaps ""붙겠더라.""

The phrase suggests a pattern where ""can't even Y, let alone X."" So, the overall meaning seems to be ""I'm far from having ten won; I can't even afford ten jeon."" I'm also considering interpretations for ""put-keyss-ta,"" like ""to bet"" or ""to pay.""",21.401603033752977,47.96557926930805,45.731707317073166
Korean,9,Salkem sallye cwii,Save me!,"Give me a break, will you?","**Translating a phrase**

I’m looking at the phrase where “salkem” might translate to “살 캄” or more accurately “살 좀 살려 주지” which means ""Give me a break."" It’s interesting how “살 좀” correlates with “a little” and could be romanized differently. The final translation ends up being “Give me a break, will you?” That should work well! I just need to ensure the phrasing conveys the casual tone appropriately.",5.522397783539471,21.00466293827578,14.285714285714288
Korean,10,Ku kes ul phalkeyss.nun ci mul.e polq ka,Shall we ask them if they will sell it?,Shall we ask whether he’s going to sell it?,detailed,26.269098944241577,46.78802698600496,57.73420479302832
Korean,11,Ku lul mannaci mOs hayss.ta,I was unable to see him.,I couldn't meet him.,detailed,15.84873897212071,18.564057368011653,54.347826086956516
Korean,12,Yo say Kim sensayng tayk ey kanunq il i eps.ta,Lately we never go to Mr Kim's house.,I haven't been going to Mr. Kim's house lately.,detailed,11.208466750961147,44.79779093711906,62.22488995598239
Korean,13,Sayng tul i metri wi ey se cicetkelinun hamyen talam-cwi tul i tali mith e na kaki to hanta,Not only are there birds chirping overhead but also there are squirrels darting under foot.,"When the birds chirp overhead, the squirrels sometimes come out from under the bridge too.",detailed,3.4197980307804725,41.264716393407994,35.55583724172899
Korean,14,"Elin ay ka yang cayq-mul ul sathang ulo filko mek.ulye tul,ess.ta","The baby was about to eat the caustic soda, thinking it was candy.",The little child tried to eat the Western medicine as if it were candy.,detailed,13.380161378318954,27.75467300688722,42.31292517006803
Korean,15,nay ka chinkwu tul motwu lul chotay hayss.tu,I invited all the friends.,I invited all my friends.,detailed,37.99178428257963,71.52731333757441,80.66666666666667
Korean,16,Iss.ulq tey kkaci iss.e pokeyss.ta,I'll try to stick around (stay/wait) as long as I can.,I’ll stay as long as I can.,detailed,26.013004751144457,34.35571415740795,53.7176724137931
Korean,17,Ku i nun slilam ul kiy lo dnun ka pota,He acts as if he thought people were dogs.,It seems he listens to people with his ears.,detailed,5.522397783539471,25.075138983831046,15.0
Korean,18,Nay kes in cwut lo al.ess.la,I took it to be (I thought it was) mine.,I thought it was mine.,detailed,18.817320787862926,49.549382413114536,47.877145438121055
Korean,19,Namca €lun i w0nun kel' poni ch&m.qa. mds pokeyss.tun tey,But surely I couldn't stand to see a grown man crying!,"Seeing a grown man cry, I really couldn’t bear to watch it.",detailed,12.011055432195764,39.46165358137012,58.56437969924813
Korean,20,hasikeyss.umyen hasipsio,"If you'd like to do it, please do so.","If you’re going to do it, then please do it.",detailed,27.09198854675628,46.35958896187517,67.90983606557376
Korean,21,"""il 'lun no 'v kev p+vo'na7""Gv'o kwu'cun ""il 'lun no'm oy key 'cwunu a i","sends good things to me and gives bad things to others,",A guy like that won’t fix a damn thing—why are you giving it to him?,detailed,2.445593937240363,18.06118186142813,7.936507936507938
Korean,22,Anruli khi ka khutra hay to na mankhurn iya khulla kwu?,"However tall he might be, surely he can't be as tall as I am.","Surely that kid wouldn’t have done something like that, would he?",detailed,2.916495972453022,15.002707389395034,8.92857142857143
Korean,23,Ku kes un n0nun tey cinaci anh.nunta,That is nothing but playing!,That doesn’t pass by the place where (we) play.,detailed,3.3864985683445354,19.08510429446503,14.705882352941178
Korean,24,Cikum il hanun ci molukeyss.ta,I don't know whether he is working right now or not.,I don’t know if he’s working now.,detailed,5.008676082360365,30.6750242460597,23.25581395348837
Korean,25,Ku na ponun silam mata wa tirthwunta,He fights with everyone he sees.,He picks a fight with everyone he sees.,detailed,46.713797772820016,76.34740238212753,96.08843537414967
Korean,26,Keuy cwuk.keyss.lun sllam i sal.e nass.kwun a,A person about to die came back to life!,The man who was almost dying has come back to life!,detailed,21.200626759025184,39.266023293648736,55.14705882352941
Korean,27,Cy[y (= ce ry) ka acwu cal hanta 'psiko ppop-ndynts,He puffs himself up thinking/saying that he is doing very well.,"That guy is really showing off, saying he’s doing great.",detailed,4.053997537205932,25.31950606827315,20.491803278688522
Korean,28,Ku ka n€y si ccum ey 'na ol'nun ci,Perhaps hc'll be here around tbur o'clock or so.,Whether he will come out around four o’clock.,detailed,5.0735520042259505,27.277767208048125,9.090909090909092
Korean,29,ti tpo'l ay,in this village,At the back.,"**Translating phrases**

I want to translate it as ""at the back"" or ""behind."" Keeping it concise is important. I'll make sure the output is clear and captures the essence of the phrase without extra fluff. It’s all about getting to the point! So, let's aim for a straightforward translation that communicates exactly what’s needed, while still being as simple and clean as possible. It’s nice to have such clear and concise language!",0.0,6.838431693669456,0.0
Korean,31,"Nul yok hoki lul hayss,ta",He always made insults.,(He) always cursed.,detailed,10.682175159905853,26.806418928040465,29.411764705882355
Korean,32,Ku sllam i kakeyss.ta,I'm afraid he's going.,That person will go.,detailed,10.682175159905853,9.907548672805335,27.573529411764703
Korean,33,silccwuki saylccwuk ha-,be sullen,(to) pout and sulk,"**Translating Korean phrases**

I need to translate the Korean romanization ""silccwuki saylccwuk ha-."" It seems to relate to ideophones, possibly mimicking the action of shuffling or conveying emotion like sadness. I think it could mean ""to be depressed or glum."" Given that ""실쭉"" translates to ""sullen"" and the phrase suggests a pouty expression, the translation could be ""to pout / be sulky."" However, the instructions say to provide only the result, so I find myself in a bit of a conflict here.
**Focusing on translation**

The developer's instructions are clear: I need to prioritize the translation without additional reasoning. So, for the phrase, I’ll go with ""to pout sulkily"" or possibly ""to pout and sulk."" This keeps it concise and follows the directive while providing a clear translation. It’s interesting how these expressions convey emotional nuances, but for now, I’ll stick to delivering just the translation as requested. I'll ensure the response meets the expected format too!",0.0,13.321135666939506,0.0
Korean,34,Sensayng nim kkey se n0 hakeyss.nun ci 'lu swukcey lul ta hoy kass.ta,"Wary of the wrath of the teacher, I went through all my homework.","The teacher went off after doing all the homework, asking whether you would do it or not.",detailed,3.292916846800451,36.90400143941,25.97402597402597
Korean,35,sengnyang-kaypi scy kay,three matches,Three matchsticks.,detailed,0.0,63.46425708089851,23.80952380952381
Korean,36,TOn i minh.ess.ut.nun d lo rnrilla,There may / might have been lots of money.,I didn’t know there was so much money.,detailed,8.5326633859138,22.22247447010174,25.302530253025296
Korean,37,Illusun c0h.unq yenghwa tla to iss.nun ka yo?,Are there any good movies (on/playing)?,Does Il-su have any good movies (or anything like that)?,detailed,22.997519112894437,49.119110257309586,62.64775413711584
Korean,38,path ey,in the field,In the field.,"**Translating Korean phrase**

I need to follow the developer's instructions and only output the translation without extra reasoning. The Korean phrase ""밭에"" translates to ""in the field,"" but it could also mean ""to the field"" depending on context. However, it seems more likely to be locative, meaning ""in/at the field."" So, I'll just provide the translation: ""in the field."" Keeping it simple and direct is key here!",31.947155212313625,83.58891462582321,94.98207885304659
Korean,39,no ha-,get angry,Let go.,detailed,0.0,9.104772156440616,23.80952380952381
Korean,40,I ke(s) pr-l,Look at this!,Look at this.,detailed,59.460355750136046,87.72426647426647,73.61111111111111
Korean,41,Mdtunq il I crl toye kanta,Everything is going off smoothly.,Everything is going well.,detailed,34.98330125272251,58.78381105440484,63.559322033898304
Korean,42,ku ttig un ny mok ip.nita,That land is my share,That rice cake is my share.,detailed,26.269098944241588,51.988849866730156,72.11538461538461
Korean,43,Ilapsung ila to thako kaca,Let's just take a jitney.,Let’s at least catch a ride and go.,detailed,5.669791110976001,15.093121738384255,20.27027027027027
Korean,44,'Hawai kanun tlysin ey i pen hyukn ey nun Kwulupha ey kako siph.ta,"Instead of going to Hawaii this vacation, I want to go to Europe.","Instead of going to Hawaii, I want to go to Europe this vacation.",detailed,70.1205513308646,88.19047234278327,99.05185185185185
Korean,45,Enu sitay enu nala ka ani kuleh.keyss.na man un,"Any country at any period would be much the same, but - .","In what age, in what country, would it not be like that—people are the same everywhere.","**Translating romanized Korean**

I need to translate a romanized Korean phrase: ""Enu sitay enu nala ka ani kuleh.keyss.na man un."" It seems to mean something like, ""In what age, in what country would people not be like that?"" 

Breaking it down, ""Enu"" means ""which,"" ""sitay"" is ""era,"" and ""enu nala"" translates to ""which country."" The phrase includes a rhetorical question, possibly reflecting on people's behavior across time and places. I wonder if it's connected to a specific proverb!",5.538003944406129,31.648258211189308,33.07529908515131
Korean,46,palp hi-,get trodden on,be stepped on,detailed,27.516060407455225,10.017799774246768,16.666666666666664
Korean,47,cwue la,give!,Give it!,"**Translating a phrase**

I need to follow the system's guidelines, which say to output only the translation. The user asked for the translation first, then reasoning, but I have to comply with the developer's instruction to only give the result. So, I’ll translate ""cwue la,"" which I think is probably a romanization of ""줘라,"" meaning ""Give (it)!"" in an informal imperative form. Therefore, I'll just output ""Give it!"" as the translation.",27.516060407455225,29.813794912142672,47.61904761904762
Korean,48,po' to tut' lo mds hanta,can neither see nor hear,I’ve never seen or heard of it.,detailed,0.0,55.77675392727323,18.181818181818183
Korean,49,Nwu ka kuletun tey ku nun pelsse tte-nass.tt ttula,Somebody told me that he had left already.,"Whoever said so, he had already left.",detailed,11.99014838091355,30.486538500180245,41.333333333333336
Korean,50,Yelq-sey sal kkaci sOin ulo chinta,Up to thirteen you are considered to be (you are counted as) a minor.,"Up to the age of thirteen, one is considered a child.","**Translating romanized Korean**

I need to translate some romanized Korean phrases. ""Yelq-sey"" corresponds to thirteen, and ""sal kkaci"" means ""up to age."" I think ""sOin"" might refer to ""seongin,"" or adult, but it could also mean ""soin,"" implying minor. The phrase ""성인으로 친다"" suggests being considered an adult, but there’s confusion since it doesn't quite fit with the age context. Overall, it seems that the phrase could be saying ""Up to age thirteen, regarded as a minor.""
**Translating Korean fare rules**

The phrase ""열세 살까지 소인으로 친다"" translates to ""Up to age thirteen, one is considered a child."" This indicates that children up to 13 are typically charged a child fare in contexts like transport and admission fees.",5.977325737924356,36.184719579737795,38.027108433734945
Korean,51,Itr{nt hanun tiysin cy tut.ki man hasipsio,"Instead of talking, just listen.","Instead of doing that, just listen.",detailed,41.11336169005198,65.95288958015549,82.94209702660407
Korean,52,Yenghwa lul kwfikyeng kanun cek i Cps.ta,We never have the occasion to go see a movie.,I have never gone to see a movie.,detailed,27.488876557092613,46.65557512541519,65.0318287037037
Korean,53,"Ku ka kal,nun ci (to nrolunla)",Maybe he will go.,I don't even know whether he's going.,detailed,5.522397783539471,9.695986176944452,46.464646464646464
Korean,54,hay ka tot.a,the sun rises,The sun rises.,detailed,31.947155212313625,85.64453649560136,94.98207885304659
Korean,55,Cam caturr ci yo,Maybe he was asleep.,Did you sleep?,"**Translating Korean phrases**

I'm trying to figure out the user’s request, which is to translate before reasoning. There’s a bit of conflict with developer guidelines since they want just the result. The phrase ""Cam caturr ci yo"" seems similar to asking if someone is asleep, perhaps indicative of a polite inquiry. I think it might translate to ""I wonder if (he) fell asleep."" The verb roots connect with sleep-related terms in Korean, like ""자다"" (to sleep).
**Interpreting the phrase**

I’m parsing the phrase ""Cam caturr ci yo"" and playing around with its components. It might relate to ""sleep,"" and given a similar structure in another example, it's possible this phrase really means ""You slept, didn't you?"" mirrored in the Korean ""잠 잤죠?"" (jam jatjyo). ""Ci yo"" feels like a question tag, which often means something like ""isn't it?"" I’m exploring these connections to get the translation as accurate as possible!
**Refining the translation**

I just realized the Korean ""잤지요"" could indeed be romanized as ""cat.ci yo,"" since '잤' corresponds to 'cat' in the Yale system. The past tense of ""자다"" (to sleep) is ""잤다"" (cat.ta). So, ""Cam caturr ci yo"" might translate to ""잠 잤죠,"" meaning ""You slept, right?"" or ""Did you sleep?"" I think the more natural choice is ""Did you sleep?"" using ""ci yo"" for confirmation as a polite question.",0.0,18.222867088685472,0.0
Korean,56,talk koki,chicken meat,chicken meat,detailed,100.00000000000004,100.0,93.75
Korean,57,Tap.pyen haki lul him ul ssess.ta,I tried hard to find the answer.,I tried hard to answer.,detailed,43.29820146406896,62.531167417638,75.4985754985755
Korean,58,To-taychey tangsin un mue l' halye ko hanun ke yo,Just what on earth do you think you're up to?,What on earth are you trying to do?,detailed,10.04870239584817,35.62627937381167,48.92726321297749
Korean,59,Na nun ney ka an onun cw.ul al.ess.ta,I thought you weren't coming.,I thought you weren’t coming.,detailed,37.99178428257963,83.77197440240919,68.16901408450705
Korean,60,Nayit un swuyoil ikeyss.ta,Tomorrow must be Wednesday.,Tomorrow will be Wednesday.,detailed,42.7287006396234,68.93662020664308,75.00000000000001
Korean,61,Wuli pumo nim un noy sengcek i cdh.ki lul palasey yo,My parents expect me to get good grades.,Our parents hope that your grades will be good.,detailed,5.934202609760488,34.654548996208014,21.978021978021975
Korean,62,Yo cuum un lalio ka ecci 'nl manh.un ci cip cip mata pota pang mata hana ssik iss.ta ko halq swu iss.ulq cengto 'ci yo,"Lately radios have become so common it has reached the point where you can say that every room has one, rather than every house.",These days there are so many radios that you could almost say there is one in each room rather than just one in each house.,detailed,5.261627090001443,36.092277502115486,30.72155117609663
Korean,63,Ney-kkacis kes hanthey cikeyss.nun ya,Never shall I be beaten by a guy like you.,I’m sick and tired of the likes of you.,detailed,7.593603555191143,15.160548685408251,28.434684684684687
Korean,64,N:rla ka m6s toye kanta,The nation is on the decline (the way down).,The country is going bad.,detailed,3.9297526283216277,11.743626637097684,13.157894736842104
Korean,65,I pang un chwum chwuki cdh.ta,This room is good for dancing.,This room is good for dancing.,detailed,100.00000000000004,100.0,99.85422740524781
Korean,66,malkkum ha-,be clean,be neat and tidy,detailed,15.97357760615681,17.112005856515378,85.22727272727273
Korean,67,"icey cye'mun ce'k u'lan an'cok mozom sko'cang -nwota 'kn 'cola'm ye n' e'lwu 'pep ul poy'hwozo'Wwo'l i '-ngi ""ta","now while I am young, you see, I will have fun to my heart's content for a while and then when I am grown I can duly learn the Law.","Now, if you do not cultivate your mind within this gate, he said he would show the Dharma by which people may attain enlightenment.",detailed,1.661749405566262,19.28651475805153,9.00900900900901
Korean,68,na-kaki silh.ta,(I) hate to go out.,I don’t want to go.,detailed,13.83254362586636,18.63553113553113,39.453125
Korean,70,I trlut i malk.ci mrjs hata,The water is not (at all) clear.,This isn’t clear.,detailed,7.128373858810283,23.05445018953568,19.531249999999996
Korean,71,Twu si ccum ey osey yo,Come around two o'clock.,Please come around two o’clock.,detailed,17.965205598154213,70.09068671644144,70.75471698113208
Korean,72,C€msim rn-ek.nuta (ko) nup.ess.ta,Lunch made me late.,"After eating lunch, (I) lay down.",detailed,4.196114906296549,19.734420777757254,18.181818181818183
Korean,73,chayk han kw€n,one book,one book,detailed,100.00000000000004,100.0,93.75
Korean,74,Kulenq il ila to hasimyen cOh.keyss.ey yo,I wish you'd just do that.,"It would be good if you would do something like that, too.",detailed,3.737437943747671,18.205588728950104,34.883720930232556
Korean,75,tAn mek.nunta 'y to cakkwu man kuleni?!,Why do you keep urging me to eat when I tell you I won't?!,You’re not going to eat again—why do you keep doing that?!,"**Translating a dialect**

I need to translate a romanized dialect sentence. It says something like, ""You say you're not eating, but why do you keep doing that?"" I’m trying to decode various parts: ""tAn mek.nunta"" might mean ""You eat something else."" The word ""tAn"" could mean ""only"" or ""other."" Plus, there’s a second person marker ‘y. It’s an interesting mix, trying to figure out the nuances of this dialect!
**Decoding the phrase**

I'm working through the translation of the phrase ""to cakkwu man kuleni."" It seems to mean something like ""why do you keep doing that?!"" which might refer to eating sweets again. I'm trying to understand 'tAn’ and whether it corresponds to ""ttang"" or ""ttan,"" meaning “only.” I wonder if “tan” also has negation or imperative uses. There are a lot of nuances with these translations! It's quite tricky piecing it all together!
**Exploring translation possibilities**

I'm considering whether ""tAn"" might actually be ""ttang."" If so, ""tAn mek.nunta 'y"" could mean ""you said you wouldn't eat, but..."" I wonder if ""tAn"" is related to ""an,"" which means ""not eat."" Maybe it's a tense variation? This might also point to a glottal stop with an emphatic 't,' but I'm unsure. If ""tAn"" is ""an"" with a tense consonant, then ""an mek-nunta-yo"" could translate to ""you're not eating."" There are just so many nuances to figure out!
**Translating another phrase**

I'm looking at ""nAcik to molunta 'y se ya m:il i toyna?!"" which seems to translate to something like, ""It’s absurd for you to say you still don’t know about it."" Here, ""molunta 'y"" might mean ""you say you don't know,"" and 'y could be marking a quoted clause. It's interesting to consider whether 'y is similar to the Korean quoting ""고."" I’m also curious if “mek.nunta 'y ya” translates to something emphatic like ""he eats (you know)"" with 'y sounding like a vocative. It's quite complex!",13.417786725556939,34.84119944114325,37.574404761904766
Korean,77,Na nun mul ul coh.a hanun kkatalk ey nul pata ey kanta,"I always go to the sea, because I am fond of the water.","Because I like water, I always go to the sea.",detailed,36.919863098247305,57.8825636763484,54.33743745432057
Korean,78,Onul hak.kyo ey oci anh.un kes ul ponni hanun ka pota,"I guess he is ill, for he is not in school today.","Seeing that he didn’t come to school today, I guess he must be doing something.","**Translating Korean**

I need to translate the romanized Korean sentence: ""Onul hak.kyo ey oci anh.un kes ul ponni hanun ka pota."" This seems to come from ""오늘 학교에 오지 않은 것을 보니 하는가 보다."" I’m working through what the parts mean: ""보니"" is ""seeing that,"" and ""오지 않은 것"" means ""the fact that (he) didn't come."" The whole translation might be, ""Seeing that he didn't come to school today, I guess he's up to something.""
**Interpreting the Korean sentence**

Without specific context, the sentence could imply ""Seeing that he didn't come to school today, I guess he's skipping (class)"" or perhaps ""he's sick."" The phrase ""hanun ka"" suggests ""maybe he's doing (something)."" I think a phrase like ""공부를 하는가 보다"" could work, but that's missing the word for ""study."" So a general translation might be, ""Seeing that he didn't come to school today, I guess he's doing something."" But I need to follow developer instructions and provide only the result.",12.03921753741131,40.88316675950915,43.53448275862069
