Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Igbo,L_to_en,0,Onu ogugu ndi mmadu obodo Vatican di nari 800. O bu obodo kacha nta n’uwa n’uwa n’uwa na obodo n’ogbe ndi kacha pere mpe.,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,"The population of the Vatican is about 800. It is the smallest city in the world, and it is also the city with the fewest people in the world.",22.04955406688422,49.134229916120304,47.28345079222274
Igbo,L_to_en,1,Ndị obodo niile nke Obodo Vatican bụ Roman Katọlik.,All citizens of Vatican City are Roman Catholic.,All the people of Vatican City are Roman Catholics.,42.7287006396234,72.12793484096387,87.22527472527472
Igbo,L_to_en,2,"Onwere otutu osisi ama ama, maka ebea nwere klimeti di icheiche, aja ya di iche iche, altitude ya dikwa iche n’iche.","It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","There are many mixed-up trees; therefore this place has different climates, different kinds of soil, and its altitude varies from place to place.",2.403773500979825,34.78192206188177,23.80952380952381
Igbo,L_to_en,3,Osimiri Amazọn ahụ bụ nke abụọ kachasị ogologo na osimiri kachasị n’ibu n’ụwa. Ọ na-ebu ihe karịrị nha mmiri ugboro asatọ dị ka osimiri nke abụọ kachasị ibu.,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,The Amazon River is the second longest river and the largest river in the world by volume. It carries more than eight times the water volume of the second largest river.,33.98711135343771,65.69826223246115,69.4096163985443
Igbo,L_to_en,4,"Ezinụlọ Ọdụm na-akpa agwa ka ezinụlọ oke nkịta ọhịa maọbụ nkịta ụlọ, anụ ndị nwere oyiyi dị ịtụ n'anya nye Ọdụm (mana odịghị otu a n'ebe nnukwu nwamba ndị ọzọ nọ) n'omume, ma bụrụ ihe oke iyi egwu nye ihe ọbụla ha na-achụ na nta.","Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.","The family of Odum behaves like the family of a wild dog or a domestic dog, the animals that have strange markings that are frightening to Odum (but not in the same way as the big cats of other places), in their behavior, and are an extreme threat to anything they go hunting for.",5.406590440442239,32.936671405986154,44.68854937239012
Igbo,L_to_en,5,Ọ bụ otu isi nkwụsịtụ n'oge Henry Louis Gates Ihe-ebube pụrụ iche PBS nke Ụwa Afrịka.,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,It is a turning point during Henry Louis Gates’s special PBS program on the African world.,11.022825290043492,48.460794431267566,58.120463428252364
Igbo,L_to_en,6,Amaara mba Ajentịna dịka obodo nwere ndị egwuregwu na otu egwuregwu polo kachasị mma n'ụwa dum.,Argentina is well known for having one of the best polo teams and players in the world.,Amaara mba Ajentịna dịka obodo nwere ndị egwuregwu na otu egwuregwu polo kachasị mma n'ụwa dum.,2.5642993454084824,14.72589839728397,5.58659217877095
Igbo,L_to_en,7,Nkwụsịtụ ụra bụ usoro nke ịkpacharanya eteta ụra mgbe oge ị na-ehikarị ụra ma na-ada n’ụra mgbe obere oge gachara (nkeji 10–60).,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,Sleep interruption is a method of waking up during the time you usually sleep and falling asleep again after a short time (10–60 minutes).,26.760322756637912,54.67453138922219,74.40476190476191
Igbo,L_to_en,8,"Maka ọmụmaatụ, “mmụta” na “mkpakọrịta” bụ ndị atụnyere dịka mkpalite dị mkpa maka ojiji Ịntanetị (James na ndị ọzọ., 1995).","For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","For example, “learning” and “association” are the variables that are compared as important predictors of Internet use (James et al., 1995).",53.38072105998291,68.65855246284859,82.48810418231905
Igbo,L_to_en,9,"Mgbe otu izu gasịrị ebe ọ dara ada na ntuliaka ọkara oge, Bush gwara ndị na-ege ya ntị maka mmụba nke azụmahịa n'Eshia.","After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","After a week had passed, when the midterm election results came out, Bush told those listening about the increase in business in Asia.",16.562574029564235,52.9865678218047,64.82142857142857
Igbo,L_to_en,10,"Obodo Haldarsvik na-ekwe ka ahụta Eysturọị, agwaetiti dị ya nso, ma nwekwaa ụlọ ụka akụkụ asatọ pụrụ iche.",The village of Haldarsvík offer views of the nearby island Eysturoy and has an unusual octagonal church.,"Haldarsvik is a town that has permission to build a church with eight special parts on the island nearby, Eysturọị.",2.703251334489793,31.724620866322233,16.304347826086953
Igbo,L_to_en,11,O kwuru na ebe kachasị dị ire maka isi nke isiokwu bụ na mmekọta ụmụ ahịrị na-ekebi ụmụ onyinyo ahụ n’ụzọ atọ na nke eguzoro ọtọ nakwa nke a mara afọ n’ala (hụ ọmụmatụ).,It states that the most effective place for the main subject is at the intersection of lines dividing the image into thirds vertically and horizontally (see example).,"He said that the best place for the head of the topic is where the arrangement of the children’s pictures breaks them into three parts, and where they are upright, and this is known to be on the ground (see examples).",5.562691146203468,31.941182461315094,48.218029350104814
Igbo,L_to_en,12,"A na-ama ọkwa mgbedum na Metro naanị na asụsụ Catalan, mana mmesasị nke a na-emeghị atụmatụ ya bụ ndị a na-ekwuputa site na sistemụ akpaghị aka n'ọtụtụ asụsụ dịgasị iche iche gụnyere Spanish, English, French, Arabic na Japanese.","Regular announcements in the Metro are made only in Catalan, but unplanned disruptions are announced by an automated system in a wide variety of languages including Spanish, English, French, Arabic and Japanese.","Igbo is a language that shows certain typological features. The Metro only has levels in the Catalan language, but the unplanned messages that are produced are those that are automatically generated in many different languages, including Spanish, English, French, Arabic, and Japanese.",20.22049103886607,50.8813996669809,41.67346605744125
Igbo,L_to_en,13,Otu n'ime isi okwu okwukwe Ndị Kristian bu na ekwesiri iji akụ belata nhụjuanya na ịda ogbenye nakwa na ego ụka nọ kpọmkwem ebe ahụ n'ihi nke ahụ.,One of the main Christian tenets is that wealth should be used to alleviate suffering and poverty and that the monetary funds of the church are there specifically for that reason.,"One of the central tenets of the Christian faith is that one should use money to reduce suffering and poverty, and that money is specifically found there for that reason.",17.869522054503882,57.74443443033091,61.67263454861111
Igbo,L_to_en,14,NHK kwukwara na ulo oru nuklia power plant nke Kashiwazaki Kariwa di na mpaghara Niigata n’aru oru ofuma.,NHK also reported that the Kashiwazaki Kariwa nuclear power plant in Niigata prefecture was operating normally.,NHK kwukwara na ulo oru nuklia power plant nke Kashiwazaki Kariwa di na mpaghara Niigata n’aru oru ofuma.,6.585833693600902,38.686600158357145,32.89936664320901
Igbo,L_to_en,15,"Ọ dabara nke ọma na ndị na-anya ụgbọ ala nwere usoro omume na-adịgide; ya mere, ụzọ njem moto anaghị agbanwecha agbanwe ma bụrụkwa ihe enwere ike iji eserese aritmetik gosipụta.","Fortunately, drivers tend to behave within a reasonably consistent range; thus, traffic streams tend to have some reasonable consistency and can be roughly represented mathematically.","It is a good fit for drivers who have a stable pattern of behavior; therefore, the way of traveling by motor does not vary and is something that can be used to show with arithmetic diagrams.",2.8209110765918006,26.905294469310782,21.183333333333334
Igbo,L_to_en,16,"Ọ bụ ihe mwute na ka ụzọ ọhụrụ e si ede ihe na-apụta, 'ọkwa', mkpịsịodee ọkpọọ bụzi ihe a tụlagara n'akụkụ anaghịzikwa eji ya ede ihe mgbe niile.","Sadly, as newer methods of writing have emerged, the pencil has been relegated to lesser status and uses.","It is unfortunate that, as new ways of writing are emerging, “ọkwa”, the calligraphy pen has already been relegated to the side and is no longer used to write things all the time.",6.595800588816438,41.06468209006841,42.06945936269244
Igbo,L_to_en,17,"N'otu mgbe ahụ, ndị agha nke mmiri nke Jamanị, n'iji naanị ụgbọokpurummiri, nọ na-agbalị ịkwụsị mkpọchi ụzọ a.","At the same time, the German navy, using mainly U-boats, was trying to stop this traffic.","At that time, the Japanese water troops, using only watercraft, were trying to stop up the blockade of this road.",12.635227789398094,39.01542291297443,53.1529179719225
Igbo,L_to_en,18,Iji ụgbọ mmiri ebughari ngwa ahịa bụ ụzọ kachasị mma n'ezie iji buru ọtụtụ ndị na ọtụtụ ngwa gafee oke osimiri.,Using ships to transport goods is by far the most efficient way to move large amounts of people and goods across oceans.,Using cargo ships to transport goods is truly the best way to carry many people and many goods across the sea.,22.987793129899664,50.729384410812,62.173702086365836
Igbo,L_to_en,19,"Agbanyeghị, pacentị nke XDR-TB nọ n’ime òtù niile nke ndị nwere ụkwara nta ka yiri ka ọ dị obere; 6,000 nke mpokọta ndị mmadụ 330,000 nwetere ọrịa ahụ n’oge ọ bụla n’ime South Afrịka.","However, the percentage of XDR-TB in the entire group of people with tuberculosis still seems to be low; 6,000 of the total 330,000 people infected at any particular moment in South Africa.","However, the patients with XDR-TB account for a smaller proportion than those with tuberculosis in all groups; 6,000 out of the total population of 330,000 had the disease at any one time in South Africa.",14.756414813723252,48.00794366776518,56.11903372122289
Igbo,L_to_en,20,"Iwu ahụ chọrọ ka egwuregwu vidio ime ihe ike ndị e rere na steeti California ka a mapanye mmewe na-agụpụta ""18"" na ha ma mere ka ntaramahụhụ maka orire ha nye nwata bụrụ $1000 kwa ịda iwu.","The bill requires violent video games sold in the state of California to be labeled with a decal reading ""18"" and makes their sale to a minor punishable by a fine of $1000 per offense.",The law requires that violent video games sold in the state of California be forced to display the design “18” on them and to impose a $1000 fine for their chances on a child for each violation.,25.476543956222585,46.95112626915021,46.035732001133795
Igbo,L_to_en,21,"Ebe a bụ ebe ndị nchịkwa mba si Britenụ were dịka nke ha ya mere ọ bụrụ na ị na-achọ maka akaebe nke nchịkwa ókèala ahụ gara aga, ebe a bụ ebe dị mma ịmalite.","This is the place the British colonisers took as their own and so if you are looking for evidence of the territory's colonial past, this is a good place to start.","This is a place where the national regulators from Britain took it as their own; therefore, if you are looking for evidence of that earlier territory regulation, this is a good place to start.",41.5969906340967,59.845855351171664,71.48372093023256
Igbo,L_to_en,22,"N'afọ ndị 1980, ọ rụrụ ọrụ n'ihe ngosi dị ka Tagzi, Cheers, ya na ihe ngosi Tresi Ullman.","During the 1980s he worked on shows such as Taxi, Cheers, and The Tracy Ullman Show.","In the 1980s, he worked in shows such as Tagzi, Cheers, and the Tresi Ullman show.",22.01224844905468,59.562257942395846,77.07969749854566
Igbo,L_to_en,23,"Njem-nlere anya nke dabere na udidi na enweta uche ndi mmadu ndi nwere mmasi izute ebe di na udidi ha maka ihi ikpori-ndu na udi ebe, gunyekwara akumaku anumanu anu-ohia.","Nature-based tourism attracts people interested in visiting natural areas for the purpose of enjoying the scenery, including plant and animal wildlife.","A journey of observation that depends on appearance and that enables people who have an interest to meet the place where they appear, and also to observe the movements of wild animals in their habitats.",1.675771139737561,28.99520637379343,20.491803278688526
Igbo,L_to_en,24,"Usoro kwa-oge kwa-oge, nke n'abụghị nzaghachi nye ntụpenye kwa-oge keezi, ka edeturula maka ọtụtụ ihe ndị dị ndụ , nke gụnyere nje bakterịa, fọngaị, akụmakụ na ụmụanụmanụ.","Periodic rhythms, which are not simply responses to external periodic cues, have been documented for most living beings, including bacteria, fungi, plants, and animals.","The method, step by step, which is not a response to a particular method of killing, is used to break down many living things, including germs, fungi, animals, and plants.",6.893281774601135,38.24427896995643,46.086964988121665
Igbo,L_to_en,25,Ogbunigwe atọ ọzọ gbara na nsonso ụlọ gọọmenti gasị n'ime awa abụọ.,Three more bombs exploded near government buildings in a period of two hours.,"Three bombs were fired at the government building’s front, destroying it within two hours.",10.82597837309053,48.60210892712187,44.07596371882086
Igbo,L_to_en,26,Ókè ekwomọsọ ebipụtara dị obere karịa n'ụzọ ahụrụ anya na ngalaba ndị ọzọ gara aga ma ndị na-abịa abịa - na-abụkarị mph 35-40 (km/h 56-64) - ma nrubeisi siri ike na ha kara dị mkpa karịa otu ọzọ.,Posted speed limits are noticeably lower than in previous and subsequent sections — commonly 35-40 mph (56-64 km/h) — and strict obedience to them is even more important than otherwise.,"The maximum speed of the vehicles that is indicated is lower than what is visible to the eye in the other previous sections, and the ones that come later—usually mph 35–40 (56–64 km/h)—but strict compliance with them is more important than the other one.",9.260091391085426,43.22132703146402,43.929034634044804
Igbo,L_to_en,27,"Ọkachamara Pamela Ferguson nke Mahadum Dundee kwuru ""ndị nta akụkọ dị ka ndị na-aga ije n'ebe dị oke egwu ma ọ bụrụ na ha ebipụta foto na ihe ndị ọzọ nke ndị a na-enyo enyo.""","Professor Pamela Ferguson of the University of Dundee notes ""journalists do seem to be walking a dangerous line if publishing photos etc of suspects.""","Pamela Ferguson, an expert at the University of Dundee, said: “Journalists are like people walking in dangerous places, and if they publish photos and other things of those who are suspected.”",8.821755394657535,54.3935289510886,49.988879003558715
Igbo,L_to_en,28,Ewu yiri ka e buru ụzọ mee ya anụụlọ n’ihe ruru puku afọ iri gara aga n'ugwu Zagros nke Iran.,"Goats seem to have been first domesticated roughly 10,000 years ago in the Zagros Mountains of Iran.",It is thought that a goat was first domesticated by humans about ten thousand years ago in the Zagros Mountains of Iran.,37.3999627320733,61.15391359443812,64.35810810810811
Igbo,L_to_en,29,"N'ihi tọpọlọjì nke okpuru mmiri ahụ, mmiri na-abanyeghachi dị ike n'akụkụ ole na ole miri emi, ma ike ọwụwụ mmiri ngwa ngwa ruo na mmiri dị omimi nwere ike ịmepụta n'ebe ahụ.","Due to the underwater topology the return flow is concentrated at a few deeper sections, and a fast current to deep water may form there.","Because of the shaking of the water’s bottom, the water rushes back in force in a few shallow places, but the force of the water’s surge can create there deep water.",3.770678435743331,26.899653369211908,20.78116075743597
Igbo,L_to_en,30,"Elu pụtara na Ị kwesịrị isi n'ọnụnụ ya pịa ụta aka, ma ala pụtara na Ị kwesịrị isi na fụrọgụ (nke bụ ebe aka gị ji ụta) were dọọ ụta aka.","Up means you should start at the tip and push the bow, and down means you should start at the frog (which is where your hand is holding the bow) and pull the bow.","Heaven shows that you should put a thorn on your hand by its mouth, but the ground shows that you should put it on your palm by the thorn (the place where your hand holds the thorn) and then drive it in.",5.6531710785114235,36.745947034184795,37.65352551864579
Igbo,L_to_en,31,"Ọ fọrọ obere ka ụlọ niile dị n'obodo Harappa na Mohenjo-daro nwee mpochi mmiri, ya na usoro mkpopu kara aka.","The cities of Harappa and Mohenjo-daro had a flush toilet in almost every house, attached to a sophisticated sewage system.","It is almost as if all the houses in Harappa and Mohenjo-daro had water tanks, with a deliberately planned system of drainage.",12.683546941685782,42.60105241338828,47.76843169700313
Igbo,L_to_en,32,Ndị isi chere na nke a na-egosi na o nwere ike gbọmgbọm ndị ji mmanụ ụgbọ yurenium agbawaala ma na-ehi ehi.,Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.,The leaders thought that this shows that it may be possible to slaughter the people who have broken uranium-transport vehicles and to steal cattle.,4.260146736441797,29.72141419321409,25.952743902439025
Igbo,L_to_en,33,"Jamini bụ ndị iro ọha n'Agha Ụwa nke abụọ, nke mere mba USA na USSR ji nwee mmekọ. Ka agha gwụrụ, esemokwu usoro omume, na omenala mere mba ndị ahụ ji nwee okwu.","Germany was a common enemy in World War 2, leading to cooperation between the USSR and USA. With the end of the war the clashes of system, process and culture led to the countries falling out.","Jamini is the public enemy in World War II, which is why the USA and USSR had relations. When the war ended, disputes of ideology and culture caused those countries to have words.",9.773084105684248,37.68142784817469,44.757166350937815
Igbo,L_to_en,34,"Mana ị na-edobe gị n'ime ""ebe ndị na-ekpo oke ọkụ"" ị ga-achọ naanị digiri ole na ole n'ugwu nke ikwuetọ imeso ma ekpomọkụ (mgbe niile) ma anwụ siri ike (mgbe elu igwe kpochara ekpocha, nke kara raa ahụ omume).","But being placed in the ""high tropics"" just a few degrees north of equator you will need to deal with both heat (always) and strong sun (when the sky is clear, more rarely).","But if you store yourself in “hot places,” you will only need a few degrees in the north of the word for “to greet” and “to heat” (always), and a hard death (after the sky has been cleared and purified, which makes the body’s behavior change).",6.931967779564001,37.724978487412926,47.90753630660823
Igbo,L_to_en,35,"O nweghị nnukwu mmebi ma ọ bụ mmerụ ahụ akọrọna n’ime Tonga, mana e were ọkụ nwa oge, nke a kọrọ gbochiri ndị ọchịchị Tongan ịnata ịdọ aka na ntị maka ajọ ebili mmiri PTWC ahụ nyere.","No major damage or injuries have been reported in Tonga, but power was temporarily lost, which reportedly prevented Tongan authorities from receiving the tsunami warning issued by the PTWC.","There was no major damage or dry injury in Tonga, but there was a brief fire, which prevented the Tongan authorities from receiving the warning for the bad waves that the PTWC had issued.",22.631238667614625,54.44821812459652,67.9780982905983
Igbo,L_to_en,36,Ọ bụ CEP nke ise nke Marteli n'afọ anọ.,It is Martelly's fifth CEP in four years.,It is the fifth CEP of Martel in the year four.,11.016798394984658,44.383862862594825,61.887254901960794
Igbo,L_to_en,37,Hamilton kwetere na Ụlọ ọgwụ Mahadum Howard nabatara onye ọrịa ahụ n’ọnọdụ ahụ kwụsiri ike,Hamilton confirmed Howard University Hospital admitted the patient in stable condition.,Hamilton agreed that Howard University Hospital received the patient in that condition as stable.,18.69300079996002,66.02285045363126,72.52032520325203
Igbo,L_to_en,38,"Ụmụ nwanyị: Ọ bụ ihe akwadoro na ndị njem nwanyị ọ bụla kwuo na ha alụọla dị, n'agbanyeghị etu ọnọdụ ha dị n'ezie.","Women: It is recommended that any women travellers say that they are married, regardless of actual marital status.","Women: It is customary that every female traveler says that they have already gotten married, regardless of what their actual situation is.",22.128776529156546,50.95571199607314,64.77673935617861
Igbo,L_to_en,39,Ụzọ niile dị n'ọgba ahụ a kpọrọ “Ụmụnne nwanyị asaa” dị ihe dịka opekatampe 100 mita ruo mita 250 (fiiti 328 ruo 820) na dayamita.,"All of the cave entrances, which were named ""The Seven Sisters"", are at least 100 to 250 meters (328 to 820 feet) in diameter.",All the paths in the cave called “Seven Sisters” are approximately 100 meters to 250 meters (328 to 820 feet) in diameter.,39.00875159805255,56.192722261161606,65.92637054821928
Igbo,L_to_en,40,"Enwere ike imata ngalaba omenala site na afo, agburu, klaasi, ebe onye bi, ma o bu etu chukwu si kee mmadu -i bu nwoke ka ibu nwanyi.","Subcultures can be distinctive because of the age, ethnicity, class, location, and/or gender of the members.","It is possible to identify the traditional division of the world by means of the age groups, the men’s initiation classes, the place where the person lives, and whether it is how God created people—he is a man, more than a woman.",4.761298946116126,27.0362010013761,25.210084033613438
Igbo,L_to_en,41,"N'ọsọ ya nke ọzọ, Giant Slalom, ọ gbachara dị ka onye nke iri n'otu ụmụ nwanyị nọ ọdụ ebe oge ọsọ ya niile bụ nkeji 4: 41.30, nke ji nkeji 2: 11.60 nọrọ n'azụ onye nke mbụ Claudia Loesch onye Austria ma jiri nkeji 1: 09.02 nọrọ n'azụ Gyöngyi Dani onye Hungary gbara onye nke itoolu.","Her other race, the Giant Slalom, saw her finish in tenth in the women's sitting group with a combined run time of 4:41.30, 2:11.60 minutes slower than first place finisher Austrian Claudia Loesch and 1:09.02 minutes slower than the ninth place finisher Gyöngyi Dani of Hungary.","In the next race, the Giant Slalom, she finished as eleventh among the women, with a total time of 4:41.30, which was 2:11.60 behind the first-place Claudia Loesch of Austria, and she was 1:09.02 behind Gyöngyi Dani of Hungary, who finished ninth.",27.380631871626413,50.136097727486664,46.24813916690852
Igbo,L_to_en,42,A na-aka na ọ ga-azọ ọkwa onye isi ala n'afọ 2016.,He is speculated to make a run for president in 2016.,It is expected that the president’s term will end in 2016.,13.545994273378144,37.34860834347646,36.557377049180324
Igbo,L_to_en,43,Elekere ime ahụ nwere usoro eje alọ nke na-arụ ọrụ n'onwe ya; usoro a ga na-aga n'ihu ma asịgodị rịị na onweghi ihe ọzọ metụtara ya.,Biological clocks are self sustaining oscillators which will continue a period of free-running cycling even in the absence of external cues.,The clock inside the room has a mechanism that works by itself; this mechanism will keep going even if it is not affected by anything else.,1.996819088094332,22.88539747803604,15.486725663716813
Igbo,L_to_en,44,"Maka ndị Australia, kọfị 'flat white' bụ ihe ala ọzọ. Shọt blak bụ 'espresso', cappuccino na-ebu nnukwu krim abịa (ọ bụghị froth), ha na-añụ tii na-etinyeghị mmiri ara ehi.","For Australians, the idea of 'flat white' coffee is foreign. A short black is 'espresso', cappuccino comes heaped high with cream (not froth), and tea is served without milk.","For the Australians, coffee “flat white” is something else. Short black is “espresso”; cappuccino comes with a lot of cream (not froth), and they drink tea without adding milk.",24.13901023287218,55.841274295545595,61.84721925419381
Igbo,L_to_en,45,"Ụmụ nwanyị kwesịrị ịghọta na ndịiche omenala nwere ike ịkpata ihe ha ga-ewere dị ka ịchọ okwu ma ọ bụghị ihe a na-ara ahụ ịhụ isoro gị, ijide site n'aka, dgz.","Women should realize that cultural differences may result in what they would consider harassment and it is not uncommon to be followed, grabbed by the arm, etc.","Women should understand that cultural differences can lead them to take something as “seeking words” rather than something you would normally expect to see in your company, holding you by the hand.",6.814385179012219,39.12057035119337,35.43527864794832
Igbo,L_to_en,46,"Ihunanya ya nwere otutu ihe banyere mmeme nke ọdịnala, nke sitere n'aka ndị edemede dịka Goethe, Fichte, na Schlegel.","Romanticism had a large element of cultural determinism, drawn from writers such as Goethe, Fichte, and Schlegel.","It is a language that has many things to say about the nature of tradition, drawing on writers such as Goethe, Fichte, and Schlegel.",33.980884896942456,49.62873613983342,59.0352575464238
Igbo,L_to_en,47,"Na njedebe ọzọ nke ụdị ahụ, otu onye ahụ ga-aghọ wụrụ mmadụ a na agali amata nke na- eche na ọ ga-agbanwerịrị ihe niile otu ahụ na- eme ma mee ka ọ bụrụ nke ha.","At the other end of the spectrum, one morphs into an unrecognizable individual that feels he or she must change everything the team has been doing and make it their own.","At the other end of that kind, one person will become the one who is recognized as having been thinking that everything that that kind does and makes it their own.",21.02754594063182,44.93826639850355,46.27241270839886
Igbo,L_to_en,48,Ndi transgender n’emebeghi oparashon atubekwana anya na ha gafecha ihe nyocha na ha ka ga ano na nzuzo ma ugwu ha adikwachim.,Pre-operative transgender people should not expect to pass through the scanners with their privacy and dignity intact.,"People who are transgender should not be allowed to be examined in secret, and their dignity should be protected.",5.136663909505953,35.16455369543506,24.590163934426233
