Lang,Index,Source,Reference,LLM_Translation,Reasoning_Summary,BLEU,ChrF,METEOR
Igbo,0,O gà-àzụ̀rụ̀ ya,He is going to buy it for himself.,He will buy it.,detailed,11.4159380681175,15.267677667092796,36.700581395348834
Igbo,1,m/mū nà unù,I and you(pl.),I and you (plural).,detailed,45.499414040480374,74.67961614014177,80.35714285714286
Igbo,2,mÙkpu` àla,landscraper,Earthquake.,"{'type': 'summary_text', 'text': '**Translating ""earthquake""**\n\nI\'m realizing that ""earthquake"" translates to ""mmịkpu ala,"" which seems correct. I was considering ""m̀kpọ̀ ụ̀wà,"" but it feels off. ""Mkpu ala,"" meaning ""ground shouting,"" definitely captures the essence. So, I\'ll go with ""Earthquake,"" adding just one line for clarity. It\'s important to keep it simple and straightforward!'}",0.0,6.06060606060606,0.0
Igbo,3,Achòrò m ìtùpòsì akwa à,I want to put spots on this cloth.,I want to put spots on this cloth.,detailed,100.00000000000004,100.0,99.93141289437585
Igbo,4,lìdebe nnī,stop eating,Put the food away.,detailed,0.0,7.575757575757576,0.0
Igbo,5,Ō gàala ngwa ǹgwa,He has been there (and back) quickly.,He has gone quickly.,detailed,11.115018927487522,31.56784593656143,39.473684210526315
Igbo,6,a sìrì,An unidentified person has said…,It was cooked.,"{'type': 'summary_text', 'text': '**Interpreting passive voice**\n\nI\'m thinking about the phrase ""a sìrì,"" which could mean ""it was cooked"" in an impersonal passive form. It might also imply ""they cooked,"" but my best guess is that it translates to ""It was cooked."" I\'ll provide just that as my conclusion!'}",0.0,5.433048887471091,0.0
Igbo,7,M̄mū kwa nū,What of me!,I myself.,"{'type': 'summary_text', 'text': '**Translating Igbo sentence**\n\nI need to translate the Igbo sentence ""M̄mū kwa nū"". It looks like ""m̄mū"" could mean ""I,"" ""kwa"" might imply ""also,"" and ""nū"" serves as an emphatic particle. So, ""M̄mū kwa nū"" likely translates to ""I myself"" or ""Me too!"" However, I\'m considering that ""kwa"" emphasizes the phrase, suggesting ""too"" or ""yourself."" There’s a bit of a conflict here since the developer prefers only the result, but the user wants reasoning.'}",0.0,5.681818181818182,0.0
Igbo,8,Ejèrè hà,They went,They went.,detailed,55.03212081491043,96.17320480751631,89.28571428571429
Igbo,9,îfùk ífûk,He counted.,Quickly.,detailed,30.326532985631665,5.208333333333333,17.241379310344826
