Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Basque,L_to_en,0,"Vatikano Hiriak 800 biztanle ditu gutxi gorabehera. Munduko herrialde independente txikiena da, eta biztanle kopuru baxuena daukana.",Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,Vatican City has about 800 inhabitants. It is the smallest independent country in the world and has the lowest population.,54.25242527989809,67.68698084637535,64.1592277049228
Basque,L_to_en,1,Vatikano Hiriko biztanle guztiak katoliko erromatarrak dira.,All citizens of Vatican City are Roman Catholic.,All the inhabitants of Vatican City are Roman Catholics.,42.7287006396234,74.02382270201208,87.22527472527472
Basque,L_to_en,2,"Landare-komunitate anitza eta nabaria dauka, mikroklima sortari, lurzoru desberdinei eta altitude-maila ugariei esker.","It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","It has a diverse and distinct plant community, thanks to the creation of microclimates, different types of soil, and numerous altitude levels.",11.17722254720224,47.73076935493025,52.58550572795324
Basque,L_to_en,3,Amazonas ibaia Lurreko bigarren ibai luzeena eta ibairik handiena da. Bigarren ibai handienak baino 8 bider ur gehiago darama.,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,The Amazon River is the second longest river on Earth and the largest river. It carries 8 times more water than the second-largest river.,34.824372094800154,69.78695532893715,69.02445611007556
Basque,L_to_en,4,Lehoi-taldeek otsoen edo txakurren taldeen era berean funtzionatzen dute; lehoien oso antzekoak dira portaerari dagokionez (baina ez dira beste katu handi batzuk bezalakoak) eta harrapakinentzat oso arriskutsuak dira.,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.",Lion prides function in the same way as wolf or dog packs; they are very similar to lions in terms of behavior (but they are not like other big cats) and are very dangerous to their prey.,17.726777658225775,49.89091690407642,65.71988472622479
Basque,L_to_en,5,Henry Louis Gatesen PBS programaren Afrikar lurralde zoragarriak saio berezian geldialdi nagusienetakoa izan zen.,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,Henry Louis Gates’s PBS program *Africa’s Wonderful Lands* was one of the standout episodes of the special series.,16.6352496246992,50.46384709479136,58.464424880935205
Basque,L_to_en,6,Argentina oso ezaguna da poloko talde eta jokalaririk onenak izateagatik.,Argentina is well known for having one of the best polo teams and players in the world.,Argentina is very well known for having the best polo teams and players.,43.93936824348128,72.21932689213172,71.76237224314148
Basque,L_to_en,7,"Loaren etenaldiaren prozesuan, loaldi arruntean berariaz esnatu eta handik gutxira loak hartzen zaitu berriro (10-60 minutu).",Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,"During the process of sleep interruption, you are deliberately awakened during normal sleep and then, shortly afterward, you fall asleep again (10–60 minutes).",19.257758240643717,56.30884755134758,67.75541946145621
Basque,L_to_en,8,"Esaterako, “ikastea” eta “sozializatzea” omen dira Internet erabiltzeko motibazio nagusiak (James et al., 1995).","For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","For example, “learning” and “socializing” are said to be the main motivations for using the Internet (James et al., 1995).",47.792896573451614,67.37994320418647,87.00324164252802
Basque,L_to_en,9,"Legealdiaren erdiko hauteskundeetan astebetez galtzen joan ondoren, Bush-ek ikus-entzuleei azaldu zien Asian negozioak hedatzeko helburua zuela.","After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","After losing for a week in the midterm elections, Bush told viewers that he intended to expand business in Asia.",16.367646742534795,51.02906668886698,56.18612157073696
Basque,L_to_en,10,"Haldarsvík herriak hurbileko Eysturoy uhartearen ikuspegiak eskaintzen ditu, eta ohiz kanpoko eliza oktogonal bat dauka.",The village of Haldarsvík offer views of the nearby island Eysturoy and has an unusual octagonal church.,"The village of Haldarsvík offers views of the nearby island of Eysturoy, and it has an unusual octagonal church.",52.62439702634462,87.5130912638436,94.04304121972612
Basque,L_to_en,11,"Arauak esaten duenez, subjektu nagusia kokatzeko tokirik eraginkorrenak irudia bertikalean eta horizontalean herenetan zatitzen duten lerroak gurutzatzen diren puntuak dira (ikusi adibidea).",It states that the most effective place for the main subject is at the intersection of lines dividing the image into thirds vertically and horizontally (see example).,"According to the rules, the most effective places to position the main subject are the points where the lines that divide the image into thirds vertically and horizontally intersect (see the example).",28.03737212492408,70.77683222401409,74.52549019607844
Basque,L_to_en,12,"Metroko ohiko iragarpenak katalanez egiten dira soilik, baina ezusteko etenaldiak sistema automatizatu batek esaten ditu hainbat hizkuntzatan, hala nola gaztelaniaz, ingelesez, frantsesez, arabieraz eta japonieraz.","Regular announcements in the Metro are made only in Catalan, but unplanned disruptions are announced by an automated system in a wide variety of languages including Spanish, English, French, Arabic and Japanese.","Regular announcements on the metro are made only in Catalan, but unexpected interruptions are announced in several languages by an automated system, such as Spanish, English, French, Arabic, and Japanese.",44.51553292322986,72.32862636433165,76.87515819669827
Basque,L_to_en,13,Kristautasunaren printzipio nagusietako bat da aberastasuna sufrimendua eta pobrezia arintzeko erabili behar dela eta elizaren diru-funtsak zehazki helburu horretarako direla.,One of the main Christian tenets is that wealth should be used to alleviate suffering and poverty and that the monetary funds of the church are there specifically for that reason.,"One of the main principles of Christianity is that wealth must be used to relieve suffering and alleviate poverty, and that the Church’s funds are specifically intended for that purpose.",19.775876971405587,59.09123541000041,69.46001323091625
Basque,L_to_en,14,NHK-k ere jakinarazi zuen Kashiwazaki Kariwa indar nuklearreko instalazioa (Niigata prefekturakoa) ohi bezala funtzionatzen ari zela.,NHK also reported that the Kashiwazaki Kariwa nuclear power plant in Niigata prefecture was operating normally.,NHK also reported that the Kashiwazaki-Kariwa nuclear power plant (in Niigata Prefecture) was operating as usual.,30.752616970214337,78.82855395646574,79.54140958709066
Basque,L_to_en,15,"Zorionez, gidariek nahiko portaera erregularra dute; beraz, trafiko-korronteak aski koherenteak dira eta matematikoki adieraz daitezke gutxi gorabehera.","Fortunately, drivers tend to behave within a reasonably consistent range; thus, traffic streams tend to have some reasonable consistency and can be roughly represented mathematically.","Fortunately, drivers exhibit fairly regular behavior; therefore, traffic flows are sufficiently coherent and can be expressed mathematically to a good approximation.",10.30779517739492,40.342264079388165,44.38418724133009
Basque,L_to_en,16,"Zoritxarrez, idazteko metodo berriagoak sortu ahala, arkatza alboratu egin da maila baxuagoko estatus eta erabilerara.","Sadly, as newer methods of writing have emerged, the pencil has been relegated to lesser status and uses.","Unfortunately, as newer writing methods have been developed, the pencil has been set aside in favor of a lower-status, more limited use.",20.42128370387497,50.76851059403585,56.466540104413845
Basque,L_to_en,17,"Era berean, Alemaniako itsas-armadak U-ontziak erabili zituen trafiko hori geldiarazteko.","At the same time, the German navy, using mainly U-boats, was trying to stop this traffic.","At the same time, the German navy used U-boats to stop that traffic.",40.99453631759975,60.121925469506174,67.3076923076923
Basque,L_to_en,18,Merkantziak garraiatzeko itsasontziak erabiltzea da ozeanoetan zehar jende eta merkantzia kantitate handiak mugitzeko modurik eraginkorrena.,Using ships to transport goods is by far the most efficient way to move large amounts of people and goods across oceans.,Using ships to transport goods is the most efficient way to move large quantities of people and cargo across the oceans.,54.53155321934839,74.62585759770293,79.87274552734398
Basque,L_to_en,19,"Hala ere, tuberkulosia duten pertsona guztien artean SXDR-TB dutenen ehunekoa txikia da; Hegoafrikan, infektatuta egon daitezkeen 330.000 pertsonetatik 6.000 pertsonek izango lukete.","However, the percentage of XDR-TB in the entire group of people with tuberculosis still seems to be low; 6,000 of the total 330,000 people infected at any particular moment in South Africa.","However, among all people with tuberculosis, the proportion of those with XDR-TB is small; in South Africa, of the 330,000 people who could be infected, 6,000 would be.",10.632380157548235,48.455721436967494,46.865355502277325
