Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Chamorro,en_to_L,0,"Oh spare me, that I may recover strength, before I go away, and exist no more.""","Poloyo ya jufañule minetgot, antes de jujanao ya ti jutalo.","Oh spare me, that I may recover strength, before I go away, and exist no more.""",2.159701133933343,12.675262644867566,7.751937984496124
Chamorro,en_to_L,1,"But he answered and said, Verily I say unto you, I know you not.","Lao güiya manope, ilegna; Magajet jusangane jamyo na ti jutungo jamyo.","Magajet jusangane jamyo: Ti jutungo manguinemano jamyo. Janao guiya guajo, jamyo ni y chumogüe y tinaelaye.",9.748124539759884,55.62061838053505,43.236301369863014
Chamorro,en_to_L,2,"But he spoke all the more, ""If I must die with you, I will not deny you."" They all said the same thing.","Lao guiya janaguefchadeg y cuentosña, ilegña: Yanguin jumitamatae, ti jupunejao ni jaftaemano. Taegüineja locue sinanganñija todos.","Lao guiya janaguefchadeg y cuentosña, ilegña: Yanguin jumitamatae, ti jupunejao ni jaftaemano. Taegüineja locue sinanganñija todos.",100.00000000000004,100.0,99.99460101500918
Chamorro,en_to_L,3,"But when some were hardened and disobedient, speaking evil of the Way before the multitude, he departed from them, and separated the disciples, reasoning daily in the school of Tyrannus.","Lao anae palo manmajetog, ya ti manmalago manmanjonggue, ya manguecuentos taelaye pot ayo na Chalan gui menan y linajyan taotao, sumuja si Pablo guiya sija, ya janafañuja y disipulo sija, ya manadingan cada jaane gui escuelan Tiranno.","Lao anae guaja palo sija na manmangachong ya ti manmamañotsot, na manmanguecuentos taelaye pot y chalan, ya manmanguecuentos pot y Way anae y linajyan taotao, güiya mapos güe sija, ya japolo y disipuluña, na mamananagüe cada jaane gui guima si Tyrannus na eskuela.",12.247099729312541,53.31261242194297,45.17624998426902
Chamorro,en_to_L,4,"Saying, Father, if thou be willing, remove this cup from me: nevertheless not my will, but thine, be done.","Ylegña: Tata, yanguin malago jao, nasuja guiya guajo este y copa: lao munga mafatinas y malagojo, lao y malagomo.","Tata, yaguin malagojao na unjanao este na copa guiya guajo; lao munga y malagojo, ti y malagojo, ufatinas.",10.384900067204535,56.78326704468103,42.76045095457539
Chamorro,en_to_L,5,He will drink of the brook in the way; therefore he will lift up his head.,Unaguimen y sadog gui chalan: enaomina güiya jumatsa julo y ilo.,Unaguimen y sadog gui chalan; enaomina güiya jumatsa julo y ilo.,76.11606003349888,93.08621620986189,92.0940170940171
Chamorro,en_to_L,6,"""For I tell you, among those who are born of women there is not a greater prophet than John the Baptizer, yet he who is least in the Kingdom of God is greater than he.""","Jusangane jamyo, na entre ayo sija y manmafañago gui famalaoan, taya dangculoña qui si Juan; lao y diquiqueja gui raenon Yuus dangculoña qui güiya.","Sa jusangane jamyo, na ni y manmalago y famaguon y famalaoan, ti guaja profeta mas dangculo qui Juan Bautista; lao ayo na mandiquique gui raenon Yuus, güiya mas dangculo qui güe.",9.348998462584433,55.40058052589624,51.66666666666667
Chamorro,en_to_L,7,"And when he was come in, he saith unto them, Why make ye this ado, and weep? the damsel is not dead, but sleepeth.","Ya anae jumalom, ilegña nu sija: Jafa na manatborotao jamyo, yan manatanges jamyo? Y patgon na palaoan ti matae, na mamaego.","Ya anae mato güe, ilegña nu sija: Jafa muna injajaso este sija gui corasonmiyo, ya mantriste? Ti y patgon palaoan ti matae, lao manmamaego.",26.92360258755782,50.83798570046355,55.93368569147115
Chamorro,en_to_L,8,Very good!,Gof maolek!,Ma’ole!,30.326532985631665,15.088860187765768,16.12903225806452
Chamorro,en_to_L,9,"yet because this widow bothers me, I will defend her, or else she will wear me out by her continual coming.'""","Lao pot y jarorobayo este na palaoan, bae juaregla sija, sa noseaja pot y sisigueja mague, uestotbayo.","Sa pot este na biuda, ya ufanbula para guajo, jufatinas y defensa para güiya; pat ti siña umalâlâjao pot y venidaña sija siésiempre.",4.935860893352708,26.510119852019404,36.97964493419039
Chamorro,en_to_L,10,"For whoever desires to save his life will lose it, but whoever will lose his life for my sake, the same will save it.","Sa masqueseaja jaye y malago na usatba y linâlâña, ufinalingaeguan; ya masquesea jaye y malingo y linâlâña pot y naanjo, güiya usatba.","Sa y malago sumatba y linâlâña, ufinalingaeguan; lao y finalingaeguan ni linâlâña pot guajo, yan pot y ibangelio, este usatba y linâlâña.",22.86867640176166,50.01610176113195,40.76867816091955
Chamorro,en_to_L,11,"I have seen, and have testified that this is the Son of God.""",Ya guajo julie ya manae yo testimonio nu y güiya y Lajin Yuus.,Guajo y Lajin Yuus.,11.054202892156725,24.7083898492297,36.94656488549619
Chamorro,en_to_L,12,"And when they were come, and had gathered the church together, they rehearsed all that God had done with them, and how he had opened the door of faith unto the Gentiles.","Ya anae manmato ya mandaña iglesia gui guimayuus, masangan todo sija y finatinas Yuus pot sija; yan jaftaemano jababaye y Gentiles ni y pettan y jinenggue.","Ya anae manmato sija, manmangachong y iglesia, manrehearsed todo ni y finatinas si Yuus con sija, ya jafa na jaababa y petta na jinenggue para y Gentiles.",8.905609705520181,48.07829731633873,41.76469472166356
Chamorro,en_to_L,13,And sent forth his servants to call them that were bidden to the wedding: and they would not come.,"Ya jatago y tentagoña sija, na ujaagange y manmaconbida gui guipot; lao ti manmalago manmato.","Ya jatago y tentagoña sija gui oras sena, na ualog ni ayo sija y manmaconbida: Nije; sa esta todo listo.",20.287366424876,50.065612651671586,58.11305256869773
Chamorro,en_to_L,14,For John was not yet cast into prison.,Sa si Juan trabia ti mapopolo gui catset.,Si Juan ti pa manae mapolo gui calaboso.,6.742555929751843,41.47811491141654,41.333333333333336
Chamorro,en_to_L,15,"My frame wasn't hidden from you, when I was made in secret, woven together in the depths of the earth.","Y tataotaojo ti umatog guiya jago, anae mafatinasyo gui secreto; ya matufog yo ni namanman, gui mas tagpapa na lugat gui tano.","Yaguin guajoja ti umatog guiya jago, anae mafatinasyo gui secreto, jachuleyo contodo gui jalom y tano, jachuleyo gui jalom y tano.",34.910634147793225,50.02181084812274,53.522093522093506
Chamorro,en_to_L,16,"And Jesus went into the temple of God, and cast out all them that sold and bought in the temple, and overthrew the tables of the moneychangers, and the seats of them that sold doves,","N 21 12 31550 ¶ Ya jumalom si Jesus gui guimayuus, ya jayute juyong todo y manmanbebende, yan y manmamamajan gui guimayuus, ya janaalinquin y lamasan y manmanulalaeca salape, yan y tachong y manmanbebende paluma;","Ya manmato si Jesus gui temploña si Yuus, ya jatutujon yumute juyong todo ayo sija y manmanbebende yan manmanbende güije gui templo; ya japuno y lamesa sija y manmanbebende y manmanbende na lamasan salape, yan y tachong sija y manmanbebende paluma.",16.816893514833733,52.817172990062254,53.54664329023303
Chamorro,en_to_L,17,"Of whom I have no certain thing to write to my lord. Therefore I have brought him forth before you, and especially before you, King Agrippa, that, after examination, I may have something to write.","Ya taya jafa magajet na güinajaña para jutugue para y Señotjo. Enaomina jucone güe mona gui menanmiyo, yan y menamo, O Ray Agripa, para yaguin munjayan maegsamina, uguaja jafa para jutugue.","Ya taya jafa magajet para jutugue para y Señotjo. Enao mina jucone güe mona gui menanmiyo, ya menamo, O Ray Agripa, para yaguin munjayan maegsamina, uguaja jafa para jutugue.",72.23834112589388,89.96764926829101,86.5014117697011
Chamorro,en_to_L,18,Thou didst divide the sea by thy strength: thou brakest the heads of the dragons in the waters.,Jago dumibide y tase ni y ninasiñamo: jago yumamag y ilon y alo sija gui tase.,Jago dumibide y tase pot y minetgotmo: jago yumamag y ilon y dragones sija gui tase.,54.75235665340891,69.16341621617748,82.54320987654322
Chamorro,en_to_L,19,"If it bears fruit, fine; but if not, after that, you can cut it down.'""","Ya yanguin ufanogcha, mauleg; yanguin aje, siempre, unutut.","Yaguin manogcha tinegcha, mauleg; lao yaguin ti, mapos ayo nae malagojao na umapuno.",9.672649511413097,37.686158211475615,27.76119402985075
Chamorro,en_to_L,20,"Now when Festus was come into the province, after three days he ascended from Caesarea to Jerusalem.","AYONAE jumalom si Festo gui provinsia, ya anae malofan tres na jaane cumajulo desde Sesarea asta Jerusalem.","Ya anae malofan tres na jaane, si Festo jumanao gui probinsia, ya mapos tres na jaane, jumanao guinin Sesarea para Jerusalem.",20.59314696401758,57.927141921392064,58.597995411182225
Chamorro,en_to_L,21,"But Peter and John answered them, ""Whether it is right in the sight of God to listen to you rather than to God, judge for yourselves,","Lao si Pedro yan Juan manope ilegñija: Jusga, cao tunas gui menan Yuus na inosgueña jamyo qui si Yuus;","Lao si Pedro yan Juan manope ilegñija: Jusga, cao tunas gui menan Yuus na inosgueña jamyo qui si Yuus;",100.00000000000004,100.0,99.99530428249437
Chamorro,en_to_L,22,"Our fathers didn't understand your wonders in Egypt. They didn't remember the multitude of your loving kindnesses, but were rebellious at the sea, even at the Red Sea .","Y tatanmame ti jatungo y ninamanmanmo guiya Egipto; ti jajaso y manadan y minaasemo; lao manmanembeste gui tase, junggan gui Tasen Agaga.","Y tatanmame ti jatungo y ninamanmanmo guiya Egipto; ti jajaso y manadan y minaasemo; lao manmanembeste gui tase, junggan gui Tasen Agaga.",100.00000000000004,100.0,99.99715521165226
Chamorro,en_to_L,23,"And it became known throughout all Joppa, and many believed in the Lord.",Ya matungo todo guiya Joppe; ya megae manmanjonggue ni y Señot.,"Ya matungo todo guiya Joppa, ya megae manmanjonggue ni y Señot.",67.03420896351791,90.96430262961498,84.36109345200255
Chamorro,en_to_L,24,"Saying, The scribes and the Pharisees sit in Moses' seat:",Ylegña: Y escriba yan y Fariseo sija manmatatachong gui tachong Moises;,Ilelegña: “Y escriba yan y Fariseo sija gaegue gui tronu ni Moises.”,27.668736912821892,52.197734762239854,64.69878399702962
Chamorro,en_to_L,25,"But immediately after the oppression of those days, the sun will be darkened, the moon will not give its light, the stars will fall from the sky, and the powers of the heavens will be shaken;","N 24 29 33030 ¶ Ti apmam despues di y pininiten ayo sija na jaane, y atdao ujomjom, ya y pilan ti ufanina; ya y pution sija ufamodong guine y langet; ya y nina siñan y langet ufanmayengyong.","Lao anae pot este na y inechongñija, y atdao ufamodong, y pilan ti ujaresibe y inina; ya y pution sija ufanpupuno guinin y langet, ya y ninasiña sija gui langet ufanmayengyong;",18.30654694669259,55.807563343240055,42.66195495140531
Chamorro,en_to_L,26,"Thy congregation hath dwelt therein: thou, O God, hast prepared of thy goodness for the poor.","Y inetnon taotaomo mañaga güije: jago, O Yuus, fumamauleg y minaulegmo para y mamoble.","Tayuyut y kongregasionmiyo: Jago, O Yuus, pot y minagofmo junaejao para y mamoble.",28.547397706062934,39.14063305294837,65.79764121663563
Chamorro,en_to_L,27,"The LORD shall reign for ever, even thy God, O Zion, unto all generations. Praise ye the LORD.","Si Jeova ufangobietna para taejinecog; y Yuusmo, O Sion, para todo y generasion. Fanmanalaba jamyo as Jeova.","Si Jeova ufanbiebietna para taejinecog, ya si Yuusmo, O Sion, asta para todo y generasion. Alaba jamyo si Jeova.",36.422348770561044,72.08347966881306,73.90348826334984
Chamorro,en_to_L,28,"And the man in whom the evil spirit was leaped on them, and overcame them, and prevailed against them, so that they fled out of that house naked and wounded.","Ya y taotao ni y guaja taelaye na espiritu, tumayog gui jiloñija; ya jagana sija, sa mas gaeninasiñaña qui sija; ya esta manmalago sija güije na guma, manerido yan taya magaguñija.","Ya ayo nae manae macocone güe maguot si taotao, ni y espiritu na taelaye umalaguet gui sija, ya umalupat sija, ya umalupat sija, ya umalupat sija, ya manmalago sija gui ayo na guma na manmofefea, na manmofefea, ya manmalaet, ya manmalaet.",3.667530253927969,36.88124058760733,33.18537859007832
Chamorro,en_to_L,29,"Always, night and day, in the tombs and in the mountains, he was crying out, and cutting himself with stones.","Ya siempre yan puenge yan jaane, jumajanao ya umaagang gui entalo naftan sija, yan gui jalomtano sija, ya janalalamen güe ni acho sija.","Siempre, puenge yan jaane, gui naftan yan gui egso, umagang ya umagang, na umagang ijao, ya jafa na umapuno güe gui acho na títuca.",12.288887055424896,39.521954769809525,42.89005265567766
Chamorro,en_to_L,30,Ken is older than Seiko.,Åmko'ña si Ken kinu si Seiko.,Åmko'ña si Ken kinu si Seiko.,100.00000000000004,100.0,99.85422740524781
Chamorro,en_to_L,31,"Save me, O God; for the waters are come in unto my soul.","NALIBREYO, O Yuus; sa y janom manjalom asta y antijo.","O God, satbasionmame; sa y janom manmalofan para y antijo.",29.782017963590448,42.990753415619906,66.19183285849952
Chamorro,en_to_L,32,And a fire was kindled in their company; the flame burned up the wicked.,Yan y guafe manafañila gui mangachongñija; ya y mañila sumonggue y manaelaye.,Ya manae guafe na guafe gui entaloñija; y y manlâlâ na guafe umalâlâlâ pot y taelaye.,3.4933841821869938,31.2612827264792,27.77777777777778
Chamorro,en_to_L,33,"LORD, I cry unto thee: make haste unto me; give ear unto my voice, when I cry unto thee.","Y Salmon David. sumaga dos años gui inatquilaña na guma; ya jaresibe todo ayo sija y manmato guiya güiya,","Señot, juagangjao: nachadig jao para guajo; ecungog y inagangjo, anae juagangjao guiya jago.",2.5716061497971396,18.655910443431917,11.574074074074076
Chamorro,en_to_L,34,"The Jews answered him, ""We have a law, and by our law he ought to die, because he made himself the Son of God.""","Maope güe ni y Judio sija: Jame guaja laymame, ya segun y laymame, debe umatae, sa jafa na güiya jafatinas maesa güe Lajin Yuus.","Manope si y Judio sija nu güiya: “Guaja un tinago, ya pot este na tinago, güiya siña umapuno; sa güiya jañaña güe na güiya y Lajin Yuus.”",9.784168213672302,36.79906355745316,45.425052966101696
Chamorro,en_to_L,35,"For it seems to me unreasonable, in sending a prisoner, not to also specify the charges against him.""","Sa y jinasoco na taya rason na umanajanao y presonero, ya ti umanaclaro y isao ni y mapolo contra güiya.","Sa sigun ijao na untaemano, na anae macone un taotao gui calaboso, ti siña locue na unjasangan ni y finatinasña ni y taelayeña.",4.207993129078362,23.37073092467072,26.069223985890655
Chamorro,en_to_L,36,Do you show wonders to the dead? Do the dead rise up and praise you? Selah.,Ada unnamalie y ninamanman gui manmatae? Siña y manmatae mangajulo ya unmaalaba? Sila.,Chamorro: ¿Mañanamanmanuñija jamyo ni ninamanmanña para y manmatae? ¿Mañacajulo y manmatae sija ya ufananalaba jamyo? Sila.,11.154288433080788,46.60182617859011,50.17314062029509
Chamorro,en_to_L,37,"No one can come to me unless the Father who sent me draws him, and I will raise him up in the last day.","Taya siña mato guiya guajo yaguin si Tata, ni tumago yo, ti quinene güe; ya guajo junacajulo güe gui uttimo na jaane.","Taya siña mato guiya guajo yaguin si Tata ni tumago yo, ti quinene güe; ya guajo junacajulo güe gui uttimo na jaane.",89.58039312312596,96.42831179329777,96.5003861003861
