Lang,Index,Source,Reference,LLM_Translation,ChrF
Basque,0,eman diegu,we have given it to them,We have given it to them.,92.74
Basque,1,MIRENI erosi diote liburua?,Did they buy MARY the book?,Did they buy Miren the book?,70.08
Basque,2,"Baina oraingoan ez zaigu Bardem kontatzen hasi, noiz eta nola konta badakiela erakusteko.","But on this occasion, Bardem has not started telling stories just to show us that he knows to tell when and how.","But this time Bardem hasn’t started telling us, to show that he knows when and how to tell it.",55.41
Basque,3,Ezer ez dio inork inori eman.,No one gave anything to Mikel.,Nobody gave anything to anyone.,56.64
Basque,4,Hori nere ohea da.,That is my bed.,That is my bed.,100.0
Basque,5,Zure laguna *pozik/*gure aurrean/aberats(a)/indartsu(a) bihurtu da.,Your friend became happy/in front of us/rich/strong.,Your friend has become happy/in front of us/rich/strong.,86.26
Basque,6,Mikelek besoa hautsi du.,Mikel broke his arm.,Mikel has broken his arm.,59.07
Basque,7,"eta baldin halatan eta orduan, bat ere gozo-rik edo zaphore-rik edirei-ten ba-diozu, zeren hura guzti-a Iaingoiko-aganik heldu bai-tateke, eta ez ene-ganik falta baizen, hari eskerr-ak errenda iatzotzu, eta ni-tzaz ere othoi-z egi-te-az, arren othoi, orhoit zaitezi.","And if thus and then, you find in it some sweetness of flavor, because all of that may come from God, and from me only its flaws, give thanks to Him, and please, I pray, remember me when you pray.","And if so and then you find in it any sweetness or savor at all, since all of that would come from God and not from me except for what is lacking, render thanks to Him; and, I beg you, remember me too in your prayers.",48.45
Basque,8,Babestu gara.,We protected ourselves.,We protected ourselves.,100.0
Basque,9,Urik ga.be ondo loratzea zaila da.,It is difficult to bloom without water.,It is difficult to bloom well without water.,91.84
Basque,10,zabal eta luzera,width and length,wide and long,26.49
Basque,11,Garaiz oheratzea eta berandu arte ohean egotea dut nik gustuko.,I like to go to bed early and to be in bed until late.,I like going to bed early and staying in bed until late.,66.04
Basque,12,etxe baten aurrean,in front of a house,in front of a house,100.0
Basque,13,Ordu biak dira.,It is two o'clock.,It is two o’clock.,69.53
Basque,14,"Jonek badaki, denek dakite.","If Jon knows, everybody does.",Jon knows it; everyone knows it.,37.29
Basque,15,Nork ikusi ahal zaitu?,Who can see you?,Who could have seen you?,34.65
Basque,16,"ekarriko balit, emango nizueke","if he brought it to me, I would give it to you-pl","If I brought it, I would give it to you (pl.).",64.14
Basque,17,Hain argia zaren horrek jakin beharko zenuke.,"You, who are so clever, ought to know.","You, being so smart, should know.",23.14
Basque,18,Ni herrira ere joango naiz bihar.,I will go also to the village tomorrow.,I will also go to the village tomorrow.,80.59
Basque,19,Leihoak zikindu dira.,The windows soiled.,The windows have gotten dirty.,49.86
Basque,20,Zure lanari interesgarria deritzot.,I think your work is interesting.,I consider your work interesting.,64.03
Basque,21,Mikelek liburua apurtuta ekarri zuen.,Mikel brought the book broken.,Mikel brought the book broken.,100.0
Basque,22,Patatak batzetik nator.,I'm coming from gathering potatoes.,I’m coming from one of the potatoes.,56.87
Basque,23,Atzoko bileran zutaz mintzatu zen.,You were spoken about in yesterday's meeting.,He spoke about you at yesterday’s meeting.,53.45
Basque,24,"Nik ez daukat dirurik orain zuretzat, bai, ordea, maitasuna.","I don't have any money for you now, but [I have] love, instead.","I don’t have any money for you right now, but I do have love.",55.42
Basque,25,Batzuetan lotsatu egiten nau neure buruak.,"Sometimes, myself embarrasses me.",Sometimes I am ashamed of myself.,41.36
Basque,26,Jon dantzarazi dute.,They made Jon dance,They made Jon dance.,98.52
Basque,27,Telefonoz deitu didate?,Did they (=anyone) phone me?,Did they call me on the phone?,38.52
Basque,28,"Baina emagun auzotik auzora doala, batek bertzea kotsatuz-","But let's assume that it goes from neighborhood to neighborhood, one contaminating the other.","But suppose he is going from neighborhood to neighborhood, one pushing the other—",57.99
Basque,29,Liburua NORK idatzi duen galdetu dit Jonek.,It is WHO wrote the book that Jon asked me.,Jon asked me who wrote the book.,57.42
Basque,30,etorri ez den gizona,the man who didn't come,the man who didn’t come,77.46
Basque,31,Bi urthe eta erdi zituen ni gerlarat joaitean.,He was two and half years old upon my going to war.,He was two and a half years old when I went to war.,57.97
Basque,32,mando eta mendibide,mule- and mountain trails,mule and mountain path,54.27
Basque,33,Epik eta Blasek bakoitzak badakite bestearen berri.,Ernie and Bert each have informatin about the other.,Epi and Blas each know about the other.,39.5
Basque,34,Xabier zerbitzari dago kafetegi horretan.,Xabier is working as a waiter in that cafe.,Xabier is a waiter in that café.,64.73
Basque,35,"Ene arimak ez du sekulan hartuko pausurik honda dadin artean jainkotasunaren itsasoan, [zeina baita haren iturburua].","My soul will take no rest until it is lost in the sea of divinity, which is its source.","My soul will never take rest until it is submerged in the sea of divinity, which is its source.",78.35
Basque,36,Amak es totzü esan ori etxeko.,Mother has not told you to do that.,Mother didn’t tell that to the people at home.,28.28
Basque,37,Debekatu egin diot Alberdiri karta berak idaztea.,I forbade Alberdi to write the letter himself.,I forbade Alberdi to write the same letters.,75.81
Basque,38,Joxeren liburu eta Mirenen aldizkari berriak.,Joxe's (new) book(s) and Miren's new magazines.,Joxe’s books and Miren’s new magazines.,54.98
