Lang,Direction,Index,Source,Reference,LLM_Translation,BLEU,ChrF,METEOR
Korean,en_to_L,0,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,바티칸 시국의 인구는 약 800명입니다. 세계에서 가장 작은 독립 국가이자 인구가 가장 적은 나라입니다.,바티칸 시국의 인구는 약 800명이다. 바티칸 시국은 세계에서 가장 작은 독립국이며 인구가 가장 적은 나라이다.,27.694132751313415,63.684343221973016,69.87577639751552
Korean,en_to_L,1,All citizens of Vatican City are Roman Catholic.,바티칸 시국의 모든 시민은 로마 가톨릭 교도입니다.,바티칸 시국의 모든 시민은 로마 가톨릭 신자이다.,70.71067811865478,72.04022821444904,86.4795918367347
Korean,en_to_L,2,"It has a notably wide variety of plant communities, due to its range of microclimates, differing soils and varying levels of altitude.","다양한 범위의 미기후, 각기 다른 토양과 다양한 높이의 고도로 인해 넓은 범위의 다양한 식물 군이 존재합니다.","그것은 미기후의 범위, 서로 다른 토양, 그리고 고도 수준의 변화로 인해 식물 군락의 종류가 특히 다양하다.",3.0272532566104675,16.589732045590146,13.812154696132598
Korean,en_to_L,3,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,아마존 강은 지구에서 길이로는 두 번째이고 크기로는 첫째 가는 강입니다. 두 번째로 큰 강보다 8배 이상 많은 물이 흐르죠.,아마존 강은 지구에서 두 번째로 길고 가장 큰 강이다. 이 강은 두 번째로 큰 강보다 물을 8배 이상 더 많이 운반한다.,17.855149299161596,35.32773598382605,48.21802935010482
Korean,en_to_L,4,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.","사자 무리는 놀라울 정도로 행동하는 것이 사자와 유사한 (하지만 다른 커다란 고양잇과 동물과는 다른) 늑대 또는 개 무리와 비슷하게 행동하는데, 이는 사냥감에 굉장히 치명적이기도 합니다.","사자 무리는 늑대나 개 떼처럼 행동하는데, 행동 양식에서 사자와 놀라울 정도로 비슷한(하지만 다른 큰 고양잇과는 아닌) 동물들이며, 먹잇감에게는 또한 매우 치명적이다.",8.703196477926333,29.31629501842367,34.866042077580545
Korean,en_to_L,5,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,이는 Henry Louis Gates의 PBS 특집 '아프리카의 경이'에서 가장 비중 있는 탐험지 중 하나였습니다.,헨리 루이스 게이츠의 PBS 스페셜 〈아프리카 세계의 경이〉에서 중요한 주요 거점들 중 하나였다.,3.479789360876994,15.163020327158094,10.067114093959734
Korean,en_to_L,6,Argentina is well known for having one of the best polo teams and players in the world.,아르헨티나는 세계 최고의 폴로 팀과 선수를 보유한 것으로 유명합니다.,아르헨티나는 세계에서 가장 훌륭한 폴로 팀과 선수들 중 하나를 보유하고 있는 것으로 잘 알려져 있다.,6.150343144231885,38.4394799928989,35.094339622641506
Korean,en_to_L,7,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,수면 방해는 정상적인 수면 기간 동안 의도적으로 잠을 깨운 다음 짧은 시간(10–60분)이 지난 후에 잠드는 과정입니다.,"수면 방해는 정상적인 수면 시간 동안 의도적으로 깨어난 뒤, 짧은 시간 후(10–60분)에 다시 잠드는 과정을 말합니다.",19.857943409196785,51.16112249591599,58.58268599792479
Korean,en_to_L,8,"For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995).","""예를 들어, """"학습""""과 """"사회화""""가 인터넷 사용에 대한 중요한 동기로 제시되었습니다(제임스 외, 1995년)""","예를 들어, “학습”과 “사회화”는 인터넷 사용의 중요한 동기로 제안된다(James et al., 1995).",6.484233513549904,27.24210888438694,33.223684210526315
Korean,en_to_L,9,"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","부시는 중간 선거에서 일주일 내내 이어진 패배 이후, 아시아에서의 무역 확장 정책을 발표했습니다.","중간선거에서 일주일 동안 연패를 겪은 뒤, 부시는 청중에게 아시아에서의 무역 확대에 대해 이야기했다.",6.917184228205474,37.431787088129575,28.42592592592593
Korean,en_to_L,10,The village of Haldarsvík offer views of the nearby island Eysturoy and has an unusual octagonal church.,"Haldarsvik 마을에서는 근처에 있는 Eysturoy 섬을 볼 수 있으며, 특이한 팔각형 모양의 교회가 있습니다.","할다르스비크 마을은 인근 섬 에이스튀로이를 바라볼 수 있으며, 독특한 팔각형 교회가 있다.",10.897689104778708,17.662146976993817,32.34880450070324
Korean,en_to_L,11,It states that the most effective place for the main subject is at the intersection of lines dividing the image into thirds vertically and horizontally (see example).,이 법칙은 주요 피사체를 위치시키기에 가장 효과적인 위치는 이미지를 수직과 수평으로 삼등분한 선들이 교차하는 점(예시 참조)이라고 명시한다.,주요 피사체의 가장 효과적인 위치는 이미지를 세로와 가로로 각각 3등분하는 선들의 교차점이라고 명시되어 있다(예시를 보라).,12.870302183750796,33.079422520149095,32.36607142857142
Korean,en_to_L,12,"Regular announcements in the Metro are made only in Catalan, but unplanned disruptions are announced by an automated system in a wide variety of languages including Spanish, English, French, Arabic and Japanese.","지하철의 정규 안내 방송은 카탈로니아어로만 제공되나, 계획에 없던 운행 중단 시에는 자동 시스템을 통해 스페인어, 영어, 프랑스어, 아라비아어, 일본어를 포함한 다양한 언어로 방송됩니다.","지하철의 정기 안내 방송은 카탈루냐어로만 제공되지만, 예기치 않은 교란은 스페인어, 영어, 프랑스어, 아랍어, 일본어를 포함한 다양한 언어로 자동화된 시스템이 안내합니다.",31.4936499774519,47.16796433972515,54.279181184669
Korean,en_to_L,13,One of the main Christian tenets is that wealth should be used to alleviate suffering and poverty and that the monetary funds of the church are there specifically for that reason.,기독교의 주요 교리 중 하나에 따르면 부는 고통과 빈곤을 완화하기 위해 사용되어야 하며 교회의 통화 기금은 특히 그러한 이유로 존재한다고 합니다.,"기독교의 주요한 교리 중 하나는 재산을 고통과 빈곤을 완화하는 데 사용해야 하며, 교회의 금전적 기금은 바로 그 목적을 위해 마련되어 있다는 것이다.",5.595510806828872,31.20754993098622,33.513513513513516
Korean,en_to_L,14,NHK also reported that the Kashiwazaki Kariwa nuclear power plant in Niigata prefecture was operating normally.,또한 NHK는 니카타현의 카시와자키 카리와 원자력 발전소가 정상적으로 운영되고 있다고 보고했습니다.,NHK는 또한 니가타현의 가시와자키 가리와 원자력발전소가 정상적으로 가동되고 있다고 보도했다.,5.117229509364273,48.29107866336135,21.00840336134454
Korean,en_to_L,15,"Fortunately, drivers tend to behave within a reasonably consistent range; thus, traffic streams tend to have some reasonable consistency and can be roughly represented mathematically.","다행히도, 운전자들은 상당히 일관된 범위 내에서 행동하는 경향이 있습니다. 따라서, 교통 흐름은 어느 정도 합당한 일관성을 가지며 수학적으로 대략 표현할 수 있습니다.","다행히도 운전자들은 비교적 일관된 범위 내에서 행동하는 경향이 있으므로, 교통 흐름도 어느 정도 합리적인 일관성을 가지며 수학적으로 대략 표현할 수 있다.",37.2980606232826,57.72414036824841,67.97929576788202
Korean,en_to_L,16,"Sadly, as newer methods of writing have emerged, the pencil has been relegated to lesser status and uses.","아쉽게도, 좀 더 새로운 필기 방식이 등장하면서 연필을 덜 사용하게 되고, 연필은 덜 중요한 위치로 밀려났다.",안타깝게도 새로운 글쓰기 방법들이 등장하면서 연필은 더 낮은 지위로 밀려나 사용되고 있다.,2.9115521924905376,25.01729828215653,13.586956521739129
Korean,en_to_L,17,"At the same time, the German navy, using mainly U-boats, was trying to stop this traffic.",동시에 U보트를 주로 사용하는 독일 해군은 이 운행을 막으려고 노력했습니다.,동시에 독일 해군은 주로 U보트를 사용해 이 수송(교통) 흐름을 막으려 하고 있었다.,6.690080689159478,27.03066571743949,41.70363797692991
Korean,en_to_L,18,Using ships to transport goods is by far the most efficient way to move large amounts of people and goods across oceans.,선박을 이용하여 상품을 운송하는 것은 많은 사람과 대량의 상품을 바다를 가로질러 이동시키는 가장 효율적인 방법이다.,화물을 운송하기 위해 배를 사용하는 것은 대양을 가로질러 많은 사람과 물자를 이동하는 데 있어 단연코 가장 효율적인 방법이다.,16.19557012853241,35.707758721140934,46.012269938650306
Korean,en_to_L,19,"However, the percentage of XDR-TB in the entire group of people with tuberculosis still seems to be low; 6,000 of the total 330,000 people infected at any particular moment in South Africa.","그러나 전체 결핵 환자 중 XDR-TB가 있는 비율은 그리 높지 않은 듯합니다. 어느 특정 순간에 남아프리카에서 결핵에 걸린 환자가 330,000명이라고 할 때, 6,000명 정도가 XDR-TB가 있는 수준입니다.","그러나 결핵 환자 전체 집단에서 XDR-TB가 차지하는 비율은 여전히 낮아 보인다. 남아프리카에서 특정 시점에 감염된 총 33만 명 중 6,000명이다.",3.6774266187474174,24.565510211759754,23.51975546247028
Korean,en_to_L,20,"The bill requires violent video games sold in the state of California to be labeled with a decal reading ""18"" and makes their sale to a minor punishable by a fine of $1000 per offense.","""이 법안은 캘리포니아 주에서 판매되는 폭력적인 비디오 게임에는 """"18""""이라는 라벨을 붙여야 하며, 이 게임을 미성년자에게 판매하는 경우 1000달러의 벌금에 처하도록 규정하고 있습니다.""","이 법안은 캘리포니아 주에서 판매되는 폭력적인 비디오 게임에 “18”이라고 적힌 데칼을 부착하도록 요구하며, 미성년자에게 판매하는 행위는 건당 1,000달러의 벌금으로 처벌할 수 있게 한다.",20.992978584882035,49.29188962865902,36.644951140065146
Korean,en_to_L,21,"This is the place the British colonisers took as their own and so if you are looking for evidence of the territory's colonial past, this is a good place to start.",여기는 영국 식민지 개발자들이 자신들의 소유로 삼았던 곳이기 때문에 과거 식민지 영토에 대한 증거를 찾고 있다면 여기서부터 시작하면 좋다.,"이곳은 영국의 식민 통치자들이 자기들의 것으로 삼아 차지한 곳이므로, 그 영토의 식민 과거에 대한 증거를 찾고 있다면 여기서부터 시작하는 것이 좋습니다.",16.133948681475335,39.97431449064813,29.009304871373836
Korean,en_to_L,22,"During the 1980s he worked on shows such as Taxi, Cheers, and The Tracy Ullman Show.","1980년대에 그는 택시, 치어스, 더 트레이시 울먼 쇼와 같은 프로그램에서 일했습니다.","1980년대에 그는 택시, 《Cheers》, 《트레이시 울먼 쇼》 같은 프로그램에서 일했다.",23.5665785587032,59.13120743400552,59.19708677502443
Korean,en_to_L,23,"Nature-based tourism attracts people interested in visiting natural areas for the purpose of enjoying the scenery, including plant and animal wildlife.",자연을 소재로 한 관광은 식물과 동물 야생동물을 포함한 풍경을 감상하기 위한 목적으로 자연 탐방에 관심이 있는 사람들을 끌어모으고 있습니다.,자연 기반 관광은 식물과 동물의 야생동물을 포함하여 경관을 즐기기 위해 자연 지역을 방문하는 데 관심이 있는 사람들을 끌어들인다.,10.110879968368387,37.320575192606164,35.293655778894475
Korean,en_to_L,24,"Periodic rhythms, which are not simply responses to external periodic cues, have been documented for most living beings, including bacteria, fungi, plants, and animals.","박테리아, 곰팡이, 식물 및 동물을 포함한 대부분의 살아있는 유기개체에 대해 단순히 외부 주기 신호에 대한 반응이 아닌 주기 리듬이 기록되어 있다.","외부의 주기적 단서에 대한 단순한 반응에 그치지 않는 주기적 리듬은 세균, 곰팡이, 식물, 동물을 포함한 대부분의 생명체에서 관찰되어 왔다.",15.200263672654103,29.966295822187522,28.797975102019734
Korean,en_to_L,25,Three more bombs exploded near government buildings in a period of two hours.,정부청사 근처에서 2시간 만에 폭탄 3개가 추가로 폭발했다.,두 시간 동안 정부 청사 인근에서 폭탄 세 발이 추가로 폭발했다.,13.545994273378144,36.16079089992134,40.322580645161295
Korean,en_to_L,26,Posted speed limits are noticeably lower than in previous and subsequent sections — commonly 35-40 mph (56-64 km/h) — and strict obedience to them is even more important than otherwise.,공시된 속도 제한은 이전 및 이후 구간보다 눈에 띄게 낮으며 - 보통 35-40 mph(56-64 km/h) - 해당 구간 내에선 속도 준수 엄수가 다른 구간보다 훨씬 중요합니다,표시된 제한속도는 이전 구간과 이후 구간에 비해 눈에 띄게 낮으며—대개 35~40mph(56~64km/h)—그에 대한 엄격한 준수는 그렇지 않은 경우보다도 더 중요하다.,6.285861724465874,29.699894278235213,14.961013645224172
Korean,en_to_L,27,"Professor Pamela Ferguson of the University of Dundee notes ""journalists do seem to be walking a dangerous line if publishing photos etc of suspects.""","던디 대학의 파멜라 퍼거슨 교수는 '언론인이 용의자의 사진 등을 공개한다면, 그들은 아슬아슬한 줄타기를 하는 것과 같다'라고 합니다.",덴디 대학교의 파멜라 퍼거슨 교수는 “용의자들의 사진 등을 공개하는 경우 언론인들이 위험한 선을 걷고 있는 것처럼 보인다”고 지적한다.,9.917720727091444,31.01639916316491,29.145077720207247
Korean,en_to_L,28,"Goats seem to have been first domesticated roughly 10,000 years ago in the Zagros Mountains of Iran.",염소 사육은 대략 일만 년 전에 이란의 자그로스산맥에서 시작한 것으로 보입니다.,"염소는 이란의 자그로스 산맥에서 약 10,000년 전쯤 처음 길들여진 것으로 보인다.",4.456882760699064,35.61381048968587,12.5
Korean,en_to_L,29,"Due to the underwater topology the return flow is concentrated at a few deeper sections, and a fast current to deep water may form there.","수중 내 체계적 분류로 인해 환원수는 몇몇의 깊은 곳에 농축되며, 이로 인해 이곳에는 급속 전류부터 심층수까지 형성될 수 있습니다.","수중 지형 때문에 되돌이 흐름이 몇몇 더 깊은 구간에 집중되며, 그곳에서 심해로 향하는 빠른 해류가 형성될 수 있습니다.",13.113582195262211,21.52836987281216,30.36812811248901
Korean,en_to_L,30,"Up means you should start at the tip and push the bow, and down means you should start at the frog (which is where your hand is holding the bow) and pull the bow.","올림이란 활의 끝에서 시작해 활을 켜는 것이고, 내림이란 활털걸이(활을 잡고 있는 부분)에서 시작해  활을 끄는 것을 말합니다.","위는 활의 끝에서 시작해서 활을 밀어야 한다는 뜻이고, 아래는 활의 개구리(손으로 활을 잡고 있는 부분)에서 시작해서 활을 당겨야 한다는 뜻입니다.",22.599865452149242,38.3481928900155,49.29273433730349
Korean,en_to_L,31,"The cities of Harappa and Mohenjo-daro had a flush toilet in almost every house, attached to a sophisticated sewage system.",하라파와 모헨조다로의 도시들은 거의 모든 집에 정교한 하수 시설과 연결된 수세식 화장실을 가지고 있었다.,하라파와 모헨조다로의 도시들은 거의 모든 집에 정교한 하수도 시스템에 연결된 수세식 변소를 갖추고 있었다.,48.14400258132247,66.73930250395244,72.58953168044077
Korean,en_to_L,32,Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.,당국은 이것이 현장에서 우라늄 연료를 보관하는 컨테이너가 파열되어 누출되고 있다는 것을 나타낸다고 추정한다.,당국은 이것이 현장에 있는 우라늄 연료를 담은 용기들이 파손되어 누출되고 있음을 시사하는 것일 수 있다고 추측하고 있다.,6.722636787666482,38.01533003292755,35.49382716049382
Korean,en_to_L,33,"Germany was a common enemy in World War 2, leading to cooperation between the USSR and USA. With the end of the war the clashes of system, process and culture led to the countries falling out.","2차 세계 대전에서 독일은 공통의 적이었고 이는 소련과 미국의 협력으로 이어졌습니다. 전쟁이 끝남과 함께 시스템, 변화 및 문화의 충돌은 여러 국가의 쇠락으로 이어졌습니다.","제2차 세계대전에서 독일은 공통의 적이었고, 그로 인해 소련과 미국 사이의 협력이 이루어졌다. 전쟁이 끝난 뒤에는 체제, 과정, 문화의 충돌이 두 나라를 갈라놓게 되었다.",7.23976807888871,37.75977615172715,29.262086513994912
